country,year,value,symbol,lat,lon
El Salvador,2012,0.116,E,13.8000382,-88.9140683
El Salvador,2017,0.116,I,13.8000382,-88.9140683
El Salvador,2018,0.116,I,13.8000382,-88.9140683
Oman,2007,0.4492,OF,21.0000287,57.0036901
Oman,2012,0.4492,I,21.0000287,57.0036901
Oman,2017,0.4492,I,21.0000287,57.0036901
Oman,2018,0.4492,I,21.0000287,57.0036901
Venezuela (Bolivarian Republic of),2012,5.775,I,8.0018709,-66.1109318
Venezuela (Bolivarian Republic of),2017,5.775,I,8.0018709,-66.1109318
Venezuela (Bolivarian Republic of),2018,5.775,I,8.0018709,-66.1109318
Viet Nam,2007,25.04,I,13.2904027,108.4265113
Viet Nam,2012,25.04,I,13.2904027,108.4265113
Viet Nam,2017,25.04,I,13.2904027,108.4265113
Viet Nam,2018,25.04,I,13.2904027,108.4265113
