country,year,value,symbol,lat,lon
Algeria,2017,0.705,I,28.0000272,2.9999825
Algeria,2018,0.705,I,28.0000272,2.9999825
Argentina,2012,1.596,I,-34.9964963,-64.9672817
Argentina,2017,1.596,I,-34.9964963,-64.9672817
Argentina,2018,1.596,I,-34.9964963,-64.9672817
Armenia,2018,0.1,I,40.7696272,44.6736646
Australia,2002,1.824666667,I,-24.7761086,134.755
Australia,2006,1.827333333,I,-24.7761086,134.755
Australia,2012,1.828,I,-24.7761086,134.755
Australia,2017,1.828,I,-24.7761086,134.755
Australia,2018,1.828,I,-24.7761086,134.755
Austria,2002,0.994333333,I,47.2,13.2
Austria,2007,1.25,I,47.2,13.2
Austria,2012,1.919,I,47.2,13.2
Austria,2017,1.919,I,47.2,13.2
Austria,2018,1.919,I,47.2,13.2
Bahrain,2002,0.076571429,I,44.3053476,17.5961467
Bahrain,2007,0.090142857,I,44.3053476,17.5961467
Bahrain,2012,0.116866667,I,44.3053476,17.5961467
Bahrain,2017,0.1482,I,44.3053476,17.5961467
Bahrain,2018,0.1482,I,44.3053476,17.5961467
Belgium,2002,0.1501,I,50.6402809,4.6667145
Belgium,2007,0.1501,I,50.6402809,4.6667145
Belgium,2012,0.1501,I,50.6402809,4.6667145
Belgium,2017,0.1501,I,50.6402809,4.6667145
Belgium,2018,0.1501,I,50.6402809,4.6667145
Bosnia and Herzegovina,2017,0.104,I,44.3053476,17.5961467
Bosnia and Herzegovina,2018,0.104,I,44.3053476,17.5961467
Brazil,2006,5.39,OF,-10.3333333,-53.2
Burkina Faso,2012,0.0024,I,12.0753083,-1.6880314
Burkina Faso,2017,0.0024,I,12.0753083,-1.6880314
Burkina Faso,2018,0.0024,I,12.0753083,-1.6880314
Canada,2007,5.468333333,I,61.0666922,-107.991707
Canada,2012,5.67,I,61.0666922,-107.991707
Canada,2016,5.673,OF,61.0666922,-107.991707
Canada,2018,5.91,I,61.0666922,-107.991707
Chile,2012,1.067,I,-31.7613365,-71.3187697
Chile,2017,1.067,I,-31.7613365,-71.3187697
Chile,2018,1.067,I,-31.7613365,-71.3187697
China,2012,31.14,I,35.000074,104.999927
China,2017,31.14,I,35.000074,104.999927
China,2018,31.14,I,35.000074,104.999927
Costa Rica,2017,0.084,I,10.2735633,-84.0739102
Costa Rica,2018,0.084,I,10.2735633,-84.0739102
Cuba,2007,0.622,OF,23.0131338,-80.8328748
Cuba,2012,0.725,OF,23.0131338,-80.8328748
Cuba,2017,0.725,I,23.0131338,-80.8328748
Cuba,2018,0.725,I,23.0131338,-80.8328748
Cyprus,2009,0.0225,I,34.9823018,33.1451285
Czechia,2007,0.3408,OF,49.8167003,15.4749544
Czechia,2012,0.3238,OF,49.8167003,15.4749544
Czechia,2015,0.3021,OF,49.8167003,15.4749544
Denmark,2010,0.24,OF,55.670249,10.3333283
Dominican Republic,2012,0.041,I,19.0974031,-70.3028026
Dominican Republic,2017,0.041,I,19.0974031,-70.3028026
Dominican Republic,2018,0.041,I,19.0974031,-70.3028026
Egypt,2012,6.497,OF,26.2540493,29.2675469
Egypt,2017,6.497,I,26.2540493,29.2675469
Egypt,2018,6.497,I,26.2540493,29.2675469
Estonia,2012,0.311,I,58.71971295,24.507544106789936
Estonia,2017,0.311,I,58.71971295,24.507544106789936
Estonia,2018,0.311,I,58.71971295,24.507544106789936
Finland,2017,0.4,OF,63.2467777,25.9209164
France,2002,2.701,I,46.603354,1.8883335
France,2007,3.58125,I,46.603354,1.8883335
France,2012,3.77,I,46.603354,1.8883335
France,2017,3.77,I,46.603354,1.8883335
France,2018,3.77,I,46.603354,1.8883335
Germany,1997,4.634,I,51.0834196,10.4234469
Germany,2002,5.237333333,I,51.0834196,10.4234469
Germany,2006,5.21,I,51.0834196,10.4234469
