country,year,value,symbol,lat,lon
Albania,2018,0.0,I,41.000028,19.9999619
Algeria,1992,0.0546,I,28.0000272,2.9999825
Algeria,1997,0.0311,I,28.0000272,2.9999825
Algeria,2002,0.017,OF,28.0000272,2.9999825
Algeria,2007,0.316,I,28.0000272,2.9999825
Algeria,2012,0.615,OF,28.0000272,2.9999825
Algeria,2017,0.631,OF,28.0000272,2.9999825
Algeria,2018,0.631,I,28.0000272,2.9999825
Angola,1992,0.0001,I,47.2,13.2
Angola,1997,0.0001,I,47.2,13.2
Angola,2002,0.0001,I,47.2,13.2
Angola,2007,0.0001,I,47.2,13.2
Angola,2012,0.0001,I,47.2,13.2
Angola,2017,0.0001,I,47.2,13.2
Angola,2018,0.0001,I,47.2,13.2
Antigua and Barbuda,1992,0.0033,OF,17.2234721,-61.9554608
Antigua and Barbuda,1997,0.0033,I,17.2234721,-61.9554608
Antigua and Barbuda,2002,0.0033,I,17.2234721,-61.9554608
Antigua and Barbuda,2007,0.004385714,I,17.2234721,-61.9554608
Antigua and Barbuda,2011,0.006557143,I,17.2234721,-61.9554608
Antigua and Barbuda,2017,0.0071,I,17.2234721,-61.9554608
Antigua and Barbuda,2018,0.0071,I,17.2234721,-61.9554608
Argentina,1992,0.0007,I,-34.9964963,-64.9672817
Argentina,1997,0.0007,I,-34.9964963,-64.9672817
Argentina,2002,0.0007,I,-34.9964963,-64.9672817
Argentina,2007,0.0007,I,-34.9964963,-64.9672817
Argentina,2012,0.0007,I,-34.9964963,-64.9672817
Argentina,2017,0.0007,I,-34.9964963,-64.9672817
Argentina,2018,0.0007,I,-34.9964963,-64.9672817
Armenia,2017,0.0,I,40.7696272,44.6736646
Armenia,2018,0.0,I,40.7696272,44.6736646
Australia,1992,0.0298,I,-24.7761086,134.755
Australia,1997,0.0298,I,-24.7761086,134.755
Australia,2002,0.0298,I,-24.7761086,134.755
Australia,2007,0.0314,I,-24.7761086,134.755
Australia,2012,0.151,OF,-24.7761086,134.755
Australia,2015,0.144,OF,-24.7761086,134.755
Austria,1982,0.0022,I,47.2,13.2
Austria,1987,0.0022,I,47.2,13.2
Austria,1992,0.0022,I,47.2,13.2
Austria,1997,0.0022,E,47.2,13.2
Austria,2002,0.0022,I,47.2,13.2
Austria,2007,0.0022,I,47.2,13.2
Austria,2012,0.0022,I,47.2,13.2
Austria,2017,0.0022,I,47.2,13.2
Austria,2018,0.0022,I,47.2,13.2
Bahamas,1992,0.002963636,I,24.7736546,-78.0000547
Bahamas,1997,0.005736364,I,24.7736546,-78.0000547
Bahamas,2002,0.0074,I,24.7736546,-78.0000547
Bahamas,2007,0.0074,I,24.7736546,-78.0000547
Bahamas,2012,0.0074,I,24.7736546,-78.0000547
Bahamas,2017,0.0074,I,24.7736546,-78.0000547
Bahamas,2018,0.0074,I,24.7736546,-78.0000547
Bahrain,1992,0.0441,I,44.3053476,17.5961467
Bahrain,1997,0.0441,I,44.3053476,17.5961467
Bahrain,2002,0.082966667,I,44.3053476,17.5961467
Bahrain,2007,0.144872727,I,44.3053476,17.5961467
Bahrain,2012,0.197963636,I,44.3053476,17.5961467
Bahrain,2017,0.2419,I,44.3053476,17.5961467
Bahrain,2018,0.2419,I,44.3053476,17.5961467
Barbados,2007,0.011,I,13.1500331,-59.5250305
Barbados,2012,0.011,I,13.1500331,-59.5250305
Barbados,2017,0.011,I,13.1500331,-59.5250305
Barbados,2018,0.011,I,13.1500331,-59.5250305
Brazil,1997,0.04,I,-10.3333333,-53.2
Brazil,2002,0.04,I,-10.3333333,-53.2
Brazil,2007,0.04,I,-10.3333333,-53.2
Brazil,2012,0.04,I,-10.3333333,-53.2
Brazil,2017,0.04,I,-10.3333333,-53.2
Brazil,2018,0.04,I,-10.3333333,-53.2
Cabo Verde,1992,0.001914286,I,16.0000552,-24.0083947
Cabo Verde,1997,0.0017,OF,16.0000552,-24.0083947
Cabo Verde,2002,0.0017,I,16.0000552,-24.0083947
Cabo Verde,2007,0.0017,I,16.0000552,-24.0083947
Cabo Verde,2012,0.0017,I,16.0000552,-24.0083947
Cabo Verde,2017,0.0017,I,16.0000552,-24.0083947
Cabo Verde,2018,0.0017,I,16.0000552,-24.0083947
Canada,1992,0.0027,I,61.0666922,-107.991707
Canada,1997,0.0027,I,61.0666922,-107.991707
Canada,2002,0.0027,I,61.0666922,-107.991707
Canada,2007,0.0027,E,61.0666922,-107.991707
Canada,2012,0.0027,I,61.0666922,-107.991707
Canada,2017,0.0027,I,61.0666922,-107.991707
Canada,2018,0.0027,I,61.0666922,-107.991707
Chile,1992,0.0048,I,-31.7613365,-71.3187697
Chile,1997,0.0048,I,-31.7613365,-71.3187697
Chile,2002,0.01475,I,-31.7613365,-71.3187697
Chile,2007,0.039625,I,-31.7613365,-71.3187697
Chile,2012,0.0645,OF,-31.7613365,-71.3187697
Chile,2017,0.065,I,-31.7613365,-71.3187697
Chile,2018,0.065,I,-31.7613365,-71.3187697
China,2007,0.0109,I,35.000074,104.999927
China,2012,0.0109,I,35.000074,104.999927
China,2017,0.0109,I,35.000074,104.999927
China,2018,0.0109,I,35.000074,104.999927
Costa Rica,2017,0.0031,I,10.2735633,-84.0739102
Costa Rica,2018,0.0031,I,10.2735633,-84.0739102
Cuba,2002,0.0004,I,23.0131338,-80.8328748
Cuba,2007,0.0004,I,23.0131338,-80.8328748
Cuba,2012,0.0004,I,23.0131338,-80.8328748
Cuba,2017,0.0004,I,23.0131338,-80.8328748
Cuba,2018,0.0004,I,23.0131338,-80.8328748
Cyprus,1992,0.003,I,34.9823018,33.1451285
Cyprus,1997,0.020428571,I,34.9823018,33.1451285
Cyprus,2002,0.0335,I,34.9823018,33.1451285
Cyprus,2007,0.0335,E,34.9823018,33.1451285
Cyprus,2012,0.0335,I,34.9823018,33.1451285
Cyprus,2016,0.069,OF,34.9823018,33.1451285
Czechia,1997,0.0002,E,49.8167003,15.4749544
Czechia,2002,0.0002,I,49.8167003,15.4749544
Czechia,2007,0.0002,E,49.8167003,15.4749544
Czechia,2012,0.0002,I,49.8167003,15.4749544
Czechia,2017,0.0002,I,49.8167003,15.4749544
Czechia,2018,0.0002,I,49.8167003,15.4749544
Denmark,1992,0.015,I,55.670249,10.3333283
Denmark,1997,0.015,E,55.670249,10.3333283
Denmark,2002,0.015,I,55.670249,10.3333283
Denmark,2007,0.015,E,55.670249,10.3333283
Denmark,2012,0.015,I,55.670249,10.3333283
Denmark,2017,0.015,I,55.670249,10.3333283
Denmark,2018,0.015,I,55.670249,10.3333283
Djibouti,1992,0.0001,I,11.8145966,42.8453061
Djibouti,1997,0.0001,I,11.8145966,42.8453061
Djibouti,2002,0.0001,I,11.8145966,42.8453061
Djibouti,2007,0.0001,I,11.8145966,42.8453061
Djibouti,2012,0.0001,I,11.8145966,42.8453061
Djibouti,2017,0.0001,I,11.8145966,42.8453061
Djibouti,2018,0.0001,I,11.8145966,42.8453061
Ecuador,1992,0.0022,I,-1.3397668,-79.3666965
Ecuador,1997,0.0022,E,-1.3397668,-79.3666965
Ecuador,2002,0.0022,I,-1.3397668,-79.3666965
Ecuador,2007,0.0022,I,-1.3397668,-79.3666965
Ecuador,2012,0.0022,I,-1.3397668,-79.3666965
Ecuador,2017,0.0022,I,-1.3397668,-79.3666965
Ecuador,2018,0.0022,I,-1.3397668,-79.3666965
Egypt,1992,0.025,I,26.2540493,29.2675469
