country,year,value,symbol,lat,lon
Argentina,1997,2.952,OF,-34.9964963,-64.9672817
Argentina,2002,2.952,I,-34.9964963,-64.9672817
Argentina,2007,2.952,I,-34.9964963,-64.9672817
Argentina,2012,2.952,I,-34.9964963,-64.9672817
Argentina,2017,2.952,I,-34.9964963,-64.9672817
Argentina,2018,2.952,I,-34.9964963,-64.9672817
Australia,2012,11.69333333,I,-24.7761086,134.755
Australia,2017,11.04,I,-24.7761086,134.755
Australia,2018,11.04,I,-24.7761086,134.755
Cabo Verde,1987,0.29,I,16.0000552,-24.0083947
Cabo Verde,1992,0.29,I,16.0000552,-24.0083947
Cabo Verde,1997,0.29,I,16.0000552,-24.0083947
Cabo Verde,2002,0.29,I,16.0000552,-24.0083947
Cabo Verde,2007,0.29,I,16.0000552,-24.0083947
Cabo Verde,2012,0.29,I,16.0000552,-24.0083947
Cabo Verde,2017,0.29,I,16.0000552,-24.0083947
Cabo Verde,2018,0.29,I,16.0000552,-24.0083947
Costa Rica,2017,0.658,I,10.2735633,-84.0739102
Costa Rica,2018,0.658,I,10.2735633,-84.0739102
Cyprus,1997,0.065,I,34.9823018,33.1451285
Cyprus,2002,0.065,I,34.9823018,33.1451285
Cyprus,2007,0.065,I,34.9823018,33.1451285
Cyprus,2012,0.065,I,34.9823018,33.1451285
Cyprus,2017,0.065,I,34.9823018,33.1451285
Cyprus,2018,0.065,I,34.9823018,33.1451285
Egypt,2002,26.05,OF,26.2540493,29.2675469
Egypt,2007,26.05,I,26.2540493,29.2675469
Egypt,2012,26.05,I,26.2540493,29.2675469
Egypt,2017,26.05,I,26.2540493,29.2675469
Egypt,2018,26.05,I,26.2540493,29.2675469
Iran (Islamic Republic of),2007,61.86,I,32.6475314,54.5643516
Iran (Islamic Republic of),2012,61.86,I,32.6475314,54.5643516
Iran (Islamic Republic of),2017,61.86,I,32.6475314,54.5643516
Iran (Islamic Republic of),2018,61.86,I,32.6475314,54.5643516
Israel,2002,5.43,I,31.5313113,34.8667654
Israel,2007,5.43,I,31.5313113,34.8667654
Israel,2012,5.43,I,31.5313113,34.8667654
Israel,2017,5.43,I,31.5313113,34.8667654
Israel,2018,5.43,I,31.5313113,34.8667654
Kenya,1992,1.821846154,I,1.4419683,38.4313975
Kenya,1997,2.476461539,I,1.4419683,38.4313975
Kenya,2002,3.131076923,I,1.4419683,38.4313975
Kenya,2007,4.255142857,I,1.4419683,38.4313975
Kenya,2012,5.0,I,1.4419683,38.4313975
Kenya,2017,5.0,I,1.4419683,38.4313975
Kenya,2018,5.0,I,1.4419683,38.4313975
Lebanon,2002,0.508,I,33.8750629,35.843409
Lebanon,2007,0.508,I,33.8750629,35.843409
Lebanon,2012,0.508,I,33.8750629,35.843409
Lebanon,2017,0.508,I,33.8750629,35.843409
Lebanon,2018,0.508,I,33.8750629,35.843409
Malaysia,1992,0.841,OF,39.7837304,-100.445882
Malaysia,1997,0.841,I,39.7837304,-100.445882
Malaysia,2002,0.841,I,39.7837304,-100.445882
Malaysia,2007,0.841,I,39.7837304,-100.445882
Malaysia,2012,0.841,I,39.7837304,-100.445882
Malaysia,2017,0.841,I,39.7837304,-100.445882
Malaysia,2018,0.841,I,39.7837304,-100.445882
Mauritius,2002,0.135,OF,-20.2759451,57.5703566
Mauritius,2007,0.135,I,-20.2759451,57.5703566
Mauritius,2012,0.135,I,-20.2759451,57.5703566
Mauritius,2017,0.135,I,-20.2759451,57.5703566
Mauritius,2018,0.135,I,-20.2759451,57.5703566
Mexico,2007,8.993666667,I,22.5000485,-100.000037
Mexico,2012,8.033,I,22.5000485,-100.000037
Mexico,2017,8.033,I,22.5000485,-100.000037
Mexico,2018,8.033,I,22.5000485,-100.000037
Morocco,2002,0.8,I,31.1728205,-7.3362482
Morocco,2007,0.8,I,31.1728205,-7.3362482
Morocco,2012,0.8,I,31.1728205,-7.3362482
Morocco,2017,0.8,I,31.1728205,-7.3362482
Morocco,2018,0.8,I,31.1728205,-7.3362482
New Zealand,2007,3.3,E,-41.5000831,172.8344077
New Zealand,2012,3.3,I,-41.5000831,172.8344077
New Zealand,2017,3.3,I,-41.5000831,172.8344077
New Zealand,2018,3.3,I,-41.5000831,172.8344077
Seychelles,2007,0.013,I,-4.6574977,55.4540146
Seychelles,2012,0.013,I,-4.6574977,55.4540146
Seychelles,2017,0.013,I,-4.6574977,55.4540146
Seychelles,2018,0.013,I,-4.6574977,55.4540146
Slovenia,2012,0.078,I,46.14903455,14.626325753340629
Slovenia,2017,0.078,I,46.14903455,14.626325753340629
Slovenia,2018,0.078,I,46.14903455,14.626325753340629
Spain,2012,15.87,I,39.3260685,-4.8379791
Spain,2017,15.87,I,39.3260685,-4.8379791
Spain,2018,15.87,I,39.3260685,-4.8379791
Turkey,2007,17.0,I,38.9597594,34.9249653
Turkey,2012,17.0,I,38.9597594,34.9249653
Turkey,2017,17.0,I,38.9597594,34.9249653
Turkey,2018,17.0,I,38.9597594,34.9249653
Uganda,2017,0.23,I,1.5333554,32.2166578
