country,year,value,symbol,lat,lon
Afghanistan,1962,547000000.0,X,33.7680065,66.2385139
Afghanistan,1967,1670000000.0,X,33.7680065,66.2385139
Afghanistan,1969,1410000000.0,X,33.7680065,66.2385139
Albania,1972,2400000000.0,X,41.000028,19.9999619
Albania,1977,2760000000.0,X,41.000028,19.9999619
Albania,1982,2280000000.0,X,41.000028,19.9999619
Albania,1987,2380000000.0,X,41.000028,19.9999619
Albania,1992,1520000000.0,X,41.000028,19.9999619
Albania,1997,2220000000.0,X,41.000028,19.9999619
Albania,2002,4360000000.0,X,41.000028,19.9999619
Albania,2007,10700000000.0,X,41.000028,19.9999619
Albania,2012,12300000000.0,X,41.000028,19.9999619
Albania,2016,11900000000.0,X,41.000028,19.9999619
Algeria,1962,2000000000.0,X,28.0000272,2.9999825
Algeria,1967,3370000000.0,X,28.0000272,2.9999825
Algeria,1972,7180000000.0,X,28.0000272,2.9999825
Algeria,1977,21000000000.0,X,28.0000272,2.9999825
Algeria,1982,45100000000.0,X,28.0000272,2.9999825
Algeria,1987,64300000000.0,X,28.0000272,2.9999825
Algeria,1992,49100000000.0,X,28.0000272,2.9999825
Algeria,1997,48100000000.0,X,28.0000272,2.9999825
Algeria,2002,56800000000.0,X,28.0000272,2.9999825
Algeria,2007,135000000000.0,X,28.0000272,2.9999825
Algeria,2012,209000000000.0,X,28.0000272,2.9999825
Algeria,2016,160000000000.0,X,28.0000272,2.9999825
Andorra,1972,144000000.0,X,42.5407167,1.5732033
Andorra,1977,321000000.0,X,42.5407167,1.5732033
Andorra,1982,476000000.0,X,42.5407167,1.5732033
Andorra,1987,773000000.0,X,42.5407167,1.5732033
Andorra,1992,1530000000.0,X,42.5407167,1.5732033
Andorra,1997,1490000000.0,X,42.5407167,1.5732033
Andorra,1999,1570000000.0,X,42.5407167,1.5732033
Angola,1997,10200000000.0,X,47.2,13.2
Angola,2002,15300000000.0,X,47.2,13.2
Angola,2007,65300000000.0,X,47.2,13.2
Angola,2012,128000000000.0,X,47.2,13.2
Angola,2017,122000000000.0,X,47.2,13.2
Antigua and Barbuda,1972,56400000.0,X,17.2234721,-61.9554608
Antigua and Barbuda,1977,80800000.0,X,17.2234721,-61.9554608
Antigua and Barbuda,1982,169000000.0,X,17.2234721,-61.9554608
Antigua and Barbuda,1987,337000000.0,X,17.2234721,-61.9554608
Antigua and Barbuda,1992,499000000.0,X,17.2234721,-61.9554608
Antigua and Barbuda,1997,681000000.0,X,17.2234721,-61.9554608
Antigua and Barbuda,2002,814000000.0,X,17.2234721,-61.9554608
Antigua and Barbuda,2007,1310000000.0,X,17.2234721,-61.9554608
Antigua and Barbuda,2012,1200000000.0,X,17.2234721,-61.9554608
Antigua and Barbuda,2017,1470000000.0,X,17.2234721,-61.9554608
Argentina,1962,24500000000.0,X,-34.9964963,-64.9672817
Argentina,1967,24300000000.0,X,-34.9964963,-64.9672817
Argentina,1972,38300000000.0,X,-34.9964963,-64.9672817
Argentina,1977,61700000000.0,X,-34.9964963,-64.9672817
Argentina,1982,87000000000.0,X,-34.9964963,-64.9672817
Argentina,1987,118000000000.0,X,-34.9964963,-64.9672817
Argentina,1992,248000000000.0,X,-34.9964963,-64.9672817
Argentina,1997,318000000000.0,X,-34.9964963,-64.9672817
Argentina,2002,111000000000.0,X,-34.9964963,-64.9672817
Argentina,2007,290000000000.0,X,-34.9964963,-64.9672817
Argentina,2012,581000000000.0,X,-34.9964963,-64.9672817
Argentina,2017,643000000000.0,X,-34.9964963,-64.9672817
Armenia,1992,1250000000.0,X,40.7696272,44.6736646
Armenia,1997,1750000000.0,X,40.7696272,44.6736646
Armenia,2002,2530000000.0,X,40.7696272,44.6736646
Armenia,2007,9820000000.0,X,40.7696272,44.6736646
Armenia,2012,10600000000.0,X,40.7696272,44.6736646
Armenia,2017,11500000000.0,X,40.7696272,44.6736646
Australia,1962,19900000000.0,X,-24.7761086,134.755
Australia,1967,30400000000.0,X,-24.7761086,134.755
Australia,1969,36600000000.0,X,-24.7761086,134.755
Australia,1997,436000000000.0,X,-24.7761086,134.755
Australia,2002,435000000000.0,X,-24.7761086,134.755
Australia,2007,985000000000.0,X,-24.7761086,134.755
Australia,2012,1590000000000.0,X,-24.7761086,134.755
Australia,2013,1540000000000.0,X,-24.7761086,134.755
Austria,1962,7760000000.0,X,47.2,13.2
Austria,1967,11600000000.0,X,47.2,13.2
Austria,1972,22100000000.0,X,47.2,13.2
Austria,1977,51500000000.0,X,47.2,13.2
Austria,1982,71300000000.0,X,47.2,13.2
Austria,1987,124000000000.0,X,47.2,13.2
Austria,1992,195000000000.0,X,47.2,13.2
Austria,1997,213000000000.0,X,47.2,13.2
Austria,2002,213000000000.0,X,47.2,13.2
Austria,2007,389000000000.0,X,47.2,13.2
Austria,2012,409000000000.0,X,47.2,13.2
Austria,2015,382000000000.0,X,47.2,13.2
Azerbaijan,1992,5300000000.0,X,40.3936294,47.7872508
Azerbaijan,1997,3960000000.0,X,40.3936294,47.7872508
Azerbaijan,2001,5710000000.0,X,40.3936294,47.7872508
Azerbaijan,2007,33000000000.0,X,40.3936294,47.7872508
Azerbaijan,2012,69700000000.0,X,40.3936294,47.7872508
Azerbaijan,2017,40900000000.0,X,40.3936294,47.7872508
Bahamas,1962,212000000.0,X,24.7736546,-78.0000547
Bahamas,1967,390000000.0,X,24.7736546,-78.0000547
Bahamas,1972,850000000.0,X,24.7736546,-78.0000547
Bahamas,1977,1290000000.0,X,24.7736546,-78.0000547
Bahamas,1982,2550000000.0,X,24.7736546,-78.0000547
Bahamas,1987,3940000000.0,X,24.7736546,-78.0000547
Bahamas,1992,4680000000.0,X,24.7736546,-78.0000547
Bahamas,1997,6330000000.0,X,24.7736546,-78.0000547
Bahamas,2002,8880000000.0,X,24.7736546,-78.0000547
Bahamas,2007,10600000000.0,X,24.7736546,-78.0000547
Bahamas,2012,10700000000.0,X,24.7736546,-78.0000547
Bahrain,1972,576000000.0,X,44.3053476,17.5961467
Bahrain,1977,2140000000.0,X,44.3053476,17.5961467
Bahrain,1982,4470000000.0,X,44.3053476,17.5961467
Bahrain,1987,3800000000.0,X,44.3053476,17.5961467
Bahrain,1992,5430000000.0,X,44.3053476,17.5961467
Bahrain,1997,7320000000.0,X,44.3053476,17.5961467
Bahrain,2002,9590000000.0,X,44.3053476,17.5961467
Bahrain,2007,21700000000.0,X,44.3053476,17.5961467
Bahrain,2012,30700000000.0,X,44.3053476,17.5961467
Bahrain,2015,31100000000.0,X,44.3053476,17.5961467
Bangladesh,1962,5080000000.0,X,23.5031022,90.00386523825051
Bangladesh,1967,7250000000.0,X,23.5031022,90.00386523825051
Bangladesh,1972,6210000000.0,X,23.5031022,90.00386523825051
Bangladesh,1977,9950000000.0,X,23.5031022,90.00386523825051
Bangladesh,1982,15400000000.0,X,23.5031022,90.00386523825051
Bangladesh,1987,23000000000.0,X,23.5031022,90.00386523825051
Bangladesh,1992,30700000000.0,X,23.5031022,90.00386523825051
Bangladesh,1997,41200000000.0,X,23.5031022,90.00386523825051
Bangladesh,2002,47200000000.0,X,23.5031022,90.00386523825051
Bangladesh,2007,79800000000.0,X,23.5031022,90.00386523825051
Bangladesh,2012,129000000000.0,X,23.5031022,90.00386523825051
Bangladesh,2017,246000000000.0,X,23.5031022,90.00386523825051
Bangladesh,2018,270000000000.0,X,23.5031022,90.00386523825051
Barbados,1962,96900000.0,X,13.1500331,-59.5250305
Barbados,1967,137000000.0,X,13.1500331,-59.5250305
Barbados,1972,280000000.0,X,13.1500331,-59.5250305
Barbados,1977,593000000.0,X,13.1500331,-59.5250305
Barbados,1982,1190000000.0,X,13.1500331,-59.5250305
Barbados,1986,1580000000.0,X,13.1500331,-59.5250305
Barbados,1992,1970000000.0,X,13.1500331,-59.5250305
Barbados,1997,2590000000.0,X,13.1500331,-59.5250305
Barbados,2002,3200000000.0,X,13.1500331,-59.5250305
Barbados,2007,4670000000.0,X,13.1500331,-59.5250305
Barbados,2009,4470000000.0,X,13.1500331,-59.5250305
Belarus,1992,18400000000.0,X,53.4250605,27.6971358
Belarus,1997,14600000000.0,X,53.4250605,27.6971358
Belarus,2002,15100000000.0,X,53.4250605,27.6971358
Belarus,2007,46800000000.0,X,53.4250605,27.6971358
Belarus,2012,65700000000.0,X,53.4250605,27.6971358
Belarus,2017,54700000000.0,X,53.4250605,27.6971358
Belgium,1962,13300000000.0,X,50.6402809,4.6667145
Belgium,1967,20000000000.0,X,50.6402809,4.6667145
Belgium,1972,37200000000.0,X,50.6402809,4.6667145
Belgium,1977,82800000000.0,X,50.6402809,4.6667145
Belgium,1982,92100000000.0,X,50.6402809,4.6667145
Belgium,1987,149000000000.0,X,50.6402809,4.6667145
Belgium,1992,235000000000.0,X,50.6402809,4.6667145
Belgium,1997,253000000000.0,X,50.6402809,4.6667145
Belgium,2002,257000000000.0,X,50.6402809,4.6667145
Belgium,2007,470000000000.0,X,50.6402809,4.6667145
Belgium,2012,496000000000.0,X,50.6402809,4.6667145
Belgium,2015,462000000000.0,X,50.6402809,4.6667145
Belize,1962,31900000.0,X,16.8259793,-88.7600927
