country,year,value,symbol,lat,lon
Angola,2007,0.004,I,47.2,13.2
Angola,2012,0.004,I,47.2,13.2
Angola,2017,0.004,I,47.2,13.2
Angola,2018,0.004,I,47.2,13.2
Bolivia (Plurinational State of),2012,1.417,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2017,1.417,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,1.417,I,-17.0568696,-64.9912286
China,2007,2088.0,I,35.000074,104.999927
China,2012,2088.0,I,35.000074,104.999927
China,2017,2088.0,I,35.000074,104.999927
China,2018,2088.0,I,35.000074,104.999927
Dominican Republic,2007,1.24,I,19.0974031,-70.3028026
Dominican Republic,2012,1.24,I,19.0974031,-70.3028026
Dominican Republic,2017,1.24,I,19.0974031,-70.3028026
Dominican Republic,2018,1.24,I,19.0974031,-70.3028026
Egypt,2002,59.24,OF,26.2540493,29.2675469
Egypt,2007,45.965,I,26.2540493,29.2675469
Egypt,2012,38.0,I,26.2540493,29.2675469
Egypt,2017,38.0,I,26.2540493,29.2675469
Egypt,2018,38.0,I,26.2540493,29.2675469
Ethiopia,2002,5.791,E,10.2116702,38.6521203
Ethiopia,2007,5.791,I,10.2116702,38.6521203
Ethiopia,2012,5.791,I,10.2116702,38.6521203
Ethiopia,2017,5.791,I,10.2116702,38.6521203
Ethiopia,2018,5.791,I,10.2116702,38.6521203
India,2007,1052.0,I,22.3511148,78.6677428
India,2012,1052.0,I,22.3511148,78.6677428
India,2017,1052.0,I,22.3511148,78.6677428
India,2018,1052.0,I,22.3511148,78.6677428
Indonesia,2007,324.0,I,-2.4833826,117.8902853
Indonesia,2012,324.0,I,-2.4833826,117.8902853
Indonesia,2017,324.0,I,-2.4833826,117.8902853
Indonesia,2018,324.0,I,-2.4833826,117.8902853
Iran (Islamic Republic of),2007,647.9,I,32.6475314,54.5643516
Iran (Islamic Republic of),2012,647.9,I,32.6475314,54.5643516
Iran (Islamic Republic of),2017,647.9,I,32.6475314,54.5643516
Iran (Islamic Republic of),2018,647.9,I,32.6475314,54.5643516
Lebanon,2002,0.718,I,33.8750629,35.843409
Lebanon,2007,0.718,I,33.8750629,35.843409
Lebanon,2012,0.718,I,33.8750629,35.843409
Lebanon,2017,0.718,I,33.8750629,35.843409
Lebanon,2018,0.718,I,33.8750629,35.843409
Libya,2002,10.0,I,26.8234472,18.1236723
Libya,2007,10.0,I,26.8234472,18.1236723
Libya,2012,10.0,I,26.8234472,18.1236723
Libya,2017,10.0,I,26.8234472,18.1236723
Libya,2018,10.0,I,26.8234472,18.1236723
Mauritius,2002,0.116,OF,-20.2759451,57.5703566
Mauritius,2007,0.116,I,-20.2759451,57.5703566
Mauritius,2012,0.116,I,-20.2759451,57.5703566
Mauritius,2017,0.116,I,-20.2759451,57.5703566
Mauritius,2018,0.116,I,-20.2759451,57.5703566
Morocco,2002,6.6,I,31.1728205,-7.3362482
Morocco,2007,6.6,I,31.1728205,-7.3362482
Morocco,2012,6.6,I,31.1728205,-7.3362482
Morocco,2017,6.6,I,31.1728205,-7.3362482
Morocco,2018,6.6,I,31.1728205,-7.3362482
Nicaragua,2012,0.91,I,12.6090157,-85.2936911
Nicaragua,2017,0.91,I,12.6090157,-85.2936911
Nicaragua,2018,0.91,I,12.6090157,-85.2936911
Pakistan,2012,9.012,I,30.3308401,71.247499
Pakistan,2017,9.012,I,30.3308401,71.247499
Pakistan,2018,9.012,I,30.3308401,71.247499
Philippines,2007,12.4,I,12.7503486,122.7312101
Philippines,2012,12.4,I,12.7503486,122.7312101
Philippines,2017,12.4,I,12.7503486,122.7312101
Philippines,2018,12.4,I,12.7503486,122.7312101
South Africa,2002,23.6,I,-28.8166236,24.991639
South Africa,2007,23.6,I,-28.8166236,24.991639
South Africa,2012,23.6,I,-28.8166236,24.991639
South Africa,2017,23.6,I,-28.8166236,24.991639
South Africa,2018,23.6,I,-28.8166236,24.991639
South Sudan,2012,0.84,I,7.8699431,29.6667897
South Sudan,2017,0.84,I,7.8699431,29.6667897
South Sudan,2018,0.84,I,7.8699431,29.6667897
Sudan,2012,45.0,I,14.5844444,29.4917691
Sudan,2017,45.0,I,14.5844444,29.4917691
Sudan,2018,45.0,I,14.5844444,29.4917691
Turkey,2007,24.0,I,38.9597594,34.9249653
Turkey,2012,24.0,I,38.9597594,34.9249653
Turkey,2017,24.0,I,38.9597594,34.9249653
Turkey,2018,24.0,I,38.9597594,34.9249653
United States of America,2012,216.5,I,39.7837304,-100.445882
United States of America,2017,216.5,I,39.7837304,-100.445882
United States of America,2018,216.5,I,39.7837304,-100.445882
Viet Nam,2007,139.3,I,13.2904027,108.4265113
Viet Nam,2012,139.3,I,13.2904027,108.4265113
Viet Nam,2017,139.3,I,13.2904027,108.4265113
Viet Nam,2018,139.3,I,13.2904027,108.4265113
Zimbabwe,2002,4.2,I,-18.4554963,29.7468414
Zimbabwe,2007,4.2,I,-18.4554963,29.7468414
Zimbabwe,2012,4.2,I,-18.4554963,29.7468414
Zimbabwe,2017,4.2,I,-18.4554963,29.7468414
Zimbabwe,2018,4.2,I,-18.4554963,29.7468414
