country,year,value,symbol,lat,lon
Afghanistan,1987,0.0,OF,33.7680065,66.2385139
Afghanistan,1992,0.049423077,I,33.7680065,66.2385139
Afghanistan,1997,0.098846154,I,33.7680065,66.2385139
Afghanistan,2002,0.1449,I,33.7680065,66.2385139
Afghanistan,2007,0.1695,I,33.7680065,66.2385139
Afghanistan,2012,0.1695,I,33.7680065,66.2385139
Afghanistan,2017,0.1695,I,33.7680065,66.2385139
Afghanistan,2018,0.1695,I,33.7680065,66.2385139
Albania,1992,0.12548,I,41.000028,19.9999619
Albania,1997,0.18918,I,41.000028,19.9999619
Albania,2002,0.22916,I,41.000028,19.9999619
Albania,2007,0.2115,I,41.000028,19.9999619
Albania,2012,0.16075,I,41.000028,19.9999619
Albania,2016,0.12015,I,41.000028,19.9999619
Algeria,1982,0.128,I,28.0000272,2.9999825
Algeria,1987,0.356,I,28.0000272,2.9999825
Algeria,1992,0.644,I,28.0000272,2.9999825
Algeria,1997,0.554,I,28.0000272,2.9999825
Algeria,2002,0.485833333,I,28.0000272,2.9999825
Algeria,2007,0.450416667,I,28.0000272,2.9999825
Algeria,2012,0.415,E,28.0000272,2.9999825
Algeria,2017,0.191,OF,28.0000272,2.9999825
Algeria,2018,0.191,I,28.0000272,2.9999825
Angola,1987,0.048,OF,47.2,13.2
Angola,1992,0.1005,I,47.2,13.2
Angola,1997,0.153,I,47.2,13.2
Angola,2002,0.20654,I,47.2,13.2
Angola,2007,0.2396,I,47.2,13.2
Angola,2012,0.2396,I,47.2,13.2
Angola,2017,0.2396,I,47.2,13.2
Angola,2018,0.2396,I,47.2,13.2
Antigua and Barbuda,1992,0.001106667,I,17.2234721,-61.9554608
Antigua and Barbuda,1997,0.001373333,I,17.2234721,-61.9554608
Antigua and Barbuda,2002,0.00164,I,17.2234721,-61.9554608
Antigua and Barbuda,2007,0.002,I,17.2234721,-61.9554608
Antigua and Barbuda,2012,0.0025,OF,17.2234721,-61.9554608
Antigua and Barbuda,2017,0.0025,I,17.2234721,-61.9554608
Antigua and Barbuda,2018,0.0025,I,17.2234721,-61.9554608
Argentina,1997,3.09,I,-34.9964963,-64.9672817
Argentina,2002,3.979545455,I,-34.9964963,-64.9672817
Argentina,2007,3.990909091,I,-34.9964963,-64.9672817
Argentina,2012,4.0,I,-34.9964963,-64.9672817
Argentina,2017,4.0,I,-34.9964963,-64.9672817
Argentina,2018,4.0,I,-34.9964963,-64.9672817
Armenia,1997,0.1076,I,40.7696272,44.6736646
Armenia,2002,0.0766,E,40.7696272,44.6736646
Armenia,2007,0.13802,I,40.7696272,44.6736646
Armenia,2012,0.2322,OF,40.7696272,44.6736646
Armenia,2017,0.1224,OF,40.7696272,44.6736646
Australia,2002,2.25325,I,-24.7761086,134.755
Australia,2007,2.475,I,-24.7761086,134.755
Australia,2012,2.688,OF,-24.7761086,134.755
Australia,2015,2.768,OF,-24.7761086,134.755
Austria,1982,2.6848,I,47.2,13.2
Austria,1987,2.8114,I,47.2,13.2
Austria,1992,2.876,I,47.2,13.2
Austria,1997,2.857,X,47.2,13.2
Austria,2002,2.831,I,47.2,13.2
Austria,2007,2.717666667,I,47.2,13.2
Austria,2012,2.695,I,47.2,13.2
Austria,2017,2.695,I,47.2,13.2
Austria,2018,2.695,I,47.2,13.2
Azerbaijan,1992,4.259,OF,40.3936294,47.7872508
Azerbaijan,1997,2.904,OF,40.3936294,47.7872508
Azerbaijan,2002,2.88,OF,40.3936294,47.7872508
Azerbaijan,2007,3.088,OF,40.3936294,47.7872508
Azerbaijan,2012,3.109,OF,40.3936294,47.7872508
Azerbaijan,2014,3.13,OF,40.3936294,47.7872508
Bahrain,1992,0.011584615,I,44.3053476,17.5961467
Bahrain,1997,0.015546154,I,44.3053476,17.5961467
Bahrain,2002,0.019507692,I,44.3053476,17.5961467
Bahrain,2007,0.019936364,I,44.3053476,17.5961467
Bahrain,2012,0.019481818,I,44.3053476,17.5961467
Bahrain,2017,0.0141,I,44.3053476,17.5961467
Bahrain,2018,0.0141,I,44.3053476,17.5961467
Bangladesh,1987,0.225,OF,23.5031022,90.00386523825051
Bangladesh,1992,0.378888889,I,23.5031022,90.00386523825051
Bangladesh,1997,0.501111111,I,23.5031022,90.00386523825051
Bangladesh,2002,0.623333333,I,23.5031022,90.00386523825051
Bangladesh,2007,0.745555556,I,23.5031022,90.00386523825051
Bangladesh,2012,0.77,I,23.5031022,90.00386523825051
Bangladesh,2017,0.77,I,23.5031022,90.00386523825051
Bangladesh,2018,0.77,I,23.5031022,90.00386523825051
Barbados,1997,0.0062,I,13.1500331,-59.5250305
Barbados,2002,0.0062,I,13.1500331,-59.5250305
Barbados,2007,0.0062,I,13.1500331,-59.5250305
Barbados,2012,0.0062,I,13.1500331,-59.5250305
Barbados,2017,0.0062,I,13.1500331,-59.5250305
Barbados,2018,0.0062,I,13.1500331,-59.5250305
Belarus,1997,0.6138,I,53.4250605,27.6971358
Belarus,2002,0.5243,I,53.4250605,27.6971358
Belarus,2007,0.4914,I,53.4250605,27.6971358
Belarus,2012,0.481166667,I,53.4250605,27.6971358
Belarus,2017,0.443,OF,53.4250605,27.6971358
Belgium,1982,7.654133333,I,50.6402809,4.6667145
Belgium,1987,7.599466667,I,50.6402809,4.6667145
Belgium,1992,7.5448,I,50.6402809,4.6667145
Belgium,1997,6.8,X,50.6402809,4.6667145
Belgium,2002,5.964,X,50.6402809,4.6667145
Belgium,2007,5.45,X,50.6402809,4.6667145
Belgium,2012,4.233,I,50.6402809,4.6667145
Belgium,2017,3.21,I,50.6402809,4.6667145
Belgium,2018,3.21,I,50.6402809,4.6667145
Belize,1987,0.0,OF,16.8259793,-88.7600927
Belize,1992,0.008153846,I,16.8259793,-88.7600927
Belize,1997,0.016307692,I,16.8259793,-88.7600927
Belize,2002,0.0212,I,16.8259793,-88.7600927
Belize,2007,0.0212,I,16.8259793,-88.7600927
Belize,2012,0.0212,I,16.8259793,-88.7600927
Belize,2017,0.0212,I,16.8259793,-88.7600927
Belize,2018,0.0212,I,16.8259793,-88.7600927
Benin,1987,0.016875,I,9.5293472,2.2584408
Benin,1992,0.0215625,I,9.5293472,2.2584408
Benin,1997,0.02625,I,9.5293472,2.2584408
Benin,2002,0.03,I,9.5293472,2.2584408
Benin,2007,0.03,I,9.5293472,2.2584408
Benin,2012,0.03,I,9.5293472,2.2584408
Benin,2017,0.03,I,9.5293472,2.2584408
Benin,2018,0.03,I,9.5293472,2.2584408
Bhutan,1987,0.002,OF,27.549511,90.5119273
Bhutan,1992,0.002238095,I,27.549511,90.5119273
Bhutan,1997,0.002476191,I,27.549511,90.5119273
Bhutan,2002,0.002714286,I,27.549511,90.5119273
Bhutan,2007,0.002952381,I,27.549511,90.5119273
Bhutan,2012,0.003,I,27.549511,90.5119273
Bhutan,2017,0.003,I,27.549511,90.5119273
Bhutan,2018,0.003,I,27.549511,90.5119273
Bolivia (Plurinational State of),1987,0.062,OF,-17.0568696,-64.9912286
Bolivia (Plurinational State of),1992,0.055181818,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),1997,0.048363636,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2002,0.041545455,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2007,0.034727273,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2012,0.032,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2017,0.032,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,0.032,I,-17.0568696,-64.9912286
Bosnia and Herzegovina,2002,0.0199,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2007,0.0392,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2012,0.0721,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2017,0.0718,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2018,0.0718,I,44.3053476,17.5961467
Botswana,1992,0.023,OF,-23.1681782,24.5928742
Botswana,1997,0.0305,I,-23.1681782,24.5928742
Botswana,2002,0.03656,I,-23.1681782,24.5928742
Botswana,2007,0.036766667,I,-23.1681782,24.5928742
Botswana,2012,0.0363,OF,-23.1681782,24.5928742
