country,year,value,symbol,lat,lon
Afghanistan,2015,0.099942001,E,33.7680065,66.2385139
Albania,2002,0.367061048,E,41.000028,19.9999619
Albania,2005,0.573765711,E,41.000028,19.9999619
Albania,2009,1.287030564,E,41.000028,19.9999619
Albania,2015,1.616140231,E,41.000028,19.9999619
Algeria,2002,0.343841557,E,28.0000272,2.9999825
Algeria,2006,0.390926034,E,28.0000272,2.9999825
Algeria,2012,0.610153776,E,28.0000272,2.9999825
Algeria,2016,0.914754691,E,28.0000272,2.9999825
Angola,1997,0.178882887,E,47.2,13.2
Angola,2002,0.124109938,E,47.2,13.2
Angola,2007,0.128528772,E,47.2,13.2
Angola,2012,0.145356863,E,47.2,13.2
Angola,2015,0.233278614,E,47.2,13.2
Antigua and Barbuda,1997,0.555446817,E,17.2234721,-61.9554608
Antigua and Barbuda,2002,0.969320832,E,17.2234721,-61.9554608
Antigua and Barbuda,2007,1.610128309,E,17.2234721,-61.9554608
Antigua and Barbuda,2012,1.572938265,E,17.2234721,-61.9554608
Antigua and Barbuda,2015,1.544666448,E,17.2234721,-61.9554608
Argentina,1997,0.080769855,E,-34.9964963,-64.9672817
Argentina,2002,0.109618722,E,-34.9964963,-64.9672817
Armenia,1997,0.260373099,E,40.7696272,44.6736646
Armenia,2002,0.469898826,E,40.7696272,44.6736646
Armenia,2006,0.367412525,E,40.7696272,44.6736646
Armenia,2010,0.540425852,E,40.7696272,44.6736646
Armenia,2016,0.261977333,E,40.7696272,44.6736646
Austria,1997,2.692721573,E,47.2,13.2
Austria,2002,2.138761958,E,47.2,13.2
Austria,2006,2.595413364,E,47.2,13.2
Austria,2015,2.987075669,E,47.2,13.2
Azerbaijan,2009,0.255058903,E,40.3936294,47.7872508
Bahrain,2015,0.657174681,E,44.3053476,17.5961467
Bangladesh,2012,0.65676,E,23.5031022,90.00386523825051
Bangladesh,2015,0.716489804,E,23.5031022,90.00386523825051
Barbados,2015,0.821817763,E,13.1500331,-59.5250305
Belarus,2012,0.077344593,E,53.4250605,27.6971358
Belarus,2017,0.065884784,E,53.4250605,27.6971358
Belgium,2006,0.945965129,E,50.6402809,4.6667145
Belgium,2010,0.783998879,E,50.6402809,4.6667145
Belgium,2015,0.834198062,E,50.6402809,4.6667145
Belize,1997,0.138654904,E,16.8259793,-88.7600927
Belize,2002,0.123585235,E,16.8259793,-88.7600927
Belize,2007,0.147509711,E,16.8259793,-88.7600927
Belize,2012,0.175303822,E,16.8259793,-88.7600927
Belize,2015,0.165873733,E,16.8259793,-88.7600927
Benin,1997,0.078214582,E,9.5293472,2.2584408
Benin,2002,0.090930723,E,9.5293472,2.2584408
Benin,2006,0.237469449,E,9.5293472,2.2584408
Benin,2015,0.261305102,E,9.5293472,2.2584408
Bhutan,2015,0.435276927,E,27.549511,90.5119273
Bolivia (Plurinational State of),2012,0.162845921,E,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2016,0.224815457,E,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,0.248811003,E,-17.0568696,-64.9912286
Botswana,1992,0.030450831,E,-23.1681782,24.5928742
Botswana,1997,0.020897018,E,-23.1681782,24.5928742
Botswana,2002,0.017484403,E,-23.1681782,24.5928742
Botswana,2003,0.028283363,E,-23.1681782,24.5928742
Botswana,2009,0.03488258,E,-23.1681782,24.5928742
Botswana,2015,0.071072809,E,-23.1681782,24.5928742
Brazil,1997,0.18630788,E,-10.3333333,-53.2
Brazil,2002,0.260342306,E,-10.3333333,-53.2
Brazil,2007,0.296992358,E,-10.3333333,-53.2
Brazil,2008,0.304661924,E,-10.3333333,-53.2
Brazil,2015,0.302594942,E,-10.3333333,-53.2
Brunei Darussalam,1997,6.33083029,E,4.4137155,114.5653908
Brunei Darussalam,2002,5.510930791,E,4.4137155,114.5653908
Brunei Darussalam,2006,3.858341436,E,4.4137155,114.5653908
Brunei Darussalam,2009,3.457365086,E,4.4137155,114.5653908
Bulgaria,1997,0.068655142,E,42.6073975,25.4856617
Bulgaria,2002,0.065593964,E,42.6073975,25.4856617
Bulgaria,2007,0.116150949,E,42.6073975,25.4856617
Bulgaria,2015,0.085815827,E,42.6073975,25.4856617
Bulgaria,2018,0.091463475,E,42.6073975,25.4856617
Burkina Faso,1997,0.03564631,E,12.0753083,-1.6880314
Burkina Faso,2002,0.020500994,E,12.0753083,-1.6880314
Burkina Faso,2015,0.053431069,E,12.0753083,-1.6880314
Burundi,2002,0.035895192,E,50.6402809,4.6667145
Burundi,2007,0.042059839,E,50.6402809,4.6667145
Burundi,2012,0.045859187,E,50.6402809,4.6667145
Burundi,2015,0.0463906,E,50.6402809,4.6667145
Cabo Verde,1992,0.270291019,E,16.0000552,-24.0083947
Cabo Verde,1997,0.306559345,E,16.0000552,-24.0083947
Cabo Verde,2002,0.402551552,E,16.0000552,-24.0083947
Cabo Verde,2006,0.355033139,E,16.0000552,-24.0083947
Cabo Verde,2016,0.356249584,E,16.0000552,-24.0083947
Cambodia,2007,0.247689112,E,13.5066394,104.869423
Cambodia,2012,0.354809553,E,13.5066394,104.869423
Cambodia,2015,0.337465126,E,13.5066394,104.869423
Cambodia,2018,0.344112914,E,13.5066394,104.869423
Cameroon,2015,0.041214373,E,4.6125522,13.1535811
Cameroon,2018,0.045376143,E,4.6125522,13.1535811
Canada,2015,0.370737237,E,61.0666922,-107.991707
Central African Republic,2015,0.107692921,E,7.0323598,19.9981227
Chad,1992,0.018773412,E,15.6134137,19.0156172
Chad,1997,0.017840035,E,15.6134137,19.0156172
Chad,2002,0.02029332,E,15.6134137,19.0156172
Chad,2004,0.024843017,E,15.6134137,19.0156172
Chad,2010,0.039339133,E,15.6134137,19.0156172
Chad,2017,0.039689259,E,15.6134137,19.0156172
China,1982,0.196049471,E,35.000074,104.999927
China,1987,0.236335245,E,35.000074,104.999927
China,1992,0.300374035,E,35.000074,104.999927
China,1997,0.47578804,E,35.000074,104.999927
China,2002,0.597428321,E,35.000074,104.999927
China,2007,1.328270059,E,35.000074,104.999927
China,2012,1.715016521,E,35.000074,104.999927
China,2016,2.055704318,E,35.000074,104.999927
Comoros,2015,0.080825047,E,-12.2045176,44.2832964
Congo,2015,0.197372773,E,-0.7264327,15.6419155
