country,year,value,symbol,lat,lon
Algeria,2011,0.42675,I,28.0000272,2.9999825
Algeria,2017,0.496,I,28.0000272,2.9999825
Algeria,2018,0.496,I,28.0000272,2.9999825
Argentina,2012,2.168,I,-34.9964963,-64.9672817
Argentina,2017,2.168,I,-34.9964963,-64.9672817
Argentina,2018,2.168,I,-34.9964963,-64.9672817
Armenia,2007,0.274,I,40.7696272,44.6736646
Armenia,2012,0.274,I,40.7696272,44.6736646
Armenia,2017,0.274,I,40.7696272,44.6736646
Armenia,2018,0.274,I,40.7696272,44.6736646
Australia,2012,0.315,I,-24.7761086,134.755
Australia,2017,0.315,I,-24.7761086,134.755
Australia,2018,0.315,I,-24.7761086,134.755
Austria,2002,0.13035,I,47.2,13.2
Austria,2007,0.2,I,47.2,13.2
Austria,2012,0.02,I,47.2,13.2
Austria,2017,0.02,I,47.2,13.2
Austria,2018,0.02,I,47.2,13.2
Azerbaijan,1997,0.471422222,I,40.3936294,47.7872508
Azerbaijan,2002,0.488033333,I,40.3936294,47.7872508
Azerbaijan,2007,0.498,I,40.3936294,47.7872508
Azerbaijan,2012,0.498,I,40.3936294,47.7872508
Azerbaijan,2017,0.498,I,40.3936294,47.7872508
Azerbaijan,2018,0.498,I,40.3936294,47.7872508
Bahrain,2012,0.072,I,44.3053476,17.5961467
Bahrain,2017,0.072,I,44.3053476,17.5961467
Bahrain,2018,0.072,I,44.3053476,17.5961467
Belarus,1997,0.111,I,53.4250605,27.6971358
Belarus,2002,0.111,I,53.4250605,27.6971358
Belarus,2007,0.111,I,53.4250605,27.6971358
Belarus,2012,0.111,I,53.4250605,27.6971358
Belarus,2017,0.111,I,53.4250605,27.6971358
Belarus,2018,0.111,I,53.4250605,27.6971358
Belgium,2002,0.0439,I,50.6402809,4.6667145
Belgium,2007,0.0439,I,50.6402809,4.6667145
Belgium,2012,0.0439,I,50.6402809,4.6667145
Belgium,2017,0.0439,I,50.6402809,4.6667145
Belgium,2018,0.0439,I,50.6402809,4.6667145
Bolivia (Plurinational State of),1997,0.1022,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2002,0.1022,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2007,0.1022,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2012,0.1022,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2017,0.1022,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,0.1022,I,-17.0568696,-64.9912286
Bosnia and Herzegovina,2007,0.065,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2012,0.0626,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2017,0.0609,I,44.3053476,17.5961467
Bosnia and Herzegovina,2018,0.0609,I,44.3053476,17.5961467
Brazil,1997,2.2358,I,-10.3333333,-53.2
Brazil,2002,5.0048,I,-10.3333333,-53.2
Brazil,2007,7.21,I,-10.3333333,-53.2
Brazil,2012,7.2,I,-10.3333333,-53.2
Brazil,2017,7.2,I,-10.3333333,-53.2
Brazil,2018,7.2,I,-10.3333333,-53.2
Canada,2007,0.795666667,I,61.0666922,-107.991707
Canada,2012,0.981,I,61.0666922,-107.991707
Canada,2017,0.981,I,61.0666922,-107.991707
Canada,2018,0.981,I,61.0666922,-107.991707
Chile,2002,0.6588,I,-31.7613365,-71.3187697
Chile,2007,0.3368,I,-31.7613365,-71.3187697
Chile,2012,0.344,I,-31.7613365,-71.3187697
Chile,2017,0.344,I,-31.7613365,-71.3187697
Chile,2018,0.344,I,-31.7613365,-71.3187697
China,2002,17.98,I,35.000074,104.999927
China,2010,4.925,I,35.000074,104.999927
China,2017,2.49,I,35.000074,104.999927
China,2018,2.49,I,35.000074,104.999927
Colombia,1997,1.960583333,I,4.099917,-72.9088133
Colombia,2002,2.0035,I,4.099917,-72.9088133
Colombia,2007,2.046416667,I,4.099917,-72.9088133
Colombia,2012,1.8,I,4.099917,-72.9088133
Colombia,2017,1.8,I,4.099917,-72.9088133
Colombia,2018,1.8,I,4.099917,-72.9088133
Costa Rica,2002,0.111916667,I,10.2735633,-84.0739102
Costa Rica,2007,0.189458333,I,10.2735633,-84.0739102
Costa Rica,2011,0.251491667,I,10.2735633,-84.0739102
Costa Rica,2017,0.267,I,10.2735633,-84.0739102
Costa Rica,2018,0.267,I,10.2735633,-84.0739102
Croatia,2007,0.0711,OF,45.5643442,17.0118954
Croatia,2012,0.0694,OF,45.5643442,17.0118954
Croatia,2017,0.0954,I,45.5643442,17.0118954
Croatia,2018,0.0954,I,45.5643442,17.0118954
Cuba,1997,0.393,I,23.0131338,-80.8328748
Cuba,2002,0.393,I,23.0131338,-80.8328748
Cuba,2007,0.393,I,23.0131338,-80.8328748
Cuba,2012,0.393,I,23.0131338,-80.8328748
Cuba,2017,0.393,I,23.0131338,-80.8328748
Cuba,2018,0.393,I,23.0131338,-80.8328748
Cyprus,2007,0.004,I,34.9823018,33.1451285
Cyprus,2012,0.004,I,34.9823018,33.1451285
Cyprus,2017,0.004,I,34.9823018,33.1451285
Cyprus,2018,0.004,I,34.9823018,33.1451285
Dominican Republic,2012,0.419,I,19.0974031,-70.3028026
Dominican Republic,2017,0.419,I,19.0974031,-70.3028026
Dominican Republic,2018,0.419,I,19.0974031,-70.3028026
Ecuador,2002,0.473,I,-1.3397668,-79.3666965
Ecuador,2007,0.473,I,-1.3397668,-79.3666965
Ecuador,2012,0.473,I,-1.3397668,-79.3666965
Ecuador,2017,0.473,I,-1.3397668,-79.3666965
Ecuador,2018,0.473,I,-1.3397668,-79.3666965
Egypt,1997,2.82125,I,26.2540493,29.2675469
Egypt,2002,2.4275,I,26.2540493,29.2675469
Egypt,2007,2.03375,I,26.2540493,29.2675469
Egypt,2011,3.3325,I,26.2540493,29.2675469
Egypt,2017,3.065,I,26.2540493,29.2675469
Egypt,2018,3.065,I,26.2540493,29.2675469
El Salvador,2012,0.096,I,13.8000382,-88.9140683
El Salvador,2017,0.096,I,13.8000382,-88.9140683
El Salvador,2018,0.096,I,13.8000382,-88.9140683
Estonia,1997,0.025714286,I,58.71971295,24.507544106789936
Estonia,2002,0.045,I,58.71971295,24.507544106789936
Estonia,2007,0.064285714,I,58.71971295,24.507544106789936
Estonia,2012,0.072,I,58.71971295,24.507544106789936
Estonia,2017,0.072,I,58.71971295,24.507544106789936
Estonia,2018,0.072,I,58.71971295,24.507544106789936
Eswatini,2007,0.003,I,-26.5624806,31.3991317
Eswatini,2012,0.003,I,-26.5624806,31.3991317
Eswatini,2017,0.003,I,-26.5624806,31.3991317
Eswatini,2018,0.003,I,-26.5624806,31.3991317
France,2002,0.568571429,I,46.603354,1.8883335
France,2007,0.111428571,I,46.603354,1.8883335
France,2012,0.02,I,46.603354,1.8883335
France,2017,0.02,I,46.603354,1.8883335
France,2018,0.02,I,46.603354,1.8883335
Germany,2002,0.120666667,I,51.0834196,10.4234469
Germany,2006,0.104666667,I,51.0834196,10.4234469
Germany,2012,0.104,I,51.0834196,10.4234469
Germany,2017,0.104,I,51.0834196,10.4234469
Germany,2018,0.104,I,51.0834196,10.4234469
Ghana,2007,0.258,I,8.0300284,-1.0800271
Ghana,2012,0.258,I,8.0300284,-1.0800271
Ghana,2017,0.258,I,8.0300284,-1.0800271
Ghana,2018,0.258,I,8.0300284,-1.0800271
Greece,2007,0.002,OF,38.9953683,21.9877132
Greece,2012,0.002,I,38.9953683,21.9877132
Greece,2017,0.002,I,38.9953683,21.9877132
Greece,2018,0.002,I,38.9953683,21.9877132
India,1982,2.522636364,I,22.3511148,78.6677428
India,1987,3.435363636,I,22.3511148,78.6677428
India,1992,4.465,I,22.3511148,78.6677428
India,1997,6.248333333,I,22.3511148,78.6677428
India,2002,7.916666667,I,22.3511148,78.6677428
India,2007,8.9965,I,22.3511148,78.6677428
India,2012,11.03,I,22.3511148,78.6677428
India,2017,11.03,I,22.3511148,78.6677428
India,2018,11.03,I,22.3511148,78.6677428
