country,year,value,symbol,lat,lon
Albania,2007,4.2,I,41.000028,19.9999619
Albania,2012,4.2,I,41.000028,19.9999619
Albania,2017,4.2,I,41.000028,19.9999619
Albania,2018,4.2,I,41.000028,19.9999619
Algeria,1987,11.38818182,I,28.0000272,2.9999825
Algeria,1992,28.32909091,I,28.0000272,2.9999825
Algeria,1997,45.27,I,28.0000272,2.9999825
Algeria,2002,62.21090909,I,28.0000272,2.9999825
Algeria,2007,79.15181818,I,28.0000272,2.9999825
Algeria,2012,82.54,I,28.0000272,2.9999825
Algeria,2017,82.54,I,28.0000272,2.9999825
Algeria,2018,82.54,I,28.0000272,2.9999825
Armenia,2007,0.3,I,40.7696272,44.6736646
Armenia,2012,0.3,I,40.7696272,44.6736646
Armenia,2017,0.3,I,40.7696272,44.6736646
Armenia,2018,0.3,I,40.7696272,44.6736646
Australia,2012,273.0,I,-24.7761086,134.755
Australia,2017,300.7,I,-24.7761086,134.755
Australia,2018,300.7,I,-24.7761086,134.755
Austria,2012,8.5,I,47.2,13.2
Austria,2017,8.5,I,47.2,13.2
Austria,2018,8.5,I,47.2,13.2
Azerbaijan,1997,3.212,I,40.3936294,47.7872508
Azerbaijan,2002,7.562,I,40.3936294,47.7872508
Azerbaijan,2007,9.302,I,40.3936294,47.7872508
Azerbaijan,2012,9.302,I,40.3936294,47.7872508
Azerbaijan,2017,9.302,I,40.3936294,47.7872508
Azerbaijan,2018,9.302,I,40.3936294,47.7872508
Bangladesh,2012,25.0,I,23.5031022,90.00386523825051
Bangladesh,2017,25.0,I,23.5031022,90.00386523825051
Bangladesh,2018,25.0,I,23.5031022,90.00386523825051
Bolivia (Plurinational State of),2012,6.276,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2017,6.276,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,6.276,I,-17.0568696,-64.9912286
Burkina Faso,2007,0.111,I,12.0753083,-1.6880314
Burkina Faso,2012,0.111,I,12.0753083,-1.6880314
Burkina Faso,2017,0.111,I,12.0753083,-1.6880314
Burkina Faso,2018,0.111,I,12.0753083,-1.6880314
Canada,2012,465.4,I,61.0666922,-107.991707
Canada,2017,465.4,I,61.0666922,-107.991707
Canada,2018,465.4,I,61.0666922,-107.991707
Chile,2007,8.429,OF,-31.7613365,-71.3187697
Chile,2012,8.429,I,-31.7613365,-71.3187697
Chile,2017,8.429,I,-31.7613365,-71.3187697
Chile,2018,8.429,I,-31.7613365,-71.3187697
China,2007,1352.0,I,35.000074,104.999927
China,2012,1352.0,I,35.000074,104.999927
China,2017,1352.0,I,35.000074,104.999927
China,2018,1352.0,I,35.000074,104.999927
Colombia,2012,34.8,I,4.099917,-72.9088133
Colombia,2017,34.8,I,4.099917,-72.9088133
Colombia,2018,34.8,I,4.099917,-72.9088133
Croatia,2012,0.52,I,45.5643442,17.0118954
Croatia,2017,0.52,I,45.5643442,17.0118954
Croatia,2018,0.52,I,45.5643442,17.0118954
Cyprus,1997,0.591142857,I,34.9823018,33.1451285
Cyprus,2002,1.549714286,I,34.9823018,33.1451285
Cyprus,2007,2.508285714,I,34.9823018,33.1451285
Cyprus,2012,2.7,I,34.9823018,33.1451285
Cyprus,2017,2.7,I,34.9823018,33.1451285
Cyprus,2018,2.7,I,34.9823018,33.1451285
Democratic People's Republic of Korea,1997,331.0,I,40.3736611,127.0870417
Democratic People's Republic of Korea,2002,331.0,I,40.3736611,127.0870417
Democratic People's Republic of Korea,2007,331.0,I,40.3736611,127.0870417
Democratic People's Republic of Korea,2012,331.0,I,40.3736611,127.0870417
Democratic People's Republic of Korea,2017,331.0,I,40.3736611,127.0870417
Democratic People's Republic of Korea,2018,331.0,I,40.3736611,127.0870417
Denmark,2012,7.2,I,55.670249,10.3333283
Denmark,2017,7.2,I,55.670249,10.3333283
Denmark,2018,7.2,I,55.670249,10.3333283
Djibouti,1992,0.002,I,11.8145966,42.8453061
Djibouti,1997,0.002,I,11.8145966,42.8453061
Djibouti,2002,0.002,I,11.8145966,42.8453061
Djibouti,2007,0.002,I,11.8145966,42.8453061
Djibouti,2012,0.002,I,11.8145966,42.8453061
Djibouti,2017,0.002,I,11.8145966,42.8453061
Djibouti,2018,0.002,I,11.8145966,42.8453061
Egypt,1977,1164.2,I,26.2540493,29.2675469
Egypt,1982,1160.6,I,26.2540493,29.2675469
Egypt,1987,1125.64,I,26.2540493,29.2675469
Egypt,1992,957.24,I,26.2540493,29.2675469
Egypt,1997,788.84,I,26.2540493,29.2675469
Egypt,2002,620.44,I,26.2540493,29.2675469
Egypt,2007,452.04,I,26.2540493,29.2675469
Egypt,2012,351.0,I,26.2540493,29.2675469
Egypt,2017,351.0,I,26.2540493,29.2675469
Egypt,2018,351.0,I,26.2540493,29.2675469
El Salvador,2012,0.205,E,13.8000382,-88.9140683
El Salvador,2017,0.205,I,13.8000382,-88.9140683
El Salvador,2018,0.205,I,13.8000382,-88.9140683
Ethiopia,2002,2.895,E,10.2116702,38.6521203
Ethiopia,2007,2.895,I,10.2116702,38.6521203
Ethiopia,2012,2.895,I,10.2116702,38.6521203
Ethiopia,2017,2.895,I,10.2116702,38.6521203
Ethiopia,2018,2.895,I,10.2116702,38.6521203
Finland,2012,2.0,I,63.2467777,25.9209164
Finland,2017,2.0,I,63.2467777,25.9209164
Finland,2018,2.0,I,63.2467777,25.9209164
France,2002,62.97,I,46.603354,1.8883335
France,2007,60.895,I,46.603354,1.8883335
France,2012,60.48,I,46.603354,1.8883335
France,2017,60.48,I,46.603354,1.8883335
France,2018,60.48,I,46.603354,1.8883335
Germany,2007,30.0,I,51.0834196,10.4234469
Germany,2012,30.0,I,51.0834196,10.4234469
Germany,2017,30.0,I,51.0834196,10.4234469
Germany,2018,30.0,I,51.0834196,10.4234469
Greece,2012,31.0,I,38.9953683,21.9877132
Greece,2017,31.0,I,38.9953683,21.9877132
Greece,2018,31.0,I,38.9953683,21.9877132
India,1962,1525.35,I,22.3511148,78.6677428
India,1967,1552.1,I,22.3511148,78.6677428
India,1972,1578.85,I,22.3511148,78.6677428
India,1977,1605.6,I,22.3511148,78.6677428
India,1982,1597.0,I,22.3511148,78.6677428
India,1987,1696.0,OF,22.3511148,78.6677428
India,1992,1676.0,I,22.3511148,78.6677428
India,1997,1355.272727,I,22.3511148,78.6677428
India,2002,959.3636364,I,22.3511148,78.6677428
India,2007,572.6666667,I,22.3511148,78.6677428
India,2012,192.1111111,I,22.3511148,78.6677428
India,2017,116.0,I,22.3511148,78.6677428
India,2018,116.0,I,22.3511148,78.6677428
Iran (Islamic Republic of),2007,0.065,I,32.6475314,54.5643516
Iran (Islamic Republic of),2012,0.065,I,32.6475314,54.5643516
Iran (Islamic Republic of),2017,0.065,I,32.6475314,54.5643516
Iran (Islamic Republic of),2018,0.065,I,32.6475314,54.5643516
Japan,1997,21.575,I,36.5748441,139.2394179
Japan,2002,40.7,I,36.5748441,139.2394179
Japan,2007,56.0,I,36.5748441,139.2394179
Japan,2012,56.0,I,36.5748441,139.2394179
Japan,2017,56.0,I,36.5748441,139.2394179
Japan,2018,56.0,I,36.5748441,139.2394179
Kazakhstan,1997,200.0,I,47.2286086,65.2093197
Kazakhstan,2002,200.0,I,47.2286086,65.2093197
Kazakhstan,2007,200.0,I,47.2286086,65.2093197
Kazakhstan,2012,200.0,I,47.2286086,65.2093197
Kazakhstan,2017,200.0,I,47.2286086,65.2093197
Kazakhstan,2018,200.0,I,47.2286086,65.2093197
Kyrgyzstan,1997,8.268,I,41.5089324,74.724091
Kyrgyzstan,2002,4.048,I,41.5089324,74.724091
Kyrgyzstan,2007,1.516,I,41.5089324,74.724091
Kyrgyzstan,2012,1.516,I,41.5089324,74.724091
Kyrgyzstan,2017,1.516,I,41.5089324,74.724091
