country,year,value,symbol,lat,lon
Argentina,1997,162.9,OF,-34.9964963,-64.9672817
Argentina,2002,162.9,I,-34.9964963,-64.9672817
Argentina,2007,162.9,I,-34.9964963,-64.9672817
Argentina,2012,162.9,I,-34.9964963,-64.9672817
Argentina,2017,162.9,I,-34.9964963,-64.9672817
Argentina,2018,162.9,I,-34.9964963,-64.9672817
Armenia,1997,32.6,I,40.7696272,44.6736646
Armenia,2002,32.6,I,40.7696272,44.6736646
Armenia,2007,32.6,I,40.7696272,44.6736646
Armenia,2012,32.6,I,40.7696272,44.6736646
Armenia,2017,32.6,I,40.7696272,44.6736646
Armenia,2018,32.6,I,40.7696272,44.6736646
Azerbaijan,1997,6.091,I,40.3936294,47.7872508
Azerbaijan,2002,6.091,I,40.3936294,47.7872508
Azerbaijan,2007,6.091,I,40.3936294,47.7872508
Azerbaijan,2012,6.091,I,40.3936294,47.7872508
Azerbaijan,2017,6.091,I,40.3936294,47.7872508
Azerbaijan,2018,6.091,I,40.3936294,47.7872508
Benin,2012,4.625,I,9.5293472,2.2584408
Benin,2017,4.625,I,9.5293472,2.2584408
Benin,2018,4.625,I,9.5293472,2.2584408
Bolivia (Plurinational State of),2012,2.428,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2017,2.428,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,2.428,I,-17.0568696,-64.9912286
Burkina Faso,2012,3.724,I,12.0753083,-1.6880314
Burkina Faso,2017,3.724,I,12.0753083,-1.6880314
Burkina Faso,2018,3.724,I,12.0753083,-1.6880314
Cabo Verde,1987,0.55,I,16.0000552,-24.0083947
Cabo Verde,1992,0.4,I,16.0000552,-24.0083947
Cabo Verde,1997,0.4,I,16.0000552,-24.0083947
Cabo Verde,2002,0.4,I,16.0000552,-24.0083947
Cabo Verde,2007,0.4,I,16.0000552,-24.0083947
Cabo Verde,2012,0.4,I,16.0000552,-24.0083947
Cabo Verde,2017,0.4,I,16.0000552,-24.0083947
Cabo Verde,2018,0.4,I,16.0000552,-24.0083947
China,2007,607.0,I,35.000074,104.999927
China,2012,607.0,I,35.000074,104.999927
China,2017,607.0,I,35.000074,104.999927
China,2018,607.0,I,35.000074,104.999927
Costa Rica,2017,0.224,I,10.2735633,-84.0739102
Costa Rica,2018,0.224,I,10.2735633,-84.0739102
Cuba,2017,34.9,I,23.0131338,-80.8328748
Cuba,2018,34.9,I,23.0131338,-80.8328748
Cyprus,1997,7.479285714,I,34.9823018,33.1451285
Cyprus,2002,7.261428571,I,34.9823018,33.1451285
Cyprus,2007,7.043571429,I,34.9823018,33.1451285
Cyprus,2012,7.0,I,34.9823018,33.1451285
Cyprus,2017,7.0,I,34.9823018,33.1451285
Cyprus,2018,7.0,I,34.9823018,33.1451285
Egypt,2002,3.001,OF,26.2540493,29.2675469
Egypt,2007,99.875375,I,26.2540493,29.2675469
