country,year,value,symbol,lat,lon
Bolivia (Plurinational State of),2012,1.245,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2017,1.245,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,1.245,I,-17.0568696,-64.9912286
Colombia,2012,1.6,I,4.099917,-72.9088133
Colombia,2017,1.6,I,4.099917,-72.9088133
Colombia,2018,1.6,I,4.099917,-72.9088133
Costa Rica,2017,0.001,I,10.2735633,-84.0739102
Costa Rica,2018,0.001,I,10.2735633,-84.0739102
Cuba,2017,6.6,I,23.0131338,-80.8328748
Cuba,2018,6.6,I,23.0131338,-80.8328748
Dominican Republic,2007,23.74,I,19.0974031,-70.3028026
Dominican Republic,2012,23.74,I,19.0974031,-70.3028026
Dominican Republic,2017,23.74,I,19.0974031,-70.3028026
Dominican Republic,2018,23.74,I,19.0974031,-70.3028026
El Salvador,2012,0.37,E,13.8000382,-88.9140683
El Salvador,2017,0.37,I,13.8000382,-88.9140683
El Salvador,2018,0.37,I,13.8000382,-88.9140683
Honduras,2007,6.64,I,15.2572432,-86.0755145
Honduras,2012,13.2,I,15.2572432,-86.0755145
Honduras,2017,13.2,I,15.2572432,-86.0755145
Honduras,2018,13.2,I,15.2572432,-86.0755145
Nicaragua,2012,20.34,I,12.6090157,-85.2936911
Nicaragua,2017,20.34,I,12.6090157,-85.2936911
Nicaragua,2018,20.34,I,12.6090157,-85.2936911
Oman,2007,0.0,I,21.0000287,57.0036901
Oman,2012,0.0,I,21.0000287,57.0036901
Oman,2017,0.0,I,21.0000287,57.0036901
Oman,2018,0.0,I,21.0000287,57.0036901
Venezuela (Bolivarian Republic of),2012,14.6,I,8.0018709,-66.1109318
Venezuela (Bolivarian Republic of),2017,14.6,I,8.0018709,-66.1109318
Venezuela (Bolivarian Republic of),2018,14.6,I,8.0018709,-66.1109318
