country,year,value,symbol,lat,lon
Afghanistan,2007,15.0,I,33.7680065,66.2385139
Afghanistan,2012,15.0,I,33.7680065,66.2385139
Afghanistan,2017,15.0,I,33.7680065,66.2385139
Afghanistan,2018,15.0,I,33.7680065,66.2385139
Albania,2007,2.9,I,41.000028,19.9999619
Albania,2012,2.9,I,41.000028,19.9999619
Albania,2017,2.9,I,41.000028,19.9999619
Albania,2018,2.9,I,41.000028,19.9999619
Algeria,2002,79.0,I,28.0000272,2.9999825
Algeria,2007,79.0,I,28.0000272,2.9999825
Algeria,2012,79.0,I,28.0000272,2.9999825
Algeria,2017,79.0,I,28.0000272,2.9999825
Algeria,2018,79.0,I,28.0000272,2.9999825
Angola,2007,0.203,I,47.2,13.2
Angola,2012,0.203,I,47.2,13.2
Angola,2017,0.203,I,47.2,13.2
Angola,2018,0.203,I,47.2,13.2
Argentina,2012,29.0,I,-34.9964963,-64.9672817
Argentina,2017,29.0,I,-34.9964963,-64.9672817
Argentina,2018,29.0,I,-34.9964963,-64.9672817
Armenia,2007,24.0,I,40.7696272,44.6736646
Armenia,2012,24.0,I,40.7696272,44.6736646
Armenia,2017,24.0,I,40.7696272,44.6736646
Armenia,2018,24.0,I,40.7696272,44.6736646
Austria,1997,4.54,I,47.2,13.2
Austria,2002,4.34,I,47.2,13.2
Austria,2007,3.42,I,47.2,13.2
Austria,2012,3.2,I,47.2,13.2
Austria,2017,3.2,I,47.2,13.2
Austria,2018,3.2,I,47.2,13.2
Azerbaijan,2007,65.8,I,40.3936294,47.7872508
Azerbaijan,2012,65.8,I,40.3936294,47.7872508
Azerbaijan,2017,65.8,I,40.3936294,47.7872508
Azerbaijan,2018,65.8,I,40.3936294,47.7872508
Bangladesh,2012,263.0,I,23.5031022,90.00386523825051
Bangladesh,2017,263.0,I,23.5031022,90.00386523825051
Bangladesh,2018,263.0,I,23.5031022,90.00386523825051
Belarus,2012,2.9,I,53.4250605,27.6971358
Belarus,2017,2.9,I,53.4250605,27.6971358
Belarus,2018,2.9,I,53.4250605,27.6971358
Belgium,2007,1.984,I,50.6402809,4.6667145
Belgium,2012,2.3,I,50.6402809,4.6667145
Belgium,2017,2.3,I,50.6402809,4.6667145
Belgium,2018,2.3,I,50.6402809,4.6667145
Bhutan,1997,0.5,I,27.549511,90.5119273
Bhutan,2002,0.5,I,27.549511,90.5119273
Bhutan,2006,0.5,I,27.549511,90.5119273
Bhutan,2012,0.5,I,27.549511,90.5119273
Bhutan,2017,0.5,I,27.549511,90.5119273
Bhutan,2018,0.5,I,27.549511,90.5119273
Bolivia (Plurinational State of),2012,57.75,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2017,57.75,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,57.75,I,-17.0568696,-64.9912286
Brazil,2007,23.0,I,-10.3333333,-53.2
Brazil,2012,23.0,I,-10.3333333,-53.2
Brazil,2017,23.0,I,-10.3333333,-53.2
Brazil,2018,23.0,I,-10.3333333,-53.2
Bulgaria,2007,3.822,I,42.6073975,25.4856617
Bulgaria,2012,3.7,I,42.6073975,25.4856617
Bulgaria,2017,3.7,I,42.6073975,25.4856617
Bulgaria,2018,3.7,I,42.6073975,25.4856617
Burkina Faso,1997,0.061,OF,12.0753083,-1.6880314
Burkina Faso,2002,0.061,E,12.0753083,-1.6880314
Burkina Faso,2007,0.061,I,12.0753083,-1.6880314
Burkina Faso,2012,0.061,I,12.0753083,-1.6880314
Burkina Faso,2017,0.061,I,12.0753083,-1.6880314
Burkina Faso,2018,0.061,I,12.0753083,-1.6880314
Cabo Verde,2007,0.21,I,16.0000552,-24.0083947
Cabo Verde,2012,0.21,I,16.0000552,-24.0083947
Cabo Verde,2017,0.21,I,16.0000552,-24.0083947
Cabo Verde,2018,0.21,I,16.0000552,-24.0083947
Chile,1997,51.72181818,I,-31.7613365,-71.3187697
Chile,2002,36.78090909,I,-31.7613365,-71.3187697
Chile,2007,21.84,OF,-31.7613365,-71.3187697
Chile,2012,21.84,I,-31.7613365,-71.3187697
Chile,2017,21.84,I,-31.7613365,-71.3187697
Chile,2018,21.84,I,-31.7613365,-71.3187697
Colombia,2012,8.709,I,4.099917,-72.9088133
Colombia,2017,8.709,I,4.099917,-72.9088133
Colombia,2018,8.709,I,4.099917,-72.9088133
Costa Rica,2017,0.123,I,10.2735633,-84.0739102
Costa Rica,2018,0.123,I,10.2735633,-84.0739102
Croatia,2012,1.34,I,45.5643442,17.0118954
Croatia,2017,1.34,I,45.5643442,17.0118954
Croatia,2018,1.34,I,45.5643442,17.0118954
Cuba,2017,5.6,I,23.0131338,-80.8328748
Cuba,2018,5.6,I,23.0131338,-80.8328748
Cyprus,2007,5.51,I,34.9823018,33.1451285
Cyprus,2012,5.51,I,34.9823018,33.1451285
Cyprus,2017,5.51,I,34.9823018,33.1451285
Cyprus,2018,5.51,I,34.9823018,33.1451285
Czechia,2012,2.8,I,49.8167003,15.4749544
Czechia,2017,2.8,I,49.8167003,15.4749544
Czechia,2018,2.8,I,49.8167003,15.4749544
Democratic People's Republic of Korea,1997,86.0,I,40.3736611,127.0870417
Democratic People's Republic of Korea,2002,86.0,I,40.3736611,127.0870417
Democratic People's Republic of Korea,2007,86.0,I,40.3736611,127.0870417
Democratic People's Republic of Korea,2012,86.0,I,40.3736611,127.0870417
Democratic People's Republic of Korea,2017,86.0,I,40.3736611,127.0870417
Democratic People's Republic of Korea,2018,86.0,I,40.3736611,127.0870417
Denmark,2007,24.11,I,55.670249,10.3333283
Denmark,2012,25.0,I,55.670249,10.3333283
Denmark,2017,25.0,I,55.670249,10.3333283
Denmark,2018,25.0,I,55.670249,10.3333283
Dominican Republic,2007,5.485,I,19.0974031,-70.3028026
Dominican Republic,2012,5.485,I,19.0974031,-70.3028026
Dominican Republic,2017,5.485,I,19.0974031,-70.3028026
Dominican Republic,2018,5.485,I,19.0974031,-70.3028026
Ecuador,2002,13.23,I,-1.3397668,-79.3666965
Ecuador,2007,13.23,I,-1.3397668,-79.3666965
Ecuador,2012,13.23,I,-1.3397668,-79.3666965
Ecuador,2017,13.23,I,-1.3397668,-79.3666965
Ecuador,2018,13.23,I,-1.3397668,-79.3666965
Egypt,2002,82.59,OF,26.2540493,29.2675469
Egypt,2007,82.59,I,26.2540493,29.2675469
Egypt,2012,82.59,I,26.2540493,29.2675469
Egypt,2017,82.59,I,26.2540493,29.2675469
Egypt,2018,82.59,I,26.2540493,29.2675469
El Salvador,2012,0.024,E,13.8000382,-88.9140683
El Salvador,2017,0.024,I,13.8000382,-88.9140683
El Salvador,2018,0.024,I,13.8000382,-88.9140683
Estonia,2012,0.025,I,58.71971295,24.507544106789936
Estonia,2017,0.025,I,58.71971295,24.507544106789936
Estonia,2018,0.025,I,58.71971295,24.507544106789936
Eswatini,2002,0.075,E,-26.5624806,31.3991317
Eswatini,2007,0.075,I,-26.5624806,31.3991317
Eswatini,2012,0.075,I,-26.5624806,31.3991317
Eswatini,2017,0.075,I,-26.5624806,31.3991317
Eswatini,2018,0.075,I,-26.5624806,31.3991317
Ethiopia,2002,37.64,E,10.2116702,38.6521203
Ethiopia,2007,37.64,I,10.2116702,38.6521203
Ethiopia,2012,37.64,I,10.2116702,38.6521203
Ethiopia,2017,37.64,I,10.2116702,38.6521203
Ethiopia,2018,37.64,I,10.2116702,38.6521203
Finland,2012,4.7,I,63.2467777,25.9209164
Finland,2017,4.7,I,63.2467777,25.9209164
Finland,2018,4.7,I,63.2467777,25.9209164
France,2002,56.87333333,I,46.603354,1.8883335
France,2007,59.796,I,46.603354,1.8883335
France,2012,60.48,I,46.603354,1.8883335
France,2017,60.48,I,46.603354,1.8883335
France,2018,60.48,I,46.603354,1.8883335
Georgia,2012,9.25,I,41.6809707,44.0287382
Georgia,2017,9.25,I,41.6809707,44.0287382
Georgia,2018,9.25,I,41.6809707,44.0287382
Germany,2007,22.7,I,51.0834196,10.4234469
Germany,2012,22.7,I,51.0834196,10.4234469
Germany,2017,22.7,I,51.0834196,10.4234469
Germany,2018,22.7,I,51.0834196,10.4234469
Greece,1992,18.68666667,I,38.9953683,21.9877132
Greece,1997,18.36,X,38.9953683,21.9877132
Greece,2002,19.53666667,I,38.9953683,21.9877132
Greece,2007,19.314,I,38.9953683,21.9877132
Greece,2012,19.2,I,38.9953683,21.9877132
Greece,2017,19.2,I,38.9953683,21.9877132
Greece,2018,19.2,I,38.9953683,21.9877132
Guatemala,2007,3.087,OF,15.6356088,-89.8988087
Guatemala,2012,3.087,I,15.6356088,-89.8988087
Guatemala,2017,3.087,I,15.6356088,-89.8988087
Guatemala,2018,3.087,I,15.6356088,-89.8988087
Guinea,2002,0.2,I,8.0300284,-1.0800271
Guinea,2007,0.2,I,8.0300284,-1.0800271
Guinea,2012,0.2,I,8.0300284,-1.0800271
Guinea,2017,0.2,I,8.0300284,-1.0800271
Guinea,2018,0.2,I,8.0300284,-1.0800271
Honduras,2012,2.5,I,15.2572432,-86.0755145
Honduras,2017,2.5,I,15.2572432,-86.0755145
Honduras,2018,2.5,I,15.2572432,-86.0755145
Hungary,2007,8.286,I,47.1817585,19.5060937
Hungary,2012,9.3,I,47.1817585,19.5060937
Hungary,2017,9.3,I,47.1817585,19.5060937
Hungary,2018,9.3,I,47.1817585,19.5060937
Indonesia,2007,65.42,I,-2.4833826,117.8902853
Indonesia,2012,65.42,I,-2.4833826,117.8902853
Indonesia,2017,65.42,I,-2.4833826,117.8902853
Indonesia,2018,65.42,I,-2.4833826,117.8902853
Iraq,2012,13.03,I,33.0955793,44.1749775
Iraq,2017,13.03,I,33.0955793,44.1749775
Iraq,2018,13.03,I,33.0955793,44.1749775
Ireland,2002,0.5,I,52.865196,-7.9794599
Ireland,2007,0.5,I,52.865196,-7.9794599
Ireland,2012,0.5,I,52.865196,-7.9794599
Ireland,2017,0.5,I,52.865196,-7.9794599
Ireland,2018,0.5,I,52.865196,-7.9794599
Israel,2007,18.01,I,31.5313113,34.8667654
Israel,2012,18.01,I,31.5313113,34.8667654
