country,year,value,symbol,lat,lon
Afghanistan,1962,65286.0,X,33.7680065,66.2385139
Afghanistan,1967,65286.0,X,33.7680065,66.2385139
Afghanistan,1972,65286.0,X,33.7680065,66.2385139
Afghanistan,1977,65286.0,X,33.7680065,66.2385139
Afghanistan,1982,65286.0,X,33.7680065,66.2385139
Afghanistan,1987,65286.0,X,33.7680065,66.2385139
Afghanistan,1992,65286.0,X,33.7680065,66.2385139
Afghanistan,1997,65286.0,X,33.7680065,66.2385139
Afghanistan,2002,65286.0,X,33.7680065,66.2385139
Afghanistan,2007,65286.0,X,33.7680065,66.2385139
Afghanistan,2012,65286.0,X,33.7680065,66.2385139
Afghanistan,2017,65286.0,E,33.7680065,66.2385139
Afghanistan,2018,65286.0,E,33.7680065,66.2385139
Albania,1962,2875.0,X,41.000028,19.9999619
Albania,1967,2875.0,X,41.000028,19.9999619
Albania,1972,2875.0,X,41.000028,19.9999619
Albania,1977,2875.0,X,41.000028,19.9999619
Albania,1982,2875.0,X,41.000028,19.9999619
Albania,1987,2875.0,X,41.000028,19.9999619
Albania,1992,2875.0,X,41.000028,19.9999619
Albania,1997,2875.0,X,41.000028,19.9999619
Albania,2002,2875.0,X,41.000028,19.9999619
Albania,2007,2875.0,X,41.000028,19.9999619
Albania,2012,2875.0,X,41.000028,19.9999619
Albania,2017,2773.0,E,41.000028,19.9999619
Albania,2018,2773.0,E,41.000028,19.9999619
Algeria,1962,238174.0,X,28.0000272,2.9999825
Algeria,1967,238174.0,X,28.0000272,2.9999825
Algeria,1972,238174.0,X,28.0000272,2.9999825
Algeria,1977,238174.0,X,28.0000272,2.9999825
Algeria,1982,238174.0,X,28.0000272,2.9999825
Algeria,1987,238174.0,X,28.0000272,2.9999825
Algeria,1992,238174.0,X,28.0000272,2.9999825
Algeria,1997,238174.0,X,28.0000272,2.9999825
Algeria,2002,238174.0,X,28.0000272,2.9999825
Algeria,2007,238174.0,X,28.0000272,2.9999825
Algeria,2012,238174.0,X,28.0000272,2.9999825
Algeria,2017,238174.1,E,28.0000272,2.9999825
Algeria,2018,238174.1,E,28.0000272,2.9999825
Andorra,1962,47.0,X,42.5407167,1.5732033
Andorra,1967,47.0,X,42.5407167,1.5732033
Andorra,1972,47.0,X,42.5407167,1.5732033
Andorra,1977,47.0,X,42.5407167,1.5732033
Andorra,1982,47.0,X,42.5407167,1.5732033
Andorra,1987,47.0,X,42.5407167,1.5732033
Andorra,1992,47.0,X,42.5407167,1.5732033
Andorra,1997,47.0,X,42.5407167,1.5732033
Andorra,2002,47.0,X,42.5407167,1.5732033
Andorra,2007,47.0,X,42.5407167,1.5732033
Andorra,2012,47.0,X,42.5407167,1.5732033
Andorra,2017,47.0,E,42.5407167,1.5732033
Andorra,2018,47.0,E,42.5407167,1.5732033
Angola,1962,124670.0,X,47.2,13.2
Angola,1967,124670.0,X,47.2,13.2
Angola,1972,124670.0,X,47.2,13.2
Angola,1977,124670.0,X,47.2,13.2
Angola,1982,124670.0,X,47.2,13.2
Angola,1987,124670.0,X,47.2,13.2
Angola,1992,124670.0,X,47.2,13.2
Angola,1997,124670.0,X,47.2,13.2
Angola,2002,124670.0,X,47.2,13.2
Angola,2007,124670.0,X,47.2,13.2
Angola,2012,124670.0,X,47.2,13.2
Angola,2017,124670.0,E,47.2,13.2
Angola,2018,124670.0,E,47.2,13.2
Antigua and Barbuda,1962,44.0,X,17.2234721,-61.9554608
Antigua and Barbuda,1967,44.0,X,17.2234721,-61.9554608
Antigua and Barbuda,1972,44.0,X,17.2234721,-61.9554608
Antigua and Barbuda,1977,44.0,X,17.2234721,-61.9554608
Antigua and Barbuda,1982,44.0,X,17.2234721,-61.9554608
Antigua and Barbuda,1987,44.0,X,17.2234721,-61.9554608
Antigua and Barbuda,1992,44.0,X,17.2234721,-61.9554608
Antigua and Barbuda,1997,44.0,X,17.2234721,-61.9554608
Antigua and Barbuda,2002,44.0,X,17.2234721,-61.9554608
Antigua and Barbuda,2007,44.0,X,17.2234721,-61.9554608
Antigua and Barbuda,2012,44.0,X,17.2234721,-61.9554608
Antigua and Barbuda,2017,44.0,E,17.2234721,-61.9554608
Antigua and Barbuda,2018,44.0,E,17.2234721,-61.9554608
Argentina,1962,278040.0,X,-34.9964963,-64.9672817
Argentina,1967,278040.0,X,-34.9964963,-64.9672817
Argentina,1972,278040.0,X,-34.9964963,-64.9672817
Argentina,1977,278040.0,X,-34.9964963,-64.9672817
Argentina,1982,278040.0,X,-34.9964963,-64.9672817
Argentina,1987,278040.0,X,-34.9964963,-64.9672817
Argentina,1992,278040.0,X,-34.9964963,-64.9672817
Argentina,1997,278040.0,X,-34.9964963,-64.9672817
Argentina,2002,278040.0,X,-34.9964963,-64.9672817
Argentina,2007,278040.0,X,-34.9964963,-64.9672817
Argentina,2012,278040.0,X,-34.9964963,-64.9672817
Argentina,2017,278040.0,E,-34.9964963,-64.9672817
Argentina,2018,278040.0,E,-34.9964963,-64.9672817
Armenia,1992,2974.0,X,40.7696272,44.6736646
Armenia,1997,2974.0,X,40.7696272,44.6736646
Armenia,2002,2974.0,X,40.7696272,44.6736646
Armenia,2007,2974.0,X,40.7696272,44.6736646
Armenia,2012,2974.0,X,40.7696272,44.6736646
Armenia,2017,2974.0,E,40.7696272,44.6736646
Armenia,2018,2974.0,E,40.7696272,44.6736646
Australia,1962,774122.0,X,-24.7761086,134.755
Australia,1967,774122.0,X,-24.7761086,134.755
Australia,1972,774122.0,X,-24.7761086,134.755
Australia,1977,774122.0,X,-24.7761086,134.755
Australia,1982,774122.0,X,-24.7761086,134.755
Australia,1987,774122.0,X,-24.7761086,134.755
Australia,1992,774122.0,X,-24.7761086,134.755
Australia,1997,774122.0,X,-24.7761086,134.755
Australia,2002,774122.0,X,-24.7761086,134.755
Australia,2007,774122.0,X,-24.7761086,134.755
Australia,2012,774122.0,X,-24.7761086,134.755
Australia,2017,774122.0,E,-24.7761086,134.755
Australia,2018,774122.0,E,-24.7761086,134.755
Austria,1962,8388.0,X,47.2,13.2
Austria,1967,8388.0,X,47.2,13.2
Austria,1972,8388.0,X,47.2,13.2
Austria,1977,8388.0,X,47.2,13.2
Austria,1982,8388.0,X,47.2,13.2
Austria,1987,8388.0,X,47.2,13.2
Austria,1992,8388.0,X,47.2,13.2
Austria,1997,8388.0,X,47.2,13.2
Austria,2002,8388.0,X,47.2,13.2
Austria,2007,8388.0,X,47.2,13.2
Austria,2012,8388.0,X,47.2,13.2
Austria,2017,8387.9,E,47.2,13.2
Austria,2018,8387.9,E,47.2,13.2
Azerbaijan,1992,8660.0,X,40.3936294,47.7872508
Azerbaijan,1997,8660.0,X,40.3936294,47.7872508
Azerbaijan,2002,8660.0,X,40.3936294,47.7872508
Azerbaijan,2007,8660.0,X,40.3936294,47.7872508
Azerbaijan,2012,8660.0,X,40.3936294,47.7872508
Azerbaijan,2017,8660.0,E,40.3936294,47.7872508
Azerbaijan,2018,8660.0,E,40.3936294,47.7872508
Bahamas,1962,1388.0,X,24.7736546,-78.0000547
Bahamas,1967,1388.0,X,24.7736546,-78.0000547
Bahamas,1972,1388.0,X,24.7736546,-78.0000547
Bahamas,1977,1388.0,X,24.7736546,-78.0000547
Bahamas,1982,1388.0,X,24.7736546,-78.0000547
Bahamas,1987,1388.0,X,24.7736546,-78.0000547
Bahamas,1992,1388.0,X,24.7736546,-78.0000547
Bahamas,1997,1388.0,X,24.7736546,-78.0000547
Bahamas,2002,1388.0,X,24.7736546,-78.0000547
Bahamas,2007,1388.0,X,24.7736546,-78.0000547
Bahamas,2012,1388.0,X,24.7736546,-78.0000547
Bahamas,2017,1388.0,E,24.7736546,-78.0000547
Bahamas,2018,1388.0,E,24.7736546,-78.0000547
Bahrain,1962,69.0,X,44.3053476,17.5961467
Bahrain,1967,69.0,X,44.3053476,17.5961467
Bahrain,1972,69.0,X,44.3053476,17.5961467
Bahrain,1977,69.0,X,44.3053476,17.5961467
Bahrain,1982,69.0,X,44.3053476,17.5961467
Bahrain,1987,69.0,X,44.3053476,17.5961467
Bahrain,1992,71.0,X,44.3053476,17.5961467
Bahrain,1997,71.0,X,44.3053476,17.5961467
Bahrain,2002,71.0,X,44.3053476,17.5961467
Bahrain,2007,75.0,X,44.3053476,17.5961467
Bahrain,2012,77.0,X,44.3053476,17.5961467
Bahrain,2017,78.0,E,44.3053476,17.5961467
Bahrain,2018,78.0,E,44.3053476,17.5961467
Bangladesh,1962,14846.0,X,23.5031022,90.00386523825051
Bangladesh,1967,14846.0,X,23.5031022,90.00386523825051
Bangladesh,1972,14846.0,X,23.5031022,90.00386523825051
Bangladesh,1977,14846.0,X,23.5031022,90.00386523825051
Bangladesh,1982,14846.0,X,23.5031022,90.00386523825051
Bangladesh,1987,14846.0,X,23.5031022,90.00386523825051
Bangladesh,1992,14846.0,X,23.5031022,90.00386523825051
Bangladesh,1997,14846.0,X,23.5031022,90.00386523825051
Bangladesh,2002,14846.0,X,23.5031022,90.00386523825051
Bangladesh,2007,14846.0,X,23.5031022,90.00386523825051
Bangladesh,2012,14846.0,X,23.5031022,90.00386523825051
Bangladesh,2017,14797.7,E,23.5031022,90.00386523825051
Bangladesh,2018,14757.0,E,23.5031022,90.00386523825051
Barbados,1962,43.0,X,13.1500331,-59.5250305
Barbados,1967,43.0,X,13.1500331,-59.5250305
Barbados,1972,43.0,X,13.1500331,-59.5250305
Barbados,1977,43.0,X,13.1500331,-59.5250305
Barbados,1982,43.0,X,13.1500331,-59.5250305
Barbados,1987,43.0,X,13.1500331,-59.5250305
Barbados,1992,43.0,X,13.1500331,-59.5250305
Barbados,1997,43.0,X,13.1500331,-59.5250305
Barbados,2002,43.0,X,13.1500331,-59.5250305
Barbados,2007,43.0,X,13.1500331,-59.5250305
Barbados,2012,43.0,X,13.1500331,-59.5250305
Barbados,2017,43.0,E,13.1500331,-59.5250305
Barbados,2018,43.0,E,13.1500331,-59.5250305
Belarus,1992,20760.0,X,53.4250605,27.6971358
Belarus,1997,20760.0,X,53.4250605,27.6971358
Belarus,2002,20760.0,X,53.4250605,27.6971358
Belarus,2007,20760.0,X,53.4250605,27.6971358
Belarus,2012,20760.0,X,53.4250605,27.6971358
Belarus,2017,20760.0,E,53.4250605,27.6971358
Belarus,2018,20760.0,E,53.4250605,27.6971358
Belgium,2002,3053.0,X,50.6402809,4.6667145
Belgium,2007,3053.0,X,50.6402809,4.6667145
Belgium,2012,3053.0,X,50.6402809,4.6667145
Belgium,2017,3053.0,E,50.6402809,4.6667145
Belgium,2018,3053.0,E,50.6402809,4.6667145
Belize,1962,2297.0,X,16.8259793,-88.7600927
Belize,1967,2297.0,X,16.8259793,-88.7600927
Belize,1972,2297.0,X,16.8259793,-88.7600927
Belize,1977,2297.0,X,16.8259793,-88.7600927
Belize,1982,2297.0,X,16.8259793,-88.7600927
Belize,1987,2297.0,X,16.8259793,-88.7600927
Belize,1992,2297.0,X,16.8259793,-88.7600927
Belize,1997,2297.0,X,16.8259793,-88.7600927
Belize,2002,2297.0,X,16.8259793,-88.7600927
Belize,2007,2297.0,X,16.8259793,-88.7600927
Belize,2012,2297.0,X,16.8259793,-88.7600927
Belize,2017,2297.0,E,16.8259793,-88.7600927
Belize,2018,2297.0,E,16.8259793,-88.7600927
Benin,1962,11476.0,X,9.5293472,2.2584408
Benin,1967,11476.0,X,9.5293472,2.2584408
Benin,1972,11476.0,X,9.5293472,2.2584408
Benin,1977,11476.0,X,9.5293472,2.2584408
Benin,1982,11476.0,X,9.5293472,2.2584408
Benin,1987,11476.0,X,9.5293472,2.2584408
Benin,1992,11476.0,X,9.5293472,2.2584408
Benin,1997,11476.0,X,9.5293472,2.2584408
Benin,2002,11476.0,X,9.5293472,2.2584408
Benin,2007,11476.0,X,9.5293472,2.2584408
Benin,2012,11476.0,X,9.5293472,2.2584408
Benin,2017,11476.0,E,9.5293472,2.2584408
Benin,2018,11476.0,E,9.5293472,2.2584408
Bhutan,1962,4700.0,X,27.549511,90.5119273
Bhutan,1967,4700.0,X,27.549511,90.5119273
Bhutan,1972,4700.0,X,27.549511,90.5119273
Bhutan,1977,4700.0,X,27.549511,90.5119273
Bhutan,1982,4700.0,X,27.549511,90.5119273
Bhutan,1987,4700.0,X,27.549511,90.5119273
Bhutan,1992,4700.0,X,27.549511,90.5119273
Bhutan,1997,4008.0,X,27.549511,90.5119273
Bhutan,2002,4008.0,X,27.549511,90.5119273
Bhutan,2007,3839.0,X,27.549511,90.5119273
Bhutan,2012,3839.0,X,27.549511,90.5119273
Bhutan,2017,3839.4,E,27.549511,90.5119273
Bhutan,2018,3839.0,E,27.549511,90.5119273
Bolivia (Plurinational State of),1962,109858.0,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),1967,109858.0,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),1972,109858.0,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),1977,109858.0,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),1982,109858.0,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),1987,109858.0,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),1992,109858.0,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),1997,109858.0,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2002,109858.0,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2007,109858.0,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2012,109858.0,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2017,109858.0,E,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,109858.0,E,-17.0568696,-64.9912286
Bosnia and Herzegovina,1992,5121.0,X,44.3053476,17.5961467
Bosnia and Herzegovina,1997,5121.0,X,44.3053476,17.5961467
Bosnia and Herzegovina,2002,5121.0,X,44.3053476,17.5961467
Bosnia and Herzegovina,2007,5121.0,X,44.3053476,17.5961467
