country,year,value,symbol,lat,lon
Albania,2017,0.0205,OF,41.000028,19.9999619
Albania,2018,0.0205,I,41.000028,19.9999619
Algeria,2011,0.237,I,28.0000272,2.9999825
Algeria,2017,0.4,OF,28.0000272,2.9999825
Algeria,2018,0.4,I,28.0000272,2.9999825
Antigua and Barbuda,1992,0.0002,I,17.2234721,-61.9554608
Antigua and Barbuda,1997,0.0002,I,17.2234721,-61.9554608
Antigua and Barbuda,2002,0.0002,I,17.2234721,-61.9554608
Antigua and Barbuda,2007,0.0002,I,17.2234721,-61.9554608
Antigua and Barbuda,2012,0.0002,I,17.2234721,-61.9554608
Antigua and Barbuda,2017,0.0002,I,17.2234721,-61.9554608
Antigua and Barbuda,2018,0.0002,I,17.2234721,-61.9554608
Argentina,2002,0.14136,I,-34.9964963,-64.9672817
Argentina,2007,0.23426,I,-34.9964963,-64.9672817
Argentina,2012,0.29,I,-34.9964963,-64.9672817
Argentina,2017,0.29,I,-34.9964963,-64.9672817
Argentina,2018,0.29,I,-34.9964963,-64.9672817
Armenia,2002,0.128,OF,40.7696272,44.6736646
Armenia,2007,0.0942,I,40.7696272,44.6736646
Armenia,2012,0.119666667,I,40.7696272,44.6736646
Armenia,2017,0.17,OF,40.7696272,44.6736646
Australia,2012,1.9558,I,-24.7761086,134.755
Australia,2017,2.0,I,-24.7761086,134.755
Australia,2018,2.0,I,-24.7761086,134.755
Austria,2007,0.8,I,47.2,13.2
Austria,2012,1.919,I,47.2,13.2
Austria,2017,1.919,I,47.2,13.2
Austria,2018,1.919,I,47.2,13.2
Azerbaijan,1997,0.109177778,I,40.3936294,47.7872508
Azerbaijan,2002,0.141566667,I,40.3936294,47.7872508
Azerbaijan,2007,0.161,I,40.3936294,47.7872508
Azerbaijan,2012,0.161,I,40.3936294,47.7872508
Azerbaijan,2017,0.161,I,40.3936294,47.7872508
Azerbaijan,2018,0.161,I,40.3936294,47.7872508
Bahrain,1992,0.047933333,I,44.3053476,17.5961467
Bahrain,1997,0.056,OF,44.3053476,17.5961467
Bahrain,2002,0.0596875,I,44.3053476,17.5961467
Bahrain,2007,0.0676,I,44.3053476,17.5961467
Bahrain,2012,0.076,OF,44.3053476,17.5961467
Bahrain,2017,0.1482,I,44.3053476,17.5961467
Bahrain,2018,0.1482,I,44.3053476,17.5961467
Barbados,2007,0.003,I,13.1500331,-59.5250305
Barbados,2012,0.003,I,13.1500331,-59.5250305
Barbados,2017,0.003,I,13.1500331,-59.5250305
Barbados,2018,0.003,I,13.1500331,-59.5250305
Belarus,1997,0.882571429,I,53.4250605,27.6971358
Belarus,2002,0.8682,I,53.4250605,27.6971358
Belarus,2004,0.8534,I,53.4250605,27.6971358
Belarus,2015,0.624,OF,53.4250605,27.6971358
Bolivia (Plurinational State of),1992,0.0336,OF,-17.0568696,-64.9912286
Bolivia (Plurinational State of),1997,0.0336,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2002,0.0336,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2007,0.0336,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2012,0.0336,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2017,0.0336,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,0.0336,I,-17.0568696,-64.9912286
Bosnia and Herzegovina,2007,0.003,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2012,0.003,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2017,0.0484,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2018,0.0541,OF,44.3053476,17.5961467
Botswana,1997,0.0048,I,-23.1681782,24.5928742
Botswana,2002,0.008,I,-23.1681782,24.5928742
Botswana,2007,0.008,I,-23.1681782,24.5928742
Botswana,2012,0.008,I,-23.1681782,24.5928742
Botswana,2017,0.008,I,-23.1681782,24.5928742
Botswana,2018,0.008,I,-23.1681782,24.5928742
Brazil,1997,0.984177778,I,-10.3333333,-53.2
Brazil,2002,1.481566667,I,-10.3333333,-53.2
Brazil,2007,2.805,I,-10.3333333,-53.2
Brazil,2008,3.1,OF,-10.3333333,-53.2
Burkina Faso,2012,0.0014,I,12.0753083,-1.6880314
Burkina Faso,2017,0.0014,I,12.0753083,-1.6880314
Burkina Faso,2018,0.0014,I,12.0753083,-1.6880314
Cambodia,1997,0.0002,I,13.5066394,104.869423
Cambodia,2002,0.0002,I,13.5066394,104.869423
Cambodia,2007,0.0002,I,13.5066394,104.869423
Cambodia,2012,0.0002,I,13.5066394,104.869423
Cambodia,2017,0.0002,I,13.5066394,104.869423
Cambodia,2018,0.0002,I,13.5066394,104.869423
Canada,2007,5.352,I,61.0666922,-107.991707
Canada,2012,5.528,I,61.0666922,-107.991707
Canada,2016,5.574,OF,61.0666922,-107.991707
Canada,2018,5.804,I,61.0666922,-107.991707
Chile,2002,0.38331,I,-31.7613365,-71.3187697
Chile,2007,0.66716,I,-31.7613365,-71.3187697
Chile,2012,0.768,I,-31.7613365,-71.3187697
Chile,2017,0.768,I,-31.7613365,-71.3187697
Chile,2018,0.768,I,-31.7613365,-71.3187697
China,2002,5.785,I,35.000074,104.999927
China,2007,19.03,OF,35.000074,104.999927
China,2012,42.37,OF,35.000074,104.999927
China,2017,49.31,I,35.000074,104.999927
China,2018,49.31,I,35.000074,104.999927
Colombia,1997,0.143,I,4.099917,-72.9088133
Colombia,2002,0.148,I,4.099917,-72.9088133
Colombia,2007,0.153,I,4.099917,-72.9088133
Colombia,2012,0.154,I,4.099917,-72.9088133
Colombia,2017,0.154,I,4.099917,-72.9088133
Colombia,2018,0.154,I,4.099917,-72.9088133
Congo,1992,0.0,OF,-0.7264327,15.6419155
Congo,1997,0.0,I,-0.7264327,15.6419155
Congo,2002,0.0,I,-0.7264327,15.6419155
Congo,2007,0.0,I,-0.7264327,15.6419155
Congo,2012,0.0,I,-0.7264327,15.6419155
Congo,2017,0.0,I,-0.7264327,15.6419155
Congo,2018,0.0,I,-0.7264327,15.6419155
Costa Rica,2002,0.012083333,I,10.2735633,-84.0739102
Costa Rica,2007,0.029541667,I,10.2735633,-84.0739102
Costa Rica,2011,0.043508333,I,10.2735633,-84.0739102
Cote d'Ivoire,1997,0.0001,I,7.9897371,-5.5679458
Cote d'Ivoire,2002,0.0001,I,7.9897371,-5.5679458
Cote d'Ivoire,2007,0.0001,I,7.9897371,-5.5679458
Cote d'Ivoire,2012,0.0001,I,7.9897371,-5.5679458
Cote d'Ivoire,2017,0.0001,I,7.9897371,-5.5679458
Cote d'Ivoire,2018,0.0001,I,7.9897371,-5.5679458
Croatia,2007,0.14,OF,45.5643442,17.0118954
Croatia,2016,0.2752,OF,45.5643442,17.0118954
Cuba,1997,0.137384615,I,23.0131338,-80.8328748
Cuba,2002,0.184692308,I,23.0131338,-80.8328748
Cuba,2007,0.232,OF,23.0131338,-80.8328748
Cuba,2012,0.223,I,23.0131338,-80.8328748
Cuba,2017,0.223,I,23.0131338,-80.8328748
Cuba,2018,0.223,I,23.0131338,-80.8328748
Cyprus,2007,0.02,OF,34.9823018,33.1451285
Cyprus,2012,0.02555,I,34.9823018,33.1451285
Cyprus,2017,0.0302,OF,34.9823018,33.1451285
Czechia,2016,0.2941,OF,49.8167003,15.4749544
Dominican Republic,2012,0.008,I,19.0974031,-70.3028026
Dominican Republic,2017,0.008,I,19.0974031,-70.3028026
Dominican Republic,2018,0.008,I,19.0974031,-70.3028026
Ecuador,2002,0.158,I,-1.3397668,-79.3666965
Ecuador,2007,0.158,I,-1.3397668,-79.3666965
Ecuador,2012,0.158,I,-1.3397668,-79.3666965
Ecuador,2017,0.158,I,-1.3397668,-79.3666965
Ecuador,2018,0.158,I,-1.3397668,-79.3666965
Egypt,1992,0.65,OF,26.2540493,29.2675469
Egypt,1997,0.9925,I,26.2540493,29.2675469
Egypt,2001,1.885,I,26.2540493,29.2675469
Egypt,2007,1.9,I,26.2540493,29.2675469
Egypt,2011,3.7065,I,26.2540493,29.2675469
Egypt,2017,4.282,OF,26.2540493,29.2675469
Egypt,2018,4.282,I,26.2540493,29.2675469
El Salvador,2012,0.001,I,13.8000382,-88.9140683
El Salvador,2017,0.001,I,13.8000382,-88.9140683
El Salvador,2018,0.001,I,13.8000382,-88.9140683
Estonia,1997,0.367857143,I,58.71971295,24.507544106789936
Estonia,2002,0.3425,I,58.71971295,24.507544106789936
Estonia,2007,0.317142857,I,58.71971295,24.507544106789936
Estonia,2012,0.23438,I,58.71971295,24.507544106789936
Estonia,2017,0.113346667,I,58.71971295,24.507544106789936
Eswatini,2002,0.009,OF,-26.5624806,31.3991317
Eswatini,2007,0.009,I,-26.5624806,31.3991317
Eswatini,2012,0.009,I,-26.5624806,31.3991317
Eswatini,2017,0.009,I,-26.5624806,31.3991317
Eswatini,2018,0.009,I,-26.5624806,31.3991317
Ethiopia,2002,0.0,E,10.2116702,38.6521203
Ethiopia,2007,0.0,I,10.2116702,38.6521203
Ethiopia,2012,0.0,I,10.2116702,38.6521203
