country,year,value,symbol,lat,lon
Bolivia (Plurinational State of),2012,0.0157,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2017,0.0157,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,0.0157,I,-17.0568696,-64.9912286
India,1987,1.23,I,22.3511148,78.6677428
India,1992,1.23,I,22.3511148,78.6677428
India,1997,1.23,I,22.3511148,78.6677428
India,2002,1.23,I,22.3511148,78.6677428
India,2007,1.23,I,22.3511148,78.6677428
India,2012,1.23,I,22.3511148,78.6677428
India,2017,1.23,I,22.3511148,78.6677428
India,2018,1.23,I,22.3511148,78.6677428
Iran (Islamic Republic of),2007,0.244,I,32.6475314,54.5643516
Iran (Islamic Republic of),2012,0.244,I,32.6475314,54.5643516
Iran (Islamic Republic of),2017,0.244,I,32.6475314,54.5643516
Iran (Islamic Republic of),2018,0.244,I,32.6475314,54.5643516
Iraq,2012,1.03,OF,33.0955793,44.1749775
Iraq,2017,1.03,I,33.0955793,44.1749775
Iraq,2018,1.03,I,33.0955793,44.1749775
Mexico,2007,4.33,I,22.5000485,-100.000037
Mexico,2012,4.33,I,22.5000485,-100.000037
Mexico,2017,4.33,I,22.5000485,-100.000037
Mexico,2018,4.33,I,22.5000485,-100.000037
Morocco,2007,0.036857143,I,31.1728205,-7.3362482
Morocco,2012,0.012,I,31.1728205,-7.3362482
Morocco,2017,0.012,I,31.1728205,-7.3362482
Morocco,2018,0.012,I,31.1728205,-7.3362482
Pakistan,2007,1.022,I,30.3308401,71.247499
Pakistan,2012,1.022,I,30.3308401,71.247499
Pakistan,2017,1.022,I,30.3308401,71.247499
Pakistan,2018,1.022,I,30.3308401,71.247499
Syrian Arab Republic,2012,0.416,I,34.6401861,39.0494106
Syrian Arab Republic,2017,0.416,I,34.6401861,39.0494106
Syrian Arab Republic,2018,0.416,I,34.6401861,39.0494106
Tunisia,2007,0.04428,I,33.8439408,9.400138
Tunisia,2012,0.0466,I,33.8439408,9.400138
Tunisia,2017,0.0466,I,33.8439408,9.400138
Tunisia,2018,0.0466,I,33.8439408,9.400138
