country,year,value,symbol,lat,lon
Afghanistan,1967,2715.0,E,33.7680065,66.2385139
Afghanistan,1972,2808.076923,I,33.7680065,66.2385139
Afghanistan,1977,2901.153846,I,33.7680065,66.2385139
Afghanistan,1982,2994.230769,I,33.7680065,66.2385139
Afghanistan,1987,3087.307692,I,33.7680065,66.2385139
Afghanistan,1992,3180.384615,I,33.7680065,66.2385139
Afghanistan,1997,3203.0,I,33.7680065,66.2385139
Afghanistan,2002,3208.0,E,33.7680065,66.2385139
Afghanistan,2007,3208.0,I,33.7680065,66.2385139
Afghanistan,2012,3208.0,I,33.7680065,66.2385139
Afghanistan,2017,3208.0,I,33.7680065,66.2385139
Afghanistan,2018,3208.0,I,33.7680065,66.2385139
Albania,1992,397.026,E,41.000028,19.9999619
Albania,1997,397.026,E,41.000028,19.9999619
Albania,2002,346.0,E,41.000028,19.9999619
Albania,2007,397.026,E,41.000028,19.9999619
Albania,2012,346.0,E,41.000028,19.9999619
Albania,2017,397.026,E,41.000028,19.9999619
Albania,2018,397.026,E,41.000028,19.9999619
Algeria,1992,555.5,E,28.0000272,2.9999825
Algeria,1997,563.25,I,28.0000272,2.9999825
Algeria,2002,625.6142857,I,28.0000272,2.9999825
Algeria,2007,906.4357143,I,28.0000272,2.9999825
Algeria,2012,1229.9,E,28.0000272,2.9999825
Algeria,2017,1365.0,E,28.0000272,2.9999825
Algeria,2018,1365.0,E,28.0000272,2.9999825
Andorra,2002,0.15,I,42.5407167,1.5732033
Andorra,2007,0.15,I,42.5407167,1.5732033
Andorra,2012,0.15,I,42.5407167,1.5732033
Andorra,2017,0.15,I,42.5407167,1.5732033
Andorra,2018,0.15,I,42.5407167,1.5732033
Angola,1977,80.36866667,I,47.2,13.2
Angola,1982,81.29033333,I,47.2,13.2
Angola,1987,82.212,I,47.2,13.2
Angola,1992,83.13366667,I,47.2,13.2
Angola,1997,84.05533333,I,47.2,13.2
Angola,2002,84.977,I,47.2,13.2
Angola,2007,85.53,I,47.2,13.2
Angola,2012,85.53,I,47.2,13.2
Angola,2017,85.53,I,47.2,13.2
Angola,2018,85.53,I,47.2,13.2
Antigua and Barbuda,1997,0.13,E,17.2234721,-61.9554608
Antigua and Barbuda,2002,0.204852941,I,17.2234721,-61.9554608
Antigua and Barbuda,2007,0.279705882,I,17.2234721,-61.9554608
Antigua and Barbuda,2012,0.354558824,I,17.2234721,-61.9554608
Antigua and Barbuda,2017,0.3845,I,17.2234721,-61.9554608
Antigua and Barbuda,2018,0.3845,I,17.2234721,-61.9554608
Argentina,1992,1614.081677,E,-34.9964963,-64.9672817
Argentina,1997,1812.671273,E,-34.9964963,-64.9672817
Argentina,2002,2138.26087,E,-34.9964963,-64.9672817
Argentina,2007,2259.782609,E,-34.9964963,-64.9672817
Argentina,2012,2357.0,I,-34.9964963,-64.9672817
Argentina,2017,2357.0,I,-34.9964963,-64.9672817
Argentina,2018,2357.0,I,-34.9964963,-64.9672817
Armenia,1992,275.8,E,40.7696272,44.6736646
Armenia,1997,284.5,E,40.7696272,44.6736646
Armenia,2002,273.5,E,40.7696272,44.6736646
Armenia,2007,255.9777778,I,40.7696272,44.6736646
Armenia,2012,168.3666667,I,40.7696272,44.6736646
Armenia,2017,97.5,E,40.7696272,44.6736646
Australia,1992,2059.2,I,-24.7761086,134.755
Australia,1997,2393.6,I,-24.7761086,134.755
Australia,2002,2491.333333,I,-24.7761086,134.755
Australia,2007,2506.19,I,-24.7761086,134.755
Australia,2012,2307.14,I,-24.7761086,134.755
Australia,2017,2243.7,E,-24.7761086,134.755
Australia,2018,2298.2,E,-24.7761086,134.755
Austria,1997,96.26,E,47.2,13.2
Austria,2002,91.99333333,I,47.2,13.2
Austria,2007,117.0,E,47.2,13.2
Austria,2009,100.3133333,I,47.2,13.2
Austria,2017,99.76,I,47.2,13.2
Austria,2018,99.76,I,47.2,13.2
Azerbaijan,1992,1450.0,OF,40.3936294,47.7872508
Azerbaijan,1997,1441.0,E,40.3936294,47.7872508
Azerbaijan,2002,1426.0,OF,40.3936294,47.7872508
Azerbaijan,2007,1433.0,E,40.3936294,47.7872508
Azerbaijan,2012,1428.0,E,40.3936294,47.7872508
Azerbaijan,2014,1439.0,E,40.3936294,47.7872508
Bahamas,1997,1.0,I,24.7736546,-78.0000547
Bahamas,2002,1.0,I,24.7736546,-78.0000547
Bahamas,2007,1.0,I,24.7736546,-78.0000547
Bahamas,2012,1.0,E,24.7736546,-78.0000547
