country,year,value,symbol,lat,lon
Algeria,2002,45.41142857,I,28.0000272,2.9999825
Algeria,2007,42.46857143,I,28.0000272,2.9999825
Algeria,2012,41.88,I,28.0000272,2.9999825
Algeria,2017,41.88,I,28.0000272,2.9999825
Algeria,2018,41.88,I,28.0000272,2.9999825
Angola,1972,3.5,OF,47.2,13.2
Angola,1977,3.5,I,47.2,13.2
Angola,1982,3.5,I,47.2,13.2
Angola,1987,3.5,I,47.2,13.2
Angola,1992,3.5,I,47.2,13.2
Angola,1997,3.5,I,47.2,13.2
Angola,2002,3.5,I,47.2,13.2
Angola,2007,3.5,I,47.2,13.2
Angola,2012,3.5,I,47.2,13.2
Angola,2017,3.5,I,47.2,13.2
Angola,2018,3.5,I,47.2,13.2
Argentina,2012,22.0,I,-34.9964963,-64.9672817
Argentina,2017,22.0,I,-34.9964963,-64.9672817
Argentina,2018,22.0,I,-34.9964963,-64.9672817
Austria,1997,0.0,I,47.2,13.2
Austria,2002,0.0,I,47.2,13.2
Austria,2007,0.0,I,47.2,13.2
Austria,2012,0.0,I,47.2,13.2
Austria,2017,0.0,I,47.2,13.2
Austria,2018,0.0,I,47.2,13.2
Bolivia (Plurinational State of),2012,3.271,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2017,3.271,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,3.271,I,-17.0568696,-64.9912286
Botswana,1992,0.192818182,I,-23.1681782,24.5928742
Botswana,1997,0.256909091,I,-23.1681782,24.5928742
Botswana,2002,0.321,OF,-23.1681782,24.5928742
Botswana,2007,0.321,I,-23.1681782,24.5928742
Botswana,2012,0.321,I,-23.1681782,24.5928742
Botswana,2017,0.321,I,-23.1681782,24.5928742
Botswana,2018,0.321,I,-23.1681782,24.5928742
Brazil,2007,157.5,I,-10.3333333,-53.2
Brazil,2012,157.5,I,-10.3333333,-53.2
Brazil,2017,157.5,I,-10.3333333,-53.2
Brazil,2018,157.5,I,-10.3333333,-53.2
Cambodia,2007,1.244,I,13.5066394,104.869423
Cambodia,2012,1.244,I,13.5066394,104.869423
Cambodia,2017,1.244,I,13.5066394,104.869423
Cambodia,2018,1.244,I,13.5066394,104.869423
Chile,2007,16.59,OF,-31.7613365,-71.3187697
Chile,2012,16.59,I,-31.7613365,-71.3187697
Chile,2017,16.59,I,-31.7613365,-71.3187697
Chile,2018,16.59,I,-31.7613365,-71.3187697
China,2007,459.0,I,35.000074,104.999927
China,2012,459.0,I,35.000074,104.999927
China,2017,459.0,I,35.000074,104.999927
China,2018,459.0,I,35.000074,104.999927
Costa Rica,2017,0.193,I,10.2735633,-84.0739102
Costa Rica,2018,0.193,I,10.2735633,-84.0739102
Croatia,2012,1.49,I,45.5643442,17.0118954
Croatia,2017,1.49,I,45.5643442,17.0118954
Croatia,2018,1.49,I,45.5643442,17.0118954
Cuba,2011,17.6,I,23.0131338,-80.8328748
Cuba,2017,18.8,I,23.0131338,-80.8328748
Cuba,2018,18.8,I,23.0131338,-80.8328748
Cyprus,2007,4.86,I,34.9823018,33.1451285
Cyprus,2012,4.86,I,34.9823018,33.1451285
Cyprus,2017,4.86,I,34.9823018,33.1451285
Cyprus,2018,4.86,I,34.9823018,33.1451285
Denmark,2007,0.0,I,55.670249,10.3333283
Denmark,2012,0.0,I,55.670249,10.3333283
Denmark,2017,0.0,I,55.670249,10.3333283
Denmark,2018,0.0,I,55.670249,10.3333283
Ecuador,2002,7.889,I,-1.3397668,-79.3666965
Ecuador,2007,7.889,I,-1.3397668,-79.3666965
Ecuador,2012,7.889,I,-1.3397668,-79.3666965
Ecuador,2017,7.889,I,-1.3397668,-79.3666965
Ecuador,2018,7.889,I,-1.3397668,-79.3666965
Egypt,2002,145.4,OF,26.2540493,29.2675469
Egypt,2007,152.65,I,26.2540493,29.2675469
Egypt,2012,157.0,I,26.2540493,29.2675469
Egypt,2017,157.0,I,26.2540493,29.2675469
Egypt,2018,157.0,I,26.2540493,29.2675469
El Salvador,1992,1.406666667,I,13.8000382,-88.9140683
El Salvador,1997,1.2125,I,13.8000382,-88.9140683
El Salvador,2002,1.018333333,I,13.8000382,-88.9140683
El Salvador,2007,0.824166667,I,13.8000382,-88.9140683
El Salvador,2012,0.63,E,13.8000382,-88.9140683
El Salvador,2017,0.63,I,13.8000382,-88.9140683
El Salvador,2018,0.63,I,13.8000382,-88.9140683
Eswatini,1997,3.442375,I,-26.5624806,31.3991317
Eswatini,2002,2.513,E,-26.5624806,31.3991317
Eswatini,2007,2.513,I,-26.5624806,31.3991317
Eswatini,2012,2.513,I,-26.5624806,31.3991317
Eswatini,2017,2.513,I,-26.5624806,31.3991317
Eswatini,2018,2.513,I,-26.5624806,31.3991317
Ethiopia,2002,5.828,E,10.2116702,38.6521203
Ethiopia,2007,5.828,I,10.2116702,38.6521203
Ethiopia,2012,5.828,I,10.2116702,38.6521203
Ethiopia,2017,5.828,I,10.2116702,38.6521203
Ethiopia,2018,5.828,I,10.2116702,38.6521203
France,2002,2.286666667,I,46.603354,1.8883335
France,2007,2.23,I,46.603354,1.8883335
France,2012,2.23,I,46.603354,1.8883335
France,2017,2.23,I,46.603354,1.8883335
France,2018,2.23,I,46.603354,1.8883335
Georgia,2012,3.6,I,41.6809707,44.0287382
Georgia,2017,3.6,I,41.6809707,44.0287382
Georgia,2018,3.6,I,41.6809707,44.0287382
Greece,1992,47.77666667,I,38.9953683,21.9877132
Greece,1997,46.15,X,38.9953683,21.9877132
Greece,2002,49.99333333,I,38.9953683,21.9877132
Greece,2007,49.204,I,38.9953683,21.9877132
Greece,2012,48.6,I,38.9953683,21.9877132
Greece,2017,48.6,I,38.9953683,21.9877132
Greece,2018,48.6,I,38.9953683,21.9877132
Guatemala,2007,12.32,OF,15.6356088,-89.8988087
Guatemala,2012,12.32,I,15.6356088,-89.8988087
Guatemala,2017,12.32,I,15.6356088,-89.8988087
Guatemala,2018,12.32,I,15.6356088,-89.8988087
Guyana,2012,2.0,I,4.8417097,-58.6416891
Guyana,2017,2.0,I,4.8417097,-58.6416891
Guyana,2018,2.0,I,4.8417097,-58.6416891
Haiti,2012,8.0,I,19.1399952,-72.3570972
Haiti,2017,8.0,I,19.1399952,-72.3570972
Haiti,2018,8.0,I,19.1399952,-72.3570972
Honduras,2007,6.0,I,15.2572432,-86.0755145
Honduras,2012,6.0,I,15.2572432,-86.0755145
Honduras,2017,6.0,I,15.2572432,-86.0755145
Honduras,2018,6.0,I,15.2572432,-86.0755145
Hungary,2007,0.0,I,47.1817585,19.5060937
Hungary,2012,0.0,I,47.1817585,19.5060937
Hungary,2017,0.0,I,47.1817585,19.5060937
Hungary,2018,0.0,I,47.1817585,19.5060937
Iceland,2012,0.284,OF,64.9841821,-18.1059013
Iceland,2017,0.261,I,64.9841821,-18.1059013
Iceland,2018,0.261,I,64.9841821,-18.1059013
Iran (Islamic Republic of),2007,213.3,I,32.6475314,54.5643516
Iran (Islamic Republic of),2012,213.3,I,32.6475314,54.5643516
Iran (Islamic Republic of),2017,213.3,I,32.6475314,54.5643516
Iran (Islamic Republic of),2018,213.3,I,32.6475314,54.5643516
Iraq,2012,32.0,I,33.0955793,44.1749775
Iraq,2017,32.0,I,33.0955793,44.1749775
Iraq,2018,32.0,I,33.0955793,44.1749775
Israel,2007,16.31,I,31.5313113,34.8667654
Israel,2012,16.31,I,31.5313113,34.8667654
Israel,2017,16.31,I,31.5313113,34.8667654
Israel,2018,16.31,I,31.5313113,34.8667654
Italy,1992,148.4333333,I,42.6384261,12.674297
Italy,1997,125.7,I,42.6384261,12.674297
Italy,2002,119.2666667,I,42.6384261,12.674297
Italy,2007,122.82,I,42.6384261,12.674297
Italy,2012,122.6,I,42.6384261,12.674297
Italy,2017,122.6,I,42.6384261,12.674297
Italy,2018,122.6,I,42.6384261,12.674297
Jamaica,2012,8.0,I,18.1850507,-77.3947693
Jamaica,2017,8.0,I,18.1850507,-77.3947693
Jamaica,2018,8.0,I,18.1850507,-77.3947693
Jordan,2007,6.638,I,31.1667049,36.941628
Jordan,2012,6.638,I,31.1667049,36.941628
Jordan,2017,6.638,I,31.1667049,36.941628
Jordan,2018,6.638,I,31.1667049,36.941628
Kenya,1992,5.077692308,I,1.4419683,38.4313975
Kenya,1997,5.496923077,I,1.4419683,38.4313975
Kenya,2002,5.916153846,I,1.4419683,38.4313975
Kenya,2007,7.142857143,I,1.4419683,38.4313975
Kenya,2012,8.0,I,1.4419683,38.4313975
Kenya,2017,8.0,I,1.4419683,38.4313975
Kenya,2018,8.0,I,1.4419683,38.4313975
Lao People's Democratic Republic,2007,15.0,I,20.0171109,103.378253
Lao People's Democratic Republic,2012,15.0,I,20.0171109,103.378253
Lao People's Democratic Republic,2017,15.0,I,20.0171109,103.378253
Lao People's Democratic Republic,2018,15.0,I,20.0171109,103.378253
Lebanon,2002,16.42,I,33.8750629,35.843409
Lebanon,2007,16.43,I,33.8750629,35.843409
Lebanon,2012,16.43,I,33.8750629,35.843409
Lebanon,2017,16.43,I,33.8750629,35.843409
Lebanon,2018,16.43,I,33.8750629,35.843409
Libya,2002,10.0,I,26.8234472,18.1236723
Libya,2007,10.0,I,26.8234472,18.1236723
Libya,2012,10.0,I,26.8234472,18.1236723
Libya,2017,10.0,I,26.8234472,18.1236723
Libya,2018,10.0,I,26.8234472,18.1236723
Mali,2012,0.094,I,16.3700359,-2.2900239
Mali,2017,0.094,I,16.3700359,-2.2900239
Mali,2018,0.094,I,16.3700359,-2.2900239
Malta,2007,0.07,I,35.8885993,14.4476911
Malta,2012,0.07,I,35.8885993,14.4476911
Malta,2017,0.07,I,35.8885993,14.4476911
Malta,2018,0.07,I,35.8885993,14.4476911
Mauritius,2002,0.042,OF,-20.2759451,57.5703566
Mauritius,2007,0.042,I,-20.2759451,57.5703566
Mauritius,2012,0.042,I,-20.2759451,57.5703566
Mauritius,2017,0.042,I,-20.2759451,57.5703566
Mauritius,2018,0.042,I,-20.2759451,57.5703566
Mexico,2007,190.7666667,I,22.5000485,-100.000037
Mexico,2012,182.3,I,22.5000485,-100.000037
Mexico,2017,182.3,I,22.5000485,-100.000037
Mexico,2018,182.3,I,22.5000485,-100.000037
Morocco,2002,75.85,I,31.1728205,-7.3362482
Morocco,2007,85.51428571,I,31.1728205,-7.3362482
Morocco,2012,101.0,I,31.1728205,-7.3362482
Morocco,2017,101.0,I,31.1728205,-7.3362482
Morocco,2018,101.0,I,31.1728205,-7.3362482
Mozambique,2002,0.37,I,-19.302233,34.9144977
Mozambique,2007,0.37,I,-19.302233,34.9144977
Mozambique,2012,0.37,I,-19.302233,34.9144977
Mozambique,2017,0.37,I,-19.302233,34.9144977
Mozambique,2018,0.37,I,-19.302233,34.9144977
Oman,2007,1.232,OF,21.0000287,57.0036901
Oman,2012,1.232,I,21.0000287,57.0036901
Oman,2017,1.232,I,21.0000287,57.0036901
Oman,2018,1.232,I,21.0000287,57.0036901
Pakistan,2012,199.4,I,30.3308401,71.247499
Pakistan,2017,199.4,I,30.3308401,71.247499
Pakistan,2018,199.4,I,30.3308401,71.247499
Palestine,1997,6.261,OF,31.88693,34.79752
Palestine,2002,6.261,I,31.88693,34.79752
Palestine,2007,6.261,I,31.88693,34.79752
Palestine,2012,6.261,I,31.88693,34.79752
Palestine,2017,6.261,I,31.88693,34.79752
Palestine,2018,6.261,I,31.88693,34.79752
Peru,1997,26.06,I,-6.8699697,-75.0458515
Peru,2002,26.06,I,-6.8699697,-75.0458515
Peru,2007,26.06,I,-6.8699697,-75.0458515
Peru,2012,26.06,I,-6.8699697,-75.0458515
Peru,2017,26.06,I,-6.8699697,-75.0458515
Peru,2018,26.06,I,-6.8699697,-75.0458515
Philippines,2007,1.97,I,12.7503486,122.7312101
Philippines,2012,1.97,I,12.7503486,122.7312101
Philippines,2017,1.97,I,12.7503486,122.7312101
Philippines,2018,1.97,I,12.7503486,122.7312101
Portugal,1992,22.76230769,I,40.0332629,-7.8896263
Portugal,1997,20.09307692,I,40.0332629,-7.8896263
Portugal,2002,17.42384615,I,40.0332629,-7.8896263
Portugal,2007,16.898,I,40.0332629,-7.8896263
Portugal,2012,16.9,I,40.0332629,-7.8896263
Portugal,2017,16.9,I,40.0332629,-7.8896263
Portugal,2018,16.9,I,40.0332629,-7.8896263
Qatar,2007,0.14,I,25.3336984,51.2295295
Qatar,2012,0.14,I,25.3336984,51.2295295
Qatar,2017,0.14,I,25.3336984,51.2295295
Qatar,2018,0.14,I,25.3336984,51.2295295
Republic of Korea,2007,11.0,I,36.638392,127.6961188
Republic of Korea,2012,11.0,I,36.638392,127.6961188
Republic of Korea,2017,11.0,I,36.638392,127.6961188
Republic of Korea,2018,11.0,I,36.638392,127.6961188
Romania,2007,0.0,I,45.9852129,24.6859225
Romania,2012,0.0,I,45.9852129,24.6859225
Romania,2017,0.0,I,45.9852129,24.6859225
Romania,2018,0.0,I,45.9852129,24.6859225
Saudi Arabia,2002,9.237428571,I,25.6242618,42.3528328
Saudi Arabia,2007,10.85,I,25.6242618,42.3528328
Saudi Arabia,2012,10.85,I,25.6242618,42.3528328
Saudi Arabia,2017,10.85,I,25.6242618,42.3528328
Saudi Arabia,2018,10.85,I,25.6242618,42.3528328
Slovakia,2007,0.0,I,48.7411522,19.4528646
Slovakia,2012,0.0,I,48.7411522,19.4528646
Slovakia,2017,0.0,I,48.7411522,19.4528646
Slovakia,2018,0.0,I,48.7411522,19.4528646
Somalia,2007,1.1,I,8.3676771,49.083416
Somalia,2012,1.1,I,8.3676771,49.083416
Somalia,2017,1.1,I,8.3676771,49.083416
Somalia,2018,1.1,I,8.3676771,49.083416
South Africa,2002,67.1,I,-28.8166236,24.991639
South Africa,2007,67.1,I,-28.8166236,24.991639
South Africa,2012,67.1,I,-28.8166236,24.991639
South Africa,2017,67.1,I,-28.8166236,24.991639
South Africa,2018,67.1,I,-28.8166236,24.991639
Spain,1992,251.3666667,I,39.3260685,-4.8379791
Spain,1997,277.6,X,39.3260685,-4.8379791
Spain,2002,273.3333333,I,39.3260685,-4.8379791
Spain,2007,282.7333333,I,39.3260685,-4.8379791
Spain,2012,287.4,I,39.3260685,-4.8379791
Spain,2017,287.4,I,39.3260685,-4.8379791
Spain,2018,287.4,I,39.3260685,-4.8379791
Syrian Arab Republic,1992,22.82,I,34.6401861,39.0494106
Syrian Arab Republic,1997,26.3,I,34.6401861,39.0494106
Syrian Arab Republic,2002,27.34,I,34.6401861,39.0494106
Syrian Arab Republic,2007,27.34,I,34.6401861,39.0494106
Syrian Arab Republic,2012,27.34,I,34.6401861,39.0494106
Syrian Arab Republic,2017,27.34,I,34.6401861,39.0494106
Syrian Arab Republic,2018,27.34,I,34.6401861,39.0494106
Tunisia,2002,17.74,I,33.8439408,9.400138
Tunisia,2007,20.09,I,33.8439408,9.400138
Tunisia,2012,21.97,I,33.8439408,9.400138
Tunisia,2017,21.97,I,33.8439408,9.400138
Tunisia,2018,21.97,I,33.8439408,9.400138
Turkey,2007,110.0,I,38.9597594,34.9249653
Turkey,2012,110.0,I,38.9597594,34.9249653
Turkey,2017,110.0,I,38.9597594,34.9249653
Turkey,2018,110.0,I,38.9597594,34.9249653
United Arab Emirates,2007,0.9692,I,24.0002488,53.9994829
United Arab Emirates,2012,0.9692,I,24.0002488,53.9994829
United Arab Emirates,2017,0.9692,I,24.0002488,53.9994829
United Arab Emirates,2018,0.9692,I,24.0002488,53.9994829
Uruguay,2002,6.753,I,-32.8755548,-56.0201525
Uruguay,2007,7.333,I,-32.8755548,-56.0201525
Uruguay,2012,8.543,I,-32.8755548,-56.0201525
Uruguay,2017,8.543,I,-32.8755548,-56.0201525
Uruguay,2018,8.543,I,-32.8755548,-56.0201525
Venezuela (Bolivarian Republic of),2012,38.21,I,8.0018709,-66.1109318
Venezuela (Bolivarian Republic of),2017,38.21,I,8.0018709,-66.1109318
Venezuela (Bolivarian Republic of),2018,38.21,I,8.0018709,-66.1109318
Viet Nam,2007,46.07,I,13.2904027,108.4265113
Viet Nam,2012,46.07,I,13.2904027,108.4265113
Viet Nam,2017,46.07,I,13.2904027,108.4265113
Viet Nam,2018,46.07,I,13.2904027,108.4265113
Yemen,2007,11.25,I,16.3471243,47.8915271
Yemen,2012,11.25,I,16.3471243,47.8915271
Yemen,2017,11.25,I,16.3471243,47.8915271
Yemen,2018,11.25,I,16.3471243,47.8915271
Zambia,2002,2.21,OF,-14.5189121,27.5589884
Zambia,2007,2.21,I,-14.5189121,27.5589884
Zambia,2012,2.21,I,-14.5189121,27.5589884
Zambia,2017,2.21,I,-14.5189121,27.5589884
Zambia,2018,2.21,I,-14.5189121,27.5589884
