country,year,value,symbol,lat,lon
Afghanistan,1962,7760.0,X,33.7680065,66.2385139
Afghanistan,1967,7979.0,X,33.7680065,66.2385139
Afghanistan,1972,8046.0,X,33.7680065,66.2385139
Afghanistan,1977,8050.0,X,33.7680065,66.2385139
Afghanistan,1982,8054.0,X,33.7680065,66.2385139
Afghanistan,1987,8045.0,X,33.7680065,66.2385139
Afghanistan,1992,8030.0,X,33.7680065,66.2385139
Afghanistan,1997,7790.0,X,33.7680065,66.2385139
Afghanistan,2002,7753.0,X,33.7680065,66.2385139
Afghanistan,2007,7910.0,X,33.7680065,66.2385139
Afghanistan,2012,7910.0,X,33.7680065,66.2385139
Afghanistan,2017,7910.0,X,33.7680065,66.2385139
Albania,1962,487.0,X,41.000028,19.9999619
Albania,1967,556.0,X,41.000028,19.9999619
Albania,1972,624.0,X,41.000028,19.9999619
Albania,1977,692.0,X,41.000028,19.9999619
Albania,1982,709.0,X,41.000028,19.9999619
Albania,1987,714.0,X,41.000028,19.9999619
Albania,1992,703.0,X,41.000028,19.9999619
Albania,1997,700.0,X,41.000028,19.9999619
Albania,2002,699.0,X,41.000028,19.9999619
Albania,2007,698.0,X,41.000028,19.9999619
Albania,2012,696.0,X,41.000028,19.9999619
Albania,2017,691.1,X,41.000028,19.9999619
Albania,2018,696.0,X,41.000028,19.9999619
Algeria,1962,6900.0,X,28.0000272,2.9999825
Algeria,1967,6866.0,X,28.0000272,2.9999825
Algeria,1972,7111.0,X,28.0000272,2.9999825
Algeria,1977,7542.0,X,28.0000272,2.9999825
Algeria,1982,7509.0,X,28.0000272,2.9999825
Algeria,1987,7624.0,X,28.0000272,2.9999825
Algeria,1992,8094.0,X,28.0000272,2.9999825
Algeria,1997,8159.0,X,28.0000272,2.9999825
Algeria,2002,8206.0,X,28.0000272,2.9999825
Algeria,2007,8390.0,X,28.0000272,2.9999825
Algeria,2012,8430.5,X,28.0000272,2.9999825
Algeria,2017,8483.4261,X,28.0000272,2.9999825
Algeria,2018,8517.017,X,28.0000272,2.9999825
Andorra,1962,1.0,X,42.5407167,1.5732033
Andorra,1967,1.0,X,42.5407167,1.5732033
Andorra,1972,1.0,X,42.5407167,1.5732033
Andorra,1977,1.0,X,42.5407167,1.5732033
Andorra,1982,1.0,X,42.5407167,1.5732033
Andorra,1987,1.0,X,42.5407167,1.5732033
Andorra,1992,1.0,X,42.5407167,1.5732033
Andorra,1997,1.0,X,42.5407167,1.5732033
Andorra,2002,0.85,X,42.5407167,1.5732033
Andorra,2007,0.77,X,42.5407167,1.5732033
Andorra,2012,0.76,X,42.5407167,1.5732033
Andorra,2017,0.82,X,42.5407167,1.5732033
Andorra,2018,0.83,X,42.5407167,1.5732033
Angola,1962,3200.0,X,47.2,13.2
Angola,1967,3330.0,X,47.2,13.2
Angola,1972,3400.0,X,47.2,13.2
Angola,1977,3400.0,X,47.2,13.2
Angola,1982,3400.0,X,47.2,13.2
Angola,1987,3400.0,X,47.2,13.2
Angola,1992,3500.0,X,47.2,13.2
Angola,1997,3500.0,X,47.2,13.2
Angola,2002,3390.0,X,47.2,13.2
Angola,2007,3690.0,X,47.2,13.2
Angola,2012,4990.0,X,47.2,13.2
Angola,2017,5215.0,X,47.2,13.2
Angola,2018,5215.0,X,47.2,13.2
Antigua and Barbuda,1962,7.0,X,17.2234721,-61.9554608
Antigua and Barbuda,1967,7.0,X,17.2234721,-61.9554608
Antigua and Barbuda,1972,4.0,X,17.2234721,-61.9554608
Antigua and Barbuda,1977,4.0,X,17.2234721,-61.9554608
Antigua and Barbuda,1982,4.0,X,17.2234721,-61.9554608
Antigua and Barbuda,1987,5.0,X,17.2234721,-61.9554608
Antigua and Barbuda,1992,5.0,X,17.2234721,-61.9554608
Antigua and Barbuda,1997,5.0,X,17.2234721,-61.9554608
Antigua and Barbuda,2002,5.0,X,17.2234721,-61.9554608
Antigua and Barbuda,2007,5.0,X,17.2234721,-61.9554608
Antigua and Barbuda,2012,5.0,X,17.2234721,-61.9554608
Antigua and Barbuda,2017,5.0,X,17.2234721,-61.9554608
Antigua and Barbuda,2018,5.0,X,17.2234721,-61.9554608
Argentina,1962,20061.0,X,-34.9964963,-64.9672817
Argentina,1967,23249.0,X,-34.9964963,-64.9672817
Argentina,1972,26936.0,X,-34.9964963,-64.9672817
Argentina,1977,26964.0,X,-34.9964963,-64.9672817
Argentina,1982,27992.0,X,-34.9964963,-64.9672817
Argentina,1987,27819.0,X,-34.9964963,-64.9672817
Argentina,1992,27805.0,X,-34.9964963,-64.9672817
Argentina,1997,28335.0,X,-34.9964963,-64.9672817
Argentina,2002,28862.0,X,-34.9964963,-64.9672817
Armenia,1992,483.0,X,40.7696272,44.6736646
Armenia,1997,498.0,X,40.7696272,44.6736646
Armenia,2002,491.0,X,40.7696272,44.6736646
Armenia,2007,506.1,X,40.7696272,44.6736646
Armenia,2012,505.1,X,40.7696272,44.6736646
Armenia,2017,504.1,X,40.7696272,44.6736646
Armenia,2018,504.7,X,40.7696272,44.6736646
Australia,1962,15694.266,X,-24.7761086,134.755
Australia,1967,19456.3572,X,-24.7761086,134.755
Australia,1972,17231.0,X,-24.7761086,134.755
Australia,1977,15010.0,X,-24.7761086,134.755
Australia,1982,19613.0,X,-24.7761086,134.755
Australia,1987,19765.0,X,-24.7761086,134.755
Australia,1992,16404.0,X,-24.7761086,134.755
Australia,1997,21133.0,X,-24.7761086,134.755
Australia,2002,24060.0,X,-24.7761086,134.755
Australia,2007,23530.0,X,-24.7761086,134.755
Australia,2012,31993.0,X,-24.7761086,134.755
Australia,2017,31074.0,X,-24.7761086,134.755
Australia,2018,31306.0,X,-24.7761086,134.755
Austria,1962,1746.0,X,47.2,13.2
Austria,1967,1670.0,X,47.2,13.2
Austria,1972,1682.0,X,47.2,13.2
Austria,1977,1627.0,X,47.2,13.2
