country,year,value,symbol,lat,lon
Albania,2018,0.0,I,41.000028,19.9999619
Algeria,2017,0.05,OF,28.0000272,2.9999825
Algeria,2018,0.05,I,28.0000272,2.9999825
Argentina,1977,0.0,I,-34.9964963,-64.9672817
Argentina,1982,0.0,I,-34.9964963,-64.9672817
Argentina,1987,0.0,I,-34.9964963,-64.9672817
Argentina,1992,0.0,"6",-34.9964963,-64.9672817
Argentina,1997,0.03628,I,-34.9964963,-64.9672817
Argentina,2002,0.090754546,I,-34.9964963,-64.9672817
Argentina,2007,0.090890909,I,-34.9964963,-64.9672817
Argentina,2012,0.091,I,-34.9964963,-64.9672817
Argentina,2017,0.091,I,-34.9964963,-64.9672817
Argentina,2018,0.091,I,-34.9964963,-64.9672817
Armenia,1997,0.0001,I,40.7696272,44.6736646
Armenia,2002,0.0001,I,40.7696272,44.6736646
Armenia,2007,9.09e-05,I,40.7696272,44.6736646
Armenia,2012,4.55e-05,I,40.7696272,44.6736646
Armenia,2016,9.09e-06,I,40.7696272,44.6736646
Armenia,2018,0.0,I,40.7696272,44.6736646
Australia,2002,0.174666667,I,-24.7761086,134.755
Australia,2006,0.209333333,I,-24.7761086,134.755
Australia,2012,0.404333333,I,-24.7761086,134.755
Australia,2014,0.295,I,-24.7761086,134.755
Australia,2018,0.14,I,-24.7761086,134.755
Bahrain,1992,0.008625,I,44.3053476,17.5961467
Bahrain,1997,0.01175,I,44.3053476,17.5961467
Bahrain,2002,0.014875,I,44.3053476,17.5961467
Bahrain,2007,0.016214286,I,44.3053476,17.5961467
Bahrain,2012,0.016,OF,44.3053476,17.5961467
Bahrain,2017,0.0392,I,44.3053476,17.5961467
Bahrain,2018,0.0392,I,44.3053476,17.5961467
Belgium,2002,0.003,I,50.6402809,4.6667145
Belgium,2007,0.003,I,50.6402809,4.6667145
Belgium,2012,0.003,I,50.6402809,4.6667145
Belgium,2017,0.003,I,50.6402809,4.6667145
Belgium,2018,0.003,I,50.6402809,4.6667145
Brazil,2012,0.0295,I,-10.3333333,-53.2
Brazil,2017,0.05,I,-10.3333333,-53.2
Brazil,2018,0.05,I,-10.3333333,-53.2
Burkina Faso,2012,0.0013,I,12.0753083,-1.6880314
Burkina Faso,2017,0.0013,I,12.0753083,-1.6880314
Burkina Faso,2018,0.0013,I,12.0753083,-1.6880314
Chile,2012,0.0,I,-31.7613365,-71.3187697
Chile,2017,0.0,I,-31.7613365,-71.3187697
Chile,2018,0.0,I,-31.7613365,-71.3187697
China,2011,3.45,I,35.000074,104.999927
China,2017,3.86,I,35.000074,104.999927
China,2018,3.86,I,35.000074,104.999927
Cyprus,2002,0.009333333,I,34.9823018,33.1451285
Cyprus,2007,0.019,OF,34.9823018,33.1451285
Cyprus,2012,0.017314286,I,34.9823018,33.1451285
Cyprus,2017,0.0154,OF,34.9823018,33.1451285
Djibouti,2002,0.0001,I,11.8145966,42.8453061
