country,year,value,symbol,lat,lon
Belarus,1992,27.56,X,53.4250605,27.6971358
Belarus,1997,27.56,X,53.4250605,27.6971358
Belarus,2002,27.56,X,53.4250605,27.6971358
Belarus,2007,27.56,X,53.4250605,27.6971358
Belarus,2012,27.56,X,53.4250605,27.6971358
Belarus,2017,27.56,X,53.4250605,27.6971358
Cameroon,1962,213.4,X,4.6125522,13.1535811
Cameroon,1967,213.4,X,4.6125522,13.1535811
Cameroon,1972,213.4,X,4.6125522,13.1535811
Cameroon,1977,213.4,X,4.6125522,13.1535811
Cameroon,1982,213.4,X,4.6125522,13.1535811
Cameroon,1987,213.4,X,4.6125522,13.1535811
Cameroon,1992,213.4,X,4.6125522,13.1535811
Cameroon,1997,213.4,X,4.6125522,13.1535811
Cameroon,2002,213.4,X,4.6125522,13.1535811
Cameroon,2007,213.4,X,4.6125522,13.1535811
Cameroon,2012,213.4,X,4.6125522,13.1535811
Cameroon,2017,213.4,X,4.6125522,13.1535811
Guatemala,1962,70.02,X,15.6356088,-89.8988087
Guatemala,1967,70.02,X,15.6356088,-89.8988087
Guatemala,1972,70.02,X,15.6356088,-89.8988087
Guatemala,1977,70.02,X,15.6356088,-89.8988087
Guatemala,1982,70.02,X,15.6356088,-89.8988087
Guatemala,1987,70.02,X,15.6356088,-89.8988087
Guatemala,1992,70.02,X,15.6356088,-89.8988087
Guatemala,1997,70.02,X,15.6356088,-89.8988087
Guatemala,2002,70.02,X,15.6356088,-89.8988087
Guatemala,2007,70.02,X,15.6356088,-89.8988087
Guatemala,2012,70.02,X,15.6356088,-89.8988087
Guatemala,2017,70.02,X,15.6356088,-89.8988087
Guinea,1962,161.0,X,8.0300284,-1.0800271
Guinea,1967,161.0,X,8.0300284,-1.0800271
Guinea,1972,161.0,X,8.0300284,-1.0800271
Guinea,1977,161.0,X,8.0300284,-1.0800271
Guinea,1982,161.0,X,8.0300284,-1.0800271
Guinea,1987,161.0,X,8.0300284,-1.0800271
Guinea,1992,161.0,X,8.0300284,-1.0800271
Guinea,1997,161.0,X,8.0300284,-1.0800271
Guinea,2002,161.0,X,8.0300284,-1.0800271
Guinea,2007,161.0,X,8.0300284,-1.0800271
Guinea,2012,161.0,X,8.0300284,-1.0800271
Guinea,2017,161.0,X,8.0300284,-1.0800271
India,1962,937.1,X,22.3511148,78.6677428
India,1967,937.1,X,22.3511148,78.6677428
India,1972,937.1,X,22.3511148,78.6677428
India,1977,937.1,X,22.3511148,78.6677428
India,1982,937.1,X,22.3511148,78.6677428
India,1987,937.1,X,22.3511148,78.6677428
India,1992,937.1,X,22.3511148,78.6677428
India,1997,937.1,X,22.3511148,78.6677428
India,2002,937.1,X,22.3511148,78.6677428
India,2007,937.1,X,22.3511148,78.6677428
India,2012,937.1,X,22.3511148,78.6677428
India,2017,937.1,X,22.3511148,78.6677428
Japan,1962,212.5,X,36.5748441,139.2394179
Japan,1967,212.5,X,36.5748441,139.2394179
Japan,1972,212.5,X,36.5748441,139.2394179
Japan,1977,212.5,X,36.5748441,139.2394179
Japan,1982,212.5,X,36.5748441,139.2394179
Japan,1987,212.5,X,36.5748441,139.2394179
Japan,1992,212.5,X,36.5748441,139.2394179
Japan,1997,212.5,X,36.5748441,139.2394179
Japan,2002,212.5,X,36.5748441,139.2394179
Japan,2007,212.5,X,36.5748441,139.2394179
Japan,2012,212.5,X,36.5748441,139.2394179
Japan,2017,212.5,X,36.5748441,139.2394179
Mali,1962,55.2,X,16.3700359,-2.2900239
Mali,1967,55.2,X,16.3700359,-2.2900239
Mali,1972,55.2,X,16.3700359,-2.2900239
Mali,1977,55.2,X,16.3700359,-2.2900239
Mali,1982,55.2,X,16.3700359,-2.2900239
Mali,1987,55.2,X,16.3700359,-2.2900239
Mali,1992,55.2,X,16.3700359,-2.2900239
Mali,1997,55.2,X,16.3700359,-2.2900239
Mali,2002,55.2,X,16.3700359,-2.2900239
Mali,2007,55.2,X,16.3700359,-2.2900239
Mali,2012,55.2,X,16.3700359,-2.2900239
Mali,2017,55.2,X,16.3700359,-2.2900239
Nicaragua,1962,107.2,X,12.6090157,-85.2936911
Nicaragua,1967,107.2,X,12.6090157,-85.2936911
Nicaragua,1972,107.2,X,12.6090157,-85.2936911
Nicaragua,1977,107.2,X,12.6090157,-85.2936911
Nicaragua,1982,107.2,X,12.6090157,-85.2936911
Nicaragua,1987,107.2,X,12.6090157,-85.2936911
Nicaragua,1992,107.2,X,12.6090157,-85.2936911
Nicaragua,1997,107.2,X,12.6090157,-85.2936911
Nicaragua,2002,107.2,X,12.6090157,-85.2936911
Nicaragua,2007,107.2,X,12.6090157,-85.2936911
Nicaragua,2012,107.2,X,12.6090157,-85.2936911
Nicaragua,2017,107.2,X,12.6090157,-85.2936911
Philippines,1962,151.9,X,12.7503486,122.7312101
Philippines,1967,151.9,X,12.7503486,122.7312101
Philippines,1972,151.9,X,12.7503486,122.7312101
Philippines,1977,151.9,X,12.7503486,122.7312101
Philippines,1982,151.9,X,12.7503486,122.7312101
Philippines,1987,151.9,X,12.7503486,122.7312101
Philippines,1992,151.9,X,12.7503486,122.7312101
Philippines,1997,151.9,X,12.7503486,122.7312101
Philippines,2002,151.9,X,12.7503486,122.7312101
Philippines,2007,151.9,X,12.7503486,122.7312101
Philippines,2012,151.9,X,12.7503486,122.7312101
Philippines,2017,151.9,X,12.7503486,122.7312101
Portugal,1962,27.63,X,40.0332629,-7.8896263
Portugal,1967,27.63,X,40.0332629,-7.8896263
Portugal,1972,27.63,X,40.0332629,-7.8896263
Portugal,1977,27.63,X,40.0332629,-7.8896263
Portugal,1982,27.63,X,40.0332629,-7.8896263
Portugal,1987,27.63,X,40.0332629,-7.8896263
Portugal,1992,27.63,X,40.0332629,-7.8896263
Portugal,1997,27.63,X,40.0332629,-7.8896263
Portugal,2002,27.63,X,40.0332629,-7.8896263
Portugal,2007,27.63,X,40.0332629,-7.8896263
Portugal,2012,27.63,X,40.0332629,-7.8896263
Portugal,2017,27.63,X,40.0332629,-7.8896263
Puerto Rico,1962,2.621,X,-6.8699697,-75.0458515
Puerto Rico,1967,2.621,X,-6.8699697,-75.0458515
Puerto Rico,1972,2.621,X,-6.8699697,-75.0458515
Puerto Rico,1977,2.621,X,-6.8699697,-75.0458515
Puerto Rico,1982,2.621,X,-6.8699697,-75.0458515
Puerto Rico,1987,2.621,X,-6.8699697,-75.0458515
Puerto Rico,1992,2.621,X,-6.8699697,-75.0458515
Puerto Rico,1997,2.621,X,-6.8699697,-75.0458515
Puerto Rico,2002,2.621,X,-6.8699697,-75.0458515
Puerto Rico,2007,2.621,X,-6.8699697,-75.0458515
Puerto Rico,2012,2.621,X,-6.8699697,-75.0458515
Puerto Rico,2017,2.621,X,-6.8699697,-75.0458515
Spain,1962,38.15,X,39.3260685,-4.8379791
Spain,1967,38.15,X,39.3260685,-4.8379791
Spain,1972,38.15,X,39.3260685,-4.8379791
Spain,1977,38.15,X,39.3260685,-4.8379791
Spain,1982,38.15,X,39.3260685,-4.8379791
Spain,1987,38.15,X,39.3260685,-4.8379791
Spain,1992,38.15,X,39.3260685,-4.8379791
Spain,1997,38.15,X,39.3260685,-4.8379791
Spain,2002,38.15,X,39.3260685,-4.8379791
Spain,2007,38.15,X,39.3260685,-4.8379791
Spain,2012,38.15,X,39.3260685,-4.8379791
Spain,2017,38.15,X,39.3260685,-4.8379791
Tajikistan,1992,6.752,X,38.6281733,70.8156541
Tajikistan,1997,6.752,X,38.6281733,70.8156541
Tajikistan,2002,6.752,X,38.6281733,70.8156541
Tajikistan,2007,6.752,X,38.6281733,70.8156541
Tajikistan,2012,6.752,X,38.6281733,70.8156541
Tajikistan,2017,6.752,X,38.6281733,70.8156541
Timor-Leste,1962,4.069,X,-8.5151979,125.8375756
Timor-Leste,1967,4.069,X,-8.5151979,125.8375756
Timor-Leste,1972,4.069,X,-8.5151979,125.8375756
Timor-Leste,1977,4.069,X,-8.5151979,125.8375756
Timor-Leste,1982,4.069,X,-8.5151979,125.8375756
Timor-Leste,1987,4.069,X,-8.5151979,125.8375756
Timor-Leste,1992,4.069,X,-8.5151979,125.8375756
Timor-Leste,1997,4.069,X,-8.5151979,125.8375756
Timor-Leste,2002,4.069,X,-8.5151979,125.8375756
Timor-Leste,2007,4.069,X,-8.5151979,125.8375756
Timor-Leste,2012,4.069,X,-8.5151979,125.8375756
Timor-Leste,2017,4.069,X,-8.5151979,125.8375756
Uzbekistan,1992,14.0,X,41.32373,63.9528098
Uzbekistan,1997,14.0,X,41.32373,63.9528098
Uzbekistan,2002,14.0,X,41.32373,63.9528098
Uzbekistan,2007,14.0,X,41.32373,63.9528098
Uzbekistan,2012,14.0,X,41.32373,63.9528098
Uzbekistan,2017,14.0,X,41.32373,63.9528098
