country,year,value,symbol,lat,lon
Afghanistan,2017,3.7,I,33.7680065,66.2385139
Afghanistan,2018,3.7,I,33.7680065,66.2385139
Albania,2017,2.7,I,41.000028,19.9999619
Albania,2018,2.7,I,41.000028,19.9999619
Algeria,2017,2.8,I,28.0000272,2.9999825
Algeria,2018,2.8,I,28.0000272,2.9999825
Andorra,2017,3.3,I,42.5407167,1.5732033
Andorra,2018,3.3,I,42.5407167,1.5732033
Angola,2017,1.7,I,47.2,13.2
Angola,2018,1.7,I,47.2,13.2
Antigua and Barbuda,2017,3.6,I,17.2234721,-61.9554608
Antigua and Barbuda,2018,3.6,I,17.2234721,-61.9554608
Argentina,2017,2.5,I,-34.9964963,-64.9672817
Argentina,2018,2.5,I,-34.9964963,-64.9672817
Armenia,2017,3.3,I,40.7696272,44.6736646
Armenia,2018,3.3,I,40.7696272,44.6736646
Australia,2017,2.7,I,-24.7761086,134.755
Australia,2018,2.7,I,-24.7761086,134.755
Austria,2017,3.3,I,47.2,13.2
Austria,2018,3.3,I,47.2,13.2
Azerbaijan,2017,3.0,I,40.3936294,47.7872508
Azerbaijan,2018,3.0,I,40.3936294,47.7872508
Bahrain,2017,0.0,I,44.3053476,17.5961467
Bahrain,2018,0.0,I,44.3053476,17.5961467
Bangladesh,2017,4.9,I,23.5031022,90.00386523825051
Bangladesh,2018,4.9,I,23.5031022,90.00386523825051
Barbados,2017,3.6,I,13.1500331,-59.5250305
Barbados,2018,3.6,I,13.1500331,-59.5250305
Belarus,2017,2.6,I,53.4250605,27.6971358
Belarus,2018,2.6,I,53.4250605,27.6971358
Belgium,2017,2.8,I,50.6402809,4.6667145
Belgium,2018,2.8,I,50.6402809,4.6667145
Belize,2017,2.6,I,16.8259793,-88.7600927
Belize,2018,2.6,I,16.8259793,-88.7600927
Benin,2017,3.6,I,9.5293472,2.2584408
Benin,2018,3.6,I,9.5293472,2.2584408
Bhutan,2017,4.7,I,27.549511,90.5119273
Bhutan,2018,4.7,I,27.549511,90.5119273
Bolivia (Plurinational State of),2017,3.1,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,3.1,I,-17.0568696,-64.9912286
Bosnia and Herzegovina,2017,3.6,I,44.3053476,17.5961467
Bosnia and Herzegovina,2018,3.6,I,44.3053476,17.5961467
Botswana,2017,2.1,I,-23.1681782,24.5928742
Botswana,2018,2.1,I,-23.1681782,24.5928742
