country,year,value,symbol,lat,lon
Albania,2007,14.0,I,41.000028,19.9999619
Albania,2012,14.0,I,41.000028,19.9999619
Albania,2017,14.0,I,41.000028,19.9999619
Albania,2018,14.0,I,41.000028,19.9999619
Argentina,2012,380.0,I,-34.9964963,-64.9672817
Argentina,2017,380.0,I,-34.9964963,-64.9672817
Argentina,2018,380.0,I,-34.9964963,-64.9672817
Armenia,2007,26.0,I,40.7696272,44.6736646
Armenia,2012,26.0,I,40.7696272,44.6736646
Armenia,2017,26.0,I,40.7696272,44.6736646
Armenia,2018,26.0,I,40.7696272,44.6736646
Australia,2012,189.6666667,I,-24.7761086,134.755
Australia,2017,188.4,I,-24.7761086,134.755
Australia,2018,188.4,I,-24.7761086,134.755
Austria,1997,0.5375,I,47.2,13.2
Austria,2002,0.60625,I,47.2,13.2
Austria,2007,0.62,I,47.2,13.2
Austria,2012,0.62,I,47.2,13.2
Austria,2017,0.62,I,47.2,13.2
Austria,2018,0.62,I,47.2,13.2
Bahrain,1997,0.6165,I,44.3053476,17.5961467
Bahrain,2002,0.79,I,44.3053476,17.5961467
Bahrain,2007,0.79,I,44.3053476,17.5961467
Bahrain,2012,0.79,I,44.3053476,17.5961467
Bahrain,2017,0.79,I,44.3053476,17.5961467
Bahrain,2018,0.79,I,44.3053476,17.5961467
Belgium,2007,0.23,I,50.6402809,4.6667145
Belgium,2012,0.23,I,50.6402809,4.6667145
Belgium,2017,0.23,I,50.6402809,4.6667145
Belgium,2018,0.23,I,50.6402809,4.6667145
Bolivia (Plurinational State of),2012,21.25,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2017,21.25,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,21.25,I,-17.0568696,-64.9912286
Botswana,1992,0.22,I,-23.1681782,24.5928742
Botswana,1997,0.22,I,-23.1681782,24.5928742
Botswana,2002,0.22,E,-23.1681782,24.5928742
Botswana,2007,0.22,I,-23.1681782,24.5928742
Botswana,2012,0.22,I,-23.1681782,24.5928742
Botswana,2017,0.22,I,-23.1681782,24.5928742
