country,year,value,symbol,lat,lon
Afghanistan,2002,3.042,I,33.7680065,66.2385139
Afghanistan,2007,3.042,I,33.7680065,66.2385139
Afghanistan,2012,3.042,I,33.7680065,66.2385139
Afghanistan,2017,3.042,I,33.7680065,66.2385139
Afghanistan,2018,3.042,I,33.7680065,66.2385139
Albania,2017,0.107,OF,41.000028,19.9999619
Algeria,2012,3.0,OF,28.0000272,2.9999825
Algeria,2017,8.103,OF,28.0000272,2.9999825
Algeria,2018,8.103,I,28.0000272,2.9999825
Antigua and Barbuda,2012,0.0007,OF,17.2234721,-61.9554608
Antigua and Barbuda,2017,0.0007,I,17.2234721,-61.9554608
Antigua and Barbuda,2018,0.0007,I,17.2234721,-61.9554608
Argentina,2012,11.33,I,-34.9964963,-64.9672817
Argentina,2017,11.33,I,-34.9964963,-64.9672817
Argentina,2018,11.33,I,-34.9964963,-64.9672817
Armenia,1997,0.52,OF,40.7696272,44.6736646
Armenia,2002,0.575,OF,40.7696272,44.6736646
Armenia,2007,0.858,OF,40.7696272,44.6736646
Armenia,2012,1.314,OF,40.7696272,44.6736646
Armenia,2017,1.15,OF,40.7696272,44.6736646
Australia,2002,4.569733333,I,-24.7761086,134.755
Australia,2007,3.589066667,I,-24.7761086,134.755
Australia,2012,2.6084,I,-24.7761086,134.755
Australia,2014,2.216133333,I,-24.7761086,134.755
Austria,1982,1.2346,I,47.2,13.2
Austria,1987,1.3288,I,47.2,13.2
Austria,1992,1.2132,I,47.2,13.2
Austria,1997,1.148,X,47.2,13.2
Austria,2002,1.087930988,I,47.2,13.2
Austria,2007,1.071393037,I,47.2,13.2
Austria,2012,1.061470267,I,47.2,13.2
Austria,2017,1.061470267,I,47.2,13.2
Austria,2018,1.061470267,I,47.2,13.2
Azerbaijan,1997,1.098,OF,40.3936294,47.7872508
Azerbaijan,2002,0.545,OF,40.3936294,47.7872508
Azerbaijan,2007,0.754535096,I,40.3936294,47.7872508
Azerbaijan,2012,0.736086805,I,40.3936294,47.7872508
Azerbaijan,2014,0.745483135,I,40.3936294,47.7872508
Bahrain,2007,0.217027273,I,44.3053476,17.5961467
Bahrain,2012,0.189936364,I,44.3053476,17.5961467
Bahrain,2017,0.1551,I,44.3053476,17.5961467
Bahrain,2018,0.1551,I,44.3053476,17.5961467
Bangladesh,2012,28.48,I,23.5031022,90.00386523825051
Bangladesh,2017,28.48,I,23.5031022,90.00386523825051
Bangladesh,2018,28.48,I,23.5031022,90.00386523825051
Belarus,2002,1.054,I,53.4250605,27.6971358
Belarus,2007,0.9488,I,53.4250605,27.6971358
Belarus,2012,0.852,I,53.4250605,27.6971358
Belarus,2017,0.811,OF,53.4250605,27.6971358
Belgium,2002,0.6627,X,50.6402809,4.6667145
Belgium,2007,0.6476,X,50.6402809,4.6667145
Belgium,2012,0.6361,X,50.6402809,4.6667145
Belgium,2017,0.6319,I,50.6402809,4.6667145
Belgium,2018,0.6319,I,50.6402809,4.6667145
Benin,2002,0.041,I,9.5293472,2.2584408
Benin,2007,0.041,I,9.5293472,2.2584408
Benin,2012,0.041,I,9.5293472,2.2584408
Benin,2017,0.041,I,9.5293472,2.2584408
Benin,2018,0.041,I,9.5293472,2.2584408
Bhutan,2012,0.0,I,27.549511,90.5119273
Bhutan,2017,0.0,I,27.549511,90.5119273
Bhutan,2018,0.0,I,27.549511,90.5119273
Bosnia and Herzegovina,2002,0.3164,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2007,0.3274,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2012,0.3045,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2017,0.2937,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2018,0.2937,I,44.3053476,17.5961467
