country,year,value,symbol,lat,lon
Afghanistan,2002,17.24,I,33.7680065,66.2385139
Afghanistan,2007,17.24,I,33.7680065,66.2385139
Afghanistan,2012,17.24,I,33.7680065,66.2385139
Afghanistan,2017,17.24,I,33.7680065,66.2385139
Afghanistan,2018,17.24,I,33.7680065,66.2385139
Albania,2015,0.73,OF,41.000028,19.9999619
Algeria,2012,4.8,OF,28.0000272,2.9999825
Algeria,2017,1.699,OF,28.0000272,2.9999825
Algeria,2018,1.699,I,28.0000272,2.9999825
Antigua and Barbuda,2012,0.0037,OF,17.2234721,-61.9554608
Antigua and Barbuda,2017,0.0037,I,17.2234721,-61.9554608
Antigua and Barbuda,2018,0.0037,I,17.2234721,-61.9554608
Argentina,2012,26.36,I,-34.9964963,-64.9672817
Argentina,2017,26.36,I,-34.9964963,-64.9672817
Argentina,2018,26.36,I,-34.9964963,-64.9672817
Armenia,1997,1.33,OF,40.7696272,44.6736646
Armenia,2002,1.158,OF,40.7696272,44.6736646
Armenia,2007,2.154,OF,40.7696272,44.6736646
Armenia,2012,1.627,OF,40.7696272,44.6736646
Armenia,2017,1.72,OF,40.7696272,44.6736646
Austria,1982,2.2002,I,47.2,13.2
Austria,1987,2.3394,I,47.2,13.2
Austria,1992,2.4486,I,47.2,13.2
Austria,1996,2.3885,I,47.2,13.2
Austria,2002,2.489069013,I,47.2,13.2
Austria,2007,2.451231963,I,47.2,13.2
Austria,2012,2.428529733,I,47.2,13.2
Austria,2017,2.428529733,I,47.2,13.2
Austria,2018,2.428529733,I,47.2,13.2
Azerbaijan,1997,11.42,OF,40.3936294,47.7872508
Azerbaijan,2002,9.53,OF,40.3936294,47.7872508
Azerbaijan,2007,11.5154649,I,40.3936294,47.7872508
Azerbaijan,2012,11.23391319,I,40.3936294,47.7872508
Azerbaijan,2017,9.9375,I,40.3936294,47.7872508
Bahrain,2007,0.0,I,44.3053476,17.5961467
Bahrain,2012,0.0,I,44.3053476,17.5961467
Bahrain,2017,0.0,I,44.3053476,17.5961467
Bahrain,2018,0.0,I,44.3053476,17.5961467
Bangladesh,2012,7.39,I,23.5031022,90.00386523825051
Bangladesh,2017,7.39,I,23.5031022,90.00386523825051
Bangladesh,2018,7.39,I,23.5031022,90.00386523825051
Belarus,2002,0.7306,I,53.4250605,27.6971358
Belarus,2007,0.694,I,53.4250605,27.6971358
Belarus,2012,0.673333333,I,53.4250605,27.6971358
Belarus,2017,0.589,OF,53.4250605,27.6971358
Belgium,2001,6.465,I,50.6402809,4.6667145
Belgium,2006,5.6585,I,50.6402809,4.6667145
Belgium,2012,4.664,X,50.6402809,4.6667145
Belgium,2017,3.362,I,50.6402809,4.6667145
Belgium,2018,3.362,I,50.6402809,4.6667145
Benin,2002,0.089,I,9.5293472,2.2584408
Benin,2007,0.089,I,9.5293472,2.2584408
Benin,2012,0.089,I,9.5293472,2.2584408
Benin,2017,0.089,I,9.5293472,2.2584408
Benin,2018,0.089,I,9.5293472,2.2584408
Bhutan,2012,0.3379,I,27.549511,90.5119273
Bhutan,2017,0.3379,I,27.549511,90.5119273
Bhutan,2018,0.3379,I,27.549511,90.5119273
Bosnia and Herzegovina,2002,0.0591,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2007,0.0622,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2012,0.1332,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2017,0.1072,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2018,0.1072,I,44.3053476,17.5961467
Botswana,2002,0.070163636,I,-23.1681782,24.5928742
Botswana,2007,0.085572727,I,-23.1681782,24.5928742
Botswana,2012,0.091,OF,-23.1681782,24.5928742
Botswana,2017,0.0761,OF,-23.1681782,24.5928742
Botswana,2018,0.0761,I,-23.1681782,24.5928742
Brazil,2015,59.39,OF,-10.3333333,-53.2
Brunei Darussalam,1997,0.0915,I,4.4137155,114.5653908
Brunei Darussalam,2002,0.0915,I,4.4137155,114.5653908
Brunei Darussalam,2007,0.0915,I,4.4137155,114.5653908
Brunei Darussalam,2012,0.0915,I,4.4137155,114.5653908
Brunei Darussalam,2017,0.0915,I,4.4137155,114.5653908
Brunei Darussalam,2018,0.0915,I,4.4137155,114.5653908
Bulgaria,2002,5.929,X,42.6073975,25.4856617
Bulgaria,2007,5.56,X,42.6073975,25.4856617
Bulgaria,2012,5.149,X,42.6073975,25.4856617
Bulgaria,2015,5.071,OF,42.6073975,25.4856617
Canada,1992,43.316,I,61.0666922,-107.991707
Canada,1997,40.26235575,I,61.0666922,-107.991707
Canada,2002,39.87413447,I,61.0666922,-107.991707
Canada,2007,39.4859132,I,61.0666922,-107.991707
Canada,2012,34.82479922,I,61.0666922,-107.991707
Canada,2017,34.02203217,I,61.0666922,-107.991707
Canada,2018,34.02203217,I,61.0666922,-107.991707
Chile,2007,38.11888889,I,-31.7613365,-71.3187697
Chile,2012,65.76333333,I,-31.7613365,-71.3187697
Chile,2017,82.35,I,-31.7613365,-71.3187697
Chile,2018,82.35,I,-31.7613365,-71.3187697
China,1982,396.1223586,I,35.000074,104.999927
China,1987,420.3569105,I,35.000074,104.999927
China,1992,435.6443242,I,35.000074,104.999927
China,1997,441.6,I,35.000074,104.999927
China,2002,447.48,I,35.000074,104.999927
China,2004,450.96,I,35.000074,104.999927
China,2010,476.6484414,I,35.000074,104.999927
China,2017,484.9,I,35.000074,104.999927
China,2018,484.9,I,35.000074,104.999927
Colombia,2008,10.69,E,4.099917,-72.9088133
Congo,2002,0.022,OF,-0.7264327,15.6419155
Congo,2007,0.022,I,-0.7264327,15.6419155
Congo,2012,0.022,I,-0.7264327,15.6419155
Congo,2017,0.022,I,-0.7264327,15.6419155
Congo,2018,0.022,I,-0.7264327,15.6419155
Croatia,2012,0.2111,X,45.5643442,17.0118954
Croatia,2015,0.256,X,45.5643442,17.0118954
Cuba,2017,4.314,I,23.0131338,-80.8328748
Cuba,2018,4.314,I,23.0131338,-80.8328748
Cyprus,2006,0.02042,I,34.9823018,33.1451285
Cyprus,2012,0.1003,X,34.9823018,33.1451285
Cyprus,2017,0.061,OF,34.9823018,33.1451285
Czechia,1997,1.906,X,49.8167003,15.4749544
Czechia,2002,1.368,X,49.8167003,15.4749544
Czechia,2007,1.589,X,49.8167003,15.4749544
Czechia,2012,1.461,X,49.8167003,15.4749544
Czechia,2017,1.261,OF,49.8167003,15.4749544
Denmark,1977,0.045,I,55.670249,10.3333283
Denmark,1982,0.05246888,I,55.670249,10.3333283
Denmark,1987,0.049979253,I,55.670249,10.3333283
Denmark,1992,0.031073767,I,55.670249,10.3333283
Denmark,1997,0.016,X,55.670249,10.3333283
Denmark,2002,0.0184,X,55.670249,10.3333283
Denmark,2007,0.0034,X,55.670249,10.3333283
Denmark,2012,0.1068,X,55.670249,10.3333283
Denmark,2015,0.1725,OF,55.670249,10.3333283
Djibouti,2002,0.001,I,11.8145966,42.8453061
Djibouti,2007,0.001,I,11.8145966,42.8453061
Djibouti,2012,0.001,I,11.8145966,42.8453061
Djibouti,2017,0.001,I,11.8145966,42.8453061
Djibouti,2018,0.001,I,11.8145966,42.8453061
Dominica,2007,0.0183,I,15.4113138,-61.3653618
Dominica,2012,0.02,I,15.4113138,-61.3653618
Dominica,2017,0.02,I,15.4113138,-61.3653618
Dominica,2018,0.02,I,15.4113138,-61.3653618
El Salvador,2007,1.483,I,13.8000382,-88.9140683
El Salvador,2012,1.483,I,13.8000382,-88.9140683
El Salvador,2017,1.483,I,13.8000382,-88.9140683
El Salvador,2018,1.483,I,13.8000382,-88.9140683
Estonia,1992,2.221,X,58.71971295,24.507544106789936
Estonia,1997,1.155437806,I,58.71971295,24.507544106789936
Estonia,2002,1.177,X,58.71971295,24.507544106789936
Estonia,2007,1.586,X,58.71971295,24.507544106789936
Estonia,2012,1.357,OF,58.71971295,24.507544106789936
Estonia,2017,1.538,OF,58.71971295,24.507544106789936
Finland,1972,3.265,I,63.2467777,25.9209164
Finland,1977,3.435,I,63.2467777,25.9209164
Finland,1982,3.578,I,63.2467777,25.9209164
Finland,1987,3.0428,I,63.2467777,25.9209164
Finland,1992,2.1714,I,63.2467777,25.9209164
Finland,1997,2.1705,I,63.2467777,25.9209164
Finland,2002,3.866571429,I,63.2467777,25.9209164
Finland,2006,6.298,X,63.2467777,25.9209164
France,1982,26.64,I,46.603354,1.8883335
France,1987,29.818,I,46.603354,1.8883335
France,1992,33.2,X,46.603354,1.8883335
France,1996,26.024,I,46.603354,1.8883335
France,2001,26.28,I,46.603354,1.8883335
France,2006,26.23,I,46.603354,1.8883335
France,2012,22.93610577,I,46.603354,1.8883335
France,2014,22.31004808,I,46.603354,1.8883335
France,2018,21.324,I,46.603354,1.8883335
Georgia,2007,1.201401544,I,41.6809707,44.0287382
Georgia,2008,1.203602317,I,41.6809707,44.0287382
Germany,1992,42.29300079,I,51.0834196,10.4234469
Germany,1997,40.12050191,I,51.0834196,10.4234469
Germany,2002,36.22189281,I,51.0834196,10.4234469
Germany,2006,29.06130302,I,51.0834196,10.4234469
Germany,2012,21.99,I,51.0834196,10.4234469
Germany,2017,18.48,I,51.0834196,10.4234469
Germany,2018,18.48,I,51.0834196,10.4234469
Greece,1972,3.173491829,I,38.9953683,21.9877132
Greece,1977,3.293937743,I,38.9953683,21.9877132
Greece,1982,3.585467992,I,38.9953683,21.9877132
Greece,1987,4.596201988,I,38.9953683,21.9877132
Greece,1992,5.024,X,38.9953683,21.9877132
Greece,1997,5.428395123,I,38.9953683,21.9877132
Greece,2002,5.772787261,I,38.9953683,21.9877132
Greece,2007,6.012611695,I,38.9953683,21.9877132
Greece,2012,4.32,X,38.9953683,21.9877132
Greece,2015,4.297,X,38.9953683,21.9877132
Grenade,2007,0.010688889,I,12.1360374,-61.6904045
Grenade,2012,0.012411111,I,12.1360374,-61.6904045
Grenade,2017,0.0131,I,12.1360374,-61.6904045
Grenade,2018,0.0131,I,12.1360374,-61.6904045
Guinea,1987,0.666,OF,8.0300284,-1.0800271
Guinea,1992,0.609923077,I,8.0300284,-1.0800271
Guinea,1997,0.553846154,I,8.0300284,-1.0800271
Guinea,2002,0.505125,I,8.0300284,-1.0800271
Guinea,2007,0.5602,I,8.0300284,-1.0800271
Guinea,2012,0.6692,I,8.0300284,-1.0800271
Guinea,2017,0.7782,I,8.0300284,-1.0800271
Guinea-Bissau,1997,0.144,I,12.100035,-14.9000214
Guinea-Bissau,2002,0.144,I,12.100035,-14.9000214
Guinea-Bissau,2007,0.144,I,12.100035,-14.9000214
Guinea-Bissau,2012,0.144,I,12.100035,-14.9000214
Guinea-Bissau,2017,0.144,I,12.100035,-14.9000214
Guinea-Bissau,2018,0.144,I,12.100035,-14.9000214
Honduras,2007,1.443,I,15.2572432,-86.0755145
Honduras,2012,1.443,I,15.2572432,-86.0755145
Honduras,2017,1.443,I,15.2572432,-86.0755145
Honduras,2018,1.443,I,15.2572432,-86.0755145
Hungary,1972,2.5704,I,47.1817585,19.5060937
Hungary,1977,3.3104,I,47.1817585,19.5060937
Hungary,1982,4.007863309,I,47.1817585,19.5060937
Hungary,1987,5.071970195,I,47.1817585,19.5060937
Hungary,1992,6.019,X,47.1817585,19.5060937
Hungary,1997,5.116666667,I,47.1817585,19.5060937
Hungary,2002,5.03,I,47.1817585,19.5060937
Hungary,2007,4.943333333,I,47.1817585,19.5060937
Hungary,2012,4.516,X,47.1817585,19.5060937
Hungary,2017,3.916,X,47.1817585,19.5060937
Hungary,2018,3.916,I,47.1817585,19.5060937
Iceland,1982,0.0062,I,64.9841821,-18.1059013
Iceland,1987,0.0076,I,64.9841821,-18.1059013
Iceland,1992,0.007,X,64.9841821,-18.1059013
Iceland,1997,0.00575,I,64.9841821,-18.1059013
Iceland,2002,0.005,X,64.9841821,-18.1059013
Iceland,2007,0.0075,I,64.9841821,-18.1059013
Iceland,2012,0.0098,OF,64.9841821,-18.1059013
Iceland,2017,0.04,OF,64.9841821,-18.1059013
Iceland,2018,0.04,I,64.9841821,-18.1059013
India,2012,396.5,I,22.3511148,78.6677428
India,2017,396.5,I,22.3511148,78.6677428
India,2018,396.5,I,22.3511148,78.6677428
Indonesia,2002,107.2052634,I,-2.4833826,117.8902853
Indonesia,2007,136.068422,I,-2.4833826,117.8902853
Indonesia,2012,164.9315805,I,-2.4833826,117.8902853
Indonesia,2017,188.0221074,I,-2.4833826,117.8902853
Indonesia,2018,188.0221074,I,-2.4833826,117.8902853
Iran (Islamic Republic of),2007,39.85,I,32.6475314,54.5643516
Iran (Islamic Republic of),2012,39.85,I,32.6475314,54.5643516
Iran (Islamic Republic of),2017,39.85,I,32.6475314,54.5643516
Iran (Islamic Republic of),2018,39.85,I,32.6475314,54.5643516
Ireland,1982,0.945857143,I,52.865196,-7.9794599
Ireland,1987,0.948,I,52.865196,-7.9794599
Ireland,1992,0.950142857,I,52.865196,-7.9794599
Ireland,1997,0.810272727,I,52.865196,-7.9794599
Ireland,2002,0.575727273,I,52.865196,-7.9794599
Ireland,2007,0.517,X,52.865196,-7.9794599
Ireland,2012,0.743,I,52.865196,-7.9794599
Ireland,2017,1.046333333,I,52.865196,-7.9794599
Israel,1997,0.562037275,I,31.5313113,34.8667654
Israel,2002,0.554386844,I,31.5313113,34.8667654
Israel,2007,0.506834769,I,31.5313113,34.8667654
Israel,2012,0.4548,I,31.5313113,34.8667654
Israel,2015,0.381,OF,31.5313113,34.8667654
Jamaica,1997,0.278952381,I,18.1850507,-77.3947693
Jamaica,2002,0.535142857,I,18.1850507,-77.3947693
Jamaica,2007,0.791333333,I,18.1850507,-77.3947693
Jamaica,2012,1.04752381,I,18.1850507,-77.3947693
Jamaica,2017,1.21,I,18.1850507,-77.3947693
Jamaica,2018,1.21,I,18.1850507,-77.3947693
Japan,1997,77.0,E,36.5748441,139.2394179
Japan,2001,75.92731192,I,36.5748441,139.2394179
Japan,2006,72.698,I,36.5748441,139.2394179
Japan,2008,72.135,I,36.5748441,139.2394179
Japan,2018,70.5,I,36.5748441,139.2394179
Jordan,2007,0.33666913,I,31.1667049,36.941628
Jordan,2012,0.297683292,I,31.1667049,36.941628
Jordan,2017,0.2888,I,31.1667049,36.941628
Jordan,2018,0.2888,I,31.1667049,36.941628
Kazakhstan,2002,21.1,OF,47.2286086,65.2093197
Kazakhstan,2007,21.6,OF,47.2286086,65.2093197
Kazakhstan,2012,21.46,OF,47.2286086,65.2093197
Kazakhstan,2017,21.42,OF,47.2286086,65.2093197
Kenya,2017,3.507,I,1.4419683,38.4313975
Kenya,2018,3.507,I,1.4419683,38.4313975
Kuwait,2002,0.0,OF,29.2733964,47.4979476
Kuwait,2007,0.0,I,29.2733964,47.4979476
Kuwait,2012,0.0,I,29.2733964,47.4979476
Kuwait,2017,0.0,I,29.2733964,47.4979476
Kuwait,2018,0.0,I,29.2733964,47.4979476
Kyrgyzstan,1997,9.289580184,I,41.5089324,74.724091
Kyrgyzstan,2002,8.750440245,I,41.5089324,74.724091
Kyrgyzstan,2007,7.401,I,41.5089324,74.724091
Kyrgyzstan,2012,7.401,I,41.5089324,74.724091
Kyrgyzstan,2017,7.401,I,41.5089324,74.724091
Kyrgyzstan,2018,7.401,I,41.5089324,74.724091
Latvia,2006,0.11104,I,56.8406494,24.7537645
Latvia,2011,0.0963,X,56.8406494,24.7537645
Latvia,2017,0.0976,OF,56.8406494,24.7537645
Lebanon,2007,0.447740146,I,33.8750629,35.843409
Lebanon,2012,0.577090511,I,33.8750629,35.843409
Lebanon,2017,0.65470073,I,33.8750629,35.843409
Lebanon,2018,0.65470073,I,33.8750629,35.843409
Libya,2002,0.0244,I,26.8234472,18.1236723
Libya,2007,0.092142857,I,26.8234472,18.1236723
Libya,2012,0.17,OF,26.8234472,18.1236723
Libya,2017,0.17,I,26.8234472,18.1236723
Libya,2018,0.17,I,26.8234472,18.1236723
Lithuania,2006,2.146,I,55.3500003,23.7499997
Lithuania,2012,0.373433333,I,55.3500003,23.7499997
Lithuania,2017,0.1186,OF,55.3500003,23.7499997
Luxembourg,1972,0.025362184,I,49.8158683,6.1296751
Luxembourg,1977,0.027705575,I,49.8158683,6.1296751
Luxembourg,1982,0.024748448,I,49.8158683,6.1296751
Luxembourg,1987,0.0232,I,49.8158683,6.1296751
Luxembourg,1992,0.0262,I,49.8158683,6.1296751
Luxembourg,1997,0.0286,I,49.8158683,6.1296751
Luxembourg,2002,0.02644,I,49.8158683,6.1296751
Luxembourg,2007,0.02184,I,49.8158683,6.1296751
Luxembourg,2012,0.0237,X,49.8158683,6.1296751
Luxembourg,2017,0.0227,OF,49.8158683,6.1296751
Malaysia,1997,5.361894737,I,39.7837304,-100.445882
Malaysia,2002,5.576368421,I,39.7837304,-100.445882
Malaysia,2007,5.790842105,I,39.7837304,-100.445882
Malaysia,2012,6.00531579,I,39.7837304,-100.445882
Malaysia,2017,6.617,OF,39.7837304,-100.445882
Malaysia,2018,6.617,I,39.7837304,-100.445882
Mali,2007,5.125,I,16.3700359,-2.2900239
Mali,2012,5.125,I,16.3700359,-2.2900239
Mali,2017,5.125,I,16.3700359,-2.2900239
Mali,2018,5.125,I,16.3700359,-2.2900239
Malta,1987,0.0,I,35.8885993,14.4476911
Malta,1992,0.0,I,35.8885993,14.4476911
Malta,1997,0.0,I,35.8885993,14.4476911
Malta,2002,0.0,I,35.8885993,14.4476911
Malta,2007,0.0013,I,35.8885993,14.4476911
Malta,2012,0.0026,X,35.8885993,14.4476911
Malta,2016,0.0026,"4",35.8885993,14.4476911
Mauritius,2007,0.518,OF,-20.2759451,57.5703566
Mauritius,2012,0.46,OF,-20.2759451,57.5703566
Mauritius,2017,0.468,OF,-20.2759451,57.5703566
Mexico,1982,40.19756963,I,22.5000485,-100.000037
Mexico,1987,42.34149369,I,22.5000485,-100.000037
Mexico,1992,44.48541776,I,22.5000485,-100.000037
Mexico,1997,46.62934183,I,22.5000485,-100.000037
Mexico,2001,48.34448108,I,22.5000485,-100.000037
Mexico,2003,48.25020747,I,22.5000485,-100.000037
Mexico,2012,50.95,OF,22.5000485,-100.000037
Mexico,2017,53.45,OF,22.5000485,-100.000037
Mongolia,2007,0.097658642,I,46.8250388,103.8499736
Mongolia,2012,0.088072407,I,46.8250388,103.8499736
Mongolia,2017,0.083060741,I,46.8250388,103.8499736
Mongolia,2018,0.083060741,I,46.8250388,103.8499736
Morocco,2002,11.09093984,I,31.1728205,-7.3362482
Morocco,2007,9.315977441,I,31.1728205,-7.3362482
Morocco,2012,8.251,I,31.1728205,-7.3362482
Morocco,2017,8.251,I,31.1728205,-7.3362482
Morocco,2018,8.251,I,31.1728205,-7.3362482
Myanmar,2002,30.24,I,17.1750495,95.9999652
Myanmar,2007,30.24,I,17.1750495,95.9999652
Myanmar,2012,30.24,I,17.1750495,95.9999652
Myanmar,2017,30.24,I,17.1750495,95.9999652
Myanmar,2018,30.24,I,17.1750495,95.9999652
Namibia,1997,0.154133333,I,-23.2335499,17.3231107
Namibia,2001,0.159834546,I,-23.2335499,17.3231107
Namibia,2007,0.1566,I,-23.2335499,17.3231107
Namibia,2012,0.1566,I,-23.2335499,17.3231107
Namibia,2017,0.1566,I,-23.2335499,17.3231107
Namibia,2018,0.1566,I,-23.2335499,17.3231107
Netherlands,1982,8.2108,I,52.24764975,5.541246849406163
Netherlands,1987,7.6664,I,52.24764975,5.541246849406163
Netherlands,1992,6.5132,I,52.24764975,5.541246849406163
Netherlands,1997,5.8708,I,52.24764975,5.541246849406163
Netherlands,2002,8.524879505,I,52.24764975,5.541246849406163
Netherlands,2007,9.946,OF,52.24764975,5.541246849406163
Netherlands,2012,9.776,OF,52.24764975,5.541246849406163
Netherlands,2015,7.418,OF,52.24764975,5.541246849406163
New Zealand,2002,2.768,I,-41.5000831,172.8344077
New Zealand,2007,3.51575,I,-41.5000831,172.8344077
New Zealand,2012,5.419,I,-41.5000831,172.8344077
New Zealand,2017,7.311,I,-41.5000831,172.8344077
New Zealand,2018,7.311,I,-41.5000831,172.8344077
Niger,1992,0.049103059,I,35.000074,104.999927
Niger,1997,0.060481882,I,35.000074,104.999927
Niger,2002,0.071860706,I,35.000074,104.999927
Niger,2007,0.088072889,I,35.000074,104.999927
Niger,2012,0.111535111,I,35.000074,104.999927
Niger,2017,0.139776,I,35.000074,104.999927
Niger,2018,0.139776,I,35.000074,104.999927
North Macedonia,2002,0.5852,X,41.6171214,21.7168387
North Macedonia,2007,0.4349,X,41.6171214,21.7168387
North Macedonia,2012,0.534837169,I,41.6171214,21.7168387
North Macedonia,2017,0.882379906,I,41.6171214,21.7168387
North Macedonia,2018,0.882379906,I,41.6171214,21.7168387
Oman,2007,0.0408,I,21.0000287,57.0036901
Oman,2012,0.0918,I,21.0000287,57.0036901
Oman,2014,0.102,I,21.0000287,57.0036901
Pakistan,2012,128.3,OF,30.3308401,71.247499
Pakistan,2017,138.3,OF,30.3308401,71.247499
Paraguay,2017,1.969,I,-23.3165935,-58.1693445
Paraguay,2018,1.969,I,-23.3165935,-58.1693445
Peru,2012,12.90672861,I,-6.8699697,-75.0458515
Peru,2017,24.44922861,I,-6.8699697,-75.0458515
Philippines,2007,78.57251565,I,12.7503486,122.7312101
