country,year,value,symbol,lat,lon
Afghanistan,1972,136.117015,X,33.7680065,66.2385139
Afghanistan,1977,226.005343,X,33.7680065,66.2385139
Afghanistan,1982,269.723949,X,33.7680065,66.2385139
Afghanistan,1987,251.026688,X,33.7680065,66.2385139
Afghanistan,1992,248.51889,X,33.7680065,66.2385139
Afghanistan,1997,164.092893,X,33.7680065,66.2385139
Afghanistan,2002,194.958382,X,33.7680065,66.2385139
Afghanistan,2007,389.985586,X,33.7680065,66.2385139
Afghanistan,2012,694.885618,X,33.7680065,66.2385139
Afghanistan,2017,605.557362,X,33.7680065,66.2385139
Afghanistan,2018,563.983834,X,33.7680065,66.2385139
Albania,1972,1063.749953,X,41.000028,19.9999619
Albania,1977,1096.460184,X,41.000028,19.9999619
Albania,1982,817.850818,X,41.000028,19.9999619
Albania,1987,761.91567,X,41.000028,19.9999619
Albania,1992,467.862514,X,41.000028,19.9999619
Albania,1997,719.244989,X,41.000028,19.9999619
Albania,2002,1396.545492,X,41.000028,19.9999619
Albania,2007,3530.969114,X,41.000028,19.9999619
Albania,2012,4219.046254,X,41.000028,19.9999619
Albania,2017,4445.132198,X,41.000028,19.9999619
Albania,2018,5131.908959,X,41.000028,19.9999619
Algeria,1972,466.696038,X,28.0000272,2.9999825
Algeria,1977,1186.586818,X,28.0000272,2.9999825
Algeria,1982,2191.655233,X,28.0000272,2.9999825
Algeria,1987,2689.767345,X,28.0000272,2.9999825
Algeria,1992,1806.60696,X,28.0000272,2.9999825
Algeria,1997,1608.348646,X,28.0000272,2.9999825
Algeria,2002,1775.875268,X,28.0000272,2.9999825
Algeria,2007,3935.183362,X,28.0000272,2.9999825
Algeria,2012,5565.136948,X,28.0000272,2.9999825
Algeria,2017,4051.244377,X,28.0000272,2.9999825
Algeria,2018,4136.289853,X,28.0000272,2.9999825
Andorra,1972,5336.382732,X,42.5407167,1.5732033
Andorra,1977,9807.150739,X,42.5407167,1.5732033
Andorra,1982,12160.71913,X,42.5407167,1.5732033
Andorra,1987,15963.13068,X,42.5407167,1.5732033
Andorra,1992,25999.0836,X,42.5407167,1.5732033
Andorra,1997,23223.54668,X,42.5407167,1.5732033
Andorra,2002,24742.61901,X,42.5407167,1.5732033
Andorra,2007,48580.37453,X,42.5407167,1.5732033
Andorra,2012,38391.43234,X,42.5407167,1.5732033
Andorra,2017,39249.68902,X,42.5407167,1.5732033
Andorra,2018,42080.55769,X,42.5407167,1.5732033
Angola,1972,578.188935,X,47.2,13.2
Angola,1977,534.280069,X,47.2,13.2
Angola,1982,698.487595,X,47.2,13.2
Angola,1987,877.477552,X,47.2,13.2
Angola,1992,1433.185424,X,47.2,13.2
Angola,1997,677.765494,X,47.2,13.2
Angola,2002,869.851352,X,47.2,13.2
Angola,2007,3108.266911,X,47.2,13.2
Angola,2012,5102.492352,X,47.2,13.2
Angola,2017,4100.291004,X,47.2,13.2
Angola,2018,3441.269755,X,47.2,13.2
Antigua and Barbuda,1972,815.391021,X,17.2234721,-61.9554608
Antigua and Barbuda,1977,1109.072181,X,17.2234721,-61.9554608
Antigua and Barbuda,1982,2326.163286,X,17.2234721,-61.9554608
Antigua and Barbuda,1987,4969.770419,X,17.2234721,-61.9554608
Antigua and Barbuda,1992,7296.556644,X,17.2234721,-61.9554608
Antigua and Barbuda,1997,8755.174604,X,17.2234721,-61.9554608
Antigua and Barbuda,2002,9440.352879,X,17.2234721,-61.9554608
Antigua and Barbuda,2007,14365.77909,X,17.2234721,-61.9554608
Antigua and Barbuda,2012,12399.10462,X,17.2234721,-61.9554608
Antigua and Barbuda,2017,14390.24603,X,17.2234721,-61.9554608
Antigua and Barbuda,2018,15629.05458,X,17.2234721,-61.9554608
Argentina,1972,1545.839979,X,-34.9964963,-64.9672817
Argentina,1977,2293.834201,X,-34.9964963,-64.9672817
Argentina,1982,3002.052353,X,-34.9964963,-64.9672817
Argentina,1987,3764.20729,X,-34.9964963,-64.9672817
Argentina,1992,7366.759988,X,-34.9964963,-64.9672817
Argentina,1997,8861.217104,X,-34.9964963,-64.9672817
Argentina,2002,2918.591423,X,-34.9964963,-64.9672817
Argentina,2007,7249.274928,X,-34.9964963,-64.9672817
Argentina,2012,13811.78016,X,-34.9964963,-64.9672817
Argentina,2017,14517.29125,X,-34.9964963,-64.9672817
Argentina,2018,11601.89008,X,-34.9964963,-64.9672817
Armenia,1992,363.653731,X,40.7696272,44.6736646
Armenia,1997,557.761578,X,40.7696272,44.6736646
Armenia,2002,835.283238,X,40.7696272,44.6736646
Armenia,2007,3347.296067,X,40.7696272,44.6736646
Armenia,2012,3684.805034,X,40.7696272,44.6736646
Armenia,2017,3933.682101,X,40.7696272,44.6736646
Armenia,2018,4237.388785,X,40.7696272,44.6736646
Australia,1972,4466.44043,X,-24.7761086,134.755
Australia,1977,8229.067139,X,-24.7761086,134.755
Australia,1982,12772.62927,X,-24.7761086,134.755
Australia,1987,14026.68007,X,-24.7761086,134.755
Australia,1992,18647.39065,X,-24.7761086,134.755
Australia,1997,23634.6236,X,-24.7761086,134.755
Australia,2002,22344.90605,X,-24.7761086,134.755
Australia,2007,47030.84918,X,-24.7761086,134.755
Australia,2012,69701.08158,X,-24.7761086,134.755
Australia,2017,57917.09369,X,-24.7761086,134.755
Australia,2018,58689.49019,X,-24.7761086,134.755
Austria,1972,2909.885164,X,47.2,13.2
Austria,1977,6750.088928,X,47.2,13.2
Austria,1982,9375.303621,X,47.2,13.2
Austria,1987,16254.38865,X,47.2,13.2
Austria,1992,24910.41306,X,47.2,13.2
Austria,1997,26489.42505,X,47.2,13.2
Austria,2002,26232.68623,X,47.2,13.2
Austria,2007,46761.50662,X,47.2,13.2
Austria,2012,48068.43873,X,47.2,13.2
Austria,2017,47887.17438,X,47.2,13.2
Austria,2018,52047.26046,X,47.2,13.2
Azerbaijan,1992,708.934654,X,40.3936294,47.7872508
Azerbaijan,1997,499.937267,X,40.3936294,47.7872508
Azerbaijan,2002,753.417207,X,40.3936294,47.7872508
Azerbaijan,2007,3788.202109,X,40.3936294,47.7872508
Azerbaijan,2012,7520.835158,X,40.3936294,47.7872508
Azerbaijan,2017,4158.357869,X,40.3936294,47.7872508
Azerbaijan,2018,4729.900727,X,40.3936294,47.7872508
Bahamas,1972,4779.87758,X,24.7736546,-78.0000547
Bahamas,1977,6534.48416,X,24.7736546,-78.0000547
Bahamas,1982,11595.4512,X,24.7736546,-78.0000547
Bahamas,1987,16167.96571,X,24.7736546,-78.0000547
Bahamas,1992,17594.08719,X,24.7736546,-78.0000547
Bahamas,1997,22066.41809,X,24.7736546,-78.0000547
Bahamas,2002,28727.15158,X,24.7736546,-78.0000547
Bahamas,2007,31017.91265,X,24.7736546,-78.0000547
Bahamas,2012,28815.5274,X,24.7736546,-78.0000547
Bahamas,2017,30732.41923,X,24.7736546,-78.0000547
Bahamas,2018,31116.87141,X,24.7736546,-78.0000547
Bahrain,1972,2511.751558,X,44.3053476,17.5961467
Bahrain,1977,7071.441725,X,44.3053476,17.5961467
Bahrain,1982,11575.40336,X,44.3053476,17.5961467
Bahrain,1987,8464.643126,X,44.3053476,17.5961467
Bahrain,1992,10384.90784,X,44.3053476,17.5961467
Bahrain,1997,12296.28059,X,44.3053476,17.5961467
Bahrain,2002,13049.76563,X,44.3053476,17.5961467
Bahrain,2007,20977.12253,X,44.3053476,17.5961467
Bahrain,2012,23649.38509,X,44.3053476,17.5961467
Bahrain,2017,23739.14392,X,44.3053476,17.5961467
Bahrain,2018,24171.32841,X,44.3053476,17.5961467
Bangladesh,1972,91.891264,X,23.5031022,90.00386523825051
Bangladesh,1977,132.791745,X,23.5031022,90.00386523825051
Bangladesh,1982,179.555054,X,23.5031022,90.00386523825051
Bangladesh,1987,233.61305,X,23.5031022,90.00386523825051
Bangladesh,1992,275.939671,X,23.5031022,90.00386523825051
Bangladesh,1997,332.400569,X,23.5031022,90.00386523825051
Bangladesh,2002,345.494326,X,23.5031022,90.00386523825051
Bangladesh,2007,542.519448,X,23.5031022,90.00386523825051
Bangladesh,2012,827.725854,X,23.5031022,90.00386523825051
Bangladesh,2017,1491.67341,X,23.5031022,90.00386523825051
Bangladesh,2018,1620.668482,X,23.5031022,90.00386523825051
Barbados,1972,1160.948086,X,13.1500331,-59.5250305
Barbados,1977,2385.360146,X,13.1500331,-59.5250305
Barbados,1982,4682.266501,X,13.1500331,-59.5250305
Barbados,1987,6755.309523,X,13.1500331,-59.5250305
Barbados,1992,7513.915046,X,13.1500331,-59.5250305
