country,year,value,symbol,lat,lon
Afghanistan,2012,10.9,I,33.7680065,66.2385139
Afghanistan,2017,10.9,I,33.7680065,66.2385139
Afghanistan,2018,10.9,I,33.7680065,66.2385139
Albania,2007,0.322,I,41.000028,19.9999619
Albania,2012,0.322,I,41.000028,19.9999619
Albania,2017,0.322,I,41.000028,19.9999619
Albania,2018,0.322,I,41.000028,19.9999619
Algeria,2002,2.511,I,28.0000272,2.9999825
Algeria,2007,2.511,I,28.0000272,2.9999825
Algeria,2012,2.511,I,28.0000272,2.9999825
Algeria,2017,2.511,I,28.0000272,2.9999825
Algeria,2018,2.511,I,28.0000272,2.9999825
Angola,2007,0.04,I,47.2,13.2
Angola,2012,0.04,I,47.2,13.2
Angola,2017,0.04,I,47.2,13.2
Angola,2018,0.04,I,47.2,13.2
Antigua and Barbuda,2002,0.0003,I,17.2234721,-61.9554608
Antigua and Barbuda,2007,0.0003,I,17.2234721,-61.9554608
Antigua and Barbuda,2012,0.0003,I,17.2234721,-61.9554608
Antigua and Barbuda,2017,0.0003,I,17.2234721,-61.9554608
Antigua and Barbuda,2018,0.0003,I,17.2234721,-61.9554608
Argentina,2012,12.23,I,-34.9964963,-64.9672817
Argentina,2017,12.23,I,-34.9964963,-64.9672817
Argentina,2018,12.23,I,-34.9964963,-64.9672817
Armenia,2007,0.624,I,40.7696272,44.6736646
Armenia,2012,0.624,I,40.7696272,44.6736646
Armenia,2017,0.624,I,40.7696272,44.6736646
Armenia,2018,0.624,I,40.7696272,44.6736646
Australia,2012,3.892,I,-24.7761086,134.755
Australia,2017,3.892,I,-24.7761086,134.755
Australia,2018,3.892,I,-24.7761086,134.755
Austria,2012,0.0599,I,47.2,13.2
Austria,2017,0.0599,I,47.2,13.2
Austria,2018,0.0599,I,47.2,13.2
Azerbaijan,2007,3.62,I,40.3936294,47.7872508
Azerbaijan,2012,3.62,I,40.3936294,47.7872508
Azerbaijan,2017,3.62,I,40.3936294,47.7872508
Azerbaijan,2018,3.62,I,40.3936294,47.7872508
Bahrain,2002,0.04,I,44.3053476,17.5961467
Bahrain,2007,0.04,I,44.3053476,17.5961467
Bahrain,2012,0.04,I,44.3053476,17.5961467
Bahrain,2017,0.04,I,44.3053476,17.5961467
Bahrain,2018,0.04,I,44.3053476,17.5961467
Bangladesh,2012,24.56,I,23.5031022,90.00386523825051
Bangladesh,2017,24.56,I,23.5031022,90.00386523825051
Bangladesh,2018,24.56,I,23.5031022,90.00386523825051
Barbados,1992,0.0137,I,13.1500331,-59.5250305
Barbados,1997,0.0137,I,13.1500331,-59.5250305
Barbados,2002,0.0137,I,13.1500331,-59.5250305
Barbados,2007,0.0137,I,13.1500331,-59.5250305
Barbados,2012,0.0137,I,13.1500331,-59.5250305
Barbados,2017,0.0137,I,13.1500331,-59.5250305
Barbados,2018,0.0137,I,13.1500331,-59.5250305
Belarus,2012,0.043,I,53.4250605,27.6971358
Belarus,2017,0.043,I,53.4250605,27.6971358
Belarus,2018,0.043,I,53.4250605,27.6971358
Belgium,2012,0.0222,I,50.6402809,4.6667145
Belgium,2017,0.0222,I,50.6402809,4.6667145
Belgium,2018,0.0222,I,50.6402809,4.6667145
Benin,2012,0.0108,I,9.5293472,2.2584408
Benin,2017,0.0108,I,9.5293472,2.2584408
Benin,2018,0.0108,I,9.5293472,2.2584408
Bhutan,2007,0.1038,E,27.549511,90.5119273
Bhutan,2012,0.1038,I,27.549511,90.5119273
Bhutan,2017,0.1038,I,27.549511,90.5119273
Bhutan,2018,0.1038,I,27.549511,90.5119273
Bolivia (Plurinational State of),2002,0.6884,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2007,0.6884,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2012,0.6884,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2017,0.6884,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,0.6884,I,-17.0568696,-64.9912286
Botswana,2002,0.01,E,-23.1681782,24.5928742
Botswana,2007,0.01,I,-23.1681782,24.5928742
Botswana,2012,0.01,I,-23.1681782,24.5928742
Botswana,2017,0.01,I,-23.1681782,24.5928742
Botswana,2018,0.01,I,-23.1681782,24.5928742
Brazil,2007,15.3,I,-10.3333333,-53.2
Brazil,2012,15.3,I,-10.3333333,-53.2
Brazil,2017,15.3,I,-10.3333333,-53.2
Brazil,2018,15.3,I,-10.3333333,-53.2
Brunei Darussalam,1997,0.0027,I,4.4137155,114.5653908
Brunei Darussalam,2002,0.0027,I,4.4137155,114.5653908
Brunei Darussalam,2007,0.0027,I,4.4137155,114.5653908
Brunei Darussalam,2012,0.0027,I,4.4137155,114.5653908
Brunei Darussalam,2017,0.0027,I,4.4137155,114.5653908
Brunei Darussalam,2018,0.0027,I,4.4137155,114.5653908
Bulgaria,2007,0.2174,E,42.6073975,25.4856617
Bulgaria,2012,0.2174,I,42.6073975,25.4856617
Bulgaria,2017,0.2174,I,42.6073975,25.4856617
Bulgaria,2018,0.2174,I,42.6073975,25.4856617
Burkina Faso,2002,0.1289,I,12.0753083,-1.6880314
Burkina Faso,2007,0.1289,I,12.0753083,-1.6880314
Burkina Faso,2012,0.1289,I,12.0753083,-1.6880314
Burkina Faso,2017,0.1289,I,12.0753083,-1.6880314
Burkina Faso,2018,0.1289,I,12.0753083,-1.6880314
Burundi,2002,0.0284,I,50.6402809,4.6667145
Burundi,2007,0.0284,I,50.6402809,4.6667145
Burundi,2012,0.0284,I,50.6402809,4.6667145
Burundi,2017,0.0284,I,50.6402809,4.6667145
Burundi,2018,0.0284,I,50.6402809,4.6667145
Cabo Verde,2007,0.0077,I,16.0000552,-24.0083947
Cabo Verde,2012,0.0077,I,16.0000552,-24.0083947
Cabo Verde,2017,0.0077,I,16.0000552,-24.0083947
Cabo Verde,2018,0.0077,I,16.0000552,-24.0083947
Cambodia,2007,0.9186,I,13.5066394,104.869423
Cambodia,2012,0.9186,I,13.5066394,104.869423
Cambodia,2017,0.9186,I,13.5066394,104.869423
Cambodia,2018,0.9186,I,13.5066394,104.869423
Cameroon,2002,0.201,I,4.6125522,13.1535811
Cameroon,2007,0.201,I,4.6125522,13.1535811
Cameroon,2012,0.201,I,4.6125522,13.1535811
Cameroon,2017,0.201,I,4.6125522,13.1535811
Cameroon,2018,0.201,I,4.6125522,13.1535811
Canada,2012,2.544,I,61.0666922,-107.991707
Canada,2017,2.544,I,61.0666922,-107.991707
Canada,2018,2.544,I,61.0666922,-107.991707
Central African Republic,1987,0.0001,E,7.0323598,19.9981227
Central African Republic,1992,0.0001,I,7.0323598,19.9981227
Central African Republic,1997,0.0001,I,7.0323598,19.9981227
Central African Republic,2002,0.0001,I,7.0323598,19.9981227
Central African Republic,2007,0.0001,I,7.0323598,19.9981227
Central African Republic,2012,0.0001,I,7.0323598,19.9981227
Central African Republic,2017,0.0001,I,7.0323598,19.9981227
Central African Republic,2018,0.0001,I,7.0323598,19.9981227
Chad,2002,0.206,E,15.6134137,19.0156172
Chad,2007,0.206,I,15.6134137,19.0156172
Chad,2012,0.206,I,15.6134137,19.0156172
Chad,2017,0.206,I,15.6134137,19.0156172
Chad,2018,0.206,I,15.6134137,19.0156172
China,2007,256.9,I,35.000074,104.999927
China,2012,256.9,I,35.000074,104.999927
China,2017,256.9,I,35.000074,104.999927
China,2018,256.9,I,35.000074,104.999927
Colombia,2012,2.273,I,4.099917,-72.9088133
Colombia,2017,2.273,I,4.099917,-72.9088133
Colombia,2018,2.273,I,4.099917,-72.9088133
Congo,1997,0.0011,I,-0.7264327,15.6419155
Congo,2002,0.0011,I,-0.7264327,15.6419155
Congo,2007,0.0011,I,-0.7264327,15.6419155
Congo,2012,0.0011,I,-0.7264327,15.6419155
Congo,2017,0.0011,I,-0.7264327,15.6419155
Congo,2018,0.0011,I,-0.7264327,15.6419155
Cote d'Ivoire,2012,0.1432,I,7.9897371,-5.5679458
Cote d'Ivoire,2017,0.1432,I,7.9897371,-5.5679458
Cote d'Ivoire,2018,0.1432,I,7.9897371,-5.5679458
Cuba,2007,0.6854,E,23.0131338,-80.8328748
Cuba,2012,0.6854,I,23.0131338,-80.8328748
Cuba,2017,0.6854,I,23.0131338,-80.8328748
Cuba,2018,0.6854,I,23.0131338,-80.8328748
Cyprus,2012,0.0921,I,34.9823018,33.1451285
Cyprus,2017,0.0921,I,34.9823018,33.1451285
Cyprus,2018,0.0921,I,34.9823018,33.1451285
Czechia,2012,0.0029,I,49.8167003,15.4749544
Czechia,2017,0.0029,I,49.8167003,15.4749544
Czechia,2018,0.0029,I,49.8167003,15.4749544
Democratic People's Republic of Korea,1997,3.016,I,40.3736611,127.0870417
Democratic People's Republic of Korea,2002,3.016,I,40.3736611,127.0870417
Democratic People's Republic of Korea,2007,3.016,I,40.3736611,127.0870417
Democratic People's Republic of Korea,2012,3.016,I,40.3736611,127.0870417
Democratic People's Republic of Korea,2017,3.016,I,40.3736611,127.0870417
Democratic People's Republic of Korea,2018,3.016,I,40.3736611,127.0870417
Democratic Republic of the Congo,2002,0.0196,I,-2.9814344,23.8222636
Democratic Republic of the Congo,2007,0.0196,I,-2.9814344,23.8222636
Democratic Republic of the Congo,2012,0.0196,I,-2.9814344,23.8222636
Democratic Republic of the Congo,2017,0.0196,I,-2.9814344,23.8222636
Democratic Republic of the Congo,2018,0.0196,I,-2.9814344,23.8222636
Denmark,2012,0.0509,I,55.670249,10.3333283
Denmark,2017,0.0509,I,55.670249,10.3333283
Denmark,2018,0.0509,I,55.670249,10.3333283
Djibouti,2002,0.0008,I,11.8145966,42.8453061
Djibouti,2007,0.0008,I,11.8145966,42.8453061
Djibouti,2012,0.0008,I,11.8145966,42.8453061
Djibouti,2017,0.0008,I,11.8145966,42.8453061
Djibouti,2018,0.0008,I,11.8145966,42.8453061
Dominican Republic,2007,1.136,I,19.0974031,-70.3028026
Dominican Republic,2012,1.136,I,19.0974031,-70.3028026
Dominican Republic,2017,1.136,I,19.0974031,-70.3028026
Dominican Republic,2018,1.136,I,19.0974031,-70.3028026
Ecuador,2002,3.129,I,-1.3397668,-79.3666965
Ecuador,2007,3.129,I,-1.3397668,-79.3666965
Ecuador,2012,3.129,I,-1.3397668,-79.3666965
Ecuador,2017,3.129,I,-1.3397668,-79.3666965
Ecuador,2018,3.129,I,-1.3397668,-79.3666965
Egypt,2002,45.11,E,26.2540493,29.2675469
Egypt,2007,45.11,I,26.2540493,29.2675469
Egypt,2012,45.11,I,26.2540493,29.2675469
Egypt,2017,45.11,I,26.2540493,29.2675469
Egypt,2018,45.11,I,26.2540493,29.2675469
Eritrea,1997,0.043,I,52.865196,-7.9794599
Eritrea,2002,0.043,I,52.865196,-7.9794599
Eritrea,2007,0.043,I,52.865196,-7.9794599
Eritrea,2012,0.043,I,52.865196,-7.9794599
Eritrea,2017,0.043,I,52.865196,-7.9794599
Eritrea,2018,0.043,I,52.865196,-7.9794599
Estonia,2012,4e-05,I,58.71971295,24.507544106789936
Estonia,2017,4e-05,I,58.71971295,24.507544106789936
Estonia,2018,4e-05,I,58.71971295,24.507544106789936
Eswatini,2002,0.313,E,-26.5624806,31.3991317
Eswatini,2007,0.313,I,-26.5624806,31.3991317
Eswatini,2012,0.313,I,-26.5624806,31.3991317
Eswatini,2017,0.313,I,-26.5624806,31.3991317
Eswatini,2018,0.313,I,-26.5624806,31.3991317
Ethiopia,2002,1.475,I,10.2116702,38.6521203
Ethiopia,2007,1.475,I,10.2116702,38.6521203
Ethiopia,2012,1.475,I,10.2116702,38.6521203
Ethiopia,2017,1.475,I,10.2116702,38.6521203
Ethiopia,2018,1.475,I,10.2116702,38.6521203
Finland,2012,0.028,I,63.2467777,25.9209164
Finland,2017,0.028,I,63.2467777,25.9209164
Finland,2018,0.028,I,63.2467777,25.9209164
France,2012,2.351,I,46.603354,1.8883335
France,2017,2.351,I,46.603354,1.8883335
France,2018,2.351,I,46.603354,1.8883335
Gabon,2002,0.011,I,-0.8999695,11.6899699
Gabon,2007,0.011,I,-0.8999695,11.6899699
Gabon,2012,0.011,I,-0.8999695,11.6899699
Gabon,2017,0.011,I,-0.8999695,11.6899699
Gabon,2018,0.011,I,-0.8999695,11.6899699
Gambia,2002,0.012,I,13.470062,-15.4900464
Gambia,2007,0.012,I,13.470062,-15.4900464
Gambia,2012,0.012,I,13.470062,-15.4900464
Gambia,2017,0.012,I,13.470062,-15.4900464
Gambia,2018,0.012,I,13.470062,-15.4900464
Georgia,2007,0.248,E,41.6809707,44.0287382
Georgia,2012,0.248,I,41.6809707,44.0287382
Georgia,2017,0.248,I,41.6809707,44.0287382
Georgia,2018,0.248,I,41.6809707,44.0287382
Germany,2007,0.0479,I,51.0834196,10.4234469
