country,year,value,symbol,lat,lon
Bangladesh,2012,0.4,I,23.5031022,90.00386523825051
Bangladesh,2017,0.4,I,23.5031022,90.00386523825051
Bangladesh,2018,0.4,I,23.5031022,90.00386523825051
Chad,2002,3.0,E,15.6134137,19.0156172
Chad,2007,3.0,I,15.6134137,19.0156172
Chad,2012,3.0,I,15.6134137,19.0156172
Chad,2017,3.0,I,15.6134137,19.0156172
Chad,2018,3.0,I,15.6134137,19.0156172
Egypt,1997,149.5,I,26.2540493,29.2675469
Egypt,2002,149.5,I,26.2540493,29.2675469
Egypt,2007,149.5,I,26.2540493,29.2675469
Egypt,2012,149.5,I,26.2540493,29.2675469
Egypt,2017,149.5,I,26.2540493,29.2675469
Egypt,2018,149.5,I,26.2540493,29.2675469
India,2017,699.0,I,22.3511148,78.6677428
India,2018,699.0,I,22.3511148,78.6677428
Iraq,2012,3.1,I,33.0955793,44.1749775
Iraq,2017,3.1,I,33.0955793,44.1749775
Iraq,2018,3.1,I,33.0955793,44.1749775
Kyrgyzstan,2007,0.08,I,41.5089324,74.724091
Kyrgyzstan,2012,0.08,I,41.5089324,74.724091
Kyrgyzstan,2017,0.08,I,41.5089324,74.724091
Kyrgyzstan,2018,0.08,I,41.5089324,74.724091
Niger,2012,1.194,I,35.000074,104.999927
Niger,2017,1.194,I,35.000074,104.999927
Niger,2018,1.194,I,35.000074,104.999927
Oman,2007,0.001,I,21.0000287,57.0036901
Oman,2012,0.001,I,21.0000287,57.0036901
Oman,2017,0.001,I,21.0000287,57.0036901
Oman,2018,0.001,I,21.0000287,57.0036901
Pakistan,2012,477.5,I,30.3308401,71.247499
Pakistan,2017,477.5,I,30.3308401,71.247499
Pakistan,2018,477.5,I,30.3308401,71.247499
South Africa,2002,0.0,I,-28.8166236,24.991639
South Africa,2007,0.0,I,-28.8166236,24.991639
South Africa,2012,0.0,I,-28.8166236,24.991639
South Africa,2017,0.0,I,-28.8166236,24.991639
South Africa,2018,0.0,I,-28.8166236,24.991639
South Sudan,2012,0.15,I,7.8699431,29.6667897
South Sudan,2017,0.15,I,7.8699431,29.6667897
South Sudan,2018,0.15,I,7.8699431,29.6667897
Sudan,2012,8.2,I,14.5844444,29.4917691
Sudan,2017,8.2,I,14.5844444,29.4917691
Sudan,2018,8.2,I,14.5844444,29.4917691
Tajikistan,2012,0.237,I,38.6281733,70.8156541
Tajikistan,2017,0.237,I,38.6281733,70.8156541
Tajikistan,2018,0.237,I,38.6281733,70.8156541
Yemen,2007,7.947,I,16.3471243,47.8915271
Yemen,2012,7.947,I,16.3471243,47.8915271
Yemen,2017,7.947,I,16.3471243,47.8915271
Yemen,2018,7.947,I,16.3471243,47.8915271
