country,year,value,symbol,lat,lon
Algeria,2012,140.2,I,28.0000272,2.9999825
Algeria,2017,140.2,I,28.0000272,2.9999825
Algeria,2018,140.2,I,28.0000272,2.9999825
Azerbaijan,1997,11.14,I,40.3936294,47.7872508
Azerbaijan,2002,11.14,I,40.3936294,47.7872508
Azerbaijan,2007,11.14,I,40.3936294,47.7872508
Azerbaijan,2012,11.14,I,40.3936294,47.7872508
Azerbaijan,2017,11.14,I,40.3936294,47.7872508
Azerbaijan,2018,11.14,I,40.3936294,47.7872508
Cyprus,1997,0.606,I,34.9823018,33.1451285
Cyprus,2002,0.606,I,34.9823018,33.1451285
Cyprus,2007,0.606,I,34.9823018,33.1451285
Cyprus,2012,0.606,I,34.9823018,33.1451285
Cyprus,2017,0.606,I,34.9823018,33.1451285
Cyprus,2018,0.606,I,34.9823018,33.1451285
Guinea,2002,1.0,I,8.0300284,-1.0800271
Guinea,2007,1.0,I,8.0300284,-1.0800271
Guinea,2012,1.0,I,8.0300284,-1.0800271
Guinea,2017,1.0,I,8.0300284,-1.0800271
Guinea,2018,1.0,I,8.0300284,-1.0800271
India,2007,5442.0,I,22.3511148,78.6677428
India,2012,5442.0,I,22.3511148,78.6677428
India,2017,5442.0,I,22.3511148,78.6677428
India,2018,5442.0,I,22.3511148,78.6677428
Iran (Islamic Republic of),1987,81.675,I,32.6475314,54.5643516
Iran (Islamic Republic of),1992,130.8625,I,32.6475314,54.5643516
Iran (Islamic Republic of),1997,140.7,I,32.6475314,54.5643516
Iran (Islamic Republic of),2002,140.7,I,32.6475314,54.5643516
Iran (Islamic Republic of),2007,140.7,I,32.6475314,54.5643516
Iran (Islamic Republic of),2012,140.7,I,32.6475314,54.5643516
Iran (Islamic Republic of),2017,140.7,I,32.6475314,54.5643516
Iran (Islamic Republic of),2018,140.7,I,32.6475314,54.5643516
Jordan,1992,13.35,I,31.1667049,36.941628
Jordan,1997,13.35,I,31.1667049,36.941628
Jordan,2002,13.35,I,31.1667049,36.941628
Jordan,2007,13.35,I,31.1667049,36.941628
Jordan,2012,13.35,I,31.1667049,36.941628
Jordan,2017,13.35,I,31.1667049,36.941628
Jordan,2018,13.35,I,31.1667049,36.941628
Kazakhstan,1997,80.0,I,47.2286086,65.2093197
Kazakhstan,2002,80.0,I,47.2286086,65.2093197
Kazakhstan,2007,80.0,I,47.2286086,65.2093197
Kazakhstan,2012,80.0,I,47.2286086,65.2093197
Kazakhstan,2017,80.0,I,47.2286086,65.2093197
Kazakhstan,2018,80.0,I,47.2286086,65.2093197
Kyrgyzstan,1997,58.4,I,41.5089324,74.724091
Kyrgyzstan,2002,58.4,I,41.5089324,74.724091
Kyrgyzstan,2007,58.4,I,41.5089324,74.724091
