country,year,value,symbol,lat,lon
Afghanistan,1962,8507.016,X,33.7680065,66.2385139
Afghanistan,1967,9276.202,X,33.7680065,66.2385139
Afghanistan,1972,10267.199,X,33.7680065,66.2385139
Afghanistan,1977,11170.461,X,33.7680065,66.2385139
Afghanistan,1982,10563.504,X,33.7680065,66.2385139
Afghanistan,1987,9166.105,X,33.7680065,66.2385139
Afghanistan,1992,10995.568,X,33.7680065,66.2385139
Afghanistan,1997,14373.573,X,33.7680065,66.2385139
Afghanistan,2002,17086.91,X,33.7680065,66.2385139
Afghanistan,2007,20464.923,X,33.7680065,66.2385139
Afghanistan,2012,23280.663,X,33.7680065,66.2385139
Afghanistan,2017,26558.609,X,33.7680065,66.2385139
Afghanistan,2018,27099.874,X,33.7680065,66.2385139
Albania,1962,1198.718,X,41.000028,19.9999619
Albania,1967,1371.628,X,41.000028,19.9999619
Albania,1972,1529.743,X,41.000028,19.9999619
Albania,1977,1684.337,X,41.000028,19.9999619
Albania,1982,1832.278,X,41.000028,19.9999619
Albania,1987,2009.561,X,41.000028,19.9999619
Albania,1992,2033.508,X,41.000028,19.9999619
Albania,1997,1854.74,X,41.000028,19.9999619
Albania,2002,1762.229,X,41.000028,19.9999619
Albania,2007,1545.166,X,41.000028,19.9999619
Albania,2012,1333.585,X,41.000028,19.9999619
Albania,2017,1190.155,X,41.000028,19.9999619
Albania,2018,1164.388,X,41.000028,19.9999619
Algeria,1962,7807.347,X,28.0000272,2.9999825
Algeria,1967,8145.491,X,28.0000272,2.9999825
Algeria,1972,9252.206,X,28.0000272,2.9999825
Algeria,1977,10449.894,X,28.0000272,2.9999825
Algeria,1982,11254.255,X,28.0000272,2.9999825
Algeria,1987,12025.355,X,28.0000272,2.9999825
Algeria,1992,12596.547,X,28.0000272,2.9999825
Algeria,1997,12688.632,X,28.0000272,2.9999825
Algeria,2002,12317.847,X,28.0000272,2.9999825
Algeria,2007,11885.693,X,28.0000272,2.9999825
Algeria,2012,11677.502,X,28.0000272,2.9999825
Algeria,2017,11547.532,X,28.0000272,2.9999825
Algeria,2018,11498.038,X,28.0000272,2.9999825
Andorra,1962,5.616,X,42.5407167,1.5732033
Andorra,1967,5.264,X,42.5407167,1.5732033
Andorra,1972,4.491,X,42.5407167,1.5732033
Andorra,1977,3.467,X,42.5407167,1.5732033
Andorra,1982,2.553,X,42.5407167,1.5732033
Andorra,1987,2.336,X,42.5407167,1.5732033
Andorra,1992,3.343,X,42.5407167,1.5732033
Andorra,1997,4.387,X,42.5407167,1.5732033
Andorra,2002,5.855,X,42.5407167,1.5732033
Andorra,2007,8.84,X,42.5407167,1.5732033
Andorra,2012,9.371,X,42.5407167,1.5732033
Andorra,2017,9.12,X,42.5407167,1.5732033
Andorra,2018,9.187,X,42.5407167,1.5732033
Angola,1962,5208.822,X,47.2,13.2
Angola,1967,5552.756,X,47.2,13.2
Angola,1972,5927.379,X,47.2,13.2
Angola,1977,6416.307,X,47.2,13.2
Angola,1982,7032.139,X,47.2,13.2
Angola,1987,7518.672,X,47.2,13.2
Angola,1992,7776.001,X,47.2,13.2
Angola,1997,8068.783,X,47.2,13.2
Angola,2002,8353.851,X,47.2,13.2
Angola,2007,8918.911,X,47.2,13.2
Angola,2012,9720.169,X,47.2,13.2
Angola,2017,10472.554,X,47.2,13.2
Angola,2018,10612.667,X,47.2,13.2
Antigua and Barbuda,1962,35.185,X,17.2234721,-61.9554608
Antigua and Barbuda,1967,40.919,X,17.2234721,-61.9554608
Antigua and Barbuda,1972,45.672,X,17.2234721,-61.9554608
Antigua and Barbuda,1977,47.823,X,17.2234721,-61.9554608
Antigua and Barbuda,1982,47.251,X,17.2234721,-61.9554608
Antigua and Barbuda,1987,43.975,X,17.2234721,-61.9554608
Antigua and Barbuda,1992,44.419,X,17.2234721,-61.9554608
Antigua and Barbuda,1997,51.913,X,17.2234721,-61.9554608
Antigua and Barbuda,2002,59.439,X,17.2234721,-61.9554608
Antigua and Barbuda,2007,65.792,X,17.2234721,-61.9554608
Antigua and Barbuda,2012,72.074,X,17.2234721,-61.9554608
Antigua and Barbuda,2017,76.802,X,17.2234721,-61.9554608
Antigua and Barbuda,2018,77.7,X,17.2234721,-61.9554608
Argentina,1962,5371.478,X,-34.9964963,-64.9672817
Argentina,1967,5183.196,X,-34.9964963,-64.9672817
Argentina,1972,5020.212,X,-34.9964963,-64.9672817
Argentina,1977,4903.924,X,-34.9964963,-64.9672817
Argentina,1982,4709.051,X,-34.9964963,-64.9672817
Argentina,1987,4434.77,X,-34.9964963,-64.9672817
Argentina,1992,4192.854,X,-34.9964963,-64.9672817
Argentina,1997,4097.995,X,-34.9964963,-64.9672817
Argentina,2002,3974.741,X,-34.9964963,-64.9672817
Argentina,2007,3850.764,X,-34.9964963,-64.9672817
Argentina,2012,3737.979,X,-34.9964963,-64.9672817
Argentina,2017,3652.804,X,-34.9964963,-64.9672817
Argentina,2018,3632.997,X,-34.9964963,-64.9672817
Armenia,1992,1140.314,X,40.7696272,44.6736646
Armenia,1997,1080.782,X,40.7696272,44.6736646
Armenia,2002,1085.046,X,40.7696272,44.6736646
Armenia,2007,1063.546,X,40.7696272,44.6736646
Armenia,2012,1059.405,X,40.7696272,44.6736646
Armenia,2017,1081.248,X,40.7696272,44.6736646
Armenia,2018,1081.275,X,40.7696272,44.6736646
Australia,1962,1900.134,X,-24.7761086,134.755
Australia,1967,1970.805,X,-24.7761086,134.755
Australia,1972,2084.941,X,-24.7761086,134.755
Australia,1977,2108.693,X,-24.7761086,134.755
Australia,1982,2155.317,X,-24.7761086,134.755
Australia,1987,2353.333,X,-24.7761086,134.755
Australia,1992,2573.024,X,-24.7761086,134.755
Australia,1997,2837.374,X,-24.7761086,134.755
Australia,2002,3072.827,X,-24.7761086,134.755
Australia,2007,3179.302,X,-24.7761086,134.755
Australia,2012,3331.639,X,-24.7761086,134.755
Australia,2017,3446.638,X,-24.7761086,134.755
Australia,2018,3465.207,X,-24.7761086,134.755
Austria,1962,2514.678,X,47.2,13.2
Austria,1967,2580.876,X,47.2,13.2
Austria,1972,2629.784,X,47.2,13.2
Austria,1977,2645.204,X,47.2,13.2
Austria,1982,2653.123,X,47.2,13.2
Austria,1987,2767.779,X,47.2,13.2
Austria,1992,2943.132,X,47.2,13.2
Austria,1997,3129.222,X,47.2,13.2
Austria,2002,3281.833,X,47.2,13.2
Austria,2007,3470.218,X,47.2,13.2
Austria,2012,3650.043,X,47.2,13.2
Austria,2017,3660.707,X,47.2,13.2
Austria,2018,3649.748,X,47.2,13.2
Azerbaijan,1992,3501.943,X,40.3936294,47.7872508
Azerbaijan,1997,3837.012,X,40.3936294,47.7872508
Azerbaijan,2002,3990.569,X,40.3936294,47.7872508
Azerbaijan,2007,4118.78,X,40.3936294,47.7872508
Azerbaijan,2012,4272.681,X,40.3936294,47.7872508
Azerbaijan,2017,4388.663,X,40.3936294,47.7872508
Azerbaijan,2018,4398.268,X,40.3936294,47.7872508
Bahamas,1962,46.989,X,24.7736546,-78.0000547
Bahamas,1967,53.825,X,24.7736546,-78.0000547
Bahamas,1972,56.752,X,24.7736546,-78.0000547
Bahamas,1977,56.637,X,24.7736546,-78.0000547
Bahamas,1982,56.014,X,24.7736546,-78.0000547
Bahamas,1987,53.53,X,24.7736546,-78.0000547
Bahamas,1992,52.446,X,24.7736546,-78.0000547
Bahamas,1997,53.388,X,24.7736546,-78.0000547
Bahamas,2002,55.365,X,24.7736546,-78.0000547
Bahamas,2007,60.587,X,24.7736546,-78.0000547
Bahamas,2012,64.986,X,24.7736546,-78.0000547
Bahamas,2017,67.508,X,24.7736546,-78.0000547
Bahamas,2018,67.779,X,24.7736546,-78.0000547
Bahrain,1962,30.552,X,44.3053476,17.5961467
Bahrain,1967,33.293,X,44.3053476,17.5961467
Bahrain,1972,36.058,X,44.3053476,17.5961467
Bahrain,1977,44.16,X,44.3053476,17.5961467
Bahrain,1982,51.984,X,44.3053476,17.5961467
Bahrain,1987,55.865,X,44.3053476,17.5961467
Bahrain,1992,60.688,X,44.3053476,17.5961467
Bahrain,1997,69.119,X,44.3053476,17.5961467
Bahrain,2002,85.478,X,44.3053476,17.5961467
Bahrain,2007,119.256,X,44.3053476,17.5961467
Bahrain,2012,146.117,X,44.3053476,17.5961467
Bahrain,2017,161.409,X,44.3053476,17.5961467
Bahrain,2018,167.867,X,44.3053476,17.5961467
Bangladesh,1962,48224.534,X,23.5031022,90.00386523825051
Bangladesh,1967,55606.492,X,23.5031022,90.00386523825051
Bangladesh,1972,62039.948,X,23.5031022,90.00386523825051
Bangladesh,1977,66212.131,X,23.5031022,90.00386523825051
Bangladesh,1982,72064.051,X,23.5031022,90.00386523825051
Bangladesh,1987,80253.098,X,23.5031022,90.00386523825051
Bangladesh,1992,88299.172,X,23.5031022,90.00386523825051
Bangladesh,1997,96063.558,X,23.5031022,90.00386523825051
Bangladesh,2002,102783.564,X,23.5031022,90.00386523825051
Bangladesh,2007,105592.037,X,23.5031022,90.00386523825051
