country,year,value,symbol,lat,lon
Argentina,2012,108.0,I,-34.9964963,-64.9672817
Argentina,2017,108.0,I,-34.9964963,-64.9672817
Argentina,2018,108.0,I,-34.9964963,-64.9672817
Bangladesh,2012,0.1,I,23.5031022,90.00386523825051
Bangladesh,2017,0.1,I,23.5031022,90.00386523825051
Bangladesh,2018,0.1,I,23.5031022,90.00386523825051
Bolivia (Plurinational State of),2012,1.302,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2017,1.302,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,1.302,I,-17.0568696,-64.9912286
Burkina Faso,1992,4.0,OF,12.0753083,-1.6880314
Burkina Faso,1997,4.0,I,12.0753083,-1.6880314
Burkina Faso,2002,4.0,I,12.0753083,-1.6880314
Burkina Faso,2007,4.0,I,12.0753083,-1.6880314
Burkina Faso,2012,4.0,I,12.0753083,-1.6880314
Burkina Faso,2017,4.0,I,12.0753083,-1.6880314
Burkina Faso,2018,4.0,I,12.0753083,-1.6880314
Colombia,1997,11.86,I,4.099917,-72.9088133
Colombia,2002,11.86,I,4.099917,-72.9088133
Colombia,2007,11.86,I,4.099917,-72.9088133
Colombia,2012,11.86,I,4.099917,-72.9088133
Colombia,2017,11.86,I,4.099917,-72.9088133
Colombia,2018,11.86,I,4.099917,-72.9088133
Dominican Republic,2007,2.2,I,19.0974031,-70.3028026
Dominican Republic,2012,2.2,I,19.0974031,-70.3028026
Dominican Republic,2017,2.2,I,19.0974031,-70.3028026
Dominican Republic,2018,2.2,I,19.0974031,-70.3028026
Egypt,2002,156.2,OF,26.2540493,29.2675469
Egypt,2007,156.2,I,26.2540493,29.2675469
Egypt,2012,156.2,I,26.2540493,29.2675469
Egypt,2017,156.2,I,26.2540493,29.2675469
Egypt,2018,156.2,I,26.2540493,29.2675469
El Salvador,2012,0.8,E,13.8000382,-88.9140683
El Salvador,2017,0.8,I,13.8000382,-88.9140683
El Salvador,2018,0.8,I,13.8000382,-88.9140683
Ethiopia,2002,17.37,E,10.2116702,38.6521203
Ethiopia,2007,17.37,I,10.2116702,38.6521203
Ethiopia,2012,17.37,I,10.2116702,38.6521203
Ethiopia,2017,17.37,I,10.2116702,38.6521203
Ethiopia,2018,17.37,I,10.2116702,38.6521203
Honduras,2012,0.7,I,15.2572432,-86.0755145
Honduras,2017,0.7,I,15.2572432,-86.0755145
Honduras,2018,0.7,I,15.2572432,-86.0755145
India,2007,669.0,I,22.3511148,78.6677428
India,2012,619.0,I,22.3511148,78.6677428
India,2017,609.0,I,22.3511148,78.6677428
India,2018,609.0,I,22.3511148,78.6677428
Iraq,2012,17.1,I,33.0955793,44.1749775
Iraq,2017,17.1,I,33.0955793,44.1749775
Iraq,2018,17.1,I,33.0955793,44.1749775
Kyrgyzstan,2007,0.004,I,41.5089324,74.724091
Kyrgyzstan,2012,0.004,I,41.5089324,74.724091
Kyrgyzstan,2017,0.004,I,41.5089324,74.724091
Kyrgyzstan,2018,0.004,I,41.5089324,74.724091
Mali,2002,5.406090909,I,16.3700359,-2.2900239
Mali,2007,3.238818182,I,16.3700359,-2.2900239
Mali,2012,1.505,I,16.3700359,-2.2900239
Mali,2017,1.505,I,16.3700359,-2.2900239
Mali,2018,1.505,I,16.3700359,-2.2900239
Mauritania,2007,0.678,I,20.2540382,-9.2399263
Mauritania,2012,0.678,I,20.2540382,-9.2399263
Mauritania,2017,0.678,I,20.2540382,-9.2399263
Mauritania,2018,0.678,I,20.2540382,-9.2399263
Mexico,1997,386.25,I,22.5000485,-100.000037
Mexico,2002,552.125,I,22.5000485,-100.000037
Mexico,2007,718.0,E,22.5000485,-100.000037
Mexico,2012,718.0,I,22.5000485,-100.000037
Mexico,2017,718.0,I,22.5000485,-100.000037
Mexico,2018,718.0,I,22.5000485,-100.000037
Nicaragua,2012,0.258,I,12.6090157,-85.2936911
Nicaragua,2017,0.258,I,12.6090157,-85.2936911
Nicaragua,2018,0.258,I,12.6090157,-85.2936911
Niger,2012,1.543,I,35.000074,104.999927
Niger,2017,1.543,I,35.000074,104.999927
Niger,2018,1.543,I,35.000074,104.999927
Oman,2007,2.346,OF,21.0000287,57.0036901
Oman,2012,2.346,I,21.0000287,57.0036901
Oman,2017,2.346,I,21.0000287,57.0036901
Oman,2018,2.346,I,21.0000287,57.0036901
Pakistan,2012,253.3,I,30.3308401,71.247499
Pakistan,2017,253.3,I,30.3308401,71.247499
Pakistan,2018,253.3,I,30.3308401,71.247499
Panama,2002,0.042,I,8.559559,-81.1308434
Panama,2007,0.042,I,8.559559,-81.1308434
Panama,2012,0.042,I,8.559559,-81.1308434
