country,year,value,symbol,lat,lon
Afghanistan,2007,2.0,I,33.7680065,66.2385139
Afghanistan,2012,2.0,I,33.7680065,66.2385139
Afghanistan,2017,2.0,I,33.7680065,66.2385139
Afghanistan,2018,2.0,I,33.7680065,66.2385139
Armenia,2007,0.2,I,40.7696272,44.6736646
Armenia,2012,0.2,I,40.7696272,44.6736646
Armenia,2017,0.2,I,40.7696272,44.6736646
Armenia,2018,0.2,I,40.7696272,44.6736646
Austria,1997,11.425,I,47.2,13.2
Austria,2002,9.5125,I,47.2,13.2
Austria,2007,7.186,I,47.2,13.2
Austria,2012,6.7,I,47.2,13.2
Austria,2017,6.7,I,47.2,13.2
Austria,2018,6.7,I,47.2,13.2
Azerbaijan,2007,3.202,I,40.3936294,47.7872508
Azerbaijan,2012,3.202,I,40.3936294,47.7872508
Azerbaijan,2017,3.202,I,40.3936294,47.7872508
Azerbaijan,2018,3.202,I,40.3936294,47.7872508
Belgium,2007,0.516,I,50.6402809,4.6667145
Belgium,2012,0.6,I,50.6402809,4.6667145
Belgium,2017,0.6,I,50.6402809,4.6667145
Belgium,2018,0.6,I,50.6402809,4.6667145
Bulgaria,2007,0.03,I,42.6073975,25.4856617
Bulgaria,2012,0.03,I,42.6073975,25.4856617
Bulgaria,2017,0.03,I,42.6073975,25.4856617
Bulgaria,2018,0.03,I,42.6073975,25.4856617
Chile,1997,36.42818182,I,-31.7613365,-71.3187697
Chile,2002,27.71909091,I,-31.7613365,-71.3187697
Chile,2007,19.01,OF,-31.7613365,-71.3187697
Chile,2012,19.01,I,-31.7613365,-71.3187697
Chile,2017,19.01,I,-31.7613365,-71.3187697
Chile,2018,19.01,I,-31.7613365,-71.3187697
China,2007,193.0,I,35.000074,104.999927
China,2012,193.0,I,35.000074,104.999927
China,2017,193.0,I,35.000074,104.999927
China,2018,193.0,I,35.000074,104.999927
Croatia,2012,0.24,I,45.5643442,17.0118954
Croatia,2017,0.24,I,45.5643442,17.0118954
Croatia,2018,0.24,I,45.5643442,17.0118954
Cyprus,2007,0.0,I,34.9823018,33.1451285
Cyprus,2012,0.0,I,34.9823018,33.1451285
Cyprus,2017,0.0,I,34.9823018,33.1451285
Cyprus,2018,0.0,I,34.9823018,33.1451285
Czechia,2012,4.5,I,49.8167003,15.4749544
Czechia,2017,4.5,I,49.8167003,15.4749544
Czechia,2018,4.5,I,49.8167003,15.4749544
Denmark,2007,29.6,I,55.670249,10.3333283
Denmark,2012,37.0,I,55.670249,10.3333283
Denmark,2017,37.0,I,55.670249,10.3333283
Denmark,2018,37.0,I,55.670249,10.3333283
Egypt,2002,64.6,OF,26.2540493,29.2675469
Egypt,2007,125.475,I,26.2540493,29.2675469
Egypt,2012,162.0,I,26.2540493,29.2675469
Egypt,2017,162.0,I,26.2540493,29.2675469
Egypt,2018,162.0,I,26.2540493,29.2675469
Finland,2012,1.4,I,63.2467777,25.9209164
Finland,2017,1.4,I,63.2467777,25.9209164
Finland,2018,1.4,I,63.2467777,25.9209164
France,2002,44.1,I,46.603354,1.8883335
France,2007,33.992,I,46.603354,1.8883335
France,2012,30.24,I,46.603354,1.8883335
France,2017,30.24,I,46.603354,1.8883335
France,2018,30.24,I,46.603354,1.8883335
Germany,2007,36.0,I,51.0834196,10.4234469
Germany,2012,36.0,I,51.0834196,10.4234469
Germany,2017,36.0,I,51.0834196,10.4234469
Germany,2018,36.0,I,51.0834196,10.4234469
Greece,1992,35.39,I,38.9953683,21.9877132
Greece,1997,43.28,X,38.9953683,21.9877132
Greece,2002,34.46,I,38.9953683,21.9877132
Greece,2007,33.93,I,38.9953683,21.9877132
Greece,2012,33.6,I,38.9953683,21.9877132
Greece,2017,33.6,I,38.9953683,21.9877132
Greece,2018,33.6,I,38.9953683,21.9877132
Hungary,2007,2.578,I,47.1817585,19.5060937
Hungary,2012,2.9,I,47.1817585,19.5060937
Hungary,2017,2.9,I,47.1817585,19.5060937
Hungary,2018,2.9,I,47.1817585,19.5060937
Iran (Islamic Republic of),2007,152.9,I,32.6475314,54.5643516
Iran (Islamic Republic of),2012,152.9,I,32.6475314,54.5643516
Iran (Islamic Republic of),2017,152.9,I,32.6475314,54.5643516
Iran (Islamic Republic of),2018,152.9,I,32.6475314,54.5643516
Italy,1992,96.78666667,I,42.6384261,12.674297
Italy,1997,91.24571429,I,42.6384261,12.674297
Italy,2002,82.64333333,I,42.6384261,12.674297
Italy,2007,93.84,I,42.6384261,12.674297
Italy,2012,96.5,I,42.6384261,12.674297
Italy,2017,96.5,I,42.6384261,12.674297
Italy,2018,96.5,I,42.6384261,12.674297
Japan,2007,47.0,I,36.5748441,139.2394179
Japan,2012,47.0,I,36.5748441,139.2394179
Japan,2017,47.0,I,36.5748441,139.2394179
Japan,2018,47.0,I,36.5748441,139.2394179
Kazakhstan,2012,8.72,I,47.2286086,65.2093197
Kazakhstan,2017,8.72,I,47.2286086,65.2093197
Kazakhstan,2018,8.72,I,47.2286086,65.2093197
Kyrgyzstan,2007,14.5,I,41.5089324,74.724091
Kyrgyzstan,2012,14.5,I,41.5089324,74.724091
Kyrgyzstan,2017,14.5,I,41.5089324,74.724091
Kyrgyzstan,2018,14.5,I,41.5089324,74.724091
Lebanon,1997,2.533333333,I,33.8750629,35.843409
Lebanon,2002,0.422222222,I,33.8750629,35.843409
Lebanon,2007,0.0,I,33.8750629,35.843409
Lebanon,2012,0.0,I,33.8750629,35.843409
Lebanon,2017,0.0,I,33.8750629,35.843409
Lebanon,2018,0.0,I,33.8750629,35.843409
Morocco,2002,73.55,I,31.1728205,-7.3362482
Morocco,2007,59.82857143,I,31.1728205,-7.3362482
Morocco,2012,44.0,I,31.1728205,-7.3362482
Morocco,2017,44.0,I,31.1728205,-7.3362482
Morocco,2018,44.0,I,31.1728205,-7.3362482
Netherlands,2007,13.278,I,52.24764975,5.541246849406163
Netherlands,2012,16.0,I,52.24764975,5.541246849406163
Netherlands,2017,16.0,I,52.24764975,5.541246849406163
Netherlands,2018,16.0,I,52.24764975,5.541246849406163
Oman,2007,0.006,I,21.0000287,57.0036901
Oman,2012,0.006,I,21.0000287,57.0036901
Oman,2017,0.006,I,21.0000287,57.0036901
Oman,2018,0.006,I,21.0000287,57.0036901
Pakistan,2012,1.9,I,30.3308401,71.247499
Pakistan,2017,1.9,I,30.3308401,71.247499
Pakistan,2018,1.9,I,30.3308401,71.247499
Poland,2007,6.06,E,52.215933,19.134422
Poland,2012,6.06,I,52.215933,19.134422
Poland,2017,6.06,I,52.215933,19.134422
Poland,2018,6.06,I,52.215933,19.134422
Portugal,1992,0.751538462,I,40.0332629,-7.8896263
Portugal,1997,2.555384615,I,40.0332629,-7.8896263
Portugal,2002,4.359230769,I,40.0332629,-7.8896263
Portugal,2007,4.432,I,40.0332629,-7.8896263
Portugal,2012,4.36,I,40.0332629,-7.8896263
Portugal,2017,4.36,I,40.0332629,-7.8896263
Portugal,2018,4.36,I,40.0332629,-7.8896263
Republic of Moldova,2012,2.2,I,47.2879608,28.5670941
Republic of Moldova,2017,2.2,I,47.2879608,28.5670941
Republic of Moldova,2018,2.2,I,47.2879608,28.5670941
Romania,2007,1.69,I,45.9852129,24.6859225
Romania,2012,1.69,I,45.9852129,24.6859225
Romania,2017,1.69,I,45.9852129,24.6859225
Romania,2018,1.69,I,45.9852129,24.6859225
Russian Federation,1997,95.75,I,54.7023545,-3.2765753
Russian Federation,2002,60.33333333,I,54.7023545,-3.2765753
Russian Federation,2007,32.0,I,54.7023545,-3.2765753
Russian Federation,2012,32.0,I,54.7023545,-3.2765753
Russian Federation,2017,32.0,I,54.7023545,-3.2765753
Russian Federation,2018,32.0,I,54.7023545,-3.2765753
Serbia,2012,1.6,I,44.1534121,20.55144
Serbia,2017,1.6,I,44.1534121,20.55144
Serbia,2018,1.6,I,44.1534121,20.55144
Slovakia,2007,6.368,I,48.7411522,19.4528646
Slovakia,2012,4.8,I,48.7411522,19.4528646
Slovakia,2017,4.8,I,48.7411522,19.4528646
Slovakia,2018,4.8,I,48.7411522,19.4528646
Slovenia,2007,0.06,I,46.14903455,14.626325753340629
Slovenia,2012,0.06,I,46.14903455,14.626325753340629
Slovenia,2017,0.06,I,46.14903455,14.626325753340629
Slovenia,2018,0.06,I,46.14903455,14.626325753340629
Spain,1992,121.1666667,I,39.3260685,-4.8379791
Spain,1997,119.4,X,39.3260685,-4.8379791
Spain,2002,89.93333333,I,39.3260685,-4.8379791
Spain,2007,54.41333333,I,39.3260685,-4.8379791
Spain,2012,39.57,I,39.3260685,-4.8379791
Spain,2017,39.57,I,39.3260685,-4.8379791
Spain,2018,39.57,I,39.3260685,-4.8379791
Sweden,2012,11.2,I,59.6749712,14.5208584
Sweden,2017,11.2,I,59.6749712,14.5208584
Sweden,2018,11.2,I,59.6749712,14.5208584
Switzerland,2012,0.676,I,46.7985624,8.2319736
Switzerland,2017,0.676,I,46.7985624,8.2319736
Switzerland,2018,0.676,I,46.7985624,8.2319736
Syrian Arab Republic,1992,25.36,I,34.6401861,39.0494106
Syrian Arab Republic,1997,29.56666667,I,34.6401861,39.0494106
Syrian Arab Republic,2002,27.47,I,34.6401861,39.0494106
Syrian Arab Republic,2007,27.47,I,34.6401861,39.0494106
Syrian Arab Republic,2012,27.47,I,34.6401861,39.0494106
Syrian Arab Republic,2017,27.47,I,34.6401861,39.0494106
Syrian Arab Republic,2018,27.47,I,34.6401861,39.0494106
Tajikistan,2012,0.053,I,38.6281733,70.8156541
Tajikistan,2017,0.053,I,38.6281733,70.8156541
Tajikistan,2018,0.053,I,38.6281733,70.8156541
Tunisia,2002,3.996363636,I,33.8439408,9.400138
Tunisia,2007,4.487272727,I,33.8439408,9.400138
Tunisia,2012,4.88,I,33.8439408,9.400138
Tunisia,2017,4.88,I,33.8439408,9.400138
Tunisia,2018,4.88,I,33.8439408,9.400138
Turkey,2007,315.0,I,38.9597594,34.9249653
Turkey,2012,315.0,I,38.9597594,34.9249653
Turkey,2017,315.0,I,38.9597594,34.9249653
Turkey,2018,315.0,I,38.9597594,34.9249653
Turkmenistan,2007,12.0,I,39.3763807,59.3924609
Turkmenistan,2012,12.0,I,39.3763807,59.3924609
Turkmenistan,2017,12.0,I,39.3763807,59.3924609
Turkmenistan,2018,12.0,I,39.3763807,59.3924609
Ukraine,2007,9.514285714,I,49.4871968,31.2718321
Ukraine,2012,0.3,I,49.4871968,31.2718321
Ukraine,2017,0.3,I,49.4871968,31.2718321
Ukraine,2018,0.3,I,49.4871968,31.2718321
United Kingdom,2012,9.12,I,54.7023545,-3.2765753
United Kingdom,2017,9.12,I,54.7023545,-3.2765753
United Kingdom,2018,9.12,I,54.7023545,-3.2765753
United States of America,2012,154.7,I,39.7837304,-100.445882
United States of America,2017,154.7,I,39.7837304,-100.445882
United States of America,2018,154.7,I,39.7837304,-100.445882
