country,year,value,symbol,lat,lon
Afghanistan,2007,10.0,I,33.7680065,66.2385139
Afghanistan,2012,10.0,I,33.7680065,66.2385139
Afghanistan,2017,10.0,I,33.7680065,66.2385139
Afghanistan,2018,10.0,I,33.7680065,66.2385139
Armenia,2007,0.2,I,40.7696272,44.6736646
Armenia,2012,0.2,I,40.7696272,44.6736646
Armenia,2017,0.2,I,40.7696272,44.6736646
Armenia,2018,0.2,I,40.7696272,44.6736646
Austria,1997,1.4925,I,47.2,13.2
Austria,2002,1.22375,I,47.2,13.2
Austria,2007,1.17,I,47.2,13.2
Austria,2012,1.17,I,47.2,13.2
Austria,2017,1.17,I,47.2,13.2
Austria,2018,1.17,I,47.2,13.2
Azerbaijan,2007,11.38,I,40.3936294,47.7872508
Azerbaijan,2012,11.38,I,40.3936294,47.7872508
Azerbaijan,2017,11.38,I,40.3936294,47.7872508
Azerbaijan,2018,11.38,I,40.3936294,47.7872508
Bulgaria,2007,5.052,I,42.6073975,25.4856617
Bulgaria,2012,4.9,I,42.6073975,25.4856617
Bulgaria,2017,4.9,I,42.6073975,25.4856617
Bulgaria,2018,4.9,I,42.6073975,25.4856617
China,2007,315.0,I,35.000074,104.999927
China,2012,315.0,I,35.000074,104.999927
China,2017,315.0,I,35.000074,104.999927
China,2018,315.0,I,35.000074,104.999927
Cyprus,2007,0.0,I,34.9823018,33.1451285
Cyprus,2012,0.0,I,34.9823018,33.1451285
Cyprus,2017,0.0,I,34.9823018,33.1451285
Cyprus,2018,0.0,I,34.9823018,33.1451285
Denmark,2007,0.0,I,55.670249,10.3333283
Denmark,2012,0.0,I,55.670249,10.3333283
Denmark,2017,0.0,I,55.670249,10.3333283
Denmark,2018,0.0,I,55.670249,10.3333283
Egypt,2002,15.49,OF,26.2540493,29.2675469
Egypt,2007,15.49,I,26.2540493,29.2675469
Egypt,2012,15.49,I,26.2540493,29.2675469
Egypt,2017,15.49,I,26.2540493,29.2675469
Egypt,2018,15.49,I,26.2540493,29.2675469
France,2002,12.83333333,I,46.603354,1.8883335
France,2007,14.796,I,46.603354,1.8883335
France,2012,15.12,I,46.603354,1.8883335
France,2017,15.12,I,46.603354,1.8883335
France,2018,15.12,I,46.603354,1.8883335
Georgia,2012,5.15,I,41.6809707,44.0287382
Georgia,2017,5.15,I,41.6809707,44.0287382
Georgia,2018,5.15,I,41.6809707,44.0287382
Germany,2007,2.4,I,51.0834196,10.4234469
Germany,2012,2.4,I,51.0834196,10.4234469
Germany,2017,2.4,I,51.0834196,10.4234469
Germany,2018,2.4,I,51.0834196,10.4234469
Greece,1992,3.046666667,I,38.9953683,21.9877132
Greece,1997,2.23,X,38.9953683,21.9877132
Greece,2002,2.223333333,I,38.9953683,21.9877132
Greece,2007,1.32,I,38.9953683,21.9877132
Greece,2012,1.32,I,38.9953683,21.9877132
Greece,2017,1.32,I,38.9953683,21.9877132
Greece,2018,1.32,I,38.9953683,21.9877132
Hungary,2007,2.028,I,47.1817585,19.5060937
Hungary,2012,2.3,I,47.1817585,19.5060937
Hungary,2017,2.3,I,47.1817585,19.5060937
Hungary,2018,2.3,I,47.1817585,19.5060937
Iran (Islamic Republic of),2007,77.78,I,32.6475314,54.5643516
Iran (Islamic Republic of),2012,77.78,I,32.6475314,54.5643516
Iran (Islamic Republic of),2017,77.78,I,32.6475314,54.5643516
Iran (Islamic Republic of),2018,77.78,I,32.6475314,54.5643516
Iraq,2012,5.664,I,33.0955793,44.1749775
Iraq,2017,5.664,I,33.0955793,44.1749775
Iraq,2018,5.664,I,33.0955793,44.1749775
Italy,1992,12.85333333,I,42.6384261,12.674297
Italy,1997,12.43857143,I,42.6384261,12.674297
Italy,2002,9.686666667,I,42.6384261,12.674297
Italy,2007,17.48,I,42.6384261,12.674297
Italy,2012,20.0,I,42.6384261,12.674297
Italy,2017,20.0,I,42.6384261,12.674297
Italy,2018,20.0,I,42.6384261,12.674297
Kazakhstan,2012,40.0,I,47.2286086,65.2093197
Kazakhstan,2017,40.0,I,47.2286086,65.2093197
Kazakhstan,2018,40.0,I,47.2286086,65.2093197
Kyrgyzstan,2007,59.2,I,41.5089324,74.724091
Kyrgyzstan,2012,59.2,I,41.5089324,74.724091
Kyrgyzstan,2017,59.2,I,41.5089324,74.724091
Kyrgyzstan,2018,59.2,I,41.5089324,74.724091
Morocco,2002,11.9,I,31.1728205,-7.3362482
Morocco,2007,11.6,I,31.1728205,-7.3362482
Morocco,2012,11.6,I,31.1728205,-7.3362482
Morocco,2017,11.6,I,31.1728205,-7.3362482
Morocco,2018,11.6,I,31.1728205,-7.3362482
Netherlands,2007,0.0,I,52.24764975,5.541246849406163
Netherlands,2012,0.0,I,52.24764975,5.541246849406163
Netherlands,2017,0.0,I,52.24764975,5.541246849406163
Netherlands,2018,0.0,I,52.24764975,5.541246849406163
Pakistan,2012,397.3,I,30.3308401,71.247499
Pakistan,2017,397.3,I,30.3308401,71.247499
Pakistan,2018,397.3,I,30.3308401,71.247499
Portugal,1992,5.130769231,I,40.0332629,-7.8896263
Portugal,1997,6.557692308,I,40.0332629,-7.8896263
Portugal,2002,7.984615385,I,40.0332629,-7.8896263
Portugal,2007,8.558,I,40.0332629,-7.8896263
Portugal,2012,8.63,I,40.0332629,-7.8896263
Portugal,2017,8.63,I,40.0332629,-7.8896263
Portugal,2018,8.63,I,40.0332629,-7.8896263
Romania,2007,33.056,I,45.9852129,24.6859225
Romania,2012,26.9,I,45.9852129,24.6859225
Romania,2017,26.9,I,45.9852129,24.6859225
Romania,2018,26.9,I,45.9852129,24.6859225
Slovakia,2007,2.626,I,48.7411522,19.4528646
Slovakia,2012,2.0,I,48.7411522,19.4528646
Slovakia,2017,2.0,I,48.7411522,19.4528646
Slovakia,2018,2.0,I,48.7411522,19.4528646
South Africa,2002,15.3215,I,-28.8166236,24.991639
South Africa,2007,9.37525,I,-28.8166236,24.991639
South Africa,2012,8.186,I,-28.8166236,24.991639
South Africa,2017,8.186,I,-28.8166236,24.991639
South Africa,2018,8.186,I,-28.8166236,24.991639
South Sudan,2012,0.39,I,7.8699431,29.6667897
South Sudan,2017,0.39,I,7.8699431,29.6667897
South Sudan,2018,0.39,I,7.8699431,29.6667897
Spain,1992,298.78,I,39.3260685,-4.8379791
Spain,1997,149.2,X,39.3260685,-4.8379791
Spain,2002,107.5533333,I,39.3260685,-4.8379791
Spain,2007,75.41,I,39.3260685,-4.8379791
Spain,2012,71.5,I,39.3260685,-4.8379791
Spain,2017,71.5,I,39.3260685,-4.8379791
Spain,2018,71.5,I,39.3260685,-4.8379791
Sudan,2012,20.9,I,14.5844444,29.4917691
Sudan,2017,20.9,I,14.5844444,29.4917691
Sudan,2018,20.9,I,14.5844444,29.4917691
Tajikistan,2012,3.493,I,38.6281733,70.8156541
Tajikistan,2017,3.493,I,38.6281733,70.8156541
Tajikistan,2018,3.493,I,38.6281733,70.8156541
