country,year,value,symbol,lat,lon
Azerbaijan,2007,3.658,I,40.3936294,47.7872508
Azerbaijan,2012,3.658,I,40.3936294,47.7872508
Azerbaijan,2017,3.658,I,40.3936294,47.7872508
Azerbaijan,2018,3.658,I,40.3936294,47.7872508
Bangladesh,2012,40.0,I,23.5031022,90.00386523825051
Bangladesh,2017,40.0,I,23.5031022,90.00386523825051
Bangladesh,2018,40.0,I,23.5031022,90.00386523825051
Georgia,2012,3.1,I,41.6809707,44.0287382
Georgia,2017,3.1,I,41.6809707,44.0287382
Georgia,2018,3.1,I,41.6809707,44.0287382
Iran (Islamic Republic of),2007,2.934,I,32.6475314,54.5643516
Iran (Islamic Republic of),2012,2.934,I,32.6475314,54.5643516
Iran (Islamic Republic of),2017,2.934,I,32.6475314,54.5643516
Iran (Islamic Republic of),2018,2.934,I,32.6475314,54.5643516
Kenya,2007,7.142857143,I,1.4419683,38.4313975
Kenya,2012,8.0,I,1.4419683,38.4313975
Kenya,2017,8.0,I,1.4419683,38.4313975
Kenya,2018,8.0,I,1.4419683,38.4313975
Malawi,2002,21.0,I,-13.2687204,33.9301963
Malawi,2007,21.0,I,-13.2687204,33.9301963
Malawi,2012,21.0,I,-13.2687204,33.9301963
Malawi,2017,21.0,I,-13.2687204,33.9301963
Malawi,2018,21.0,I,-13.2687204,33.9301963
Mali,2002,3.982818182,I,16.3700359,-2.2900239
Mali,2007,3.992363636,I,16.3700359,-2.2900239
Mali,2012,4.0,I,16.3700359,-2.2900239
Mali,2017,4.0,I,16.3700359,-2.2900239
Mali,2018,4.0,I,16.3700359,-2.2900239
South Africa,2002,1.5,I,-28.8166236,24.991639
South Africa,2007,1.5,I,-28.8166236,24.991639
South Africa,2012,1.5,I,-28.8166236,24.991639
South Africa,2017,1.5,I,-28.8166236,24.991639
South Africa,2018,1.5,I,-28.8166236,24.991639
United Republic of Tanzania,2017,2.57,I,-6.5247123,35.7878438
United Republic of Tanzania,2018,2.57,I,-6.5247123,35.7878438
Viet Nam,2007,62.55,I,13.2904027,108.4265113
Viet Nam,2012,62.55,I,13.2904027,108.4265113
Viet Nam,2017,62.55,I,13.2904027,108.4265113
Viet Nam,2018,62.55,I,13.2904027,108.4265113
Zambia,2002,0.52,"19",-14.5189121,27.5589884
Zambia,2007,0.52,I,-14.5189121,27.5589884
Zambia,2012,0.52,I,-14.5189121,27.5589884
Zambia,2017,0.52,I,-14.5189121,27.5589884
Zambia,2018,0.52,I,-14.5189121,27.5589884
Zimbabwe,2002,3.5,I,-18.4554963,29.7468414
Zimbabwe,2007,3.5,I,-18.4554963,29.7468414
Zimbabwe,2012,3.5,I,-18.4554963,29.7468414
Zimbabwe,2017,3.5,I,-18.4554963,29.7468414
Zimbabwe,2018,3.5,I,-18.4554963,29.7468414
