country,year,value,symbol,lat,lon
Afghanistan,1977,13.26851667,I,33.7680065,66.2385139
Afghanistan,1982,19.68980833,I,33.7680065,66.2385139
Afghanistan,1987,26.1111,E,33.7680065,66.2385139
Afghanistan,1992,23.46031678,E,33.7680065,66.2385139
Afghanistan,1997,20.80953357,E,33.7680065,66.2385139
Afghanistan,2002,20.282,I,33.7680065,66.2385139
Afghanistan,2007,20.282,I,33.7680065,66.2385139
Afghanistan,2012,20.282,I,33.7680065,66.2385139
Afghanistan,2017,20.282,I,33.7680065,66.2385139
Afghanistan,2018,20.282,I,33.7680065,66.2385139
Albania,1992,1.18356,E,41.000028,19.9999619
Albania,1997,1.43046,E,41.000028,19.9999619
Albania,2002,1.66312,E,41.000028,19.9999619
Albania,2007,1.24774,E,41.000028,19.9999619
Albania,2012,1.12434,E,41.000028,19.9999619
Albania,2017,1.091,E,41.000028,19.9999619
Algeria,1972,2.2,I,28.0000272,2.9999825
Algeria,1977,2.7,I,28.0000272,2.9999825
Algeria,1982,3.2,I,28.0000272,2.9999825
Algeria,1987,3.9,E,28.0000272,2.9999825
Algeria,1992,4.675418182,E,28.0000272,2.9999825
Algeria,1997,5.273963636,E,28.0000272,2.9999825
Algeria,2002,6.043606061,E,28.0000272,2.9999825
Algeria,2007,6.92680303,E,28.0000272,2.9999825
Algeria,2012,7.8,E,28.0000272,2.9999825
Algeria,2017,9.802,OF,28.0000272,2.9999825
Algeria,2018,9.802,I,28.0000272,2.9999825
Angola,1987,0.48,E,47.2,13.2
Angola,1992,0.541692308,I,47.2,13.2
Angola,1997,0.603384615,I,47.2,13.2
Angola,2002,0.66652,I,47.2,13.2
Angola,2007,0.7057,I,47.2,13.2
Angola,2012,0.7057,I,47.2,13.2
Angola,2017,0.7057,I,47.2,13.2
Angola,2018,0.7057,I,47.2,13.2
Antigua and Barbuda,1992,0.002153333,I,17.2234721,-61.9554608
Antigua and Barbuda,1997,0.003286667,I,17.2234721,-61.9554608
Antigua and Barbuda,2002,0.00442,I,17.2234721,-61.9554608
Antigua and Barbuda,2007,0.0049,I,17.2234721,-61.9554608
Antigua and Barbuda,2012,0.0044,E,17.2234721,-61.9554608
Antigua and Barbuda,2017,0.0044,I,17.2234721,-61.9554608
Antigua and Barbuda,2018,0.0044,I,17.2234721,-61.9554608
Argentina,1976,27.6,E,-34.9964963,-64.9672817
Argentina,1986,28.11578947,E,-34.9964963,-64.9672817
Argentina,1990,28.32140526,E,-34.9964963,-64.9672817
Argentina,1997,29.29427,E,-34.9964963,-64.9672817
Argentina,2002,31.69792045,E,-34.9964963,-64.9672817
Argentina,2007,35.02590909,E,-34.9964963,-64.9672817
Argentina,2012,37.69,I,-34.9964963,-64.9672817
Argentina,2017,37.69,I,-34.9964963,-64.9672817
Argentina,2018,37.69,I,-34.9964963,-64.9672817
Armenia,1997,1.85,OF,40.7696272,44.6736646
Armenia,2002,1.732,OF,40.7696272,44.6736646
Armenia,2007,3.012,OF,40.7696272,44.6736646
Armenia,2012,2.941,OF,40.7696272,44.6736646
Armenia,2017,2.865,OF,40.7696272,44.6736646
Australia,1997,21.9282,E,-24.7761086,134.755
Australia,1999,21.7162,E,-24.7761086,134.755
Australia,2010,13.175,E,-24.7761086,134.755
Australia,2017,10.63066,E,-24.7761086,134.755
Australia,2018,11.58411,E,-24.7761086,134.755
Austria,1982,3.4348,I,47.2,13.2
Austria,1987,3.6682,I,47.2,13.2
Austria,1992,3.6618,I,47.2,13.2
Austria,1997,3.642,E,47.2,13.2
Austria,1999,3.666,E,47.2,13.2
Austria,2007,3.522625,I,47.2,13.2
Austria,2012,3.49,I,47.2,13.2
Austria,2017,3.49,I,47.2,13.2
Austria,2018,3.49,I,47.2,13.2
Azerbaijan,1992,16.202,E,40.3936294,47.7872508
Azerbaijan,1997,12.518,E,40.3936294,47.7872508
Azerbaijan,2002,10.075,E,40.3936294,47.7872508
Azerbaijan,2007,12.27,E,40.3936294,47.7872508
Azerbaijan,2012,11.97,E,40.3936294,47.7872508
Azerbaijan,2017,12.0035,E,40.3936294,47.7872508
Bahrain,1992,0.207767308,E,44.3053476,17.5961467
Bahrain,1997,0.258373077,E,44.3053476,17.5961467
Bahrain,2002,0.25591218,E,44.3053476,17.5961467
Bahrain,2007,0.217027273,I,44.3053476,17.5961467
Bahrain,2012,0.189936364,I,44.3053476,17.5961467
Bahrain,2017,0.1551,I,44.3053476,17.5961467
Bahrain,2018,0.1551,I,44.3053476,17.5961467
Bangladesh,2012,35.87,I,23.5031022,90.00386523825051
Bangladesh,2017,35.87,I,23.5031022,90.00386523825051
Bangladesh,2018,35.87,I,23.5031022,90.00386523825051
Barbados,1962,0.03,E,13.1500331,-59.5250305
Barbados,1967,0.0375,I,13.1500331,-59.5250305
Barbados,1972,0.045,I,13.1500331,-59.5250305
Barbados,1977,0.0525,I,13.1500331,-59.5250305
Barbados,1982,0.06,I,13.1500331,-59.5250305
Barbados,1987,0.0675,I,13.1500331,-59.5250305
Barbados,1992,0.075,I,13.1500331,-59.5250305
Barbados,1997,0.081,E,13.1500331,-59.5250305
Barbados,2002,0.081,E,13.1500331,-59.5250305
Barbados,2007,0.07,I,13.1500331,-59.5250305
Barbados,2012,0.07,I,13.1500331,-59.5250305
Barbados,2017,0.07,I,13.1500331,-59.5250305
Barbados,2018,0.07,I,13.1500331,-59.5250305
Belarus,1997,1.9228,I,53.4250605,27.6971358
Belarus,2002,1.7846,I,53.4250605,27.6971358
Belarus,2007,1.6428,I,53.4250605,27.6971358
Belarus,2012,1.525333333,I,53.4250605,27.6971358
Belarus,2017,1.397,OF,53.4250605,27.6971358
Belgium,1982,8.92658,I,50.6402809,4.6667145
Belgium,1987,8.66678,I,50.6402809,4.6667145
Belgium,1992,8.40698,I,50.6402809,4.6667145
Belgium,1997,7.69,E,50.6402809,4.6667145
Belgium,2002,6.7357,E,50.6402809,4.6667145
Belgium,2007,6.214,OF,50.6402809,4.6667145
Belgium,2012,5.3,X,50.6402809,4.6667145
Belgium,2017,3.994,I,50.6402809,4.6667145
Belgium,2018,3.994,I,50.6402809,4.6667145
Belize,1987,0.02,E,16.8259793,-88.7600927
Belize,1992,0.035445513,E,16.8259793,-88.7600927
Belize,1997,0.075124835,E,16.8259793,-88.7600927
Belize,2002,0.101,I,16.8259793,-88.7600927
Belize,2007,0.101,I,16.8259793,-88.7600927
Belize,2012,0.101,I,16.8259793,-88.7600927
Belize,2017,0.101,I,16.8259793,-88.7600927
Belize,2018,0.101,I,16.8259793,-88.7600927
Benin,1987,0.119635,E,9.5293472,2.2584408
Benin,1992,0.1437625,E,9.5293472,2.2584408
Benin,1997,0.143392857,E,9.5293472,2.2584408
Benin,2002,0.13,I,9.5293472,2.2584408
Benin,2007,0.13,I,9.5293472,2.2584408
Benin,2012,0.13,I,9.5293472,2.2584408
Benin,2017,0.13,I,9.5293472,2.2584408
Benin,2018,0.13,I,9.5293472,2.2584408
Bhutan,2012,0.3379,I,27.549511,90.5119273
Bhutan,2017,0.3379,I,27.549511,90.5119273
Bhutan,2018,0.3379,I,27.549511,90.5119273
Bolivia (Plurinational State of),1987,1.24,E,-17.0568696,-64.9912286
Bolivia (Plurinational State of),1992,1.537159091,E,-17.0568696,-64.9912286
Bolivia (Plurinational State of),1997,1.834318182,E,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2002,1.998393939,E,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2007,2.073747475,E,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2012,2.088,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2017,2.088,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,2.088,I,-17.0568696,-64.9912286
Bosnia and Herzegovina,2002,0.3755,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2007,0.3896,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2012,0.4377,OF,44.3053476,17.5961467
