country,year,value,symbol,lat,lon
Afghanistan,1962,47.15,E,33.7680065,66.2385139
Afghanistan,1967,47.15,E,33.7680065,66.2385139
Afghanistan,1972,47.15,E,33.7680065,66.2385139
Afghanistan,1977,47.15,E,33.7680065,66.2385139
Afghanistan,1982,47.15,E,33.7680065,66.2385139
Afghanistan,1987,47.15,E,33.7680065,66.2385139
Afghanistan,1992,47.15,E,33.7680065,66.2385139
Afghanistan,1997,47.15,E,33.7680065,66.2385139
Afghanistan,2002,47.15,E,33.7680065,66.2385139
Afghanistan,2007,47.15,E,33.7680065,66.2385139
Afghanistan,2012,47.15,E,33.7680065,66.2385139
Afghanistan,2017,47.15,E,33.7680065,66.2385139
Afghanistan,2018,47.15,E,33.7680065,66.2385139
Albania,1962,26.9,E,41.000028,19.9999619
Albania,1967,26.9,E,41.000028,19.9999619
Albania,1972,26.9,E,41.000028,19.9999619
Albania,1977,26.9,E,41.000028,19.9999619
Albania,1982,26.9,E,41.000028,19.9999619
Albania,1987,26.9,E,41.000028,19.9999619
Albania,1992,26.9,E,41.000028,19.9999619
Albania,1997,26.9,E,41.000028,19.9999619
Albania,2002,26.9,E,41.000028,19.9999619
Albania,2007,26.9,E,41.000028,19.9999619
Albania,2012,26.9,E,41.000028,19.9999619
Albania,2017,26.9,E,41.000028,19.9999619
Albania,2018,26.9,E,41.000028,19.9999619
Algeria,1962,11.247,E,28.0000272,2.9999825
Algeria,1967,11.247,E,28.0000272,2.9999825
Algeria,1972,11.247,E,28.0000272,2.9999825
Algeria,1977,11.247,E,28.0000272,2.9999825
Algeria,1982,11.247,E,28.0000272,2.9999825
Algeria,1987,11.247,E,28.0000272,2.9999825
Algeria,1992,11.247,E,28.0000272,2.9999825
Algeria,1997,11.247,E,28.0000272,2.9999825
Algeria,2002,11.247,E,28.0000272,2.9999825
Algeria,2007,11.247,E,28.0000272,2.9999825
Algeria,2012,11.247,E,28.0000272,2.9999825
Algeria,2017,11.247,E,28.0000272,2.9999825
Algeria,2018,11.247,E,28.0000272,2.9999825
Andorra,1962,0.3156,X,42.5407167,1.5732033
Andorra,1967,0.3156,X,42.5407167,1.5732033
Andorra,1972,0.3156,X,42.5407167,1.5732033
Andorra,1977,0.3156,X,42.5407167,1.5732033
Andorra,1982,0.3156,X,42.5407167,1.5732033
Andorra,1987,0.3156,X,42.5407167,1.5732033
Andorra,1992,0.3156,X,42.5407167,1.5732033
Andorra,1997,0.3156,X,42.5407167,1.5732033
Andorra,2002,0.3156,X,42.5407167,1.5732033
Andorra,2007,0.3156,X,42.5407167,1.5732033
Andorra,2012,0.3156,X,42.5407167,1.5732033
Andorra,2017,0.3156,X,42.5407167,1.5732033
Angola,1962,148.0,E,47.2,13.2
Angola,1967,148.0,E,47.2,13.2
Angola,1972,148.0,E,47.2,13.2
Angola,1977,148.0,E,47.2,13.2
Angola,1982,148.0,E,47.2,13.2
Angola,1987,148.0,E,47.2,13.2
Angola,1992,148.0,E,47.2,13.2
Angola,1997,148.0,E,47.2,13.2
Angola,2002,148.0,E,47.2,13.2
Angola,2007,148.0,E,47.2,13.2
Angola,2012,148.0,E,47.2,13.2
Angola,2017,148.0,E,47.2,13.2
Angola,2018,148.0,E,47.2,13.2
Antigua and Barbuda,1962,0.052,OF,17.2234721,-61.9554608
Antigua and Barbuda,1967,0.052,OF,17.2234721,-61.9554608
Antigua and Barbuda,1972,0.052,OF,17.2234721,-61.9554608
Antigua and Barbuda,1977,0.052,OF,17.2234721,-61.9554608
Antigua and Barbuda,1982,0.052,OF,17.2234721,-61.9554608
Antigua and Barbuda,1987,0.052,OF,17.2234721,-61.9554608
Antigua and Barbuda,1992,0.052,OF,17.2234721,-61.9554608
Antigua and Barbuda,1997,0.052,OF,17.2234721,-61.9554608
Antigua and Barbuda,2002,0.052,OF,17.2234721,-61.9554608
Antigua and Barbuda,2007,0.052,OF,17.2234721,-61.9554608
Antigua and Barbuda,2012,0.052,OF,17.2234721,-61.9554608
Antigua and Barbuda,2017,0.052,OF,17.2234721,-61.9554608
Argentina,1962,292.0,E,-34.9964963,-64.9672817
Argentina,1967,292.0,E,-34.9964963,-64.9672817
Argentina,1972,292.0,E,-34.9964963,-64.9672817
Argentina,1977,292.0,E,-34.9964963,-64.9672817
Argentina,1982,292.0,E,-34.9964963,-64.9672817
Argentina,1987,292.0,E,-34.9964963,-64.9672817
Argentina,1992,292.0,E,-34.9964963,-64.9672817
Argentina,1997,292.0,E,-34.9964963,-64.9672817
Argentina,2002,292.0,E,-34.9964963,-64.9672817
Argentina,2007,292.0,E,-34.9964963,-64.9672817
Argentina,2012,292.0,E,-34.9964963,-64.9672817
Argentina,2017,292.0,E,-34.9964963,-64.9672817
Argentina,2018,292.0,E,-34.9964963,-64.9672817
Armenia,1992,6.859,E,40.7696272,44.6736646
Armenia,1997,6.859,E,40.7696272,44.6736646
Armenia,2002,6.859,E,40.7696272,44.6736646
Armenia,2007,6.859,E,40.7696272,44.6736646
Armenia,2012,6.859,E,40.7696272,44.6736646
Armenia,2017,6.859,E,40.7696272,44.6736646
Armenia,2018,6.859,E,40.7696272,44.6736646
Australia,1962,492.0,E,-24.7761086,134.755
Australia,1967,492.0,E,-24.7761086,134.755
Australia,1972,492.0,E,-24.7761086,134.755
Australia,1977,492.0,E,-24.7761086,134.755
Australia,1982,492.0,E,-24.7761086,134.755
Australia,1987,492.0,E,-24.7761086,134.755
Australia,1992,492.0,E,-24.7761086,134.755
Australia,1997,492.0,E,-24.7761086,134.755
Australia,2002,492.0,E,-24.7761086,134.755
Australia,2007,492.0,E,-24.7761086,134.755
Australia,2012,492.0,E,-24.7761086,134.755
Australia,2017,492.0,E,-24.7761086,134.755
Australia,2018,492.0,E,-24.7761086,134.755
Austria,1962,55.0,E,47.2,13.2
Austria,1967,55.0,E,47.2,13.2
