country,year,value,symbol,lat,lon
Afghanistan,1962,5042.003687,E,33.7680065,66.2385139
Afghanistan,1967,4533.686105,E,33.7680065,66.2385139
Afghanistan,1972,3998.73974,E,33.7680065,66.2385139
Afghanistan,1977,3579.751317,E,33.7680065,66.2385139
Afghanistan,1982,3659.995926,E,33.7680065,66.2385139
Afghanistan,1987,4063.067074,E,33.7680065,66.2385139
Afghanistan,1992,3254.968781,E,33.7680065,66.2385139
Afghanistan,1997,2435.795479,E,33.7680065,66.2385139
Afghanistan,2002,2086.212107,E,33.7680065,66.2385139
Afghanistan,2007,1739.817987,E,33.7680065,66.2385139
Afghanistan,2012,1513.091078,E,33.7680065,66.2385139
Afghanistan,2017,1299.037172,E,33.7680065,66.2385139
Afghanistan,2018,1268.430545,E,33.7680065,66.2385139
Albania,1962,15480.35721,E,41.000028,19.9999619
Albania,1967,13458.47884,E,41.000028,19.9999619
Albania,1972,11934.04246,E,41.000028,19.9999619
Albania,1977,10680.17636,E,41.000028,19.9999619
Albania,1982,9640.62682,E,41.000028,19.9999619
Albania,1987,8608.291993,E,41.000028,19.9999619
Albania,1992,8287.413668,E,41.000028,19.9999619
Albania,1997,8678.113604,E,41.000028,19.9999619
Albania,2002,8604.731579,E,41.000028,19.9999619
Albania,2007,8866.189101,E,41.000028,19.9999619
Albania,2012,9230.993076,E,41.000028,19.9999619
Albania,2017,9326.776621,E,41.000028,19.9999619
Albania,2018,9331.399988,E,41.000028,19.9999619
Algeria,1962,967.9144993,E,28.0000272,2.9999825
Algeria,1967,847.2299791,E,28.0000272,2.9999825
Algeria,1972,735.7717753,E,28.0000272,2.9999825
Algeria,1977,639.6554289,E,28.0000272,2.9999825
Algeria,1982,549.8975158,E,28.0000272,2.9999825
Algeria,1987,473.0741839,E,28.0000272,2.9999825
Algeria,1992,416.1190005,E,28.0000272,2.9999825
Algeria,1997,378.1396611,E,28.0000272,2.9999825
Algeria,2002,353.0673839,E,28.0000272,2.9999825
Algeria,2007,329.1775461,E,28.0000272,2.9999825
Algeria,2012,300.8514763,E,28.0000272,2.9999825
Algeria,2017,271.7376269,E,28.0000272,2.9999825
Algeria,2018,266.337296,E,28.0000272,2.9999825
Andorra,1962,20533.50683,E,42.5407167,1.5732033
Andorra,1967,15203.77686,E,42.5407167,1.5732033
Andorra,1972,11735.83222,E,42.5407167,1.5732033
Andorra,1977,9630.465961,E,42.5407167,1.5732033
Andorra,1982,8068.722197,E,42.5407167,1.5732033
Andorra,1987,6513.259726,E,42.5407167,1.5732033
Andorra,1992,5359.326179,E,42.5407167,1.5732033
Andorra,1997,4906.182474,E,42.5407167,1.5732033
Andorra,2002,4505.417636,E,42.5407167,1.5732033
Andorra,2007,3816.941609,E,42.5407167,1.5732033
Andorra,2012,3828.842491,E,42.5407167,1.5732033
Andorra,2017,4098.64807,E,42.5407167,1.5732033
Andorra,2018,4098.381944,E,42.5407167,1.5732033
Angola,1962,26388.33393,E,47.2,13.2
Angola,1967,25631.06541,E,47.2,13.2
Angola,1972,23685.48745,E,47.2,13.2
Angola,1977,19644.97026,E,47.2,13.2
Angola,1982,16530.86413,E,47.2,13.2
Angola,1987,13845.68609,E,47.2,13.2
Angola,1992,11692.79612,E,47.2,13.2
Angola,1997,9951.874617,E,47.2,13.2
Angola,2002,8447.769695,E,47.2,13.2
Angola,2007,7079.523087,E,47.2,13.2
Angola,2012,5894.551805,E,47.2,13.2
Angola,2017,4963.650317,E,47.2,13.2
Angola,2018,4803.668393,E,47.2,13.2
Antigua and Barbuda,1962,931.2154152,E,17.2234721,-61.9554608
Antigua and Barbuda,1967,849.1043582,E,17.2234721,-61.9554608
Antigua and Barbuda,1972,810.815025,E,17.2234721,-61.9554608
Antigua and Barbuda,1977,836.5642948,E,17.2234721,-61.9554608
Antigua and Barbuda,1982,841.7099662,E,17.2234721,-61.9554608
Antigua and Barbuda,1987,842.5555358,E,17.2234721,-61.9554608
Antigua and Barbuda,1992,806.5641917,E,17.2234721,-61.9554608
Antigua and Barbuda,1997,725.2036149,E,17.2234721,-61.9554608
Antigua and Barbuda,2002,664.1547992,E,17.2234721,-61.9554608
