country,year,value,symbol,lat,lon
Afghanistan,1962,9351.441,X,33.7680065,66.2385139
Afghanistan,1967,10399.926,X,33.7680065,66.2385139
Afghanistan,1972,11791.215,X,33.7680065,66.2385139
Afghanistan,1977,13171.306,X,33.7680065,66.2385139
Afghanistan,1982,12882.528,X,33.7680065,66.2385139
Afghanistan,1987,11604.534,X,33.7680065,66.2385139
Afghanistan,1992,14485.546,X,33.7680065,66.2385139
Afghanistan,1997,19357.126,X,33.7680065,66.2385139
Afghanistan,2002,22600.77,X,33.7680065,66.2385139
Afghanistan,2007,27100.536,X,33.7680065,66.2385139
Afghanistan,2012,31161.376,X,33.7680065,66.2385139
Afghanistan,2017,36296.113,X,33.7680065,66.2385139
Afghanistan,2018,37171.921,X,33.7680065,66.2385139
Albania,1962,1737.686,X,41.000028,19.9999619
Albania,1967,1998.74,X,41.000028,19.9999619
Albania,1972,2254.056,X,41.000028,19.9999619
Albania,1977,2518.685,X,41.000028,19.9999619
Albania,1982,2790.275,X,41.000028,19.9999619
Albania,1987,3124.894,X,41.000028,19.9999619
Albania,1992,3245.886,X,41.000028,19.9999619
Albania,1997,3099.752,X,41.000028,19.9999619
Albania,2002,3126.187,X,41.000028,19.9999619
Albania,2007,3033.998,X,41.000028,19.9999619
Albania,2012,2914.096,X,41.000028,19.9999619
Albania,2017,2884.169,X,41.000028,19.9999619
Albania,2018,2882.74,X,41.000028,19.9999619
Algeria,1962,11619.828,X,28.0000272,2.9999825
Algeria,1967,13275.026,X,28.0000272,2.9999825
Algeria,1972,15285.99,X,28.0000272,2.9999825
Algeria,1977,17582.904,X,28.0000272,2.9999825
Algeria,1982,20452.902,X,28.0000272,2.9999825
Algeria,1987,23774.284,X,28.0000272,2.9999825
Algeria,1992,27028.326,X,28.0000272,2.9999825
Algeria,1997,29742.979,X,28.0000272,2.9999825
Algeria,2002,31855.109,X,28.0000272,2.9999825
Algeria,2007,34166.972,X,28.0000272,2.9999825
Algeria,2012,37383.895,X,28.0000272,2.9999825
Algeria,2017,41389.189,X,28.0000272,2.9999825
Algeria,2018,42228.408,X,28.0000272,2.9999825
Andorra,1962,15.37,X,42.5407167,1.5732033
Andorra,1967,20.758,X,42.5407167,1.5732033
Andorra,1972,26.892,X,42.5407167,1.5732033
Andorra,1977,32.771,X,42.5407167,1.5732033
Andorra,1982,39.114,X,42.5407167,1.5732033
Andorra,1987,48.455,X,42.5407167,1.5732033
Andorra,1992,58.888,X,42.5407167,1.5732033
Andorra,1997,64.327,X,42.5407167,1.5732033
Andorra,2002,70.049,X,42.5407167,1.5732033
Andorra,2007,82.684,X,42.5407167,1.5732033
Andorra,2012,82.427,X,42.5407167,1.5732033
Andorra,2017,77.001,X,42.5407167,1.5732033
Andorra,2018,77.006,X,42.5407167,1.5732033
Angola,1962,5608.539,X,47.2,13.2
Angola,1967,5774.243,X,47.2,13.2
Angola,1972,6248.552,X,47.2,13.2
Angola,1977,7533.735,X,47.2,13.2
Angola,1982,8952.95,X,47.2,13.2
Angola,1987,10689.25,X,47.2,13.2
Angola,1992,12657.366,X,47.2,13.2
Angola,1997,14871.57,X,47.2,13.2
Angola,2002,17519.417,X,47.2,13.2
Angola,2007,20905.363,X,47.2,13.2
Angola,2012,25107.931,X,47.2,13.2
Angola,2017,29816.766,X,47.2,13.2
Angola,2018,30809.787,X,47.2,13.2
Antigua and Barbuda,1962,55.841,X,17.2234721,-61.9554608
Antigua and Barbuda,1967,61.241,X,17.2234721,-61.9554608
Antigua and Barbuda,1972,64.133,X,17.2234721,-61.9554608
Antigua and Barbuda,1977,62.159,X,17.2234721,-61.9554608
Antigua and Barbuda,1982,61.779,X,17.2234721,-61.9554608
Antigua and Barbuda,1987,61.717,X,17.2234721,-61.9554608
Antigua and Barbuda,1992,64.471,X,17.2234721,-61.9554608
Antigua and Barbuda,1997,71.704,X,17.2234721,-61.9554608
Antigua and Barbuda,2002,78.295,X,17.2234721,-61.9554608
Antigua and Barbuda,2007,84.026,X,17.2234721,-61.9554608
Antigua and Barbuda,2012,90.409,X,17.2234721,-61.9554608
Antigua and Barbuda,2017,95.426,X,17.2234721,-61.9554608
Antigua and Barbuda,2018,96.286,X,17.2234721,-61.9554608
Argentina,1962,21153.052,X,-34.9964963,-64.9672817
Argentina,1967,22828.869,X,-34.9964963,-64.9672817
Argentina,1972,24653.175,X,-34.9964963,-64.9672817
Argentina,1977,26661.398,X,-34.9964963,-64.9672817
Argentina,1982,28794.548,X,-34.9964963,-64.9672817
Argentina,1987,31184.415,X,-34.9964963,-64.9672817
Argentina,1992,33529.326,X,-34.9964963,-64.9672817
Argentina,1997,35657.429,X,-34.9964963,-64.9672817
Argentina,2002,37681.749,X,-34.9964963,-64.9672817
Argentina,2007,39684.295,X,-34.9964963,-64.9672817
Argentina,2012,41755.196,X,-34.9964963,-64.9672817
Argentina,2017,43937.14,X,-34.9964963,-64.9672817
Argentina,2018,44361.15,X,-34.9964963,-64.9672817
Armenia,1992,3442.817,X,40.7696272,44.6736646
Armenia,1997,3133.089,X,40.7696272,44.6736646
Armenia,2002,3033.978,X,40.7696272,44.6736646
Armenia,2007,2932.618,X,40.7696272,44.6736646
Armenia,2012,2884.234,X,40.7696272,44.6736646
Armenia,2017,2944.791,X,40.7696272,44.6736646
Armenia,2018,2951.745,X,40.7696272,44.6736646
Australia,1962,10643.417,X,-24.7761086,134.755
Australia,1967,11899.639,X,-24.7761086,134.755
Australia,1972,13244.171,X,-24.7761086,134.755
Australia,1977,14092.548,X,-24.7761086,134.755
Australia,1982,14979.205,X,-24.7761086,134.755
Australia,1987,16183.168,X,-24.7761086,134.755
Australia,1992,17402.173,X,-24.7761086,134.755
Australia,1997,18387.214,X,-24.7761086,134.755
Australia,2002,19401.368,X,-24.7761086,134.755
Australia,2007,20916.344,X,-24.7761086,134.755
Australia,2012,22903.948,X,-24.7761086,134.755
Australia,2017,24584.62,X,-24.7761086,134.755
Australia,2018,24898.152,X,-24.7761086,134.755
Austria,1962,7156.833,X,47.2,13.2
Austria,1967,7397.171,X,47.2,13.2
Austria,1972,7581.117,X,47.2,13.2
Austria,1977,7636.576,X,47.2,13.2
Austria,1982,7602.181,X,47.2,13.2
Austria,1987,7639.352,X,47.2,13.2
Austria,1992,7830.933,X,47.2,13.2
Austria,1997,8032.876,X,47.2,13.2
Austria,2002,8134.412,X,47.2,13.2
