country,year,value,symbol,lat,lon
Afghanistan,1992,21.3,X,33.7680065,66.2385139
Afghanistan,1997,25.0,X,33.7680065,66.2385139
Afghanistan,2002,33.8,X,33.7680065,66.2385139
Afghanistan,2007,42.6,X,33.7680065,66.2385139
Afghanistan,2012,51.6,X,33.7680065,66.2385139
Afghanistan,2017,55.3,I,33.7680065,66.2385139
Afghanistan,2018,55.3,I,33.7680065,66.2385139
Albania,1997,95.8,X,41.000028,19.9999619
Albania,2002,96.1,X,41.000028,19.9999619
Albania,2007,95.9,X,41.000028,19.9999619
Albania,2012,95.4,X,41.000028,19.9999619
Albania,2017,95.1,I,41.000028,19.9999619
Albania,2018,95.1,I,41.000028,19.9999619
Algeria,1992,91.7,X,28.0000272,2.9999825
Algeria,1997,90.5,X,28.0000272,2.9999825
Algeria,2002,88.8,X,28.0000272,2.9999825
Algeria,2007,87.0,X,28.0000272,2.9999825
Algeria,2012,84.9,X,28.0000272,2.9999825
Algeria,2017,83.6,I,28.0000272,2.9999825
Algeria,2018,83.6,I,28.0000272,2.9999825
Andorra,1992,100.0,X,42.5407167,1.5732033
Andorra,1997,100.0,X,42.5407167,1.5732033
Andorra,2002,100.0,X,42.5407167,1.5732033
Andorra,2007,100.0,X,42.5407167,1.5732033
Andorra,2012,100.0,X,42.5407167,1.5732033
Andorra,2017,100.0,I,42.5407167,1.5732033
Andorra,2018,100.0,I,42.5407167,1.5732033
Angola,1992,45.8,X,47.2,13.2
Angola,1997,45.8,X,47.2,13.2
Angola,2002,45.7,X,47.2,13.2
Angola,2007,46.4,X,47.2,13.2
Angola,2012,47.8,X,47.2,13.2
Angola,2017,49.0,I,47.2,13.2
Angola,2018,49.0,I,47.2,13.2
Antigua and Barbuda,1992,97.5,X,17.2234721,-61.9554608
Antigua and Barbuda,1997,97.6,X,17.2234721,-61.9554608
Antigua and Barbuda,2002,97.7,X,17.2234721,-61.9554608
Antigua and Barbuda,2007,97.9,X,17.2234721,-61.9554608
Antigua and Barbuda,2012,97.9,X,17.2234721,-61.9554608
Antigua and Barbuda,2017,97.9,I,17.2234721,-61.9554608
Antigua and Barbuda,2018,97.9,I,17.2234721,-61.9554608
Argentina,1992,94.3,X,-34.9964963,-64.9672817
Argentina,1997,95.6,X,-34.9964963,-64.9672817
Argentina,2002,96.7,X,-34.9964963,-64.9672817
Argentina,2007,97.7,X,-34.9964963,-64.9672817
Argentina,2012,98.6,X,-34.9964963,-64.9672817
Argentina,2017,99.1,I,-34.9964963,-64.9672817
Argentina,2018,99.1,I,-34.9964963,-64.9672817
Armenia,1992,90.7,X,40.7696272,44.6736646
Armenia,1997,91.0,X,40.7696272,44.6736646
Armenia,2002,93.7,X,40.7696272,44.6736646
Armenia,2007,96.7,X,40.7696272,44.6736646
Armenia,2012,99.7,X,40.7696272,44.6736646
Armenia,2017,100.0,I,40.7696272,44.6736646
Armenia,2018,100.0,I,40.7696272,44.6736646
Australia,1992,100.0,X,-24.7761086,134.755
Australia,1997,100.0,X,-24.7761086,134.755
Australia,2002,100.0,X,-24.7761086,134.755
Australia,2007,100.0,X,-24.7761086,134.755
Australia,2012,100.0,X,-24.7761086,134.755
Australia,2017,100.0,I,-24.7761086,134.755
Australia,2018,100.0,I,-24.7761086,134.755
Austria,1992,100.0,X,47.2,13.2
Austria,1997,100.0,X,47.2,13.2
Austria,2002,100.0,X,47.2,13.2
Austria,2007,100.0,X,47.2,13.2
Austria,2012,100.0,X,47.2,13.2
Austria,2017,100.0,I,47.2,13.2
Austria,2018,100.0,I,47.2,13.2
Azerbaijan,1992,68.9,X,40.3936294,47.7872508
Azerbaijan,1997,71.7,X,40.3936294,47.7872508
Azerbaijan,2002,75.8,X,40.3936294,47.7872508
Azerbaijan,2007,80.2,X,40.3936294,47.7872508
Azerbaijan,2012,84.5,X,40.3936294,47.7872508
Azerbaijan,2017,87.0,I,40.3936294,47.7872508
Azerbaijan,2018,87.0,I,40.3936294,47.7872508
Bahamas,1997,96.3,X,24.7736546,-78.0000547
Bahamas,2002,96.9,X,24.7736546,-78.0000547
Bahamas,2007,97.6,X,24.7736546,-78.0000547
Bahamas,2012,98.4,X,24.7736546,-78.0000547
Bahamas,2017,98.4,I,24.7736546,-78.0000547
