country,year,value,symbol,lat,lon
Argentina,2002,0.0135,I,-34.9964963,-64.9672817
Argentina,2007,0.0135,I,-34.9964963,-64.9672817
Argentina,2012,0.0135,I,-34.9964963,-64.9672817
Argentina,2017,0.0135,I,-34.9964963,-64.9672817
Argentina,2018,0.0135,I,-34.9964963,-64.9672817
Armenia,2007,0.0889,I,40.7696272,44.6736646
Armenia,2012,0.0889,I,40.7696272,44.6736646
Armenia,2017,0.0889,I,40.7696272,44.6736646
Armenia,2018,0.0889,I,40.7696272,44.6736646
Australia,2012,1.5502,I,-24.7761086,134.755
Australia,2017,1.58,I,-24.7761086,134.755
Australia,2018,1.58,I,-24.7761086,134.755
Austria,2007,0.8,I,47.2,13.2
Austria,2012,0.806,I,47.2,13.2
Austria,2017,0.806,I,47.2,13.2
Austria,2018,0.806,I,47.2,13.2
Bahrain,1992,0.037933333,I,44.3053476,17.5961467
Bahrain,1997,0.041527273,I,44.3053476,17.5961467
Bahrain,2002,0.044072727,I,44.3053476,17.5961467
Bahrain,2007,0.049714286,I,44.3053476,17.5961467
Bahrain,2011,0.057942857,I,44.3053476,17.5961467
Bahrain,2017,0.06,I,44.3053476,17.5961467
Bahrain,2018,0.06,I,44.3053476,17.5961467
Bosnia and Herzegovina,2007,0.0029,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2012,0.003,OF,44.3053476,17.5961467
Bosnia and Herzegovina,2017,0.0029,I,44.3053476,17.5961467
Bosnia and Herzegovina,2018,0.0029,I,44.3053476,17.5961467
Brazil,2012,3.091,I,-10.3333333,-53.2
Brazil,2017,3.091,I,-10.3333333,-53.2
Brazil,2018,3.091,I,-10.3333333,-53.2
Chile,2012,0.7807,I,-31.7613365,-71.3187697
Chile,2017,0.7807,I,-31.7613365,-71.3187697
Chile,2018,0.7807,I,-31.7613365,-71.3187697
China,2010,33.57666667,I,35.000074,104.999927
China,2017,42.16,I,35.000074,104.999927
China,2018,42.16,I,35.000074,104.999927
Croatia,2012,0.209,I,45.5643442,17.0118954
Croatia,2017,0.209,I,45.5643442,17.0118954
Croatia,2018,0.209,I,45.5643442,17.0118954
Cyprus,2012,0.0,I,34.9823018,33.1451285
Cyprus,2017,0.0,I,34.9823018,33.1451285
Cyprus,2018,0.0,I,34.9823018,33.1451285
Egypt,1997,0.492857143,I,26.2540493,29.2675469
Egypt,2002,0.546428571,I,26.2540493,29.2675469
Egypt,2006,0.589285714,I,26.2540493,29.2675469
Egypt,2012,3.011,OF,26.2540493,29.2675469
Egypt,2017,3.011,I,26.2540493,29.2675469
Egypt,2018,3.011,I,26.2540493,29.2675469
Ethiopia,2007,0.0,I,10.2116702,38.6521203
Ethiopia,2012,0.0,I,10.2116702,38.6521203
Ethiopia,2017,0.0,I,10.2116702,38.6521203
Ethiopia,2018,0.0,I,10.2116702,38.6521203
France,2012,3.359,I,46.603354,1.8883335
France,2017,3.359,I,46.603354,1.8883335
France,2018,3.359,I,46.603354,1.8883335
Greece,2007,0.504,I,38.9953683,21.9877132
Greece,2012,0.504,I,38.9953683,21.9877132
Greece,2017,0.504,I,38.9953683,21.9877132
Greece,2018,0.504,I,38.9953683,21.9877132
Ireland,2006,0.262,I,52.865196,-7.9794599
Ireland,2012,0.29,I,52.865196,-7.9794599
Ireland,2017,0.29,I,52.865196,-7.9794599
Ireland,2018,0.29,I,52.865196,-7.9794599
Israel,1966,0.03565,I,31.5313113,34.8667654
Israel,1972,0.053,I,31.5313113,34.8667654
Israel,1977,0.076666667,I,31.5313113,34.8667654
Israel,1981,0.0805,I,31.5313113,34.8667654
Israel,1986,0.046,I,31.5313113,34.8667654
Israel,1992,0.049,I,31.5313113,34.8667654
Israel,1997,0.0487,I,31.5313113,34.8667654
Israel,2002,0.0535,I,31.5313113,34.8667654
Israel,2007,0.032,I,31.5313113,34.8667654
Israel,2012,0.032,I,31.5313113,34.8667654
Israel,2017,0.032,I,31.5313113,34.8667654
Israel,2018,0.032,I,31.5313113,34.8667654
Japan,2007,8.815333333,I,36.5748441,139.2394179
Japan,2012,11.37,I,36.5748441,139.2394179
Japan,2017,11.37,I,36.5748441,139.2394179
Japan,2018,11.37,I,36.5748441,139.2394179
Jordan,2002,0.0071,I,31.1667049,36.941628
Jordan,2007,0.0071,I,31.1667049,36.941628
Jordan,2012,0.0071,I,31.1667049,36.941628
Jordan,2017,0.0071,I,31.1667049,36.941628
Jordan,2018,0.0071,I,31.1667049,36.941628
Kuwait,1997,0.059625,I,29.2733964,47.4979476
Kuwait,2001,0.071125,I,29.2733964,47.4979476
Kuwait,2007,0.074,I,29.2733964,47.4979476
Kuwait,2012,0.074,I,29.2733964,47.4979476
Kuwait,2017,0.074,I,29.2733964,47.4979476
Kuwait,2018,0.074,I,29.2733964,47.4979476
Kyrgyzstan,1997,0.0001,I,41.5089324,74.724091
Kyrgyzstan,2002,0.0001,I,41.5089324,74.724091
Kyrgyzstan,2007,0.0001,I,41.5089324,74.724091
Kyrgyzstan,2012,0.0001,I,41.5089324,74.724091
Kyrgyzstan,2017,0.0001,I,41.5089324,74.724091
Kyrgyzstan,2018,0.0001,I,41.5089324,74.724091
Latvia,1997,0.06712,I,56.8406494,24.7537645
Latvia,2002,0.087486667,I,56.8406494,24.7537645
Latvia,2007,0.107853333,I,56.8406494,24.7537645
Latvia,2012,0.116,I,56.8406494,24.7537645
Latvia,2017,0.116,I,56.8406494,24.7537645
Latvia,2018,0.116,I,56.8406494,24.7537645
Lebanon,1992,0.002,I,33.8750629,35.843409
Lebanon,1997,0.002,I,33.8750629,35.843409
Lebanon,2002,0.002,I,33.8750629,35.843409
Lebanon,2007,0.002,I,33.8750629,35.843409
Lebanon,2012,0.002,I,33.8750629,35.843409
Lebanon,2017,0.002,I,33.8750629,35.843409
Lebanon,2018,0.002,I,33.8750629,35.843409
Lithuania,1997,0.080228571,I,55.3500003,23.7499997
Lithuania,2002,0.09805,I,55.3500003,23.7499997
Lithuania,2007,0.115871429,I,55.3500003,23.7499997
Lithuania,2012,0.123,I,55.3500003,23.7499997
Lithuania,2017,0.123,I,55.3500003,23.7499997
Lithuania,2018,0.123,I,55.3500003,23.7499997
Luxembourg,2007,0.039666667,I,49.8158683,6.1296751
Luxembourg,2012,0.04,I,49.8158683,6.1296751
Luxembourg,2017,0.04,I,49.8158683,6.1296751
Luxembourg,2018,0.04,I,49.8158683,6.1296751
Malta,1997,0.0,I,35.8885993,14.4476911
Malta,2002,0.0,I,35.8885993,14.4476911
Malta,2007,0.0,I,35.8885993,14.4476911
Malta,2012,0.0,I,35.8885993,14.4476911
Malta,2017,0.0,I,35.8885993,14.4476911
Malta,2018,0.0,I,35.8885993,14.4476911
Mexico,2002,1.887333333,I,22.5000485,-100.000037
Mexico,2007,2.1215,I,22.5000485,-100.000037
Mexico,2012,2.277,I,22.5000485,-100.000037
Mexico,2017,2.277,I,22.5000485,-100.000037
Mexico,2018,2.277,I,22.5000485,-100.000037
Namibia,1997,0.0002,I,-23.2335499,17.3231107
Namibia,2002,0.0002,I,-23.2335499,17.3231107
Namibia,2007,0.0002,I,-23.2335499,17.3231107
Namibia,2012,0.0002,I,-23.2335499,17.3231107
Namibia,2017,0.0002,I,-23.2335499,17.3231107
Namibia,2018,0.0002,I,-23.2335499,17.3231107
Netherlands,2002,1.831,I,52.24764975,5.541246849406163
Netherlands,2007,1.831,I,52.24764975,5.541246849406163
Netherlands,2012,1.831,I,52.24764975,5.541246849406163
Netherlands,2017,1.831,I,52.24764975,5.541246849406163
Netherlands,2018,1.831,I,52.24764975,5.541246849406163
Nicaragua,2002,0.0056,I,12.6090157,-85.2936911
Nicaragua,2007,0.0056,I,12.6090157,-85.2936911
Nicaragua,2012,0.0056,I,12.6090157,-85.2936911
Nicaragua,2017,0.0056,I,12.6090157,-85.2936911
Nicaragua,2018,0.0056,I,12.6090157,-85.2936911
Peru,2002,0.082718182,I,-6.8699697,-75.0458515
Peru,2007,0.086263636,I,-6.8699697,-75.0458515
Peru,2011,0.0891,OF,-6.8699697,-75.0458515
Peru,2017,0.2447,I,-6.8699697,-75.0458515
Peru,2018,0.2447,I,-6.8699697,-75.0458515
Qatar,2002,0.007,I,25.3336984,51.2295295
Qatar,2007,0.028,OF,25.3336984,51.2295295
Qatar,2012,0.013,OF,25.3336984,51.2295295
Qatar,2017,0.013,I,25.3336984,51.2295295
Qatar,2018,0.013,I,25.3336984,51.2295295
Saudi Arabia,2007,0.0498,I,25.6242618,42.3528328
Saudi Arabia,2012,0.06,I,25.6242618,42.3528328
Saudi Arabia,2017,0.06,I,25.6242618,42.3528328
Saudi Arabia,2018,0.06,I,25.6242618,42.3528328
Singapore,2017,0.317,I,1.357107,103.8194992
Singapore,2018,0.317,I,1.357107,103.8194992
South Africa,2002,0.842555556,I,-28.8166236,24.991639
South Africa,2007,0.461444444,I,-28.8166236,24.991639
South Africa,2012,0.309,I,-28.8166236,24.991639
South Africa,2017,0.309,I,-28.8166236,24.991639
South Africa,2018,0.309,I,-28.8166236,24.991639
Spain,2007,2.767,I,39.3260685,-4.8379791
Spain,2012,2.767,I,39.3260685,-4.8379791
Spain,2017,2.767,I,39.3260685,-4.8379791
Spain,2018,2.767,I,39.3260685,-4.8379791
Syrian Arab Republic,2017,0.0,I,34.6401861,39.0494106
Syrian Arab Republic,2018,0.0,I,34.6401861,39.0494106
Tajikistan,2007,0.1522,I,38.6281733,70.8156541
Tajikistan,2012,0.1522,I,38.6281733,70.8156541
Tajikistan,2017,0.1522,I,38.6281733,70.8156541
Tajikistan,2018,0.1522,I,38.6281733,70.8156541
Tunisia,2002,0.136,I,33.8439408,9.400138
Tunisia,2007,0.1352,I,33.8439408,9.400138
Tunisia,2012,0.158,I,33.8439408,9.400138
Tunisia,2017,0.158,I,33.8439408,9.400138
Tunisia,2018,0.158,I,33.8439408,9.400138
Turkey,2007,1.591,I,38.9597594,34.9249653
Turkey,2012,1.591,I,38.9597594,34.9249653
Turkey,2017,1.591,I,38.9597594,34.9249653
Turkey,2018,1.591,I,38.9597594,34.9249653
United Arab Emirates,2002,0.013916667,I,24.0002488,53.9994829
United Arab Emirates,2007,0.030458333,I,24.0002488,53.9994829
United Arab Emirates,2012,0.047,OF,24.0002488,53.9994829
United Arab Emirates,2017,0.047,I,24.0002488,53.9994829
United Arab Emirates,2018,0.047,I,24.0002488,53.9994829
United Kingdom,2007,3.093,I,54.7023545,-3.2765753
United Kingdom,2012,3.642,I,54.7023545,-3.2765753
United Kingdom,2017,3.642,I,54.7023545,-3.2765753
United Kingdom,2018,3.642,I,54.7023545,-3.2765753
United States of America,1992,47.95555556,I,39.7837304,-100.445882
United States of America,1997,46.06944444,I,39.7837304,-100.445882
United States of America,2002,44.18333333,I,39.7837304,-100.445882
United States of America,2007,42.29722222,I,39.7837304,-100.445882
United States of America,2012,41.92,I,39.7837304,-100.445882
United States of America,2017,41.92,I,39.7837304,-100.445882
United States of America,2018,41.92,I,39.7837304,-100.445882
