country,year,value,symbol,lat,lon
Afghanistan,1962,838.852,X,33.7680065,66.2385139
Afghanistan,1967,1096.428,X,33.7680065,66.2385139
Afghanistan,1972,1454.741,X,33.7680065,66.2385139
Afghanistan,1977,1897.077,X,33.7680065,66.2385139
Afghanistan,1982,2186.141,X,33.7680065,66.2385139
Afghanistan,1987,2336.656,X,33.7680065,66.2385139
Afghanistan,1992,2985.663,X,33.7680065,66.2385139
Afghanistan,1997,4008.032,X,33.7680065,66.2385139
Afghanistan,2002,4893.013,X,33.7680065,66.2385139
Afghanistan,2007,6151.869,X,33.7680065,66.2385139
Afghanistan,2012,7416.295,X,33.7680065,66.2385139
Afghanistan,2017,8971.472,X,33.7680065,66.2385139
Afghanistan,2018,9273.302,X,33.7680065,66.2385139
Albania,1962,538.926,X,41.000028,19.9999619
Albania,1967,627.065,X,41.000028,19.9999619
Albania,1972,724.101,X,41.000028,19.9999619
Albania,1977,833.535,X,41.000028,19.9999619
Albania,1982,956.036,X,41.000028,19.9999619
Albania,1987,1111.775,X,41.000028,19.9999619
Albania,1992,1207.079,X,41.000028,19.9999619
Albania,1997,1238.301,X,41.000028,19.9999619
Albania,2002,1356.8,X,41.000028,19.9999619
Albania,2007,1478.741,X,41.000028,19.9999619
Albania,2012,1586.454,X,41.000028,19.9999619
Albania,2017,1740.032,X,41.000028,19.9999619
Albania,2018,1769.975,X,41.000028,19.9999619
Algeria,1962,3882.806,X,28.0000272,2.9999825
Algeria,1967,5208.706,X,28.0000272,2.9999825
Algeria,1972,6124.887,X,28.0000272,2.9999825
Algeria,1977,7240.29,X,28.0000272,2.9999825
Algeria,1982,9321.446,X,28.0000272,2.9999825
Algeria,1987,11892.542,X,28.0000272,2.9999825
Algeria,1992,14584.547,X,28.0000272,2.9999825
Algeria,1997,17198.207,X,28.0000272,2.9999825
Algeria,2002,19677.199,X,28.0000272,2.9999825
Algeria,2007,22414.383,X,28.0000272,2.9999825
Algeria,2012,25888.345,X,28.0000272,2.9999825
Algeria,2017,29770.61,X,28.0000272,2.9999825
Algeria,2018,30510.016,X,28.0000272,2.9999825
Andorra,1962,9.754,X,42.5407167,1.5732033
Andorra,1967,15.494,X,42.5407167,1.5732033
Andorra,1972,22.401,X,42.5407167,1.5732033
Andorra,1977,29.304,X,42.5407167,1.5732033
Andorra,1982,36.561,X,42.5407167,1.5732033
Andorra,1987,46.119,X,42.5407167,1.5732033
Andorra,1992,55.545,X,42.5407167,1.5732033
Andorra,1997,59.94,X,42.5407167,1.5732033
Andorra,2002,64.194,X,42.5407167,1.5732033
Andorra,2007,73.843,X,42.5407167,1.5732033
Andorra,2012,73.06,X,42.5407167,1.5732033
Andorra,2017,67.845,X,42.5407167,1.5732033
Andorra,2018,67.766,X,42.5407167,1.5732033
Angola,1962,657.239,X,47.2,13.2
Angola,1967,862.239,X,47.2,13.2
Angola,1972,1167.455,X,47.2,13.2
Angola,1977,1714.681,X,47.2,13.2
Angola,1982,2550.017,X,47.2,13.2
Angola,1987,3699.596,X,47.2,13.2
Angola,1992,5192.344,X,47.2,13.2
Angola,1997,7020.198,X,47.2,13.2
Angola,2002,9218.798,X,47.2,13.2
Angola,2007,12078.776,X,47.2,13.2
Angola,2012,15375.981,X,47.2,13.2
Angola,2017,19311.639,X,47.2,13.2
Angola,2018,20161.538,X,47.2,13.2
Antigua and Barbuda,1962,21.959,X,17.2234721,-61.9554608
Antigua and Barbuda,1967,22.441,X,17.2234721,-61.9554608
Antigua and Barbuda,1972,23.504,X,17.2234721,-61.9554608
Antigua and Barbuda,1977,25.052,X,17.2234721,-61.9554608
Antigua and Barbuda,1982,25.197,X,17.2234721,-61.9554608
Antigua and Barbuda,1987,23.87,X,17.2234721,-61.9554608
Antigua and Barbuda,1992,24.008,X,17.2234721,-61.9554608
Antigua and Barbuda,1997,25.826,X,17.2234721,-61.9554608
Antigua and Barbuda,2002,26.827,X,17.2234721,-61.9554608
Antigua and Barbuda,2007,25.589,X,17.2234721,-61.9554608
Antigua and Barbuda,2012,24.703,X,17.2234721,-61.9554608
Antigua and Barbuda,2017,25.21,X,17.2234721,-61.9554608
Antigua and Barbuda,2018,25.35,X,17.2234721,-61.9554608
Argentina,1962,15916.204,X,-34.9964963,-64.9672817
Argentina,1967,17749.007,X,-34.9964963,-64.9672817
Argentina,1972,19762.737,X,-34.9964963,-64.9672817
Argentina,1977,21974.641,X,-34.9964963,-64.9672817
Argentina,1982,24284.936,X,-34.9964963,-64.9672817
Argentina,1987,26891.703,X,-34.9964963,-64.9672817
Argentina,1992,29462.297,X,-34.9964963,-64.9672817
Argentina,1997,31735.974,X,-34.9964963,-64.9672817
Argentina,2002,33914.629,X,-34.9964963,-64.9672817
Argentina,2007,36119.46,X,-34.9964963,-64.9672817
Argentina,2012,38358.76,X,-34.9964963,-64.9672817
Argentina,2017,40618.237,X,-34.9964963,-64.9672817
Argentina,2018,41055.867,X,-34.9964963,-64.9672817
Armenia,1992,2302.496,X,40.7696272,44.6736646
Armenia,1997,2052.304,X,40.7696272,44.6736646
Armenia,2002,1948.851,X,40.7696272,44.6736646
Armenia,2007,1869.51,X,40.7696272,44.6736646
Armenia,2012,1822.517,X,40.7696272,44.6736646
Armenia,2017,1849.202,X,40.7696272,44.6736646
Armenia,2018,1852.877,X,40.7696272,44.6736646
Australia,1962,8791.555,X,-24.7761086,134.755
Australia,1967,9978.552,X,-24.7761086,134.755
Australia,1972,11211.931,X,-24.7761086,134.755
Australia,1977,12043.372,X,-24.7761086,134.755
Australia,1982,12885.748,X,-24.7761086,134.755
Australia,1987,13901.602,X,-24.7761086,134.755
Australia,1992,14912.924,X,-24.7761086,134.755
Australia,1997,15630.214,X,-24.7761086,134.755
Australia,2002,16402.364,X,-24.7761086,134.755
Australia,2007,17767.362,X,-24.7761086,134.755
Australia,2012,19490.21,X,-24.7761086,134.755
Australia,2017,21003.923,X,-24.7761086,134.755
Australia,2018,21307.04,X,-24.7761086,134.755
Austria,1962,4642.155,X,47.2,13.2
Austria,1967,4816.295,X,47.2,13.2
Austria,1972,4951.333,X,47.2,13.2
Austria,1977,4991.372,X,47.2,13.2
Austria,1982,4949.058,X,47.2,13.2
Austria,1987,4871.573,X,47.2,13.2
Austria,1992,4887.801,X,47.2,13.2
Austria,1997,4903.654,X,47.2,13.2
Austria,2002,4852.579,X,47.2,13.2
Austria,2007,4841.565,X,47.2,13.2
Austria,2012,4867.505,X,47.2,13.2
Austria,2017,5074.746,X,47.2,13.2
Austria,2018,5102.072,X,47.2,13.2
Azerbaijan,1992,3969.99,X,40.3936294,47.7872508
Azerbaijan,1997,4088.657,X,40.3936294,47.7872508
Azerbaijan,2002,4286.446,X,40.3936294,47.7872508
Azerbaijan,2007,4605.524,X,40.3936294,47.7872508
Azerbaijan,2012,4992.236,X,40.3936294,47.7872508
Azerbaijan,2017,5438.926,X,40.3936294,47.7872508
Azerbaijan,2018,5525.646,X,40.3936294,47.7872508
Bahamas,1962,74.094,X,24.7736546,-78.0000547
Bahamas,1967,98.784,X,24.7736546,-78.0000547
Bahamas,1972,121.087,X,24.7736546,-78.0000547
Bahamas,1977,140.474,X,24.7736546,-78.0000547
Bahamas,1982,164.261,X,24.7736546,-78.0000547
Bahamas,1987,189.863,X,24.7736546,-78.0000547
Bahamas,1992,213.688,X,24.7736546,-78.0000547
Bahamas,1997,233.582,X,24.7736546,-78.0000547
Bahamas,2002,253.792,X,24.7736546,-78.0000547
Bahamas,2007,281.741,X,24.7736546,-78.0000547
Bahamas,2012,307.053,X,24.7736546,-78.0000547
Bahamas,2017,327.853,X,24.7736546,-78.0000547
Bahamas,2018,331.506,X,24.7736546,-78.0000547
Bahrain,1962,142.592,X,44.3053476,17.5961467
Bahrain,1967,162.77,X,44.3053476,17.5961467
Bahrain,1972,193.097,X,44.3053476,17.5961467
Bahrain,1977,259.015,X,44.3053476,17.5961467
Bahrain,1982,333.966,X,44.3053476,17.5961467
Bahrain,1987,393.108,X,44.3053476,17.5961467
Bahrain,1992,462.399,X,44.3053476,17.5961467
Bahrain,1997,525.811,X,44.3053476,17.5961467
Bahrain,2002,649.67,X,44.3053476,17.5961467
Bahrain,2007,916.635,X,44.3053476,17.5961467
Bahrain,2012,1154.1,X,44.3053476,17.5961467
Bahrain,2017,1331.175,X,44.3053476,17.5961467
Bahrain,2018,1399.126,X,44.3053476,17.5961467
Bangladesh,1962,2805.603,X,23.5031022,90.00386523825051
Bangladesh,1967,4014.177,X,23.5031022,90.00386523825051
Bangladesh,1972,5557.522,X,23.5031022,90.00386523825051
Bangladesh,1977,8713.765,X,23.5031022,90.00386523825051
Bangladesh,1982,13943.28,X,23.5031022,90.00386523825051
Bangladesh,1987,18090.711,X,23.5031022,90.00386523825051
Bangladesh,1992,22922.766,X,23.5031022,90.00386523825051
Bangladesh,1997,27791.082,X,23.5031022,90.00386523825051
Bangladesh,2002,33817.103,X,23.5031022,90.00386523825051
Bangladesh,2007,41547.154,X,23.5031022,90.00386523825051
Bangladesh,2012,49821.256,X,23.5031022,90.00386523825051
Bangladesh,2017,59046.818,X,23.5031022,90.00386523825051
Bangladesh,2018,60944.245,X,23.5031022,90.00386523825051
Barbados,1962,85.876,X,13.1500331,-59.5250305
Barbados,1967,88.229,X,13.1500331,-59.5250305
Barbados,1972,91.917,X,13.1500331,-59.5250305
Barbados,1977,97.975,X,13.1500331,-59.5250305
Barbados,1982,100.404,X,13.1500331,-59.5250305
Barbados,1987,98.391,X,13.1500331,-59.5250305
Barbados,1992,96.073,X,13.1500331,-59.5250305
Barbados,1997,93.045,X,13.1500331,-59.5250305
Barbados,2002,90.758,X,13.1500331,-59.5250305
Barbados,2007,89.613,X,13.1500331,-59.5250305
Barbados,2012,88.849,X,13.1500331,-59.5250305
Barbados,2017,89.026,X,13.1500331,-59.5250305
Barbados,2018,89.201,X,13.1500331,-59.5250305
Belarus,1992,6823.453,X,53.4250605,27.6971358
Belarus,1997,6918.869,X,53.4250605,27.6971358
Belarus,2002,6957.077,X,53.4250605,27.6971358
Belarus,2007,6987.925,X,53.4250605,27.6971358
Belarus,2012,7169.857,X,53.4250605,27.6971358
Belarus,2017,7397.955,X,53.4250605,27.6971358
Belarus,2018,7428.871,X,53.4250605,27.6971358
Belgium,1962,8601.0,X,50.6402809,4.6667145
Belgium,1967,8908.0,X,50.6402809,4.6667145
Belgium,1972,9126.0,X,50.6402809,4.6667145
Belgium,1977,9301.0,X,50.6402809,4.6667145
Belgium,1982,9391.0,X,50.6402809,4.6667145
Belgium,1987,9466.0,X,50.6402809,4.6667145
Belgium,1992,9650.0,X,50.6402809,4.6667145
Belgium,1997,9814.0,X,50.6402809,4.6667145
Belgium,2002,10078.969,X,50.6402809,4.6667145
Belgium,2007,10430.928,X,50.6402809,4.6667145
Belgium,2012,10833.511,X,50.6402809,4.6667145
Belgium,2017,11196.239,X,50.6402809,4.6667145
Belgium,2018,11268.675,X,50.6402809,4.6667145
Belize,1962,52.013,X,16.8259793,-88.7600927
Belize,1967,58.442,X,16.8259793,-88.7600927
Belize,1972,64.396,X,16.8259793,-88.7600927
Belize,1977,68.294,X,16.8259793,-88.7600927
Belize,1982,74.223,X,16.8259793,-88.7600927
Belize,1987,83.738,X,16.8259793,-88.7600927
Belize,1992,91.444,X,16.8259793,-88.7600927
Belize,1997,101.946,X,16.8259793,-88.7600927
Belize,2002,118.946,X,16.8259793,-88.7600927
Belize,2007,135.115,X,16.8259793,-88.7600927
Belize,2012,152.345,X,16.8259793,-88.7600927
Belize,2017,170.857,X,16.8259793,-88.7600927
Belize,2018,174.871,X,16.8259793,-88.7600927
Benin,1962,262.051,X,9.5293472,2.2584408
Benin,1967,384.821,X,9.5293472,2.2584408
Benin,1972,567.569,X,9.5293472,2.2584408
Benin,1977,834.099,X,9.5293472,2.2584408
Benin,1982,1126.941,X,9.5293472,2.2584408
Benin,1987,1462.435,X,9.5293472,2.2584408
Benin,1992,1910.239,X,9.5293472,2.2584408
Benin,1997,2348.364,X,9.5293472,2.2584408
Benin,2002,2847.815,X,9.5293472,2.2584408
Benin,2007,3513.622,X,9.5293472,2.2584408
Benin,2012,4293.037,X,9.5293472,2.2584408
Benin,2017,5226.646,X,9.5293472,2.2584408
Benin,2018,5434.128,X,9.5293472,2.2584408
Bhutan,1962,9.386,X,27.549511,90.5119273
Bhutan,1967,14.091,X,27.549511,90.5119273
Bhutan,1972,21.481,X,27.549511,90.5119273
Bhutan,1977,32.544,X,27.549511,90.5119273
Bhutan,1982,48.209,X,27.549511,90.5119273
Bhutan,1987,71.26,X,27.549511,90.5119273
Bhutan,1992,95.474,X,27.549511,90.5119273
Bhutan,1997,118.448,X,27.549511,90.5119273
Bhutan,2002,167.186,X,27.549511,90.5119273
Bhutan,2007,223.048,X,27.549511,90.5119273
Bhutan,2012,273.865,X,27.549511,90.5119273
Bhutan,2017,324.393,X,27.549511,90.5119273
Bhutan,2018,334.138,X,27.549511,90.5119273
Bolivia (Plurinational State of),1962,1433.808,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),1967,1646.636,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),1972,1897.505,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),1977,2221.477,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),1982,2770.057,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),1987,3397.166,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),1992,4103.674,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),1997,4739.168,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2002,5432.803,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2007,6144.724,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2012,6892.356,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2017,7634.445,X,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,7786.488,X,-17.0568696,-64.9912286
Bosnia and Herzegovina,1992,1690.864,X,44.3053476,17.5961467
Bosnia and Herzegovina,1997,1555.068,X,44.3053476,17.5961467
Bosnia and Herzegovina,2002,1624.129,X,44.3053476,17.5961467
Bosnia and Herzegovina,2007,1683.233,X,44.3053476,17.5961467
Bosnia and Herzegovina,2012,1685.431,X,44.3053476,17.5961467
Bosnia and Herzegovina,2017,1679.011,X,44.3053476,17.5961467
Bosnia and Herzegovina,2018,1690.295,X,44.3053476,17.5961467
Botswana,1962,17.263,X,-23.1681782,24.5928742
