country,year,value,symbol,lat,lon
Algeria,1962,361000000.0,X,28.0000272,2.9999825
Algeria,1967,393000000.0,X,28.0000272,2.9999825
Algeria,1969,432000000.0,X,28.0000272,2.9999825
Argentina,1967,2420000000.0,X,-34.9964963,-64.9672817
Argentina,1969,2870000000.0,X,-34.9964963,-64.9672817
Bangladesh,1962,2900000000.0,X,23.5031022,90.00386523825051
Bangladesh,1967,4050000000.0,X,23.5031022,90.00386523825051
Bangladesh,1969,4690000000.0,X,23.5031022,90.00386523825051
Benin,1962,106000000.0,X,9.5293472,2.2584408
Benin,1967,129000000.0,X,9.5293472,2.2584408
Benin,1969,127000000.0,X,9.5293472,2.2584408
Botswana,1962,14500000.0,X,-23.1681782,24.5928742
Botswana,1967,24200000.0,X,-23.1681782,24.5928742
Botswana,1969,29900000.0,X,-23.1681782,24.5928742
Brazil,1962,3100000000.0,X,-10.3333333,-53.2
Brazil,1967,3980000000.0,X,-10.3333333,-53.2
Brazil,1969,4150000000.0,X,-10.3333333,-53.2
Burkina Faso,1962,144000000.0,X,12.0753083,-1.6880314
Burkina Faso,1967,151000000.0,X,12.0753083,-1.6880314
Burkina Faso,1969,153000000.0,X,12.0753083,-1.6880314
Cameroon,1967,291000000.0,X,4.6125522,13.1535811
Cameroon,1969,354000000.0,X,4.6125522,13.1535811
Central African Republic,1967,60600000.0,X,7.0323598,19.9981227
Central African Republic,1969,63500000.0,X,7.0323598,19.9981227
Chad,1962,138000000.0,X,15.6134137,19.0156172
Chad,1967,180000000.0,X,15.6134137,19.0156172
Chad,1969,181000000.0,X,15.6134137,19.0156172
Chile,1962,455000000.0,X,-31.7613365,-71.3187697
Chile,1967,569000000.0,X,-31.7613365,-71.3187697
Chile,1969,547000000.0,X,-31.7613365,-71.3187697
China,1962,18400000000.0,X,35.000074,104.999927
China,1967,29000000000.0,X,35.000074,104.999927
China,1969,29900000000.0,X,35.000074,104.999927
Colombia,1967,1620000000.0,X,4.099917,-72.9088133
Colombia,1969,1760000000.0,X,4.099917,-72.9088133
Congo,1962,33000000.0,X,-0.7264327,15.6419155
Congo,1967,47200000.0,X,-0.7264327,15.6419155
Congo,1969,46900000.0,X,-0.7264327,15.6419155
Costa Rica,1962,124000000.0,X,10.2735633,-84.0739102
Costa Rica,1967,162000000.0,X,10.2735633,-84.0739102
Costa Rica,1969,198000000.0,X,10.2735633,-84.0739102
Cote d'Ivoire,1962,296000000.0,X,7.9897371,-5.5679458
Cote d'Ivoire,1967,376000000.0,X,7.9897371,-5.5679458
Cote d'Ivoire,1969,457000000.0,X,7.9897371,-5.5679458
Dominican Republic,1967,210000000.0,X,19.0974031,-70.3028026
Dominican Republic,1969,262000000.0,X,19.0974031,-70.3028026
Ecuador,1962,295000000.0,X,-1.3397668,-79.3666965
Ecuador,1967,725000000.0,X,-1.3397668,-79.3666965
Ecuador,1969,817000000.0,X,-1.3397668,-79.3666965
Egypt,1967,1390000000.0,X,26.2540493,29.2675469
Egypt,1969,1770000000.0,X,26.2540493,29.2675469
El Salvador,1967,376000000.0,X,13.8000382,-88.9140683
El Salvador,1969,380000000.0,X,13.8000382,-88.9140683
