country,year,value,symbol,lat,lon
Albania,1972,38.178962,X,41.000028,19.9999619
Albania,1977,38.318367,X,41.000028,19.9999619
Albania,1982,36.800789,X,41.000028,19.9999619
Albania,1987,38.54186,X,41.000028,19.9999619
Albania,1992,56.172816,X,41.000028,19.9999619
Albania,1997,31.543343,X,41.000028,19.9999619
Albania,2002,22.025174,X,41.000028,19.9999619
Albania,2007,17.153623,X,41.000028,19.9999619
Albania,2012,18.766799,X,41.000028,19.9999619
Albania,2016,19.849976,X,41.000028,19.9999619
Algeria,1967,10.33,X,28.0000272,2.9999825
Algeria,1972,12.228819,X,28.0000272,2.9999825
Algeria,1977,8.552226,X,28.0000272,2.9999825
Algeria,1982,7.858088,X,28.0000272,2.9999825
Algeria,1987,10.293075,X,28.0000272,2.9999825
Algeria,1992,12.099304,X,28.0000272,2.9999825
Algeria,1997,8.839552,X,28.0000272,2.9999825
Algeria,2002,9.310262,X,28.0000272,2.9999825
Algeria,2007,7.570631,X,28.0000272,2.9999825
Algeria,2012,8.770688,X,28.0000272,2.9999825
Algeria,2016,12.220066,X,28.0000272,2.9999825
Andorra,1972,0.397362,X,42.5407167,1.5732033
Andorra,1977,0.397396,X,42.5407167,1.5732033
Andorra,1982,0.397593,X,42.5407167,1.5732033
Andorra,1987,0.398209,X,42.5407167,1.5732033
Andorra,1992,0.396444,X,42.5407167,1.5732033
Andorra,1997,0.352469,X,42.5407167,1.5732033
Andorra,1999,0.245847,X,42.5407167,1.5732033
Angola,1997,9.018265,X,47.2,13.2
Angola,2002,5.83955,X,47.2,13.2
Angola,2007,5.242278,X,47.2,13.2
Angola,2012,6.06963,X,47.2,13.2
Angola,2017,10.016996,X,47.2,13.2
Antigua and Barbuda,1972,4.176297,X,17.2234721,-61.9554608
Antigua and Barbuda,1977,4.726079,X,17.2234721,-61.9554608
Antigua and Barbuda,1982,2.566195,X,17.2234721,-61.9554608
Antigua and Barbuda,1987,1.907671,X,17.2234721,-61.9554608
Antigua and Barbuda,1992,1.802679,X,17.2234721,-61.9554608
Antigua and Barbuda,1997,1.718978,X,17.2234721,-61.9554608
Antigua and Barbuda,2002,1.730921,X,17.2234721,-61.9554608
Antigua and Barbuda,2007,1.605891,X,17.2234721,-61.9554608
Antigua and Barbuda,2012,1.898847,X,17.2234721,-61.9554608
Antigua and Barbuda,2017,1.793599,X,17.2234721,-61.9554608
Argentina,1967,9.98,X,-34.9964963,-64.9672817
Argentina,1972,9.509485,X,-34.9964963,-64.9672817
Argentina,1977,7.019216,X,-34.9964963,-64.9672817
Argentina,1982,8.318905,X,-34.9964963,-64.9672817
Argentina,1987,7.017414,X,-34.9964963,-64.9672817
Argentina,1992,5.193747,X,-34.9964963,-64.9672817
Argentina,1997,4.527197,X,-34.9964963,-64.9672817
Argentina,2002,8.84866,X,-34.9964963,-64.9672817
Argentina,2007,7.452354,X,-34.9964963,-64.9672817
Argentina,2012,5.781744,X,-34.9964963,-64.9672817
Argentina,2017,5.478382,X,-34.9964963,-64.9672817
Armenia,1992,28.303063,X,40.7696272,44.6736646
Armenia,1997,27.567149,X,40.7696272,44.6736646
Armenia,2002,21.997248,X,40.7696272,44.6736646
Armenia,2007,17.094531,X,40.7696272,44.6736646
Armenia,2012,17.912682,X,40.7696272,44.6736646
Armenia,2017,14.99426,X,40.7696272,44.6736646
Australia,1997,3.038954,X,-24.7761086,134.755
Australia,2002,2.888534,X,-24.7761086,134.755
Australia,2007,2.33863,X,-24.7761086,134.755
