country,year,value,symbol,lat,lon
Afghanistan,2015,0.849079903,I,33.7680065,66.2385139
Albania,2002,2.951669604,I,41.000028,19.9999619
Albania,2005,4.196053733,I,41.000028,19.9999619
Albania,2009,6.446304677,I,41.000028,19.9999619
Albania,2014,7.871182101,I,41.000028,19.9999619
Algeria,2002,15.00876007,I,28.0000272,2.9999825
Algeria,2006,16.45380505,I,28.0000272,2.9999825
Algeria,2012,16.09278932,E,28.0000272,2.9999825
Algeria,2016,15.00577909,E,28.0000272,2.9999825
Angola,1997,53.52670648,I,47.2,13.2
Angola,2002,66.80427207,I,47.2,13.2
Angola,2007,108.3609599,I,47.2,13.2
Angola,2012,143.116159,I,47.2,13.2
Angola,2015,149.1888805,I,47.2,13.2
Antigua and Barbuda,1997,121.9075169,I,17.2234721,-61.9554608
Antigua and Barbuda,2002,117.7569401,I,17.2234721,-61.9554608
Antigua and Barbuda,2007,139.809508,I,17.2234721,-61.9554608
Antigua and Barbuda,2012,93.45734013,I,17.2234721,-61.9554608
Antigua and Barbuda,2015,100.5970074,I,17.2234721,-61.9554608
Argentina,1997,12.18445181,I,-34.9964963,-64.9672817
Argentina,2002,9.249702632,I,-34.9964963,-64.9672817
Armenia,1997,0.991150064,I,40.7696272,44.6736646
Armenia,2002,2.209566258,I,40.7696272,44.6736646
Armenia,2006,2.293116692,E,40.7696272,44.6736646
Armenia,2010,3.473934066,E,40.7696272,44.6736646
Austria,1997,67.17706482,I,47.2,13.2
Austria,2002,78.50072144,I,47.2,13.2
Austria,2006,89.61423421,I,47.2,13.2
Austria,2015,96.3437902,I,47.2,13.2
Azerbaijan,2009,3.698177311,E,40.3936294,47.7872508
Bahrain,2015,71.80997591,I,44.3053476,17.5961467
Bangladesh,2012,4.127227605,I,23.5031022,90.00386523825051
Bangladesh,2015,5.068369873,I,23.5031022,90.00386523825051
Barbados,2015,51.4646372,I,13.1500331,-59.5250305
Belarus,2012,29.84003069,I,53.4250605,27.6971358
Belarus,2017,32.02739476,E,53.4250605,27.6971358
Belgium,2006,57.83030084,I,50.6402809,4.6667145
Belgium,2010,67.71924662,I,50.6402809,4.6667145
Belgium,2015,102.8747168,I,50.6402809,4.6667145
Belize,1997,8.179502414,I,16.8259793,-88.7600927
Belize,2002,8.951503652,I,16.8259793,-88.7600927
Belize,2007,11.27468487,I,16.8259793,-88.7600927
Belize,2012,12.32035254,I,16.8259793,-88.7600927
Belize,2015,12.78944725,I,16.8259793,-88.7600927
Benin,1997,17.96548378,I,9.5293472,2.2584408
Benin,2002,23.37349399,I,9.5293472,2.2584408
Benin,2006,21.22285551,I,9.5293472,2.2584408
Benin,2015,23.49702837,I,9.5293472,2.2584408
Bhutan,2015,5.22089449,I,27.549511,90.5119273
Bolivia (Plurinational State of),2012,9.487865531,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2016,12.58688126,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,13.71107975,I,-17.0568696,-64.9912286
Botswana,1992,38.95233533,E,-23.1681782,24.5928742
Botswana,1997,37.10380551,E,-23.1681782,24.5928742
Botswana,2002,37.43851631,E,-23.1681782,24.5928742
Botswana,2003,37.79881481,E,-23.1681782,24.5928742
Botswana,2009,44.83158129,E,-23.1681782,24.5928742
Botswana,2015,67.6958017,E,-23.1681782,24.5928742
Brazil,1997,17.7858058,I,-10.3333333,-53.2
Brazil,2002,17.6841581,I,-10.3333333,-53.2
Brazil,2007,19.76343951,E,-10.3333333,-53.2
Brazil,2008,19.24232582,E,-10.3333333,-53.2
Brazil,2013,22.51974866,E,-10.3333333,-53.2
Bulgaria,1997,3.233548848,I,42.6073975,25.4856617
Bulgaria,2002,3.977717906,E,42.6073975,25.4856617
Bulgaria,2007,5.832634786,E,42.6073975,25.4856617
Bulgaria,2015,7.415564298,E,42.6073975,25.4856617
Bulgaria,2018,8.62765735,E,42.6073975,25.4856617
Burkina Faso,1997,6.27994307,I,12.0753083,-1.6880314
Burkina Faso,2002,5.057243913,I,12.0753083,-1.6880314
Burkina Faso,2015,9.918438524,I,12.0753083,-1.6880314
Burundi,2002,3.472330188,I,50.6402809,4.6667145
Burundi,2007,4.499221241,I,50.6402809,4.6667145
Burundi,2012,5.369282794,I,50.6402809,4.6667145
Burundi,2015,5.941634188,I,50.6402809,4.6667145
Cabo Verde,2002,31.82154987,I,16.0000552,-24.0083947
Cabo Verde,2006,37.10185177,I,16.0000552,-24.0083947
Cabo Verde,2016,49.18017113,I,16.0000552,-24.0083947
Cambodia,2007,3.508916442,E,13.5066394,104.869423
