country,year,value,symbol,lat,lon
Afghanistan,1982,1246.0,I,33.7680065,66.2385139
Afghanistan,1987,1111.0,I,33.7680065,66.2385139
Afghanistan,1992,1025.789474,I,33.7680065,66.2385139
Afghanistan,1997,1015.263158,I,33.7680065,66.2385139
Afghanistan,2002,1004.736842,I,33.7680065,66.2385139
Afghanistan,2007,994.2105263,I,33.7680065,66.2385139
Afghanistan,2012,1156.0,OF,33.7680065,66.2385139
Afghanistan,2017,1301.0,I,33.7680065,66.2385139
Afghanistan,2018,1301.0,I,33.7680065,66.2385139
Albania,2007,3.1,I,41.000028,19.9999619
Albania,2012,3.1,I,41.000028,19.9999619
Albania,2017,3.1,I,41.000028,19.9999619
Albania,2018,3.1,I,41.000028,19.9999619
Algeria,2002,89.3,I,28.0000272,2.9999825
Algeria,2007,89.3,I,28.0000272,2.9999825
Algeria,2012,89.3,I,28.0000272,2.9999825
Algeria,2017,89.3,I,28.0000272,2.9999825
Algeria,2018,89.3,I,28.0000272,2.9999825
Argentina,2012,60.0,I,-34.9964963,-64.9672817
Argentina,2017,60.0,I,-34.9964963,-64.9672817
Argentina,2018,60.0,I,-34.9964963,-64.9672817
Armenia,1997,31.72727273,I,40.7696272,44.6736646
Armenia,2002,33.54545455,I,40.7696272,44.6736646
Armenia,2007,35.0,I,40.7696272,44.6736646
Armenia,2012,35.0,I,40.7696272,44.6736646
Armenia,2017,35.0,I,40.7696272,44.6736646
Armenia,2018,35.0,I,40.7696272,44.6736646
Austria,1997,2.0275,I,47.2,13.2
Austria,2002,2.54625,I,47.2,13.2
Austria,2007,2.65,I,47.2,13.2
Austria,2012,2.65,I,47.2,13.2
Austria,2017,2.65,I,47.2,13.2
Austria,2018,2.65,I,47.2,13.2
Azerbaijan,1997,366.0555556,I,40.3936294,47.7872508
Azerbaijan,2002,540.9444444,I,40.3936294,47.7872508
Azerbaijan,2007,610.9,I,40.3936294,47.7872508
Azerbaijan,2012,610.9,I,40.3936294,47.7872508
Azerbaijan,2017,610.9,I,40.3936294,47.7872508
Azerbaijan,2018,610.9,I,40.3936294,47.7872508
Bangladesh,1982,194.15,I,23.5031022,90.00386523825051
Bangladesh,1987,263.6,OF,23.5031022,90.00386523825051
Bangladesh,1992,277.8666667,I,23.5031022,90.00386523825051
Bangladesh,1997,278.1142857,I,23.5031022,90.00386523825051
Bangladesh,2002,293.9714286,I,23.5031022,90.00386523825051
Bangladesh,2007,309.8285714,I,23.5031022,90.00386523825051
Bangladesh,2012,313.0,I,23.5031022,90.00386523825051
Bangladesh,2017,313.0,I,23.5031022,90.00386523825051
Bangladesh,2018,313.0,I,23.5031022,90.00386523825051
Bolivia (Plurinational State of),2012,11.14,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2017,11.14,I,-17.0568696,-64.9912286
Bolivia (Plurinational State of),2018,11.14,I,-17.0568696,-64.9912286
Brazil,2007,19.0,I,-10.3333333,-53.2
Brazil,2012,19.0,I,-10.3333333,-53.2
Brazil,2017,19.0,I,-10.3333333,-53.2
Brazil,2018,19.0,I,-10.3333333,-53.2
Bulgaria,2007,0.01,I,42.6073975,25.4856617
Bulgaria,2012,0.01,I,42.6073975,25.4856617
Bulgaria,2017,0.01,I,42.6073975,25.4856617
Bulgaria,2018,0.01,I,42.6073975,25.4856617
Chad,2002,2.0,E,15.6134137,19.0156172
Chad,2007,2.0,I,15.6134137,19.0156172
Chad,2012,2.0,I,15.6134137,19.0156172
Chad,2017,2.0,I,15.6134137,19.0156172
Chad,2018,2.0,I,15.6134137,19.0156172
Chile,1997,105.9309091,I,-31.7613365,-71.3187697
Chile,2002,77.08545455,I,-31.7613365,-71.3187697
Chile,2007,48.24,OF,-31.7613365,-71.3187697
Chile,2012,48.24,I,-31.7613365,-71.3187697
Chile,2017,48.24,I,-31.7613365,-71.3187697
Chile,2018,48.24,I,-31.7613365,-71.3187697
China,2007,22299.0,I,35.000074,104.999927
China,2012,22299.0,I,35.000074,104.999927
China,2017,22299.0,I,35.000074,104.999927
China,2018,22299.0,I,35.000074,104.999927
Cyprus,1997,0.488,I,34.9823018,33.1451285
Cyprus,2002,0.581333333,I,34.9823018,33.1451285
Cyprus,2007,0.6,I,34.9823018,33.1451285
Cyprus,2012,0.6,I,34.9823018,33.1451285
Cyprus,2017,0.6,I,34.9823018,33.1451285
Cyprus,2018,0.6,I,34.9823018,33.1451285
Democratic People's Republic of Korea,1997,74.0,I,40.3736611,127.0870417
Democratic People's Republic of Korea,2002,74.0,I,40.3736611,127.0870417
Democratic People's Republic of Korea,2007,74.0,I,40.3736611,127.0870417
Democratic People's Republic of Korea,2012,74.0,I,40.3736611,127.0870417
Democratic People's Republic of Korea,2017,74.0,I,40.3736611,127.0870417
Democratic People's Republic of Korea,2018,74.0,I,40.3736611,127.0870417
Denmark,2007,27.2,I,55.670249,10.3333283
Denmark,2012,34.0,I,55.670249,10.3333283
Denmark,2017,34.0,I,55.670249,10.3333283
Denmark,2018,34.0,I,55.670249,10.3333283
Egypt,1977,574.3,I,26.2540493,29.2675469
Egypt,1982,533.64,I,26.2540493,29.2675469
Egypt,1987,601.675,I,26.2540493,29.2675469
Egypt,1992,860.1125,I,26.2540493,29.2675469
Egypt,1997,963.8888889,I,26.2540493,29.2675469
Egypt,2002,1029.0,OF,26.2540493,29.2675469
Egypt,2007,1174.0,I,26.2540493,29.2675469
Egypt,2012,1261.0,I,26.2540493,29.2675469
Egypt,2017,1261.0,I,26.2540493,29.2675469
Egypt,2018,1261.0,I,26.2540493,29.2675469
Ethiopia,2002,23.16,E,10.2116702,38.6521203
Ethiopia,2007,23.16,I,10.2116702,38.6521203
Ethiopia,2012,23.16,I,10.2116702,38.6521203
Ethiopia,2017,23.16,I,10.2116702,38.6521203
Ethiopia,2018,23.16,I,10.2116702,38.6521203
France,2002,50.49333333,I,46.603354,1.8883335
France,2007,36.09,I,46.603354,1.8883335
France,2012,30.24,I,46.603354,1.8883335
France,2017,30.24,I,46.603354,1.8883335
France,2018,30.24,I,46.603354,1.8883335
Georgia,2012,15.98,I,41.6809707,44.0287382
Georgia,2017,15.98,I,41.6809707,44.0287382
Georgia,2018,15.98,I,41.6809707,44.0287382
Greece,1992,38.55333333,I,38.9953683,21.9877132
Greece,1997,25.52,X,38.9953683,21.9877132
Greece,2002,29.68,I,38.9953683,21.9877132
Greece,2007,31.532,I,38.9953683,21.9877132
Greece,2012,31.0,I,38.9953683,21.9877132
Greece,2017,31.0,I,38.9953683,21.9877132
Greece,2018,31.0,I,38.9953683,21.9877132
Hungary,2007,0.0,I,47.1817585,19.5060937
Hungary,2012,0.0,I,47.1817585,19.5060937
Hungary,2017,0.0,I,47.1817585,19.5060937
Hungary,2018,0.0,I,47.1817585,19.5060937
India,1962,4300.0,OF,22.3511148,78.6677428
India,1967,6200.0,OF,22.3511148,78.6677428
India,1972,10400.0,OF,22.3511148,78.6677428
India,1977,13600.0,OF,22.3511148,78.6677428
India,1982,15700.0,OF,22.3511148,78.6677428
India,1987,17876.0,OF,22.3511148,78.6677428
India,1992,19500.0,OF,22.3511148,78.6677428
India,1997,21688.18182,I,22.3511148,78.6677428
India,2002,22980.90909,I,22.3511148,78.6677428
India,2007,25161.0,I,22.3511148,78.6677428
India,2012,27932.66667,I,22.3511148,78.6677428
India,2017,28487.0,I,22.3511148,78.6677428
India,2018,28487.0,I,22.3511148,78.6677428
Iran (Islamic Republic of),1987,2204.5,I,32.6475314,54.5643516
Iran (Islamic Republic of),1992,2318.25,I,32.6475314,54.5643516
Iran (Islamic Republic of),1997,2458.2,I,32.6475314,54.5643516
Iran (Islamic Republic of),2002,2604.7,I,32.6475314,54.5643516
Iran (Islamic Republic of),2007,2634.0,I,32.6475314,54.5643516
Iran (Islamic Republic of),2012,2634.0,I,32.6475314,54.5643516
Iran (Islamic Republic of),2017,2634.0,I,32.6475314,54.5643516
Iran (Islamic Republic of),2018,2634.0,I,32.6475314,54.5643516
Iraq,1987,120.64,I,33.0955793,44.1749775
Iraq,1992,263.1842105,I,33.0955793,44.1749775
Iraq,1997,456.6052632,I,33.0955793,44.1749775
Iraq,2002,650.0263158,I,33.0955793,44.1749775
Iraq,2007,843.4473684,I,33.0955793,44.1749775
Iraq,2012,959.5,I,33.0955793,44.1749775
Iraq,2017,959.5,I,33.0955793,44.1749775
Iraq,2018,959.5,I,33.0955793,44.1749775
Italy,1992,69.12666667,I,42.6384261,12.674297
Italy,1997,86.35857143,I,42.6384261,12.674297
Italy,2002,71.39333333,I,42.6384261,12.674297
Italy,2007,105.878,I,42.6384261,12.674297
Italy,2012,118.0,I,42.6384261,12.674297
Italy,2017,118.0,I,42.6384261,12.674297
Italy,2018,118.0,I,42.6384261,12.674297
Japan,1997,78.775,I,36.5748441,139.2394179
Japan,2002,105.5666667,I,36.5748441,139.2394179
Japan,2007,127.0,I,36.5748441,139.2394179
Japan,2012,127.0,I,36.5748441,139.2394179
Japan,2017,127.0,I,36.5748441,139.2394179
Japan,2018,127.0,I,36.5748441,139.2394179
Jordan,1992,5.962769231,I,31.1667049,36.941628
Jordan,1997,4.176615385,I,31.1667049,36.941628
Jordan,2002,2.390461539,I,31.1667049,36.941628
Jordan,2007,1.676,I,31.1667049,36.941628
Jordan,2012,1.676,I,31.1667049,36.941628
Jordan,2017,1.676,I,31.1667049,36.941628
Jordan,2018,1.676,I,31.1667049,36.941628
Kazakhstan,1997,123.2705882,I,47.2286086,65.2093197
Kazakhstan,2002,155.8588235,I,47.2286086,65.2093197
Kazakhstan,2007,188.4470588,I,47.2286086,65.2093197
Kazakhstan,2012,208.0,I,47.2286086,65.2093197
Kazakhstan,2017,208.0,I,47.2286086,65.2093197
Kazakhstan,2018,208.0,I,47.2286086,65.2093197
Kuwait,1997,0.2375,I,29.2733964,47.4979476
Kuwait,2002,0.266666667,I,29.2733964,47.4979476
Kuwait,2007,0.29,I,29.2733964,47.4979476
Kuwait,2012,0.29,I,29.2733964,47.4979476
Kuwait,2017,0.29,I,29.2733964,47.4979476
Kuwait,2018,0.29,I,29.2733964,47.4979476
Kyrgyzstan,1997,264.9181818,I,41.5089324,74.724091
Kyrgyzstan,2002,324.7818182,I,41.5089324,74.724091
Kyrgyzstan,2007,360.7,I,41.5089324,74.724091
Kyrgyzstan,2012,360.7,I,41.5089324,74.724091
Kyrgyzstan,2017,360.7,I,41.5089324,74.724091
Kyrgyzstan,2018,360.7,I,41.5089324,74.724091
Lebanon,1997,9.2,I,33.8750629,35.843409
Lebanon,2002,16.92666667,I,33.8750629,35.843409
Lebanon,2007,16.94,I,33.8750629,35.843409
Lebanon,2012,16.94,I,33.8750629,35.843409
Lebanon,2017,16.94,I,33.8750629,35.843409
Lebanon,2018,16.94,I,33.8750629,35.843409
Libya,2002,70.0,I,26.8234472,18.1236723
Libya,2007,70.0,I,26.8234472,18.1236723
Libya,2012,70.0,I,26.8234472,18.1236723
Libya,2017,70.0,I,26.8234472,18.1236723
Libya,2018,70.0,I,26.8234472,18.1236723
Mali,1982,2.482857143,I,16.3700359,-2.2900239
Mali,1987,2.19,OF,16.3700359,-2.2900239
Mali,1992,2.692307692,I,16.3700359,-2.2900239
Mali,1997,3.194615385,I,16.3700359,-2.2900239
Mali,2002,4.590363636,I,16.3700359,-2.2900239
Mali,2007,7.326272727,I,16.3700359,-2.2900239
Mali,2012,9.515,I,16.3700359,-2.2900239
Mali,2017,9.515,I,16.3700359,-2.2900239
Mali,2018,9.515,I,16.3700359,-2.2900239
Mexico,1997,642.75,I,22.5000485,-100.000037
Mexico,2002,619.875,I,22.5000485,-100.000037
Mexico,2007,597.0,E,22.5000485,-100.000037
Mexico,2012,597.0,I,22.5000485,-100.000037
Mexico,2017,597.0,I,22.5000485,-100.000037
Mexico,2018,597.0,I,22.5000485,-100.000037
Mongolia,1997,8.5,I,46.8250388,103.8499736
Mongolia,2002,8.5,I,46.8250388,103.8499736
Mongolia,2007,8.5,I,46.8250388,103.8499736
Mongolia,2012,8.5,I,46.8250388,103.8499736
Mongolia,2017,8.5,I,46.8250388,103.8499736
Mongolia,2018,8.5,I,46.8250388,103.8499736
Morocco,2002,362.2,I,31.1728205,-7.3362482
Morocco,2007,360.2857143,I,31.1728205,-7.3362482
Morocco,2012,370.0,I,31.1728205,-7.3362482
Morocco,2017,370.0,I,31.1728205,-7.3362482
Morocco,2018,370.0,I,31.1728205,-7.3362482
Myanmar,1997,31.29636364,I,17.1750495,95.9999652
Myanmar,2002,56.68727273,I,17.1750495,95.9999652
Myanmar,2007,77.0,I,17.1750495,95.9999652
Myanmar,2012,77.0,I,17.1750495,95.9999652
Myanmar,2017,77.0,I,17.1750495,95.9999652
Myanmar,2018,77.0,I,17.1750495,95.9999652
Namibia,1992,1.127272727,I,-23.2335499,17.3231107
Namibia,1997,1.263636364,I,-23.2335499,17.3231107
Namibia,2001,1.372727273,I,-23.2335499,17.3231107
Namibia,2007,1.4,I,-23.2335499,17.3231107
Namibia,2012,1.4,I,-23.2335499,17.3231107
Namibia,2017,1.4,I,-23.2335499,17.3231107
Namibia,2018,1.4,I,-23.2335499,17.3231107
Nepal,2007,645.0,I,28.1083929,84.0917139
Nepal,2012,645.0,I,28.1083929,84.0917139
Nepal,2017,645.0,I,28.1083929,84.0917139
Nepal,2018,645.0,I,28.1083929,84.0917139
Netherlands,2007,0.0,I,52.24764975,5.541246849406163
Netherlands,2012,0.0,I,52.24764975,5.541246849406163
Netherlands,2017,0.0,I,52.24764975,5.541246849406163
Netherlands,2018,0.0,I,52.24764975,5.541246849406163
New Zealand,2007,28.8,E,-41.5000831,172.8344077
New Zealand,2012,28.8,I,-41.5000831,172.8344077
New Zealand,2017,28.8,I,-41.5000831,172.8344077
New Zealand,2018,28.8,I,-41.5000831,172.8344077
Niger,1992,0.94,I,35.000074,104.999927
Niger,1997,0.79,OF,35.000074,104.999927
Niger,2002,0.580357143,I,35.000074,104.999927
Niger,2007,0.370714286,I,35.000074,104.999927
Niger,2012,0.203,I,35.000074,104.999927
Niger,2017,0.203,I,35.000074,104.999927
Niger,2018,0.203,I,35.000074,104.999927
Nigeria,1992,40.7,I,9.6000359,7.9999721
Nigeria,1997,25.2,I,9.6000359,7.9999721
Nigeria,2002,19.0,I,9.6000359,7.9999721
Nigeria,2007,19.0,I,9.6000359,7.9999721
Nigeria,2012,19.0,I,9.6000359,7.9999721
Nigeria,2017,19.0,I,9.6000359,7.9999721
Nigeria,2018,19.0,I,9.6000359,7.9999721
Oman,1997,0.480472727,I,21.0000287,57.0036901
Oman,2002,0.331063636,I,21.0000287,57.0036901
Oman,2007,0.3105,OF,21.0000287,57.0036901
Oman,2012,0.3105,I,21.0000287,57.0036901
Oman,2017,0.3105,I,21.0000287,57.0036901
Oman,2018,0.3105,I,21.0000287,57.0036901
Pakistan,1977,5063.6,I,30.3308401,71.247499
Pakistan,1982,5698.8,I,30.3308401,71.247499
Pakistan,1987,6122.714286,I,30.3308401,71.247499
Pakistan,1992,6497.0,OF,30.3308401,71.247499
Pakistan,1997,6758.875,I,30.3308401,71.247499
Pakistan,2002,7020.75,I,30.3308401,71.247499
Pakistan,2007,7282.625,I,30.3308401,71.247499
Pakistan,2012,7335.0,I,30.3308401,71.247499
Pakistan,2017,7335.0,I,30.3308401,71.247499
Pakistan,2018,7335.0,I,30.3308401,71.247499
Poland,2007,0.0,I,52.215933,19.134422
Poland,2012,0.0,I,52.215933,19.134422
Poland,2017,0.0,I,52.215933,19.134422
Poland,2018,0.0,I,52.215933,19.134422
Portugal,1992,2.775384615,I,40.0332629,-7.8896263
Portugal,1997,8.213846154,I,40.0332629,-7.8896263
Portugal,2002,13.65230769,I,40.0332629,-7.8896263
Portugal,2007,13.788,I,40.0332629,-7.8896263
Portugal,2012,13.55,I,40.0332629,-7.8896263
Portugal,2017,13.55,I,40.0332629,-7.8896263
Portugal,2018,13.55,I,40.0332629,-7.8896263
Qatar,1992,0.0925,I,25.3336984,51.2295295
Qatar,1997,0.0457,I,25.3336984,51.2295295
Qatar,2002,0.0202,I,25.3336984,51.2295295
Qatar,2007,0.01,I,25.3336984,51.2295295
Qatar,2012,0.01,I,25.3336984,51.2295295
Qatar,2017,0.01,I,25.3336984,51.2295295
Qatar,2018,0.01,I,25.3336984,51.2295295
Romania,2007,0.0,I,45.9852129,24.6859225
Romania,2012,0.0,I,45.9852129,24.6859225
