country,country_id,variable_name,variable_id,year,value,symbol,md,ref
Afghanistan,4,Total population with access to safe drinking-water (JMP),4114,1992,21.3,X,,6603
Afghanistan,4,Total population with access to safe drinking-water (JMP),4114,1997,25,X,,6603
Afghanistan,4,Total population with access to safe drinking-water (JMP),4114,2002,33.8,X,,6603
Afghanistan,4,Total population with access to safe drinking-water (JMP),4114,2007,42.6,X,,6603
Afghanistan,4,Total population with access to safe drinking-water (JMP),4114,2012,51.6,X,,6603
Afghanistan,4,Total population with access to safe drinking-water (JMP),4114,2017,55.3,I,,0
Afghanistan,4,Total population with access to safe drinking-water (JMP),4114,2018,55.3,I,,0
Afghanistan,4,Rural population with access to safe drinking-water (JMP),4115,1992,16.2,X,,6603
Afghanistan,4,Rural population with access to safe drinking-water (JMP),4115,1997,19.5,X,,6603
Afghanistan,4,Rural population with access to safe drinking-water (JMP),4115,2002,27.6,X,,6603
Afghanistan,4,Rural population with access to safe drinking-water (JMP),4115,2007,35.6,X,,6603
Afghanistan,4,Rural population with access to safe drinking-water (JMP),4115,2012,43.7,X,,6603
Afghanistan,4,Rural population with access to safe drinking-water (JMP),4115,2017,47,I,,0
Afghanistan,4,Rural population with access to safe drinking-water (JMP),4115,2018,47,I,,0
Afghanistan,4,Urban population with access to safe drinking-water (JMP),4116,1992,43,X,,6603
Afghanistan,4,Urban population with access to safe drinking-water (JMP),4116,1997,46.7,X,,6603
Afghanistan,4,Urban population with access to safe drinking-water (JMP),4116,2002,55.9,X,,6603
Afghanistan,4,Urban population with access to safe drinking-water (JMP),4116,2007,65.2,X,,6603
Afghanistan,4,Urban population with access to safe drinking-water (JMP),4116,2012,74.5,X,,6603
Afghanistan,4,Urban population with access to safe drinking-water (JMP),4116,2017,78.2,I,,0
Afghanistan,4,Urban population with access to safe drinking-water (JMP),4116,2018,78.2,I,,0
Albania,8,Total population with access to safe drinking-water (JMP),4114,1997,95.8,X,,6603
Albania,8,Total population with access to safe drinking-water (JMP),4114,2002,96.1,X,,6603
Albania,8,Total population with access to safe drinking-water (JMP),4114,2007,95.9,X,,6603
Albania,8,Total population with access to safe drinking-water (JMP),4114,2012,95.4,X,,6603
Albania,8,Total population with access to safe drinking-water (JMP),4114,2017,95.1,I,,0
Albania,8,Total population with access to safe drinking-water (JMP),4114,2018,95.1,I,,0
Albania,8,Rural population with access to safe drinking-water (JMP),4115,1997,93,X,,6603
Albania,8,Rural population with access to safe drinking-water (JMP),4115,2002,93.5,X,,6603
Albania,8,Rural population with access to safe drinking-water (JMP),4115,2007,94.2,X,,6603
Albania,8,Rural population with access to safe drinking-water (JMP),4115,2012,94.9,X,,6603
Albania,8,Rural population with access to safe drinking-water (JMP),4115,2017,95.2,I,,0
Albania,8,Rural population with access to safe drinking-water (JMP),4115,2018,95.2,I,,0
Albania,8,Urban population with access to safe drinking-water (JMP),4116,1992,100,X,,6603
Albania,8,Urban population with access to safe drinking-water (JMP),4116,1997,100,X,,6603
Albania,8,Urban population with access to safe drinking-water (JMP),4116,2002,99.5,X,,6603
Albania,8,Urban population with access to safe drinking-water (JMP),4116,2007,97.6,X,,6603
Albania,8,Urban population with access to safe drinking-water (JMP),4116,2012,95.7,X,,6603
Albania,8,Urban population with access to safe drinking-water (JMP),4116,2017,94.9,I,,0
Albania,8,Urban population with access to safe drinking-water (JMP),4116,2018,94.9,I,,0
Algeria,12,Total population with access to safe drinking-water (JMP),4114,1992,91.7,X,,6603
Algeria,12,Total population with access to safe drinking-water (JMP),4114,1997,90.5,X,,6603
Algeria,12,Total population with access to safe drinking-water (JMP),4114,2002,88.8,X,,6603
Algeria,12,Total population with access to safe drinking-water (JMP),4114,2007,87,X,,6603
Algeria,12,Total population with access to safe drinking-water (JMP),4114,2012,84.9,X,,6603
Algeria,12,Total population with access to safe drinking-water (JMP),4114,2017,83.6,I,,0
Algeria,12,Total population with access to safe drinking-water (JMP),4114,2018,83.6,I,,0
Algeria,12,Rural population with access to safe drinking-water (JMP),4115,1992,85,X,,6603
Algeria,12,Rural population with access to safe drinking-water (JMP),4115,1997,84.5,X,,6603
Algeria,12,Rural population with access to safe drinking-water (JMP),4115,2002,83.7,X,,6603
Algeria,12,Rural population with access to safe drinking-water (JMP),4115,2007,83,X,,6603
Algeria,12,Rural population with access to safe drinking-water (JMP),4115,2012,82.2,X,,6603
Algeria,12,Rural population with access to safe drinking-water (JMP),4115,2017,81.8,I,,0
Algeria,12,Rural population with access to safe drinking-water (JMP),4115,2018,81.8,I,,0
Algeria,12,Urban population with access to safe drinking-water (JMP),4116,1992,97.4,X,,6603
Algeria,12,Urban population with access to safe drinking-water (JMP),4116,1997,95,X,,6603
Algeria,12,Urban population with access to safe drinking-water (JMP),4116,2002,92,X,,6603
Algeria,12,Urban population with access to safe drinking-water (JMP),4116,2007,89.1,X,,6603
Algeria,12,Urban population with access to safe drinking-water (JMP),4116,2012,86.1,X,,6603
Algeria,12,Urban population with access to safe drinking-water (JMP),4116,2017,84.3,I,,0
Algeria,12,Urban population with access to safe drinking-water (JMP),4116,2018,84.3,I,,0
Andorra,20,Total population with access to safe drinking-water (JMP),4114,1992,100,X,,6603
Andorra,20,Total population with access to safe drinking-water (JMP),4114,1997,100,X,,6603
Andorra,20,Total population with access to safe drinking-water (JMP),4114,2002,100,X,,6603
Andorra,20,Total population with access to safe drinking-water (JMP),4114,2007,100,X,,6603
Andorra,20,Total population with access to safe drinking-water (JMP),4114,2012,100,X,,6603
Andorra,20,Total population with access to safe drinking-water (JMP),4114,2017,100,I,,0
Andorra,20,Total population with access to safe drinking-water (JMP),4114,2018,100,I,,0
Andorra,20,Rural population with access to safe drinking-water (JMP),4115,1992,100,X,,6603
Andorra,20,Rural population with access to safe drinking-water (JMP),4115,1997,100,X,,6603
Andorra,20,Rural population with access to safe drinking-water (JMP),4115,2002,100,X,,6603
Andorra,20,Rural population with access to safe drinking-water (JMP),4115,2007,100,X,,6603
Andorra,20,Rural population with access to safe drinking-water (JMP),4115,2012,100,X,,6603
Andorra,20,Rural population with access to safe drinking-water (JMP),4115,2017,100,I,,0
Andorra,20,Rural population with access to safe drinking-water (JMP),4115,2018,100,I,,0
Andorra,20,Urban population with access to safe drinking-water (JMP),4116,1992,100,X,,6603
Andorra,20,Urban population with access to safe drinking-water (JMP),4116,1997,100,X,,6603
Andorra,20,Urban population with access to safe drinking-water (JMP),4116,2002,100,X,,6603
Andorra,20,Urban population with access to safe drinking-water (JMP),4116,2007,100,X,,6603
Andorra,20,Urban population with access to safe drinking-water (JMP),4116,2012,100,X,,6603
Andorra,20,Urban population with access to safe drinking-water (JMP),4116,2017,100,I,,0
Andorra,20,Urban population with access to safe drinking-water (JMP),4116,2018,100,I,,0
Angola,24,Total population with access to safe drinking-water (JMP),4114,1992,45.8,X,,6603
Angola,24,Total population with access to safe drinking-water (JMP),4114,1997,45.8,X,,6603
Angola,24,Total population with access to safe drinking-water (JMP),4114,2002,45.7,X,,6603
Angola,24,Total population with access to safe drinking-water (JMP),4114,2007,46.4,X,,6603
Angola,24,Total population with access to safe drinking-water (JMP),4114,2012,47.8,X,,6603
Angola,24,Total population with access to safe drinking-water (JMP),4114,2017,49,I,,0
Angola,24,Total population with access to safe drinking-water (JMP),4114,2018,49,I,,0
Angola,24,Rural population with access to safe drinking-water (JMP),4115,1992,43.5,X,,6603
Angola,24,Rural population with access to safe drinking-water (JMP),4115,1997,41.1,X,,6603
Angola,24,Rural population with access to safe drinking-water (JMP),4115,2002,37,X,,6603
Angola,24,Rural population with access to safe drinking-water (JMP),4115,2007,33,X,,6603
Angola,24,Rural population with access to safe drinking-water (JMP),4115,2012,29,X,,6603
Angola,24,Rural population with access to safe drinking-water (JMP),4115,2017,28.2,I,,0
Angola,24,Rural population with access to safe drinking-water (JMP),4115,2018,28.2,I,,0
Angola,24,Urban population with access to safe drinking-water (JMP),4116,1992,52.1,X,,6603
Angola,24,Urban population with access to safe drinking-water (JMP),4116,1997,56.8,X,,6603
Angola,24,Urban population with access to safe drinking-water (JMP),4116,2002,62.6,X,,6603
Angola,24,Urban population with access to safe drinking-water (JMP),4116,2007,68.4,X,,6603
Angola,24,Urban population with access to safe drinking-water (JMP),4116,2012,74.2,X,,6603
Angola,24,Urban population with access to safe drinking-water (JMP),4116,2017,75.4,I,,0
Angola,24,Urban population with access to safe drinking-water (JMP),4116,2018,75.4,I,,0
Antigua and Barbuda,28,Total population with access to safe drinking-water (JMP),4114,1992,97.5,X,,6603
Antigua and Barbuda,28,Total population with access to safe drinking-water (JMP),4114,1997,97.6,X,,6603
Antigua and Barbuda,28,Total population with access to safe drinking-water (JMP),4114,2002,97.7,X,,6603
Antigua and Barbuda,28,Total population with access to safe drinking-water (JMP),4114,2007,97.9,X,,6603
Antigua and Barbuda,28,Total population with access to safe drinking-water (JMP),4114,2012,97.9,X,,6603
Antigua and Barbuda,28,Total population with access to safe drinking-water (JMP),4114,2017,97.9,I,,0
Antigua and Barbuda,28,Total population with access to safe drinking-water (JMP),4114,2018,97.9,I,,0
Antigua and Barbuda,28,Rural population with access to safe drinking-water (JMP),4115,1992,97.5,X,,6603
Antigua and Barbuda,28,Rural population with access to safe drinking-water (JMP),4115,1997,97.6,X,,6603
Antigua and Barbuda,28,Rural population with access to safe drinking-water (JMP),4115,2002,97.7,X,,6603
Antigua and Barbuda,28,Rural population with access to safe drinking-water (JMP),4115,2007,97.9,X,,6603
Antigua and Barbuda,28,Rural population with access to safe drinking-water (JMP),4115,2012,97.9,X,,6603
Antigua and Barbuda,28,Rural population with access to safe drinking-water (JMP),4115,2017,97.9,I,,0
Antigua and Barbuda,28,Rural population with access to safe drinking-water (JMP),4115,2018,97.9,I,,0
Antigua and Barbuda,28,Urban population with access to safe drinking-water (JMP),4116,1992,97.5,X,,6603
Antigua and Barbuda,28,Urban population with access to safe drinking-water (JMP),4116,1997,97.6,X,,6603
Antigua and Barbuda,28,Urban population with access to safe drinking-water (JMP),4116,2002,97.7,X,,6603
Antigua and Barbuda,28,Urban population with access to safe drinking-water (JMP),4116,2007,97.9,X,,6603
Antigua and Barbuda,28,Urban population with access to safe drinking-water (JMP),4116,2012,97.9,X,,6603
Antigua and Barbuda,28,Urban population with access to safe drinking-water (JMP),4116,2017,97.9,I,,0
Antigua and Barbuda,28,Urban population with access to safe drinking-water (JMP),4116,2018,97.9,I,,0
Argentina,32,Total population with access to safe drinking-water (JMP),4114,1992,94.3,X,,6603
Argentina,32,Total population with access to safe drinking-water (JMP),4114,1997,95.6,X,,6603
Argentina,32,Total population with access to safe drinking-water (JMP),4114,2002,96.7,X,,6603
Argentina,32,Total population with access to safe drinking-water (JMP),4114,2007,97.7,X,,6603
Argentina,32,Total population with access to safe drinking-water (JMP),4114,2012,98.6,X,,6603
Argentina,32,Total population with access to safe drinking-water (JMP),4114,2017,99.1,I,,0
Argentina,32,Total population with access to safe drinking-water (JMP),4114,2018,99.1,I,,0
Argentina,32,Rural population with access to safe drinking-water (JMP),4115,1992,71.3,X,,6603
Argentina,32,Rural population with access to safe drinking-water (JMP),4115,1997,77.5,X,,6603
Argentina,32,Rural population with access to safe drinking-water (JMP),4115,2002,83.7,X,,6603
Argentina,32,Rural population with access to safe drinking-water (JMP),4115,2007,90,X,,6603
Argentina,32,Rural population with access to safe drinking-water (JMP),4115,2012,96.2,X,,6603
Argentina,32,Rural population with access to safe drinking-water (JMP),4115,2017,100,I,,0
Argentina,32,Rural population with access to safe drinking-water (JMP),4115,2018,100,I,,0
Argentina,32,Urban population with access to safe drinking-water (JMP),4116,1992,97.6,X,,6603
Argentina,32,Urban population with access to safe drinking-water (JMP),4116,1997,97.9,X,,6603
Argentina,32,Urban population with access to safe drinking-water (JMP),4116,2002,98.2,X,,6603
Argentina,32,Urban population with access to safe drinking-water (JMP),4116,2007,98.5,X,,6603
Argentina,32,Urban population with access to safe drinking-water (JMP),4116,2012,98.8,X,,6603
Argentina,32,Urban population with access to safe drinking-water (JMP),4116,2017,99,I,,0
Argentina,32,Urban population with access to safe drinking-water (JMP),4116,2018,99,I,,0
Armenia,51,Total population with access to safe drinking-water (JMP),4114,1992,90.7,X,,6603
Armenia,51,Total population with access to safe drinking-water (JMP),4114,1997,91,X,,6603
Armenia,51,Total population with access to safe drinking-water (JMP),4114,2002,93.7,X,,6603
Armenia,51,Total population with access to safe drinking-water (JMP),4114,2007,96.7,X,,6603
Armenia,51,Total population with access to safe drinking-water (JMP),4114,2012,99.7,X,,6603
Armenia,51,Total population with access to safe drinking-water (JMP),4114,2017,100,I,,0
Armenia,51,Total population with access to safe drinking-water (JMP),4114,2018,100,I,,0
Armenia,51,Rural population with access to safe drinking-water (JMP),4115,1992,75.8,X,,6603
Armenia,51,Rural population with access to safe drinking-water (JMP),4115,1997,77.3,X,,6603
Armenia,51,Rural population with access to safe drinking-water (JMP),4115,2002,84.7,X,,6603
Armenia,51,Rural population with access to safe drinking-water (JMP),4115,2007,92,X,,6603
Armenia,51,Rural population with access to safe drinking-water (JMP),4115,2012,99.4,X,,6603
Armenia,51,Rural population with access to safe drinking-water (JMP),4115,2017,100,I,,0
Armenia,51,Rural population with access to safe drinking-water (JMP),4115,2018,100,I,,0
Armenia,51,Urban population with access to safe drinking-water (JMP),4116,1992,98.1,X,,6603
Armenia,51,Urban population with access to safe drinking-water (JMP),4116,1997,98.2,X,,6603
Armenia,51,Urban population with access to safe drinking-water (JMP),4116,2002,98.7,X,,6603
Armenia,51,Urban population with access to safe drinking-water (JMP),4116,2007,99.3,X,,6603
Armenia,51,Urban population with access to safe drinking-water (JMP),4116,2012,99.8,X,,6603
Armenia,51,Urban population with access to safe drinking-water (JMP),4116,2017,100,I,,0
Armenia,51,Urban population with access to safe drinking-water (JMP),4116,2018,100,I,,0
Australia,36,Total population with access to safe drinking-water (JMP),4114,1992,100,X,,6603
Australia,36,Total population with access to safe drinking-water (JMP),4114,1997,100,X,,6603
Australia,36,Total population with access to safe drinking-water (JMP),4114,2002,100,X,,6603
Australia,36,Total population with access to safe drinking-water (JMP),4114,2007,100,X,,6603
Australia,36,Total population with access to safe drinking-water (JMP),4114,2012,100,X,,6603
Australia,36,Total population with access to safe drinking-water (JMP),4114,2017,100,I,,0
Australia,36,Total population with access to safe drinking-water (JMP),4114,2018,100,I,,0
Australia,36,Rural population with access to safe drinking-water (JMP),4115,1992,100,X,,6603
Australia,36,Rural population with access to safe drinking-water (JMP),4115,1997,100,X,,6603
Australia,36,Rural population with access to safe drinking-water (JMP),4115,2002,100,X,,6603
