country,country_id,variable_name,variable_id,year,value,symbol,md,ref
Afghanistan,4,Area equipped for full control irrigation: sprinkler irrigation,4309,1967,114,I,,0
Afghanistan,4,Area equipped for full control irrigation: sprinkler irrigation,4309,1972,114,I,,0
Afghanistan,4,Area equipped for full control irrigation: sprinkler irrigation,4309,1977,114,I,,0
Afghanistan,4,Area equipped for full control irrigation: sprinkler irrigation,4309,1982,114,I,,0
Afghanistan,4,Area equipped for full control irrigation: sprinkler irrigation,4309,1987,114,I,,0
Afghanistan,4,Area equipped for full control irrigation: sprinkler irrigation,4309,1992,114,I,,0
Afghanistan,4,Area equipped for full control irrigation: sprinkler irrigation,4309,1997,114,I,,0
Afghanistan,4,Area equipped for full control irrigation: sprinkler irrigation,4309,2002,114,I,,0
Afghanistan,4,Area equipped for full control irrigation: sprinkler irrigation,4309,2007,114,I,,0
Afghanistan,4,Area equipped for full control irrigation: sprinkler irrigation,4309,2012,114,I,,0
Afghanistan,4,Area equipped for full control irrigation: sprinkler irrigation,4309,2017,114,I,,0
Afghanistan,4,Area equipped for full control irrigation: sprinkler irrigation,4309,2018,114,I,,0
Afghanistan,4,Area equipped for full control irrigation: total,4311,1967,2715,,,6025
Afghanistan,4,Area equipped for full control irrigation: total,4311,1972,2808.076923,I,,0
Afghanistan,4,Area equipped for full control irrigation: total,4311,1977,2901.153846,I,,0
Afghanistan,4,Area equipped for full control irrigation: total,4311,1982,2994.230769,I,,0
Afghanistan,4,Area equipped for full control irrigation: total,4311,1987,3087.307692,I,,0
Afghanistan,4,Area equipped for full control irrigation: total,4311,1992,3180.384615,I,,0
Afghanistan,4,Area equipped for full control irrigation: total,4311,1997,3203,I,,0
Afghanistan,4,Area equipped for full control irrigation: total,4311,2001,3207,I,,0
Afghanistan,4,Area equipped for full control irrigation: total,4311,2007,3208,I,,0
Afghanistan,4,Area equipped for full control irrigation: total,4311,2012,3208,I,,0
Afghanistan,4,Area equipped for full control irrigation: total,4311,2017,3208,I,,0
Afghanistan,4,Area equipped for full control irrigation: total,4311,2018,3208,I,,0
Afghanistan,4,Area equipped for full control irrigation: actually irrigated,4461,1992,2506.444444,I,,0
Afghanistan,4,Area equipped for full control irrigation: actually irrigated,4461,1997,2122.555556,I,,0
Afghanistan,4,Area equipped for full control irrigation: actually irrigated,4461,2002,2140,,,6738
Afghanistan,4,Area equipped for full control irrigation: actually irrigated,4461,2007,2307,,,6738
Afghanistan,4,Area equipped for full control irrigation: actually irrigated,4461,2012,2044,,,6738
Afghanistan,4,Area equipped for full control irrigation: actually irrigated,4461,2017,2165,I,,0
Afghanistan,4,Area equipped for full control irrigation: actually irrigated,4461,2018,2165,I,,0
Afghanistan,4,Percent of area equipped for full control irrigation actually irrigated,4463,1992,78.80947582,E,,0
Afghanistan,4,Percent of area equipped for full control irrigation actually irrigated,4463,1997,66.26773511,E,,0
Afghanistan,4,Percent of area equipped for full control irrigation actually irrigated,4463,2002,66.70822943,E,,0
Afghanistan,4,Percent of area equipped for full control irrigation actually irrigated,4463,2007,71.91396509,E,,0
Afghanistan,4,Percent of area equipped for full control irrigation actually irrigated,4463,2012,63.71571072,E,,0
Afghanistan,4,Percent of area equipped for full control irrigation actually irrigated,4463,2017,67.48753117,E,,0
Afghanistan,4,Percent of area equipped for full control irrigation actually irrigated,4463,2018,67.48753117,E,,0
Afghanistan,4,Area equipped for irrigation: total,4313,1967,2715,E,,0
Afghanistan,4,Area equipped for irrigation: total,4313,1972,2808.076923,I,,0
Afghanistan,4,Area equipped for irrigation: total,4313,1977,2901.153846,I,,0
Afghanistan,4,Area equipped for irrigation: total,4313,1982,2994.230769,I,,0
Afghanistan,4,Area equipped for irrigation: total,4313,1987,3087.307692,I,,0
Afghanistan,4,Area equipped for irrigation: total,4313,1992,3180.384615,I,,0
Afghanistan,4,Area equipped for irrigation: total,4313,1997,3203,I,,0
Afghanistan,4,Area equipped for irrigation: total,4313,2002,3208,E,,0
Afghanistan,4,Area equipped for irrigation: total,4313,2007,3208,I,,0
Afghanistan,4,Area equipped for irrigation: total,4313,2012,3208,I,,0
Afghanistan,4,Area equipped for irrigation: total,4313,2017,3208,I,,0
Afghanistan,4,Area equipped for irrigation: total,4313,2018,3208,I,,0
Afghanistan,4,Area equipped for irrigation: actually irrigated,4318,1992,2506.444444,I,,0
Afghanistan,4,Area equipped for irrigation: actually irrigated,4318,1997,2122.555556,I,,0
Afghanistan,4,Area equipped for irrigation: actually irrigated,4318,2002,2140,,,6738
Afghanistan,4,Area equipped for irrigation: actually irrigated,4318,2007,2307,,,6738
Afghanistan,4,Area equipped for irrigation: actually irrigated,4318,2012,2044,,,6738
Afghanistan,4,Area equipped for irrigation: actually irrigated,4318,2017,2165,I,,0
Afghanistan,4,Area equipped for irrigation: actually irrigated,4318,2018,2165,I,,0
Afghanistan,4,Percent of the area equipped for irrigation actually irrigated,4328,1992,78.80947582,E,,0
Afghanistan,4,Percent of the area equipped for irrigation actually irrigated,4328,1997,66.26773511,E,,0
Afghanistan,4,Percent of the area equipped for irrigation actually irrigated,4328,2002,66.70822943,E,,0
Afghanistan,4,Percent of the area equipped for irrigation actually irrigated,4328,2007,71.91396509,E,,0
Afghanistan,4,Percent of the area equipped for irrigation actually irrigated,4328,2012,63.71571072,E,,0
Afghanistan,4,Percent of the area equipped for irrigation actually irrigated,4328,2017,67.48753117,E,,0
Afghanistan,4,Percent of the area equipped for irrigation actually irrigated,4328,2018,67.48753117,E,,0
Afghanistan,4,Percent of the cultivated area equipped for irrigation,4331,1967,34.0268204,E,,0
Afghanistan,4,Percent of the cultivated area equipped for irrigation,4331,1972,34.9002849,E,,0
Afghanistan,4,Percent of the cultivated area equipped for irrigation,4331,1977,36.03917821,E,,0
Afghanistan,4,Percent of the cultivated area equipped for irrigation,4331,1982,37.17694027,E,,0
Afghanistan,4,Percent of the cultivated area equipped for irrigation,4331,1987,38.37548406,E,,0
Afghanistan,4,Percent of the cultivated area equipped for irrigation,4331,1992,39.60628413,E,,0
Afghanistan,4,Percent of the cultivated area equipped for irrigation,4331,1997,41.11681643,E,,0
Afghanistan,4,Percent of the cultivated area equipped for irrigation,4331,2002,41.37753128,E,,0
Afghanistan,4,Percent of the cultivated area equipped for irrigation,4331,2007,40.5562579,E,,0
Afghanistan,4,Percent of the cultivated area equipped for irrigation,4331,2012,40.5562579,E,,0
Afghanistan,4,Percent of the cultivated area equipped for irrigation,4331,2017,40.5562579,E,,0
Afghanistan,4,Total agricultural water managed area,4317,1967,2715,E,,0
Afghanistan,4,Total agricultural water managed area,4317,1972,2808.076923,I,,0
Afghanistan,4,Total agricultural water managed area,4317,1977,2901.153846,I,,0
Afghanistan,4,Total agricultural water managed area,4317,1982,2994.230769,I,,0
Afghanistan,4,Total agricultural water managed area,4317,1987,3087.307692,I,,0
Afghanistan,4,Total agricultural water managed area,4317,1992,3180.384615,I,,0
Afghanistan,4,Total agricultural water managed area,4317,1997,3203,I,,0
Afghanistan,4,Total agricultural water managed area,4317,2002,3208,E,,0
Afghanistan,4,Total agricultural water managed area,4317,2007,3208,I,,0
Afghanistan,4,Total agricultural water managed area,4317,2012,3208,I,,0
Afghanistan,4,Total agricultural water managed area,4317,2017,3208,I,,0
Afghanistan,4,Total agricultural water managed area,4317,2018,3208,I,,0
Afghanistan,4,Percent of agricultural water managed area equipped for irrigation,4319,1967,100,E,,0
Afghanistan,4,Percent of agricultural water managed area equipped for irrigation,4319,1972,100,I,,0
Afghanistan,4,Percent of agricultural water managed area equipped for irrigation,4319,1977,100,I,,0
Afghanistan,4,Percent of agricultural water managed area equipped for irrigation,4319,1982,100,I,,0
Afghanistan,4,Percent of agricultural water managed area equipped for irrigation,4319,1987,100,I,,0
Afghanistan,4,Percent of agricultural water managed area equipped for irrigation,4319,1992,100,I,,0
Afghanistan,4,Percent of agricultural water managed area equipped for irrigation,4319,1997,100,I,,0
Afghanistan,4,Percent of agricultural water managed area equipped for irrigation,4319,2002,100,E,,0
Afghanistan,4,Percent of agricultural water managed area equipped for irrigation,4319,2007,100,I,,0
Afghanistan,4,Percent of agricultural water managed area equipped for irrigation,4319,2012,100,I,,0
Afghanistan,4,Percent of agricultural water managed area equipped for irrigation,4319,2017,100,I,,0
Afghanistan,4,Percent of agricultural water managed area equipped for irrigation,4319,2018,100,I,,0
Albania,8,Area equipped for full control irrigation: surface irrigation,4308,1992,397,,,4779
Albania,8,Area equipped for full control irrigation: surface irrigation,4308,1997,397,I,,0
Albania,8,Area equipped for full control irrigation: surface irrigation,4308,2002,397,I,,0
Albania,8,Area equipped for full control irrigation: surface irrigation,4308,2007,397,I,,0
Albania,8,Area equipped for full control irrigation: surface irrigation,4308,2012,397,I,,0
Albania,8,Area equipped for full control irrigation: surface irrigation,4308,2017,397,I,,0
Albania,8,Area equipped for full control irrigation: surface irrigation,4308,2018,397,I,,0
Albania,8,Area equipped for full control irrigation: sprinkler irrigation,4309,1992,0.026,I,,0
Albania,8,Area equipped for full control irrigation: sprinkler irrigation,4309,1997,0.026,I,,0
Albania,8,Area equipped for full control irrigation: sprinkler irrigation,4309,2002,0.026,I,,0
Albania,8,Area equipped for full control irrigation: sprinkler irrigation,4309,2007,0.026,I,,0
Albania,8,Area equipped for full control irrigation: sprinkler irrigation,4309,2012,0.026,I,,0
Albania,8,Area equipped for full control irrigation: sprinkler irrigation,4309,2017,0.026,I,,0
Albania,8,Area equipped for full control irrigation: sprinkler irrigation,4309,2018,0.026,I,,0
Albania,8,Area equipped for full control irrigation: total,4311,1992,397.026,E,,0
Albania,8,Area equipped for full control irrigation: total,4311,1997,397.026,E,,0
Albania,8,Area equipped for full control irrigation: total,4311,2002,346,,,2457
Albania,8,Area equipped for full control irrigation: total,4311,2007,397.026,E,,0
Albania,8,Area equipped for full control irrigation: total,4311,2012,346,,,6762
Albania,8,Area equipped for full control irrigation: total,4311,2017,397.026,E,,0
Albania,8,Area equipped for full control irrigation: total,4311,2018,397.026,E,,0
Albania,8,Area equipped for full control irrigation: actually irrigated,4461,2002,92.67,,,6759
Albania,8,Area equipped for full control irrigation: actually irrigated,4461,2007,106.5,,,6759
