"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Afghanistan",4,"Groundwater: entering the country (total)",4177,1962,0.0,"E","","6043"
"Afghanistan",4,"Groundwater: entering the country (total)",4177,1967,0.0,"E","","6043"
"Afghanistan",4,"Groundwater: entering the country (total)",4177,1972,0.0,"E","","6043"
"Afghanistan",4,"Groundwater: entering the country (total)",4177,1977,0.0,"E","","6043"
"Afghanistan",4,"Groundwater: entering the country (total)",4177,1982,0.0,"E","","6043"
"Afghanistan",4,"Groundwater: entering the country (total)",4177,1987,0.0,"E","","6043"
"Afghanistan",4,"Groundwater: entering the country (total)",4177,1992,0.0,"E","","6043"
"Afghanistan",4,"Groundwater: entering the country (total)",4177,1997,0.0,"E","","6043"
"Afghanistan",4,"Groundwater: entering the country (total)",4177,2002,0.0,"E","","6043"
"Afghanistan",4,"Groundwater: entering the country (total)",4177,2007,0.0,"E","","6043"
"Afghanistan",4,"Groundwater: entering the country (total)",4177,2012,0.0,"E","","6043"
"Afghanistan",4,"Groundwater: entering the country (total)",4177,2017,0.0,"E","","6433"
"Afghanistan",4,"Groundwater: accounted inflow",4452,1962,0.0,"E","","6027"
"Afghanistan",4,"Groundwater: accounted inflow",4452,1967,0.0,"E","","6027"
"Afghanistan",4,"Groundwater: accounted inflow",4452,1972,0.0,"E","","6027"
"Afghanistan",4,"Groundwater: accounted inflow",4452,1977,0.0,"E","","6027"
"Afghanistan",4,"Groundwater: accounted inflow",4452,1982,0.0,"E","","6027"
"Afghanistan",4,"Groundwater: accounted inflow",4452,1987,0.0,"E","","6027"
"Afghanistan",4,"Groundwater: accounted inflow",4452,1992,0.0,"E","","6027"
"Afghanistan",4,"Groundwater: accounted inflow",4452,1997,0.0,"E","","6027"
"Afghanistan",4,"Groundwater: accounted inflow",4452,2002,0.0,"E","","6027"
"Afghanistan",4,"Groundwater: accounted inflow",4452,2007,0.0,"E","","6027"
"Afghanistan",4,"Groundwater: accounted inflow",4452,2012,0.0,"E","","6027"
"Afghanistan",4,"Groundwater: accounted inflow",4452,2017,0.0,"E","","6433"
"Albania",8,"Groundwater: entering the country (total)",4177,1962,0.0,"E","","6027"
"Albania",8,"Groundwater: entering the country (total)",4177,1967,0.0,"E","","6027"
"Albania",8,"Groundwater: entering the country (total)",4177,1972,0.0,"E","","6027"
"Albania",8,"Groundwater: entering the country (total)",4177,1977,0.0,"E","","6027"
"Albania",8,"Groundwater: entering the country (total)",4177,1982,0.0,"E","","6027"
"Albania",8,"Groundwater: entering the country (total)",4177,1987,0.0,"E","","6027"
"Albania",8,"Groundwater: entering the country (total)",4177,1992,0.0,"E","","6027"
"Albania",8,"Groundwater: entering the country (total)",4177,1997,0.0,"E","","6027"
"Albania",8,"Groundwater: entering the country (total)",4177,2002,0.0,"E","","6027"
"Albania",8,"Groundwater: entering the country (total)",4177,2007,0.0,"E","","6027"
"Albania",8,"Groundwater: entering the country (total)",4177,2012,0.0,"E","","6027"
"Albania",8,"Groundwater: entering the country (total)",4177,2017,0.0,"E","","6433"
"Albania",8,"Groundwater: accounted inflow",4452,1962,0.0,"E","","6027"
"Albania",8,"Groundwater: accounted inflow",4452,1967,0.0,"E","","6027"
"Albania",8,"Groundwater: accounted inflow",4452,1972,0.0,"E","","6027"
"Albania",8,"Groundwater: accounted inflow",4452,1977,0.0,"E","","6027"
"Albania",8,"Groundwater: accounted inflow",4452,1982,0.0,"E","","6027"
"Albania",8,"Groundwater: accounted inflow",4452,1987,0.0,"E","","6027"
"Albania",8,"Groundwater: accounted inflow",4452,1992,0.0,"E","","6027"
"Albania",8,"Groundwater: accounted inflow",4452,1997,0.0,"E","","6027"
