"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Afghanistan",4,"Surface water: entering the country (total)",4159,1962,10.0,"","","1603"
"Afghanistan",4,"Surface water: entering the country (total)",4159,1966,10.0,"","","1603"
"Afghanistan",4,"Surface water: entering the country (total)",4159,1971,10.0,"","","1603"
"Afghanistan",4,"Surface water: entering the country (total)",4159,1976,10.0,"","","1603"
"Afghanistan",4,"Surface water: entering the country (total)",4159,1981,10.0,"","","1603"
"Afghanistan",4,"Surface water: entering the country (total)",4159,1986,10.0,"","","1603"
"Afghanistan",4,"Surface water: entering the country (total)",4159,1991,10.0,"","","1603"
"Afghanistan",4,"Surface water: entering the country (total)",4159,1996,10.0,"","","1603"
"Afghanistan",4,"Surface water: entering the country (total)",4159,2001,10.0,"","","1603"
"Afghanistan",4,"Surface water: entering the country (total)",4159,2006,10.0,"","","1603"
"Afghanistan",4,"Surface water: entering the country (total)",4159,2017,10.0,"","","6433"
"Afghanistan",4,"Surface water: inflow not submitted to treaties",4160,1962,10.0,"","","1603"
"Afghanistan",4,"Surface water: inflow not submitted to treaties",4160,1967,10.0,"","","1603"
"Afghanistan",4,"Surface water: inflow not submitted to treaties",4160,1972,10.0,"","","1603"
"Afghanistan",4,"Surface water: inflow not submitted to treaties",4160,1977,10.0,"","","1603"
"Afghanistan",4,"Surface water: inflow not submitted to treaties",4160,1982,10.0,"","","1603"
"Afghanistan",4,"Surface water: inflow not submitted to treaties",4160,1987,10.0,"","","1603"
"Afghanistan",4,"Surface water: inflow not submitted to treaties",4160,1992,10.0,"","","1603"
"Afghanistan",4,"Surface water: inflow not submitted to treaties",4160,1997,10.0,"","","1603"
"Afghanistan",4,"Surface water: inflow not submitted to treaties",4160,2002,10.0,"","","1603"
"Afghanistan",4,"Surface water: inflow not submitted to treaties",4160,2007,10.0,"","","1603"
"Afghanistan",4,"Surface water: inflow not submitted to treaties",4160,2012,10.0,"","","1603"
"Afghanistan",4,"Surface water: inflow not submitted to treaties",4160,2017,10.0,"","","6433"
"Afghanistan",4,"Surface water: inflow submitted to treaties",4161,1962,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow submitted to treaties",4161,1967,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow submitted to treaties",4161,1972,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow submitted to treaties",4161,1977,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow submitted to treaties",4161,1982,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow submitted to treaties",4161,1987,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow submitted to treaties",4161,1992,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow submitted to treaties",4161,1997,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow submitted to treaties",4161,2002,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow submitted to treaties",4161,2007,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow submitted to treaties",4161,2012,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow submitted to treaties",4161,2017,0.0,"","","6433"
"Afghanistan",4,"Surface water: inflow secured through treaties",4162,1962,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow secured through treaties",4162,1967,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow secured through treaties",4162,1972,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow secured through treaties",4162,1977,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow secured through treaties",4162,1982,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow secured through treaties",4162,1987,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow secured through treaties",4162,1992,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow secured through treaties",4162,1997,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow secured through treaties",4162,2002,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow secured through treaties",4162,2007,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow secured through treaties",4162,2012,0.0,"","","1603"
"Afghanistan",4,"Surface water: inflow secured through treaties",4162,2017,0.0,"","","6433"
"Afghanistan",4,"Surface water: total flow of border rivers",4165,1997,33.4,"E","","6046"
"Afghanistan",4,"Surface water: total flow of border rivers",4165,2002,33.4,"E","","6046"
"Afghanistan",4,"Surface water: accounted flow of border rivers",4168,1997,9.0,"E","","6046"
"Afghanistan",4,"Surface water: accounted flow of border rivers",4168,2002,9.0,"E","","6046"
"Afghanistan",4,"Surface water: accounted inflow",4164,1962,19.0,"E","","0"
"Afghanistan",4,"Surface water: accounted inflow",4164,1967,19.0,"E","","0"
"Afghanistan",4,"Surface water: accounted inflow",4164,1972,19.0,"E","","0"
"Afghanistan",4,"Surface water: accounted inflow",4164,1977,19.0,"E","","0"
"Afghanistan",4,"Surface water: accounted inflow",4164,1982,19.0,"E","","0"
"Afghanistan",4,"Surface water: accounted inflow",4164,1987,19.0,"E","","0"
"Afghanistan",4,"Surface water: accounted inflow",4164,1992,19.0,"E","","0"
"Afghanistan",4,"Surface water: accounted inflow",4164,1997,19.0,"E","","0"
"Afghanistan",4,"Surface water: accounted inflow",4164,2002,19.0,"E","","0"
