country,country_id,variable_name,variable_id,year,value,symbol,md,ref
Afghanistan,4,Water resources: total external renewable,4182,1962,18.18,E,,0
Afghanistan,4,Water resources: total external renewable,4182,1967,18.18,E,,0
Afghanistan,4,Water resources: total external renewable,4182,1972,18.18,E,,0
Afghanistan,4,Water resources: total external renewable,4182,1977,18.18,E,,0
Afghanistan,4,Water resources: total external renewable,4182,1982,18.18,E,,0
Afghanistan,4,Water resources: total external renewable,4182,1987,18.18,E,,0
Afghanistan,4,Water resources: total external renewable,4182,1992,18.18,E,,0
Afghanistan,4,Water resources: total external renewable,4182,1997,18.18,E,,0
Afghanistan,4,Water resources: total external renewable,4182,2002,18.18,E,,0
Afghanistan,4,Water resources: total external renewable,4182,2007,18.18,E,,0
Afghanistan,4,Water resources: total external renewable,4182,2012,18.18,E,,0
Afghanistan,4,Water resources: total external renewable,4182,2017,18.18,E,,0
Afghanistan,4,Water resources: total external renewable,4182,2018,18.18,E,,0
Albania,8,Water resources: total external renewable,4182,1962,3.3,E,,0
Albania,8,Water resources: total external renewable,4182,1967,3.3,E,,0
Albania,8,Water resources: total external renewable,4182,1972,3.3,E,,0
Albania,8,Water resources: total external renewable,4182,1977,3.3,E,,0
Albania,8,Water resources: total external renewable,4182,1982,3.3,E,,0
Albania,8,Water resources: total external renewable,4182,1987,3.3,E,,0
Albania,8,Water resources: total external renewable,4182,1992,3.3,E,,0
Albania,8,Water resources: total external renewable,4182,1997,3.3,E,,0
Albania,8,Water resources: total external renewable,4182,2002,3.3,E,,0
Albania,8,Water resources: total external renewable,4182,2007,3.3,E,,0
Albania,8,Water resources: total external renewable,4182,2012,3.3,E,,0
Albania,8,Water resources: total external renewable,4182,2017,3.3,E,,0
Albania,8,Water resources: total external renewable,4182,2018,3.3,E,,0
Algeria,12,Water resources: total external renewable,4182,1962,0.42,E,,0
Algeria,12,Water resources: total external renewable,4182,1967,0.42,E,,0
Algeria,12,Water resources: total external renewable,4182,1972,0.42,E,,0
Algeria,12,Water resources: total external renewable,4182,1977,0.42,E,,0
Algeria,12,Water resources: total external renewable,4182,1982,0.42,E,,0
Algeria,12,Water resources: total external renewable,4182,1987,0.42,E,,0
Algeria,12,Water resources: total external renewable,4182,1992,0.42,E,,0
Algeria,12,Water resources: total external renewable,4182,1997,0.42,E,,0
Algeria,12,Water resources: total external renewable,4182,2002,0.42,E,,0
Algeria,12,Water resources: total external renewable,4182,2007,0.42,E,,0
Algeria,12,Water resources: total external renewable,4182,2012,0.42,E,,0
Algeria,12,Water resources: total external renewable,4182,2017,0.42,E,,0
Algeria,12,Water resources: total external renewable,4182,2018,0.42,E,,0
Angola,24,Water resources: total external renewable,4182,1962,0.4,E,,0
Angola,24,Water resources: total external renewable,4182,1967,0.4,E,,0
Angola,24,Water resources: total external renewable,4182,1972,0.4,E,,0
Angola,24,Water resources: total external renewable,4182,1977,0.4,E,,0
Angola,24,Water resources: total external renewable,4182,1982,0.4,E,,0
Angola,24,Water resources: total external renewable,4182,1987,0.4,E,,0
Angola,24,Water resources: total external renewable,4182,1992,0.4,E,,0
Angola,24,Water resources: total external renewable,4182,1997,0.4,E,,0
Angola,24,Water resources: total external renewable,4182,2002,0.4,E,,0
Angola,24,Water resources: total external renewable,4182,2007,0.4,E,,0
Angola,24,Water resources: total external renewable,4182,2012,0.4,E,,0
Angola,24,Water resources: total external renewable,4182,2017,0.4,E,,0
Angola,24,Water resources: total external renewable,4182,2018,0.4,E,,0
Antigua and Barbuda,28,Water resources: total external renewable,4182,1962,0,E,,0
Antigua and Barbuda,28,Water resources: total external renewable,4182,1967,0,E,,0
Antigua and Barbuda,28,Water resources: total external renewable,4182,1972,0,E,,0
Antigua and Barbuda,28,Water resources: total external renewable,4182,1977,0,E,,0
Antigua and Barbuda,28,Water resources: total external renewable,4182,1982,0,E,,0
Antigua and Barbuda,28,Water resources: total external renewable,4182,1987,0,E,,0
Antigua and Barbuda,28,Water resources: total external renewable,4182,1992,0,E,,0
Antigua and Barbuda,28,Water resources: total external renewable,4182,1997,0,E,,0
Antigua and Barbuda,28,Water resources: total external renewable,4182,2002,0,E,,0
Antigua and Barbuda,28,Water resources: total external renewable,4182,2007,0,E,,0
Antigua and Barbuda,28,Water resources: total external renewable,4182,2012,0,E,,0
Antigua and Barbuda,28,Water resources: total external renewable,4182,2017,0,E,,0
Antigua and Barbuda,28,Water resources: total external renewable,4182,2018,0,E,,0
Argentina,32,Water resources: total external renewable,4182,1962,584.24,E,,0
Argentina,32,Water resources: total external renewable,4182,1967,584.24,E,,0
Argentina,32,Water resources: total external renewable,4182,1972,584.24,E,,0
Argentina,32,Water resources: total external renewable,4182,1977,584.24,E,,0
Argentina,32,Water resources: total external renewable,4182,1982,584.24,E,,0
Argentina,32,Water resources: total external renewable,4182,1987,584.24,E,,0
Argentina,32,Water resources: total external renewable,4182,1992,584.24,E,,0
Argentina,32,Water resources: total external renewable,4182,1997,584.24,E,,0
Argentina,32,Water resources: total external renewable,4182,2002,584.24,E,,0
Argentina,32,Water resources: total external renewable,4182,2007,584.24,E,,0
Argentina,32,Water resources: total external renewable,4182,2012,584.24,E,,0
Argentina,32,Water resources: total external renewable,4182,2017,584.24,E,,0
Argentina,32,Water resources: total external renewable,4182,2018,584.24,E,,0
Armenia,51,Water resources: total external renewable,4182,1992,0.91,E,,0
Armenia,51,Water resources: total external renewable,4182,1997,0.91,E,,0
Armenia,51,Water resources: total external renewable,4182,2002,0.91,E,,0
Armenia,51,Water resources: total external renewable,4182,2007,0.91,E,,0
Armenia,51,Water resources: total external renewable,4182,2012,0.91,E,,0
Armenia,51,Water resources: total external renewable,4182,2017,0.91,E,,0
Armenia,51,Water resources: total external renewable,4182,2018,0.91,E,,0
Australia,36,Water resources: total external renewable,4182,1962,0,E,,0
Australia,36,Water resources: total external renewable,4182,1967,0,E,,0
Australia,36,Water resources: total external renewable,4182,1972,0,E,,0
Australia,36,Water resources: total external renewable,4182,1977,0,E,,0
Australia,36,Water resources: total external renewable,4182,1982,0,E,,0
Australia,36,Water resources: total external renewable,4182,1987,0,E,,0
Australia,36,Water resources: total external renewable,4182,1992,0,E,,0
Australia,36,Water resources: total external renewable,4182,1997,0,E,,0
Australia,36,Water resources: total external renewable,4182,2002,0,E,,0
Australia,36,Water resources: total external renewable,4182,2007,0,E,,0
Australia,36,Water resources: total external renewable,4182,2012,0,E,,0
Australia,36,Water resources: total external renewable,4182,2017,0,E,,0
Australia,36,Water resources: total external renewable,4182,2018,0,E,,0
Austria,40,Water resources: total external renewable,4182,1962,22.7,E,,0
Austria,40,Water resources: total external renewable,4182,1967,22.7,E,,0
Austria,40,Water resources: total external renewable,4182,1972,22.7,E,,0
Austria,40,Water resources: total external renewable,4182,1977,22.7,E,,0
Austria,40,Water resources: total external renewable,4182,1982,22.7,E,,0
Austria,40,Water resources: total external renewable,4182,1987,22.7,E,,0
Austria,40,Water resources: total external renewable,4182,1992,22.7,E,,0
Austria,40,Water resources: total external renewable,4182,1997,22.7,E,,0
Austria,40,Water resources: total external renewable,4182,2002,22.7,E,,0
Austria,40,Water resources: total external renewable,4182,2007,22.7,E,,0
Austria,40,Water resources: total external renewable,4182,2012,22.7,E,,0
Austria,40,Water resources: total external renewable,4182,2017,22.7,E,,0
Austria,40,Water resources: total external renewable,4182,2018,22.7,E,,0
Azerbaijan,31,Water resources: total external renewable,4182,1992,26.56,E,,0
Azerbaijan,31,Water resources: total external renewable,4182,1997,26.56,E,,0
Azerbaijan,31,Water resources: total external renewable,4182,2002,26.56,E,,0
Azerbaijan,31,Water resources: total external renewable,4182,2007,26.56,E,,0
Azerbaijan,31,Water resources: total external renewable,4182,2012,26.56,E,,0
