country,country_id,variable_name,variable_id,year,value,symbol,md,ref
Afghanistan,4,Area equipped for irrigation by surface water,4321,1967,2297,E,,6027
Afghanistan,4,Area equipped for irrigation by surface water,4321,1972,2344.714286,I,,0
Afghanistan,4,Area equipped for irrigation by surface water,4321,1977,2392.428571,I,,0
Afghanistan,4,Area equipped for irrigation by surface water,4321,1982,2440.142857,I,,0
Afghanistan,4,Area equipped for irrigation by surface water,4321,1987,2487.857143,I,,0
Afghanistan,4,Area equipped for irrigation by surface water,4321,1992,2535.571429,I,,0
Afghanistan,4,Area equipped for irrigation by surface water,4321,1997,2583.285714,I,,0
Afghanistan,4,Area equipped for irrigation by surface water,4321,2001,2621.457143,I,,0
Afghanistan,4,Area equipped for irrigation by surface water,4321,2007,2631,I,,0
Afghanistan,4,Area equipped for irrigation by surface water,4321,2012,2631,I,,0
Afghanistan,4,Area equipped for irrigation by surface water,4321,2017,2631,I,,0
Afghanistan,4,Area equipped for irrigation by surface water,4321,2018,2631,I,,0
Afghanistan,4,Area equipped for irrigation by groundwater,4320,1967,418.1,E,,6027
Afghanistan,4,Area equipped for irrigation by groundwater,4320,1972,440.8285714,I,,0
Afghanistan,4,Area equipped for irrigation by groundwater,4320,1977,463.5571429,I,,0
Afghanistan,4,Area equipped for irrigation by groundwater,4320,1982,486.2857143,I,,0
Afghanistan,4,Area equipped for irrigation by groundwater,4320,1987,509.0142857,I,,0
Afghanistan,4,Area equipped for irrigation by groundwater,4320,1992,531.7428571,I,,0
Afghanistan,4,Area equipped for irrigation by groundwater,4320,1997,554.4714286,I,,0
Afghanistan,4,Area equipped for irrigation by groundwater,4320,2001,572.6542857,I,,0
Afghanistan,4,Area equipped for irrigation by groundwater,4320,2007,577.2,I,,0
Afghanistan,4,Area equipped for irrigation by groundwater,4320,2012,577.2,I,,0
Afghanistan,4,Area equipped for irrigation by groundwater,4320,2017,577.2,I,,0
Afghanistan,4,Area equipped for irrigation by groundwater,4320,2018,577.2,I,,0
Afghanistan,4,Percent of area equipped for irrigation by surface water,4324,1967,84.60405157,E,,0
Afghanistan,4,Percent of area equipped for irrigation by surface water,4324,1972,83.49893361,E,,0
Afghanistan,4,Percent of area equipped for irrigation by surface water,4324,1977,82.46472605,E,,0
Afghanistan,4,Percent of area equipped for irrigation by surface water,4324,1982,81.49481604,E,,0
Afghanistan,4,Percent of area equipped for irrigation by surface water,4324,1987,80.58338821,E,,0
Afghanistan,4,Percent of area equipped for irrigation by surface water,4324,1992,79.72530795,E,,0
Afghanistan,4,Percent of area equipped for irrigation by surface water,4324,1997,80.65206726,E,,0
Afghanistan,4,Percent of area equipped for irrigation by surface water,4324,2002,82.01371571,E,,0
Afghanistan,4,Percent of area equipped for irrigation by surface water,4324,2007,82.01371571,I,,0
Afghanistan,4,Percent of area equipped for irrigation by surface water,4324,2012,82.01371571,I,,0
Afghanistan,4,Percent of area equipped for irrigation by surface water,4324,2017,82.01371571,I,,0
Afghanistan,4,Percent of area equipped for irrigation by surface water,4324,2018,82.01371571,I,,0
Afghanistan,4,Percent of area equipped for irrigation by groundwater,4323,1967,15.39963168,E,,0
Afghanistan,4,Percent of area equipped for irrigation by groundwater,4323,1972,15.69859315,E,,0
Afghanistan,4,Percent of area equipped for irrigation by groundwater,4323,1977,15.97837162,E,,0
Afghanistan,4,Percent of area equipped for irrigation by groundwater,4323,1982,16.24075603,E,,0
Afghanistan,4,Percent of area equipped for irrigation by groundwater,4323,1987,16.48731958,E,,0
Afghanistan,4,Percent of area equipped for irrigation by groundwater,4323,1992,16.71945131,E,,0
Afghanistan,4,Percent of area equipped for irrigation by groundwater,4323,1997,17.31100308,E,,0
