country,country_id,variable_name,variable_id,year,value,symbol,md,ref
Afghanistan,4,Long-term average annual precipitation in depth,4151,1962,327,,,1603
Afghanistan,4,Long-term average annual precipitation in depth,4151,1967,327,,,1603
Afghanistan,4,Long-term average annual precipitation in depth,4151,1972,327,,,1603
Afghanistan,4,Long-term average annual precipitation in depth,4151,1977,327,,,1603
Afghanistan,4,Long-term average annual precipitation in depth,4151,1982,327,,,1603
Afghanistan,4,Long-term average annual precipitation in depth,4151,1987,327,,,1603
Afghanistan,4,Long-term average annual precipitation in depth,4151,1992,327,,,1603
Afghanistan,4,Long-term average annual precipitation in depth,4151,1997,327,,,1603
Afghanistan,4,Long-term average annual precipitation in depth,4151,2002,327,,,1603
Afghanistan,4,Long-term average annual precipitation in depth,4151,2007,327,,,1603
Afghanistan,4,Long-term average annual precipitation in depth,4151,2012,327,,,1603
Afghanistan,4,Long-term average annual precipitation in depth,4151,2017,327,,,6433
Afghanistan,4,Long-term average annual precipitation in volume,4150,1962,213.48522,E,,0
Afghanistan,4,Long-term average annual precipitation in volume,4150,1967,213.48522,E,,0
Afghanistan,4,Long-term average annual precipitation in volume,4150,1972,213.48522,E,,0
Afghanistan,4,Long-term average annual precipitation in volume,4150,1977,213.48522,E,,0
Afghanistan,4,Long-term average annual precipitation in volume,4150,1982,213.48522,E,,0
Afghanistan,4,Long-term average annual precipitation in volume,4150,1987,213.48522,E,,0
Afghanistan,4,Long-term average annual precipitation in volume,4150,1992,213.48522,E,,0
Afghanistan,4,Long-term average annual precipitation in volume,4150,1997,213.48522,E,,0
Afghanistan,4,Long-term average annual precipitation in volume,4150,2002,213.48522,E,,0
Afghanistan,4,Long-term average annual precipitation in volume,4150,2007,213.48522,E,,0
Afghanistan,4,Long-term average annual precipitation in volume,4150,2012,213.48522,E,,0
Afghanistan,4,Long-term average annual precipitation in volume,4150,2017,213.48522,E,,0
Afghanistan,4,Long-term average annual precipitation in volume,4150,2018,213.48522,E,,0
Afghanistan,4,National Rainfall Index (NRI),4472,1967,288.52,I,,0
Afghanistan,4,National Rainfall Index (NRI),4472,1972,278.3,I,,0
Afghanistan,4,National Rainfall Index (NRI),4472,1977,301,I,,0
Afghanistan,4,National Rainfall Index (NRI),4472,1982,304,I,,0
Afghanistan,4,National Rainfall Index (NRI),4472,1987,302.15,I,,0
Afghanistan,4,National Rainfall Index (NRI),4472,1992,304.98,I,,0
Afghanistan,4,National Rainfall Index (NRI),4472,1997,233,I,,0
Afghanistan,4,National Rainfall Index (NRI),4472,2002,185,I,,0
Afghanistan,4,National Rainfall Index (NRI),4472,2007,185,I,,0
Afghanistan,4,National Rainfall Index (NRI),4472,2012,185,I,,0
Afghanistan,4,National Rainfall Index (NRI),4472,2017,185,I,,0
Afghanistan,4,National Rainfall Index (NRI),4472,2018,185,I,,0
Albania,8,Long-term average annual precipitation in depth,4151,1962,1485,X,,6030
Albania,8,Long-term average annual precipitation in depth,4151,1967,1485,X,,6030
Albania,8,Long-term average annual precipitation in depth,4151,1972,1485,X,,6030
Albania,8,Long-term average annual precipitation in depth,4151,1977,1485,X,,6030
Albania,8,Long-term average annual precipitation in depth,4151,1982,1485,X,,6030
Albania,8,Long-term average annual precipitation in depth,4151,1987,1485,X,,6030
Albania,8,Long-term average annual precipitation in depth,4151,1992,1485,X,,6030
Albania,8,Long-term average annual precipitation in depth,4151,1997,1485,X,,6030
Albania,8,Long-term average annual precipitation in depth,4151,2002,1485,X,,6030
Albania,8,Long-term average annual precipitation in depth,4151,2007,1485,X,,6030
Albania,8,Long-term average annual precipitation in depth,4151,2012,1485,X,,6030
Albania,8,Long-term average annual precipitation in depth,4151,2017,1485,X,,6433
Albania,8,Long-term average annual precipitation in volume,4150,1962,42.69375,E,,0
Albania,8,Long-term average annual precipitation in volume,4150,1967,42.69375,E,,0
Albania,8,Long-term average annual precipitation in volume,4150,1972,42.69375,E,,0
Albania,8,Long-term average annual precipitation in volume,4150,1977,42.69375,E,,0
Albania,8,Long-term average annual precipitation in volume,4150,1982,42.69375,E,,0
Albania,8,Long-term average annual precipitation in volume,4150,1987,42.69375,E,,0
Albania,8,Long-term average annual precipitation in volume,4150,1992,42.69375,E,,0
Albania,8,Long-term average annual precipitation in volume,4150,1997,42.69375,E,,0
Albania,8,Long-term average annual precipitation in volume,4150,2002,42.69375,E,,0
Albania,8,Long-term average annual precipitation in volume,4150,2007,42.69375,E,,0
Albania,8,Long-term average annual precipitation in volume,4150,2012,42.69375,E,,0
Albania,8,Long-term average annual precipitation in volume,4150,2017,41.17905,E,,0
Albania,8,Long-term average annual precipitation in volume,4150,2018,41.17905,E,,0
Albania,8,National Rainfall Index (NRI),4472,1967,1335.25,I,,0
Albania,8,National Rainfall Index (NRI),4472,1972,1343.8,I,,0
Albania,8,National Rainfall Index (NRI),4472,1977,1329.6,I,,0
Albania,8,National Rainfall Index (NRI),4472,1982,1150,I,,0
Albania,8,National Rainfall Index (NRI),4472,1987,950.6,I,,0
Albania,8,National Rainfall Index (NRI),4472,1992,946.1,I,,0
Albania,8,National Rainfall Index (NRI),4472,1997,1084.125,I,,0
Albania,8,National Rainfall Index (NRI),4472,2002,1136,X,,5966
Albania,8,National Rainfall Index (NRI),4472,2007,1136,I,,0
Albania,8,National Rainfall Index (NRI),4472,2012,1136,I,,0
Albania,8,National Rainfall Index (NRI),4472,2017,1136,I,,0
Albania,8,National Rainfall Index (NRI),4472,2018,1136,I,,0
Algeria,12,Long-term average annual precipitation in depth,4151,1962,89,X,,6030
Algeria,12,Long-term average annual precipitation in depth,4151,1967,89,X,,6030
Algeria,12,Long-term average annual precipitation in depth,4151,1972,89,X,,6030
Algeria,12,Long-term average annual precipitation in depth,4151,1977,89,X,,6030
Algeria,12,Long-term average annual precipitation in depth,4151,1982,89,X,,6030
Algeria,12,Long-term average annual precipitation in depth,4151,1987,89,X,,6030
Algeria,12,Long-term average annual precipitation in depth,4151,1992,89,X,,6030
Algeria,12,Long-term average annual precipitation in depth,4151,1997,89,X,,6030
Algeria,12,Long-term average annual precipitation in depth,4151,2002,89,X,,6030
Algeria,12,Long-term average annual precipitation in depth,4151,2007,89,X,,6030
Algeria,12,Long-term average annual precipitation in depth,4151,2012,89,X,,6030
Algeria,12,Long-term average annual precipitation in depth,4151,2017,89,X,,6433
Algeria,12,Long-term average annual precipitation in volume,4150,1962,211.97486,E,,0
Algeria,12,Long-term average annual precipitation in volume,4150,1967,211.97486,E,,0
Algeria,12,Long-term average annual precipitation in volume,4150,1972,211.97486,E,,0
Algeria,12,Long-term average annual precipitation in volume,4150,1977,211.97486,E,,0
Algeria,12,Long-term average annual precipitation in volume,4150,1982,211.97486,E,,0
Algeria,12,Long-term average annual precipitation in volume,4150,1987,211.97486,E,,0
