country,country_id,variable_name,variable_id,year,value,symbol,md,ref
Afghanistan,4,Freshwater withdrawal as percent of total renewable water resources,4275,1977,20.30999031,I,,0
Afghanistan,4,Freshwater withdrawal as percent of total renewable water resources,4275,1982,30.13899944,I,,0
Afghanistan,4,Freshwater withdrawal as percent of total renewable water resources,4275,1987,39.96800857,E,,0
Afghanistan,4,Freshwater withdrawal as percent of total renewable water resources,4275,1992,35.9104803,E,,0
Afghanistan,4,Freshwater withdrawal as percent of total renewable water resources,4275,1997,31.85295204,E,,0
Afghanistan,4,Freshwater withdrawal as percent of total renewable water resources,4275,2002,31.0454615,I,,0
Afghanistan,4,Freshwater withdrawal as percent of total renewable water resources,4275,2007,31.0454615,I,,0
Afghanistan,4,Freshwater withdrawal as percent of total renewable water resources,4275,2012,31.0454615,I,,0
Afghanistan,4,Freshwater withdrawal as percent of total renewable water resources,4275,2017,31.0454615,I,,0
Afghanistan,4,Freshwater withdrawal as percent of total renewable water resources,4275,2018,31.0454615,I,,0
Afghanistan,4,Agricultural water withdrawal as percent of total renewable water resources,4273,1987,39.56834532,E,,0
Afghanistan,4,Agricultural water withdrawal as percent of total renewable water resources,4273,1992,35.49810055,I,,0
Afghanistan,4,Agricultural water withdrawal as percent of total renewable water resources,4273,1997,31.42785578,I,,0
Afghanistan,4,Agricultural water withdrawal as percent of total renewable water resources,4273,2002,30.61380683,I,,0
Afghanistan,4,Agricultural water withdrawal as percent of total renewable water resources,4273,2007,30.61380683,I,,0
Afghanistan,4,Agricultural water withdrawal as percent of total renewable water resources,4273,2012,30.61380683,I,,0
Afghanistan,4,Agricultural water withdrawal as percent of total renewable water resources,4273,2017,30.61380683,I,,0
Afghanistan,4,Agricultural water withdrawal as percent of total renewable water resources,4273,2018,30.61380683,I,,0
Afghanistan,4,Water Stress,4550,1977,35.82212923,E,,0
Afghanistan,4,Water Stress,4550,1982,53.15822984,E,,0
Afghanistan,4,Water Stress,4550,1987,70.49433045,E,,0
Afghanistan,4,Water Stress,4550,1992,63.33778829,E,,0
Afghanistan,4,Water Stress,4550,1997,56.18124613,E,,0
Afghanistan,4,Water Stress,4550,2002,54.75701944,E,,0
Afghanistan,4,Water Stress,4550,2007,54.75701944,E,,0
Afghanistan,4,Water Stress,4550,2012,54.75701944,E,,0
Afghanistan,4,Water Stress,4550,2017,54.75701944,E,,0
Afghanistan,4,Water Stress,4550,2018,54.75701944,E,,0
Afghanistan,4,Water Use Efficiency,4551,2015,0.849079903,I,,0
Afghanistan,4,Irrigated Agriculture Water Use Efficiency,4552,2015,0.099942001,E,,0
Afghanistan,4,Industrial Water Use Efficiency,4553,2015,26.37290943,E,,0
Afghanistan,4,Services Water Use Efficiency,4554,2015,53.24076596,E,,0
Albania,8,Freshwater withdrawal as percent of total renewable water resources,4275,1992,3.919072848,E,,0
Albania,8,Freshwater withdrawal as percent of total renewable water resources,4275,1997,4.736622517,E,,0
Albania,8,Freshwater withdrawal as percent of total renewable water resources,4275,2002,5.507019868,E,,0
Albania,8,Freshwater withdrawal as percent of total renewable water resources,4275,2007,4.131589404,E,,0
Albania,8,Freshwater withdrawal as percent of total renewable water resources,4275,2012,3.722980133,E,,0
Albania,8,Freshwater withdrawal as percent of total renewable water resources,4275,2017,3.612582782,E,,0
Albania,8,Freshwater withdrawal as percent of total renewable water resources,4275,2018,3.172185431,E,,0
Albania,8,Agricultural water withdrawal as percent of total renewable water resources,4273,1992,2.874172185,I,,0
Albania,8,Agricultural water withdrawal as percent of total renewable water resources,4273,1997,2.735099338,I,,0
Albania,8,Agricultural water withdrawal as percent of total renewable water resources,4273,2002,2.911258278,I,,0
Albania,8,Agricultural water withdrawal as percent of total renewable water resources,4273,2007,1.758940397,I,,0
Albania,8,Agricultural water withdrawal as percent of total renewable water resources,4273,2012,1.98410596,I,,0
Albania,8,Agricultural water withdrawal as percent of total renewable water resources,4273,2017,2.314569536,E,,0
Albania,8,Agricultural water withdrawal as percent of total renewable water resources,4273,2018,2.162251656,E,,0
Albania,8,Water Stress,4550,1992,7.112740385,E,,0
Albania,8,Water Stress,4550,1997,8.596514423,E,,0
Albania,8,Water Stress,4550,2002,9.994711539,E,,0
Albania,8,Water Stress,4550,2007,7.4984375,E,,0
Albania,8,Water Stress,4550,2012,6.756850962,E,,0
Albania,8,Water Stress,4550,2017,6.556490385,E,,0
Albania,8,Water Stress,4550,2018,5.757211539,E,,0
Albania,8,Water Use Efficiency,4551,2002,2.951669604,I,,0
Albania,8,Water Use Efficiency,4551,2005,4.196053733,I,,0
Albania,8,Water Use Efficiency,4551,2009,6.446304677,I,,0
Albania,8,Water Use Efficiency,4551,2014,7.871182101,I,,0
Albania,8,Irrigated Agriculture Water Use Efficiency,4552,2002,0.367061048,E,,0
Albania,8,Irrigated Agriculture Water Use Efficiency,4552,2005,0.573765711,E,,0
Albania,8,Irrigated Agriculture Water Use Efficiency,4552,2009,1.287030564,E,,0
Albania,8,Irrigated Agriculture Water Use Efficiency,4552,2015,1.616140231,E,,0
Albania,8,Industrial Water Use Efficiency,4553,1992,6.25311898,E,,0
