"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Afghanistan",4,"Ratio between rainfed and irrigated yields",4557,1962,2.119,"E","","6750"
"Afghanistan",4,"Ratio between rainfed and irrigated yields",4557,1967,2.119,"E","","6750"
"Afghanistan",4,"Ratio between rainfed and irrigated yields",4557,1972,2.119,"E","","6750"
"Afghanistan",4,"Ratio between rainfed and irrigated yields",4557,1977,2.119,"E","","6750"
"Afghanistan",4,"Ratio between rainfed and irrigated yields",4557,1982,2.119,"E","","6750"
"Afghanistan",4,"Ratio between rainfed and irrigated yields",4557,1987,2.119,"E","","6750"
"Afghanistan",4,"Ratio between rainfed and irrigated yields",4557,1992,2.119,"E","","6750"
"Afghanistan",4,"Ratio between rainfed and irrigated yields",4557,1997,2.119,"E","","6750"
"Afghanistan",4,"Ratio between rainfed and irrigated yields",4557,2002,2.119,"E","","6750"
"Afghanistan",4,"Ratio between rainfed and irrigated yields",4557,2007,2.119,"I","","0"
"Afghanistan",4,"Ratio between rainfed and irrigated yields",4557,2012,2.119,"E","","6750"
"Afghanistan",4,"Ratio between rainfed and irrigated yields",4557,2017,2.119,"I","","0"
"Afghanistan",4,"Ratio between rainfed and irrigated yields",4557,2018,2.119,"I","","0"
"Albania",8,"Ratio between rainfed and irrigated yields",4557,1962,,,"[1]",
"Albania",8,"Ratio between rainfed and irrigated yields",4557,1966,1.778,"I","","0"
"Albania",8,"Ratio between rainfed and irrigated yields",4557,1971,1.778,"I","","0"
"Albania",8,"Ratio between rainfed and irrigated yields",4557,1976,1.778,"I","","0"
"Albania",8,"Ratio between rainfed and irrigated yields",4557,1981,1.778,"I","","0"
"Albania",8,"Ratio between rainfed and irrigated yields",4557,1986,1.778,"I","","0"
"Albania",8,"Ratio between rainfed and irrigated yields",4557,1991,1.778,"I","","0"
"Albania",8,"Ratio between rainfed and irrigated yields",4557,1996,1.778,"I","","0"
"Albania",8,"Ratio between rainfed and irrigated yields",4557,2001,1.778,"I","","0"
"Albania",8,"Ratio between rainfed and irrigated yields",4557,2007,1.778,"I","","0"
"Albania",8,"Ratio between rainfed and irrigated yields",4557,2011,1.778,"I","","0"
"Albania",8,"Ratio between rainfed and irrigated yields",4557,2017,1.778,"I","","0"
"Albania",8,"Ratio between rainfed and irrigated yields",4557,2018,1.778,"I","","0"
"Algeria",12,"Ratio between rainfed and irrigated yields",4557,1966,2.207368807,"I","","0"
"Algeria",12,"Ratio between rainfed and irrigated yields",4557,1971,2.207368807,"I","","0"
"Algeria",12,"Ratio between rainfed and irrigated yields",4557,1976,2.207368807,"I","","0"
"Algeria",12,"Ratio between rainfed and irrigated yields",4557,1981,2.207368807,"I","","0"
"Algeria",12,"Ratio between rainfed and irrigated yields",4557,1986,2.207368807,"I","","0"
"Algeria",12,"Ratio between rainfed and irrigated yields",4557,1991,2.207368807,"I","","0"
"Algeria",12,"Ratio between rainfed and irrigated yields",4557,1996,2.207368807,"I","","0"
"Algeria",12,"Ratio between rainfed and irrigated yields",4557,2001,2.207368807,"I","","0"
"Algeria",12,"Ratio between rainfed and irrigated yields",4557,2006,2.124,"E","","6750"
"Algeria",12,"Ratio between rainfed and irrigated yields",4557,2011,2.207368807,"I","","0"
"Algeria",12,"Ratio between rainfed and irrigated yields",4557,2016,2.2072458713,"I","","0"
"Algeria",12,"Ratio between rainfed and irrigated yields",4557,2018,2.207368807,"I","","0"
"Andorra",20,"Ratio between rainfed and irrigated yields",4557,1962,,,"[2]",
"Andorra",20,"Ratio between rainfed and irrigated yields",4557,1966,1.778,"I","","0"
"Andorra",20,"Ratio between rainfed and irrigated yields",4557,1971,1.778,"I","","0"
"Andorra",20,"Ratio between rainfed and irrigated yields",4557,1976,1.778,"I","","0"
"Andorra",20,"Ratio between rainfed and irrigated yields",4557,1981,1.778,"I","","0"
"Andorra",20,"Ratio between rainfed and irrigated yields",4557,1986,1.778,"I","","0"
"Andorra",20,"Ratio between rainfed and irrigated yields",4557,1991,1.778,"I","","0"
"Andorra",20,"Ratio between rainfed and irrigated yields",4557,1996,1.778,"I","","0"
"Andorra",20,"Ratio between rainfed and irrigated yields",4557,2001,1.778,"I","","0"
"Andorra",20,"Ratio between rainfed and irrigated yields",4557,2007,1.778,"I","","0"
"Andorra",20,"Ratio between rainfed and irrigated yields",4557,2011,1.778,"I","","0"
"Andorra",20,"Ratio between rainfed and irrigated yields",4557,2017,1.778,"I","","0"
"Andorra",20,"Ratio between rainfed and irrigated yields",4557,2018,1.778,"I","","0"
"Angola",24,"Ratio between rainfed and irrigated yields",4557,1962,1.456,"E","","6750"
"Angola",24,"Ratio between rainfed and irrigated yields",4557,1967,1.456,"E","","6750"
"Angola",24,"Ratio between rainfed and irrigated yields",4557,1972,1.456,"E","","6750"
"Angola",24,"Ratio between rainfed and irrigated yields",4557,1977,1.456,"E","","6750"
"Angola",24,"Ratio between rainfed and irrigated yields",4557,1982,1.456,"E","","6750"
"Angola",24,"Ratio between rainfed and irrigated yields",4557,1987,1.456,"E","","6750"
