"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Albania",8,"Produced municipal wastewater",4269,2012,,,"[1,2,3]",
"Albania",8,"Produced municipal wastewater",4269,2015,0.0498,"","","6909"
"Albania",8,"Treated municipal wastewater",4270,2017,0.0205,"","","6910"
"Albania",8,"Treated municipal wastewater",4270,2018,0.0205,"I","","0"
"Albania",8,"Number of municipal wastewater treatment facilities",4515,2007,1.0,"","","6201"
"Albania",8,"Number of municipal wastewater treatment facilities",4515,2012,4.0,"","","6201"
"Albania",8,"Number of municipal wastewater treatment facilities",4515,2017,7.0,"I","","0"
"Albania",8,"Number of municipal wastewater treatment facilities",4515,2018,7.0,"I","","0"
"Albania",8,"Direct use of treated municipal wastewater",4265,2018,0.0,"I","","0"
"Algeria",12,"Produced municipal wastewater",4269,1987,0.6656,"I","","0"
"Algeria",12,"Produced municipal wastewater",4269,1992,0.6796,"I","","0"
"Algeria",12,"Produced municipal wastewater",4269,1997,0.6936,"I","","0"
"Algeria",12,"Produced municipal wastewater",4269,2002,0.7076,"I","","0"
"Algeria",12,"Produced municipal wastewater",4269,2007,0.7216,"I","","0"
"Algeria",12,"Produced municipal wastewater",4269,2012,0.82,"","[4]","6405"
"Algeria",12,"Produced municipal wastewater",4269,2017,1.5,"","","6917"
"Algeria",12,"Produced municipal wastewater",4269,2018,1.5,"I","","0"
"Algeria",12,"Collected municipal wastewater",4493,2017,0.705,"I","","0"
"Algeria",12,"Collected municipal wastewater",4493,2018,0.705,"I","","0"
"Algeria",12,"Treated municipal wastewater",4270,2011,0.237,"I","","0"
"Algeria",12,"Treated municipal wastewater",4270,2017,0.4,"","","6909"
"Algeria",12,"Treated municipal wastewater",4270,2018,0.4,"I","","0"
"Algeria",12,"Number of municipal wastewater treatment facilities",4515,2002,44.1428571429,"I","","0"
"Algeria",12,"Number of municipal wastewater treatment facilities",4515,2007,44.8571428571,"I","","0"
"Algeria",12,"Number of municipal wastewater treatment facilities",4515,2012,138.0,"","[5]","6421"
"Algeria",12,"Number of municipal wastewater treatment facilities",4515,2017,138.0,"I","","0"
"Algeria",12,"Number of municipal wastewater treatment facilities",4515,2018,138.0,"I","","0"
"Algeria",12,"Capacity of the municipal wastewater treatment facilities",4516,2012,0.27,"I","","0"
"Algeria",12,"Capacity of the municipal wastewater treatment facilities",4516,2017,0.27,"I","","0"
"Algeria",12,"Capacity of the municipal wastewater treatment facilities",4516,2018,0.27,"I","","0"
"Algeria",12,"Not treated municipal wastewater",4491,2011,0.42675,"I","","0"
"Algeria",12,"Not treated municipal wastewater",4491,2017,0.496,"I","","0"
"Algeria",12,"Not treated municipal wastewater",4491,2018,0.496,"I","","0"
"Algeria",12,"Not treated municipal wastewater discharged (secondary water)",4517,2012,0.219,"I","","0"
"Algeria",12,"Not treated municipal wastewater discharged (secondary water)",4517,2017,0.219,"I","","0"
"Algeria",12,"Not treated municipal wastewater discharged (secondary water)",4517,2018,0.219,"I","","0"
"Algeria",12,"Direct use of treated municipal wastewater",4265,2017,0.05,"","","6916"
"Algeria",12,"Direct use of treated municipal wastewater",4265,2018,0.05,"I","","0"
"Algeria",12,"Direct use of treated municipal wastewater for irrigation purposes",4490,2012,0.01,"","","6421"
"Algeria",12,"Direct use of treated municipal wastewater for irrigation purposes",4490,2017,0.01,"I","","0"
"Algeria",12,"Direct use of treated municipal wastewater for irrigation purposes",4490,2018,0.01,"I","","0"
"Algeria",12,"Area equipped for irrigation by direct use of treated municipal wastewater",4533,2007,0.5416666667,"I","","0"
"Algeria",12,"Area equipped for irrigation by direct use of treated municipal wastewater",4533,2012,1.2,"E","","0"
"Algeria",12,"Area equipped for irrigation by direct use of treated municipal wastewater",4533,2017,1.2,"I","","0"
"Algeria",12,"Area equipped for irrigation by direct use of treated municipal wastewater",4533,2018,1.2,"I","","0"
"Antigua and Barbuda",28,"Treated municipal wastewater",4270,1992,2.0E-4,"I","","0"
"Antigua and Barbuda",28,"Treated municipal wastewater",4270,1997,2.0E-4,"I","","0"
"Antigua and Barbuda",28,"Treated municipal wastewater",4270,2002,2.0E-4,"I","","0"
"Antigua and Barbuda",28,"Treated municipal wastewater",4270,2007,2.0E-4,"I","","0"
"Antigua and Barbuda",28,"Treated municipal wastewater",4270,2012,2.0E-4,"I","","0"
"Antigua and Barbuda",28,"Treated municipal wastewater",4270,2017,2.0E-4,"I","","0"
"Antigua and Barbuda",28,"Treated municipal wastewater",4270,2018,2.0E-4,"I","","0"
"Argentina",32,"Produced municipal wastewater",4269,2012,2.458,"I","","0"
"Argentina",32,"Produced municipal wastewater",4269,2017,2.458,"I","","0"
"Argentina",32,"Produced municipal wastewater",4269,2018,2.458,"I","","0"
"Argentina",32,"Collected municipal wastewater",4493,2012,1.596,"I","","0"
"Argentina",32,"Collected municipal wastewater",4493,2017,1.596,"I","","0"
