ID,Country,Lat,Long,Classification
1,Antarctica,-77.85,166.65099999999998,Improved
2,Antigua & Barbuda,17.116670000000003,-61.7,Eutrophic
4,Australia,-34.459,118.88799999999999,Hypoxic
5,Australia,-34.407016999999996,150.900178,Eutrophic
7,Australia,-34.088639,151.126756,Hypoxic
8,Australia,-33.295881,115.68916399999999,Hypoxic
9,Australia,-33.902,120.074,Hypoxic
10,Australia,-37.889,147.971,Hypoxic
13,Australia,-43.26667,147.11667,Hypoxic
14,Australia,-34.992956,116.968453,Hypoxic
15,Australia,-31.351744,115.500914,Eutrophic
16,Australia,-34.984828,117.96088300000001,Hypoxic
17,Australia,-35.027,117.15700000000001,Hypoxic
18,Australia,-32.603767,115.71708600000001,Hypoxic
19,Australia,-34.067,151.108,Hypoxic
20,Australia,-27.076,153.151,Eutrophic
21,Australia,-28.875366999999997,153.588203,Hypoxic
22,Australia,-38.26,141.703,Hypoxic
23,Australia,-32.009278,115.816686,Hypoxic
24,Australia,-33.632717,115.14157800000001,Hypoxic
25,Australia,-33.306603,151.49594199999999,Hypoxic
26,Australia,-33.63655,115.41438600000001,Hypoxic
27,Australia,-35.0,117.345,Hypoxic
28,Australia,-34.376589,150.920144,Eutrophic
29,Australia,-33.508989,151.348778,Eutrophic
30,Australia,-33.490894,151.422275,Eutrophic
31,Australia,-37.052769,149.908964,Eutrophic
32,Australia,-33.766697,151.29349399999998,Eutrophic
33,Australia,-33.7479,151.296314,Eutrophic
34,Australia,-33.578644,151.255956,Eutrophic
35,Australia,-34.544000000000004,150.873,Eutrophic
36,Australia,-33.784331,151.283553,Eutrophic
37,Australia,-33.424069,151.446069,Eutrophic
38,Australia,-41.038999999999994,145.84,Eutrophic
39,Australia,-43.05,147.36667,Hypoxic
40,Australia,-41.16,146.335,Eutrophic
41,Australia,-41.042,145.88,Eutrophic
42,Australia,-40.987028,145.738628,Eutrophic
43,Australia,-41.148794,146.168428,Eutrophic
44,Australia,-41.168,146.37,Eutrophic
45,Australia,-42.849,147.615,Eutrophic
46,Australia,-28.863506,114.63876699999999,Eutrophic
47,Australia,-28.168175,114.251847,Eutrophic
48,Australia,-29.258125,114.92133100000001,Eutrophic
49,Australia,-35.039,117.919,Eutrophic
50,Barbados,13.08333,-59.61666999999999,Eutrophic
51,Belgium,51.333,3.0,Eutrophic
52,Belgium,51.32598,4.272241,Improved
53,Belize,18.333,-88.083,Hypoxic
54,Brazil,-27.55,-48.45,Hypoxic
55,Brazil,-22.7803,-43.1263,Hypoxic
56,Brazil,-22.4124,-41.8228,Hypoxic
57,Brazil,-31.1,-51.25,Hypoxic
58,Brazil,-8.08,-34.9,Hypoxic
59,Brazil,-22.9723,-43.2122,Hypoxic
60,Brazil,-20.254,-40.327,Hypoxic
61,Brazil,-22.9521,-42.7723,Eutrophic
63,Brazil,-22.91667,-42.55,Eutrophic
64,Brazil,-22.97083,-43.8775,Eutrophic
65,Brazil,-25.066670000000002,-47.9,Eutrophic
66,Brazil,-24.66667,-47.4,Eutrophic
67,Brazil,-24.0,-46.35,Eutrophic
68,Canada,44.97,-67.013,Hypoxic
71,Canada,48.7,-68.65,Hypoxic
